カード番号,文字,部首,字体数,用例数1,用例数2,大字典
1058,治,085,1,11,,06055
1059,永,085,1,13,,05957
1060,滅,085,1,12,,06432
1061,潛,085,1,9,,06548
1062,深,085,1,6,,06285
1063,法,085,1,8,,06074
1064,涜,085,1,7,,06681
1065,潤,085,1,4,,06553
1066,漸,085,1,12,,06517
1067,濟,085,1,24,,06641
1068,決,085,1,12,,06003
1069,渙,085,1,16,,06311
1070,消,085,1,6,,06192
1071,漣,085,1,2,,06501
1072,沙,085,1,2,,06031
1073,淵,085,1,6,,06310
1074,浚,085,1,2,,06159
1075,涕,085,1,3,,06202
1076,洟,085,1,2,,06126
1077,渥,085,1,2,,06322
1078,渫,085,1,2,,06329
1079,06110,085,1,2,,06110
1080,泥,085,1,6,,06088
1081,泉,085,1,3,,06063
1082,05976,085,1,4,,05976
1083,泣,085,1,3,,06087
1084,流,085,1,6,,06151
1085,澤,085,1,19,,06603
1086,水,085,1,21,,05952
1087,濡,085,1,10,,06643
1088,渉,085,1,21,,06193
1089,求,085,1,30,,05964
1090,河,085,1,2,,06045
1091,況,085,1,7,,06058
1092,無,086,1,25,,06872
1093,火,086,1,17,,06776
1094,焚,086,1,5,,06867
1095,燥,086,1,2,,06986
1096,然,086,1,26,,06885
1097,災,086,1,15,,06792
1098,照,086,1,4,,06918
1099-1102,爲,087,1,212,,07032
1103,爵,087,1,2,,07034
1104,父,088,1,17,,07035
1105,爾,089,1,5,,07043
1106,爻,089,1,51,,07039
1107,床,053,1,9,,02924
1108,牛,093,1,18,,07072
1109-1110,物,093,1,103,,07080
1111,牝,093,1,3,,07073
1112,牽,093,1,5,,07087
1113,獲,094,1,16,,07241
1114,獨,094,1,9,,07230
1115,猶,094,1,3,,07203
1116,狩,094,1,2,,07153
1117,狐,094,1,3,,07135
1118,獄,094,1,5,,07212
1119,狗,094,1,2,,07139
1120,犯,094,1,8,,07112
1121,玄,095,1,4,,07256
1122,率,095,1,2,,07259
1123,07258,095,1,3,,07258
1124,理,096,1,8,,07307
1125,王,096,1,45,,07262
1126,玉,096,1,3,,07261
1127,瑣,096,1,4,,07350
1128,班,096,1,4,,07298
1129,瓶,098,0,,,07426
1130,甃,098,1,2,,07436
1131,甚,099,1,3,,07457
1132,甘,099,1,4,,07456
1133,生,100,1,46,,07461
1134-1136,用,101,1,124,,07469
1137,當,102,1,48,,07535
1138,異,102,1,8,,07530
1139,由,102,1,16,,07479
1140,畫,102,1,3,,07525
1141,疆,102,1,6,,07548
1142,甲,102,1,6,,07480
1143,申,102,1,2,,07481
1144,田,102,1,14,,07478
1145,畏,102,1,2,,07503
1146,畜,102,1,19,,07513
1147,男,102,1,16,,07483
1148,疑,103,1,17,,07559
1149,疾,104,1,17,,07591
1150,登,105,1,4,,07706
1151,發,105,1,13,,07707
1152,皆,106,1,17,,07717
1153,習,124,1,10,,09214
1154,白,106,1,8,,07709
1155,百,106,1,14,,07710
1156,盥,108,1,2,,07784
1157,益,108,1,32,,07759
1158,盈,108,1,17,,07758
1159,盡,108,1,20,,07779
1160,盜,108,1,6,,07771
1161,盛,108,1,9,,07770
1162,07871,109,1,16,,07871
1163,衆,109,1,21,,07844
1164-1165,相,109,1,62,,07801
1166,目,109,1,5,,07790
1167,直,109,1,10,,07799
1168,07795,109,1,2,,07795
1169,眈,109,1,2,,07812
1170,矍,109,1,2,,07915
1171,眇,109,1,2,,07811
1172,07824,109,1,7,,07824
1173,省,109,1,3,,07807
1174,矢,111,1,6,,07937
1175,失,037,1,48,,01957
1176-1177,矣,111,1,86,,07938
1178-1179,知,111,1,64,,07941
1180,研,112,1,3,,07995
1181,石,112,1,6,,07954
1182,碩,112,1,3,,08029
1183,確,112,1,2,,08035
1184,磐,112,1,3,,08047
1185,示,113,1,4,,08097
1186,福,113,1,11,,08148
1187,祭,113,1,4,,08135
1188,祿,113,1,2,,08141
1189,祖,113,1,2,,08117
1190,祀,113,1,3,,08103
1191,禦,113,1,4,,08159
1192,08102,113,1,3,,08102
1193,禽,114,1,9,,08176
1194,稱,115,1,8,,08248
1195,穫,115,1,2,,08285
1196,積,115,1,8,,08269
1197,稚,115,1,2,,08233
1198,窮,116,1,34,,08329
1199,窒,116,1,3,,08315
1200,究,116,1,2,,08293
1201,突,116,1,2,,08303
1202,穴,116,1,4,,08291
1203,08322,116,1,2,,08322
1204,立,117,1,17,,08354
1205,童,117,1,15,,08371
1206,章,117,1,8,,08366
1207,範,118,1,2,,08497
1208,箕,118,1,4,,08468
1209,簡,118,1,7,,08569
1210,節,118,1,27,,08493
1211,筐,118,1,2,,08433
1212,08554,118,1,5,,08554
1213,策,118,1,3,,08438
1214,等,118,1,2,,08426
1215,筮,118,1,5,,08450
1216,笑,118,1,5,,08396
1217,精,119,1,5,,08685
1218,索,120,1,11,,08767
1219,維,120,1,6,,08879
1220,納,120,1,2,,08747
1221,經,120,1,3,,08856
1222,素,120,1,3,,08765
1223,08781,120,1,2,,08781
1224,09015,120,1,2,,09015
1225,繼,120,1,2,,09047
1226,紛,120,1,2,,08760
1227,繁,120,1,2,,08997
1228-1229,終,120,1,101,,08795
1230,結,120,0,,,08807
1231,繩,120,1,2,,09028
1232,繋,120,1,13,,09030
1233,統,120,1,7,,08833
1234,約,120,1,2,,08738
1235,08945,120,1,2,,08945
1236,缶,121,1,3,,09080
1237,罷,122,1,2,,09133
1238,罪,122,1,4,,09125
1239,罔,122,1,4,,09104
1240,罰,122,1,2,,09130
1241,羊,123,1,8,,09150
1242,羣,123,1,8,,09175
1243,羝,123,1,2,,09167
1244,美,123,1,12,,09155
1245,義,123,1,55,,09177
1246,羸,123,1,6,,09192
1247,羞,123,1,3,,09168
1248,翩,124,1,4,,09230
1249,翰,124,1,3,,09236
1250,羽,124,1,2,,09195
1251,考,125,1,5,,09251
1252-1256,者,125,1,272,,09255
1257,老,125,1,5,,09250
1258-1265,而,126,1,442,,09264
1266,耕,127,1,2,,09272
1267,耒,127,1,2,,09270
1268,聲,128,1,2,,09328
1269,聖,128,1,39,,09308
1270,聚,128,1,12,,09314
1271,聞,128,1,2,,09315
1272,聰,128,1,4,,09326
1273,聽,128,1,3,,09335
1274,耳,128,1,10,,09290
1275,育,130,1,5,,09379
1276,脩,130,1,10,,09462
1277,膏,130,1,3,,09535
1278,肥,130,1,2,,09366
1279,09458,130,1,2,,09458
1280,肱,130,1,4,,09378
1281,肉,130,1,2,,09348
1282,臀,130,1,2,,09567
1283,豚,152,1,3,,11269
1284,股,130,1,3,,09364
1285,腹,130,1,4,,09516
1286,能,130,1,49,,09429
1287,臨,131,1,21,,09601
1288,臣,131,1,12,,09596
1289,自,132,1,44,,09602
1290,臭,132,1,2,,09605
1291,至,133,1,48,,09610
1292,致,133,1,26,,09611
1293-1294,與,134,1,62,,09629
1295,擧,134,1,6,,09632
1296,興,134,1,7,,09630
1297,舊,134,1,4,,09633
1298,臼,134,1,2,,09619
1299,舌,135,1,2,,09636
1300,舍,135,1,9,,09638
1301,舜,136,1,2,,09653
1302,舞,136,1,2,,09656
1303,舟,137,1,3,,09657
1304,艱,138,1,9,,09715
1305,艮,138,1,26,,09713
1306,良,138,1,3,,09714
1307,色,139,1,3,,09716
1308,蓋,140,1,16,,10040
1309,藏,140,1,8,,10191
1310,09840,140,1,3,,09840
1311,莫,140,1,28,,09886
1312,萬,140,1,52,,09954
1313,若,140,1,23,,09788
1314,蒙,140,1,30,,10008
1315,苟,140,1,11,,09782
1316,著,140,1,4,,09972
1317,苞,140,1,8,,09781
1318,10089,140,1,3,,10089
1319,薄,140,1,5,,10139
1320,蓍,140,1,3,,10041
1321,萃,140,1,11,,09934
1322,M31622,140,1,3,,
1323,蔀,140,1,5,,10059
1324,藩,140,1,5,,10206
1325,蘇,140,1,4,,10231
1326,藥,140,1,2,,10204
1327,華,140,1,2,,09921
1328,10202,140,1,2,,10202
1329,蔑,140,1,2,,10070
1330,茹,140,1,2,,09836
1331,莽,140,1,2,,09891
1332,荒,140,1,2,,09851
1333,藉,140,1,4,,10187
1334,薫,140,1,2,,10172
1335,茅,140,1,9,,09810
1336,苦,140,1,4,,09789
1337,草,140,1,4,,09846
1338,葛,140,1,2,,09976
1339,葬,140,1,2,,09985
1340,蕃,140,1,4,,10093
1341,薦,140,1,3,,10160
1342,處,141,1,26,,10270
1343,虚,141,1,10,,10272
1344,號,141,1,10,,10276
1345,10284,141,1,5,,10284
1346,膚,130,1,7,,09539
1347,虎,141,1,7,,10264
1348,虧,141,1,2,,10282
1349,虞,141,1,6,,10275
1350,蠱,142,1,17,,10593
1351,血,143,1,11,,10605
1352,衍,144,1,2,,10615
1353-1355,行,144,1,153,,10614
1356,10616,144,1,4,,10616
1357,衢,144,1,2,,10636
1358,衣,145,1,2,,10637
1359,袂,145,1,3,,10662
1360,衰,145,1,3,,10649
1361,裁,145,1,2,,10696
1362,裳,145,1,3,,10724
1363,要,146,1,7,,10822
1364,覆,146,1,3,,10826
1365,西,146,1,13,,10820
1366,覿,147,1,2,,10858
1367-1368,見,147,1,90,,10831
1369,視,147,1,3,,10837
1370,觀,147,1,60,,10859
1372,親,147,1,10,,10848
1373,解,148,1,15,,10875
1374,角,148,1,4,,10860
1375,觸,148,1,5,,10887
1376-1377,言,149,1,84,,10890
1378,謂,149,1,56,,11095
1379,論,149,1,7,,11058
1380,説,149,1,44,,11025
1381,謙,149,1,32,,11117
1382,誰,149,1,4,,11028
1383,語,149,1,8,,11017
1384,諸,149,1,26,,11085
1385,訟,149,1,18,,10919
1386,設,149,1,8,,10928
1387,誨,149,1,2,,11024
1388,誠,149,1,2,,11018
1389,識,149,1,2,,11171
1390,議,149,1,4,,11195
1391,誡,149,1,3,,11019
1392,試,149,1,2,,10975
1393,謹,149,1,2,,11142
1394,譽,149,1,11,,11205
1395,謀,149,1,4,,11092
1396,谷,150,1,4,,11234
1397,豈,151,1,3,,11253
1398,豐,151,1,17,,11261
1399-1407,象,152,1,511,,11275
1408,豕,152,1,4,,11265
1409,豫,152,1,20,,11283
1410-1412,貞,154,1,175,,11329
1413,賁,154,1,12,,11366
1414,賓,154,1,4,,11386
1415,11422,154,1,6,,11422
1416,財,154,1,4,,11334
1417,賢,154,1,12,,11397
1418,負,154,1,6,,11332
1419,資,154,1,7,,11373
1420,貳,154,1,3,,11354
1421,貴,154,1,18,,11355
1422,賤,154,1,8,,11402
1423,赤,155,1,3,,11445
1424,起,156,1,3,,11461
1425,趣,156,1,3,,11485
1426,越,156,1,3,,11471
1427,足,157,1,23,,11495
1428,躁,157,1,4,,11675
1429,躍,157,1,5,,11689
1430,蹄,157,1,4,,11611
1431,趾,157,1,11,,11504
1432,蹇,157,1,19,,11616
1433,身,158,1,16,,11715
1434,躬,158,1,5,,11716
1435,輔,159,1,9,,11801
1436,輹,159,1,3,,11842
1437,車,159,1,6,,11740
1438,載,159,1,8,,11795
1439,輪,159,1,4,,11827
1440,輿,159,1,13,,11846
1441,輻,159,1,2,,11844
1442,辭,160,1,32,,11914
1443,辨,160,1,6,,11908
1444,辯,160,1,13,,11916
1445,辟,160,1,3,,11898
1446,辱,161,1,2,,11918
1447,農,161,1,2,,11919
1448,通,162,1,41,,12000
1449,逆,162,1,5,,11986
1450,遁,162,1,22,,12035
1451,運,162,1,3,,12043
1452,適,162,1,5,,12079
1453,遂,162,1,11,,12037
1454,遺,162,1,6,,12097
1455,違,162,1,14,,12054
1456,退,162,1,16,,11982
1457,近,162,1,16,,11948
1458,過,162,1,46,,12046
1459,遠,162,1,34,,12070
1460,避,162,1,2,,12103
1461-1462,道,162,1,110,,12051
1463,逮,162,1,2,,12019
1464,邇,162,1,6,,12112
1465,遇,162,1,30,,12040
1466,進,162,1,26,,12022
1467,12038,162,1,3,,12038
1468,遲,162,1,2,,12087
1469,造,162,1,2,,12004
1470,逋,162,1,2,,11988
1471,遷,162,1,5,,12093
1472,連,162,1,2,,12010
1473,迷,162,1,4,,11974
1474,速,162,1,3,,12003
1475,逐,162,1,4,,11993
1476,郊,163,1,7,,12160
1477,邦,163,1,7,,12137
1478,邪,163,1,11,,12139
1479,鄰,163,1,9,,12234
1480,邑,163,1,16,,12123
1481,酒,164,1,7,,12266
1482,醜,164,1,5,,12327
1483,配,164,1,6,,12263
1484,里,166,1,4,,12372
1485,野,166,1,6,,12374
1486,重,166,1,10,,12373
1487,錯,167,1,7,,12528
1488,金,167,1,10,,12380
1489,錫,167,1,5,,12526
1490,鉉,167,1,3,,12429
1491,長,168,1,34,,12698
1492,闇,169,1,7,,12768
1493,門,169,1,11,,12709
1494,開,169,1,3,,12716
1495,闢,169,1,3,,12797
1496,闃,169,1,2,,12766
1497,12788,169,1,4,,12788
1498,閉,169,1,2,,12714
1499,閑,169,1,4,,12722
1500,闔,169,1,2,,12782
1501,閏,169,1,2,,12721
1502,間,169,1,2,,12724
1503,限,170,1,2,,12839
1504,陵,170,1,5,,12867
1505,際,170,1,4,,12913
1506,附,170,1,3,,12834
1507,隆,170,1,3,,12886
1508,防,170,1,3,,12822
1509,險,170,1,28,,12929
1510,陰,170,1,52,,12862
1511,陽,170,1,51,,12876
1512,隕,170,1,2,,12899
1513,陸,170,1,3,,12870
1514,隍,170,1,2,,12891
1515,陷,170,1,4,,12869
1516,隱,170,1,7,,12935
1517,階,170,1,3,,12892
1518,隨,170,1,18,,12927
1519,離,172,1,26,,13001
1520,難,172,1,17,,13002
1521,雖,172,1,27,,12991
1522,雜,172,1,9,,12997
1523,雉,172,1,3,,12965
1524,隼,172,1,4,,12951
1525,雷,173,1,25,,13023
1526,震,173,1,33,,13036
1527,雨,173,1,19,,13012
1528,雲,173,1,10,,13020
1529,需,173,1,18,,13028
1530,電,173,1,3,,13026
1531,霜,173,1,3,,13052
1532,靜,174,1,11,,13103
1533,非,175,1,24,,13104
1534,面,176,1,3,,13108
1535,鞏,177,1,2,,13161
1536,革,177,1,24,,13121
1537,音,180,1,4,,13281
1538,13392,181,1,2,,13392
1539,頻,181,1,4,,13359
1540,顯,181,1,6,,13416
1541,順,181,1,53,,13302
1542,類,181,1,19,,13398
1543,顏,181,1,2,,13380
1544,願,181,1,7,,13391
1545,顛,181,1,5,,13395
1546,須,181,1,5,,13304
1547,頤,181,1,18,,13337
1548,頬,181,1,2,,13348
1549,13384,181,1,2,,13384
1550,風,182,1,19,,13423
1551,飛,183,1,12,,13495
1552,食,184,1,27,,13503
1553,飾,184,1,3,,13542
1554,養,184,1,15,,13551
1555,飮,184,1,6,,13526
1556,餘,184,1,2,,13565
1557,13564,184,1,3,,13564
1558,首,185,1,14,,13661
1559,馬,187,1,27,,13680
1560,驚,187,1,3,,13852
1561,體,188,1,24,,13934
1562,高,189,1,13,,13940
1563,鬼,194,1,10,,14061
1564,魚,195,1,10,,14101
1565,鮒,195,1,2,,14148
1566,鮮,195,1,3,,14174
1567,鳥,196,1,8,,14361
1568,鴻,196,1,6,,14446
1569,鳴,196,1,9,,14379
1570,鶴,196,1,2,,14528
1571,麗,198,1,8,,14645
1572,鹿,198,1,2,,14621
1573,黄,201,1,19,,14693
1574,默,203,1,2,,14720
1575,鼎,206,1,17,,14769
1576,鼓,207,1,8,,14775
1577,14796,208,1,2,,14796
1578,鼠,208,1,3,,14790
1579,鼻,209,1,2,,14809
1580,齊,210,1,8,,14828
1581,齎,210,1,2,,14831
1582,龍,212,1,37,,14876
1583,龜,213,1,5,,14887
1584-1585,初,018,2,92,5,00759
1586,升,024,2,16,3,00991
1587,城,032,2,1,1,01740
1588,怨,061,2,1,1,03245
1589,敢,066,2,2,1,04277
1590,既,071,2,13,2,04442
1591,旨,072,2,2,1,04450
1592,會,073,1,7,,04667
1593,服,074,2,5,1,04679
1594,焉,086,2,33,1,06861
1595,祇,113,2,1,1,08107
1596,祐,113,2,6,4,08112
1597,祉,113,2,2,1,08109
1598,祥,113,2,1,1,08130
1599,神,113,2,18,16,08124
1600,禮,113,2,9,3,08165
1601,裕,145,2,5,1,10709
