統合ID,文字,開成周易,字体数,用例数,部首
10164,薪,0280,0,1,140
10349,蛇,0281,0,1,142
10575,蠖,0282,0,1,142
10528,蟄,0283,0,1,142
10555,蟹,0284,0,1,142
10562,蠃,0285,0,1,142
10630,衞,0286,0,1,144
10618,術,0287,0,1,144
10759,褫,0288,0,1,145
10737,褊,0289,0,1,145
10654,衹,0290,0,1,145
10774,襃,0291,0,1,145
10714,補,0292,0,1,145
07870,睹,0293,0,1,109
11076,諮,0294,0,1,149
10984,詳,0295,0,1,149
11119,講,0296,0,1,149
11022,誥,0297,0,1,149
11021,誣,0299,0,1,149
11291,豶,0300,0,1,152
11293,豹,0301,0,1,153
11433,贍,0302,0,1,154
11344,責,0303,0,1,154
11335,貢,0304,0,1,154
11328,貝,0305,0,1,154
11343,貫,0306,0,1,154
11394,賞,0307,0,1,154
11339,貨,0308,0,1,154
11432,贊,0309,0,1,154
11404,質,0310,1,4,154
11447,赦,0311,0,1,155
07557,疏,0312,0,1,103
11686,躋,0313,0,1,157
11678,躅,0314,0,1,157
11644,蹢,0315,0,1,157
11531,跛,0316,1,4,157
11593,踰,0317,0,1,157
11548,路,0318,0,1,157
11832,輮,0319,0,1,159
11802,輕,0320,0,1,159
11744,軌,0321,0,1,159
11856,轉,0322,0,1,159
11979,追,0323,0,1,162
12047,遏,0324,0,1,162
12048,遐,0325,0,1,162
12042,遊,0326,0,1,162
12109,邅,0327,0,1,162
12060,遘,0328,0,1,162
11966,迭,0329,0,1,162
12262,酌,0330,0,1,164
12282,酢,0331,0,1,164
12294,酬,0332,0,1,164
12312,醇,0333,0,1,164
12376,量,0334,0,1,166
12441,鉤,0335,0,1,167
12783,闕,0336,0,1,169
12790,關,0337,0,1,169
12759,閽,0338,0,1,169
12833,陂,0339,0,1,170
12838,降,0340,0,1,170
12855,除,0341,0,1,170
12864,陳,0342,0,1,170
12826,阻,0343,0,1,170
12923,隤,0344,0,1,170
12950,隻,0345,0,1,172
14542,鷄,0346,0,1,196
12995,雚,0347,0,1,172
13092,靈,0348,0,1,173
13035,霆,0349,0,1,173
13107,靡,0350,0,1,175
13204,鞶,0351,0,1,177
13293,響,0352,0,1,180
06921,煩,0353,0,1,086
13296,頂,0354,0,1,181
13298,頄,0355,0,1,181
13520,飪,0356,0,1,184
13541,飽,0357,0,1,184
13635,饋,0358,0,1,184
13691,馵,0359,0,1,187
13839,驅,0360,0,1,187
13682,馮,0361,0,1,187
13845,驕,0362,0,1,187
13689,馴,0363,0,1,187
13959,髮,0364,0,1,190
14036,鬯,0365,0,1,192
14067,魂,0366,0,1,194
14766,鼈,0367,0,1,205
14612,鹵,0368,0,1,197
14709,黑,0369,0,1,203
14717,黔,0370,0,1,203
00001,一,0371,1,63,001
00006,丈,0373,1,4,001
00020,且,0374,1,12,001
00004,七,0375,1,6,001
00013,不,0376,1,482,001
00007,三,0384,1,119,001
00026,丘,0387,1,4,001
00009,下,0388,1,142,001
00008,上,0391,1,190,001
00025,世,0395,1,11,001
00051,中,0396,1,153,002
00070,主,0399,1,27,003
00085,久,0400,1,19,004
00078,乃,0401,1,48,004
00092,乎,0402,1,148,004
00102,乘,0405,1,27,004
00088,之,0406,1,711,004
00100,乖,0417,1,6,004
00121,亂,0418,1,8,005
00107,九,0419,1,218,005
00104,乙,0423,1,3,005
00118,乾,0424,1,62,005
00109,也,0426,1,1052,005
00128,事,0442,1,54,006
00129,二,0443,1,99,007
00135,五,0445,1,94,007
00132,于,0447,1,121,007
00136,井,0450,1,28,007
00133,云,0451,1,7,007
00155,亨,0452,1,106,008
00154,亦,0454,1,26,008
00150,亡,0455,1,39,008
00151,亢,0456,1,8,008
00156,享,0457,1,3,008
00152,交,0458,1,21,008
00167,亹,0459,1,4,008
00168,人,0460,1,208,009
00194,以,0464,1,512,009
00240,但,0472,1,2,009
00287,例,0473,1,2,009
00243,位,0474,1,119,009
00250,何,0476,1,51,009
00176,介,0477,1,8,009
00256,作,0478,1,19,009
00323,係,0479,1,9,009
00317,侵,0480,1,2,009
00455,備,0481,1,6,009
00475,傾,0482,1,3,009
00219,休,0483,1,4,009
00524,儉,0484,1,2,009
00217,伏,0485,1,4,009
00473,傷,0486,1,8,009
00279,使,0487,1,8,009
00313,侯,0488,1,11,009
00414,偕,0489,1,4,009
00405,假,0490,1,8,009
00218,伐,0491,1,9,009
00170,仁,0492,1,10,009
00174,仇,0493,1,2,009
00520,億,0494,1,2,009
00345,信,0495,1,23,009
00493,僕,0496,1,3,009
00349,俯,0497,1,2,009
00199,仰,0498,1,2,009
00489,像,0499,1,2,009
00301,依,0500,1,2,009
00282,來,0501,1,66,009
00175,今,0503,1,2,009
00342,保,0504,1,7,009
00421,健,0505,1,17,009
00516,儀,0506,1,5,009
00498,僞,0507,1,6,009
00232,伸,0508,1,4,009
00206,任,0509,1,4,009
00567,光,0510,1,28,010
00561,兄,0511,1,2,010
00568,克,0512,1,14,010
00559,允,0513,1,4,010
00560,元,0514,1,51,010
00569,兌,0515,1,25,010
00566,先,0516,1,32,010
00570,免,0517,1,4,010
00585,内,0518,1,22,011
00591,兩,0519,1,8,011
00582,入,0520,1,25,011
00589,全,0521,1,4,011
00597,六,0522,1,238,012
00594,八,0526,1,12,012
00613,兼,0527,1,4,012
00596,公,0528,1,14,012
00608,典,0529,1,5,012
00605,其,0530,1,428,012
00629,再,0538,1,6,013
00651,冥,0539,1,3,014
00664,冰,0540,1,5,015
00696,凝,0541,1,2,015
05558,次,0542,1,9,076
00701,凡,0543,1,9,016
00723,出,0544,1,46,017
00718,凶,0545,1,121,017
00805,剝,0548,1,20,018
00794,前,0549,1,7,018
00753,刖,0550,1,2,018
00746,刑,0551,1,5,018
00848,劓,0552,1,3,018
00811,剡,0553,1,2,018
00767,利,0554,1,212,018
00803,剛,0558,1,100,018
00789,則,0560,1,135,018
00776,制,0563,1,13,018
00754,列,0564,1,6,018
00734,分,0565,1,10,018
00894,勞,0566,1,9,019
00913,勸,0567,1,2,019
00890,務,0568,1,3,019
00863,助,0569,1,3,019
00858,加,0570,1,2,019
00887,動,0571,1,72,019
00857,功,0573,1,27,019
00893,勝,0574,1,9,019
00919,勿,0575,1,39,020
00924,包,0576,1,6,020
00938,化,0577,1,29,021
00941,北,0578,1,7,021
00959,匪,0579,1,20,022
00975,匹,0580,1,2,023
01010,南,0581,1,13,024
00985,十,0582,1,14,024
00987,千,0583,1,3,024
00988,廿,0584,1,2,024
00994,半,0585,1,2,024
01003,卑,0586,1,11,024
01016,博,0587,1,3,024
01022,占,0588,1,5,025
01024,卦,0589,1,65,025
01035,危,0591,1,19,026
01049,卽,0592,1,8,026
01079,厥,0593,1,4,027
01068,厚,0594,1,6,027
01095,厲,0595,1,41,027
01074,原,0596,1,6,027
01104,參,0597,1,2,028
01101,去,0598,1,6,028
01127,取,0599,1,28,029
01111,及,0600,1,11,029
01128,受,0601,1,68,029
01112,友,0603,1,3,029
01108,又,0604,1,12,029
01116,反,0605,1,24,029
01185,君,0606,1,151,030
01174,同,0609,1,46,030
01170,合,0610,1,24,030
01451,嗟,0611,1,7,030
01277,咥,0612,1,5,030
01363,商,0613,1,3,030
01288,咸,0614,1,22,030
01296,品,0615,1,6,030
01168,各,0616,1,9,030
01305,哉,0617,1,21,030
01158,右,0618,1,4,030
01172,吉,0619,1,285,030
01265,咎,0624,1,168,030
01175,名,0627,1,10,030
01142,古,0628,1,7,030
01190,否,0629,1,17,030
01252,命,0630,1,34,030
01395,善,0631,1,18,030
01186,吝,0632,1,37,030
01349,唯,0633,1,15,030
01154,可,0634,1,136,030
01523,器,0637,1,12,030
01525,噬,0638,1,14,030
01445,嗑,0639,1,8,030
01412,喜,0640,1,11,030
01197,含,0641,1,7,030
01581,嚴,0642,1,2,030
01278,咨,0643,1,2,030
01468,嘉,0644,1,8,030
01287,咷,0645,1,2,030
01369,問,0646,1,4,030
01595,囊,0647,1,3,030
01494,嘻,0648,1,4,030
01430,喪,0649,1,20,030
01217,吾,0650,1,2,030
01382,啞,0651,1,8,030
01176,后,0652,1,3,030
01437,嗃,0653,1,4,030
01574,嚮,0654,1,2,030
01141,口,0655,1,6,030
01263,和,0656,1,13,030
01479,嘗,0657,1,2,030
01150,召,0658,1,2,030
01219,告,0659,1,12,030
01235,周,0660,1,3,030
01607,四,0661,1,100,031
01623,困,0663,1,29,031
01639,國,0664,1,14,031
01641,圍,0665,1,2,031
01627,固,0666,1,5,031
01611,因,0667,1,3,031
01666,地,0668,1,110,032
01674,均,0670,1,3,032
01755,執,0671,1,6,032
01659,在,0672,1,94,032
01818,塗,0674,1,3,032
01680,坎,0675,1,26,032
01710,垂,0676,1,3,032
01793,堯,0677,1,2,032
01823,塞,0678,1,2,032
01690,坦,0679,1,2,032
01844,墉,0680,1,4,032
01654,土,0681,1,2,032
01767,堅,0682,1,6,032
01689,坤,0683,1,34,032
01903,士,0684,1,3,033
01905,壯,0685,1,27,033
01934,外,0686,1,28,036
01938,多,0687,1,15,036
01939,夜,0688,1,4,036
01932,夕,0689,1,3,036
01936,夙,0690,1,2,036
01961,夷,0691,1,17,037
01949,夫,0692,1,56,037
01946,大,0693,1,234,037
01947,天,0697,1,216,037
01950,夬,0701,1,15,037
01972,奇,0702,1,2,037
01986,奔,0703,1,2,037
02033,妄,0704,1,15,038
02069,始,0705,1,27,038
02022,女,0706,1,38,038
02031,如,0707,1,54,038
02061,妻,0708,1,9,038
02029,好,0709,1,8,038
02059,妹,0710,1,15,038
02089,姤,0711,1,8,038
02062,妾,0712,1,4,038
02077,姓,0713,1,2,038
02124,娣,0714,1,5,038
02194,媾,0715,1,6,038
02149,婚,0716,1,6,038
02155,婦,0717,1,17,038
02262,子,0718,1,191,039
02284,孰,0722,1,6,039
02268,存,0723,1,43,039
02277,孤,0724,1,3,039
02265,孕,0725,1,3,039
02270,孚,0726,1,63,039
02352,容,0728,1,9,040
02325,定,0729,1,18,040
02386,寡,0730,1,8,040
02309,安,0731,1,20,040
02308,守,0732,1,6,040
02383,察,0733,1,6,040
02342,宮,0734,1,7,040
02322,宗,0735,1,9,040
02327,宜,0736,1,16,040
02349,家,0737,1,29,040
02371,寒,0738,1,7,040
02304,它,0739,1,5,040
02346,害,0740,1,13,040
02392,寧,0741,1,6,040
02323,官,0742,1,2,040
02406,寵,0743,1,3,040
02361,密,0744,1,9,040
02331,客,0745,1,3,040
02332,室,0746,1,4,040
02347,宴,0747,1,2,040
02267,字,0748,1,3,039
02366,富,0749,1,11,040
02363,寇,0750,1,13,040
02390,實,0751,1,13,040
02306,宅,0752,1,2,040
02435,對,0753,1,3,041
02429,尊,0754,1,10,041
02430,尋,0755,1,4,041
02422,射,0756,1,8,041
02425,將,0757,1,5,041
02439,小,0758,1,94,042
02446,尚,0760,1,28,042
02440,少,0761,1,6,042
02456,尤,0762,1,7,043
02464,就,0763,1,3,043
02482,居,0764,1,35,044
02508,履,0765,1,34,044
02485,屈,0766,1,7,044
02511,屨,0767,1,3,044
02469,尸,0768,1,4,044
02488,屋,0769,1,2,044
02478,尾,0770,1,11,044
08929,緩,0771,1,3,120
02518,屯,0772,1,12,045
02528,山,0773,1,23,046
02607,崇,0774,1,6,046
02540,岐,0775,1,2,046
02762,川,0776,1,21,047
02774,左,0777,1,7,048
02779,巫,0778,1,2,048
02775,巧,0779,1,2,048
02783,已,0780,1,18,049
