,,kar_開成論語,kar_開成論語,kar_開成論語,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
03391,愈,0139,0,1,061
03550,應,0140,0,1,061
03439,慈,0141,0,1,061
03229,怒,0142,0,1,061
03602,戈,0143,0,1,062
03632,戮,0144,0,1,062
03607,戎,0145,0,1,062
03636,戲,0146,0,1,062
03645,戾,0147,0,1,063
03686,扶,0148,0,1,064
03780,持,0149,0,1,064
03874,探,0150,0,1,064
04126,擯,0151,0,1,064
04142,擾,0152,0,1,064
04183,攘,0153,0,1,064
03711,折,0154,0,1,064
03919,揭,0155,0,1,064
03751,拕,0156,0,1,064
04070,撰,0157,0,1,064
04106,據,0158,0,1,064
04061,撤,0159,0,1,064
03858,掌,0160,0,1,064
03878,接,0161,0,1,064
04309,斂,0162,0,1,066
04258,敘,0163,0,1,066
04331,斐,0164,0,1,067
04402,旅,0165,0,1,070
04484,昌,0166,0,1,072
04530,晉,0167,0,1,072
04450,旨,0168,0,1,072
04499,星,0169,0,1,072
04510,昭,0170,0,1,072
04478,昆,0171,0,1,072
04577,暇,0172,0,1,072
04554,晨,0173,0,1,072
04587,暑,0174,0,1,072
04651,曲,0175,0,1,073
04620,曆,0176,0,1,072
04659,曹,0177,0,1,073
04686,朔,0178,0,1,074
04654,更,0179,0,1,073
04688,朕,0180,0,1,074
09544,膠,0181,0,1,130
04794,析,0182,0,1,075
04884,柴,0183,0,1,075
04849,柔,0184,0,1,075
04924,格,0185,0,1,075
04967,梁,0186,0,1,075
05063,棺,0187,0,1,075
05042,棣,0188,0,1,075
05210,榮,0189,0,1,075
04801,枕,0190,0,1,075
04750,束,0191,0,1,075
04959,桴,0192,0,1,075
04738,材,0193,0,1,075
04803,林,0194,0,1,075
04749,杞,0195,0,1,075
05004,梲,0196,0,1,075
04730,杇,0197,0,1,075
04725,朽,0198,0,1,075
05080,植,0199,0,1,075
04852,柙,0200,0,1,075
05777,殯,0201,0,1,078
05734,殖,0202,0,1,078
05737,殘,0203,0,1,078
05809,殿,0204,0,1,079
06651,濫,0205,0,1,085
06681,瀆,0206,0,1,085
06292,淺,0207,0,1,085
05999,汶,0208,0,1,085
06641,濟,0209,0,1,085
06034,沛,0210,0,1,085
06189,涅,0211,0,1,085
06008,沂,0212,0,1,085
06748,灌,0213,0,1,085
05957,永,0214,0,1,085
05971,汎,0215,0,1,085
06448,滕,0216,0,1,085
06029,沖,0217,0,1,085
06481,漆,0218,0,1,085
06118,洒,0219,0,1,085
06088,泥,0220,0,1,085
06404,溝,0221,0,1,085
06020,沐,0222,0,1,085
06981,燕,0223,0,1,086
06776,火,0224,0,1,086
06916,煥,0225,0,1,086
06867,焚,0226,0,1,086
06989,燧,0227,0,1,086
07048,片,0228,0,1,091
07051,版,0229,0,1,091
07063,牖,0230,0,1,091
07080,物,0231,0,1,093
07074,牟,0232,0,1,093
07091,犂,0233,0,1,093
07212,獄,0234,0,1,094
07250,獻,0235,0,1,094
07127,狄,0236,0,1,094
07248,獸,0237,1,2,094
07259,率,0238,0,1,095
07258,玆,0239,0,1,095
07312,琢,0240,0,1,096
07370,璉,0241,0,1,096
07306,琅,0242,0,1,096
07343,瑚,0243,0,1,096
07411,瓢,0244,0,1,097
07456,甘,0245,0,1,099
07514,畝,0246,0,1,102
07525,畫,0247,0,1,102
07513,畜,0248,0,1,102
07565,疚,0249,0,1,104
07721,皋,0250,0,1,106
07718,皇,0251,0,1,106
07739,皮,0253,0,1,107
07781,監,0254,0,1,108
07786,盪,0255,0,1,108
07804,盻,0256,0,1,109
09133,罷,0257,0,1,122
07944,矩,0258,0,1,111
08065,磷,0259,0,1,112
07954,石,0261,0,1,112
08107,祇,0262,0,1,113
08097,示,0263,0,1,113
08159,禦,0264,0,1,113
08176,禽,0265,0,1,114
08204,秦,0266,0,1,115
08256,稻,0267,0,1,115
08212,移,0268,0,1,115
08185,秉,0269,0,1,115
08192,科,0270,0,1,115
08303,突,0271,0,1,116
08353,竊,0272,0,1,116
08352,竈,0273,0,1,116
08328,窬,0274,0,1,116
08315,窒,0275,0,1,116
08300,穿,0276,0,1,116
08376,端,0277,0,1,117
08469,算,0278,0,1,118
