,,kar_開成論語,kar_開成論語,kar_開成論語,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
06422,溺,1031,1,3,085
06553,潤,1032,1,3,085
06499,漢,1033,1,3,085
06045,河,1034,1,3,085
06023,沒,1035,1,6,085
06074,法,1036,1,2,085
06290,清,1037,1,2,085
06203,涖,1038,1,2,085
06128,津,1039,1,2,085
06447,滔,1040,1,2,085
06041,沮,1041,1,2,085
06179,浴,1042,1,2,085
06183,浸,1043,1,2,085
06277,淫,1044,1,2,085
06381,湯,1045,1,2,085
06175,浮,1046,0,1,085
12266,酒,1047,1,5,164
06885,然,1048,1,33,086
06861,焉,1049,1,82,086
06831,烈,1051,1,2,086
06872,無,1052,1,113,086
07032,爲,1054,1,170,087
07028,爭,1058,1,3,087
07035,父,1059,1,27,088
07043,爾,1060,1,24,089
07047,牆,1061,1,6,090
07072,牛,1062,1,7,093
07134,狎,1063,1,2,094
07135,狐,1064,1,3,094
07241,獲,1065,1,2,094
07180,猛,1066,1,3,094
07112,犯,1067,1,4,094
07230,獨,1068,1,3,094
07110,犬,1069,1,2,094
07203,猶,1070,1,18,094
07125,狂,1071,1,8,094
07160,狷,1072,1,2,094
07256,玄,1073,1,3,095
07261,玉,1074,1,4,096
07262,王,1075,1,11,096
07347,瑟,1076,1,4,096
07403,瓜,1077,1,2,097
07457,甚,1078,1,4,099
07461,生,1079,1,20,100
07464,産,1080,1,3,100
07469,用,1081,1,20,101
07530,異,1082,1,10,102
07479,由,1083,1,30,102
07507,畔,1084,1,4,102
07481,申,1085,1,3,102
07503,畏,1086,1,9,102
07535,當,1087,1,2,102
07557,疏,1088,1,4,103
07591,疾,1089,1,17,104
07598,病,1090,1,7,104
07707,發,1091,1,2,105
07709,白,1092,1,2,106
07717,皆,1093,1,16,106
07726,皙,1094,1,2,106
07710,百,1095,1,14,106
07758,盈,1096,1,2,108
07771,盜,1097,1,2,108
07759,益,1098,1,11,108
07779,盡,1099,1,6,108
07762,盍,1100,1,2,108
07770,盛,1101,1,2,108
07861,睢,1102,1,2,109
07801,相,1103,1,10,109
07844,眾,1104,1,12,109
07790,目,1105,1,2,109
07907,瞻,1106,1,2,109
07909,瞽,1107,1,3,109
07807,省,1108,1,3,109
07799,直,1109,1,19,109
00890,務,1110,1,2,019
01957,失,1111,1,15,037
07948,短,1112,1,3,111
07937,矢,1113,1,3,111
07938,矣,1114,1,161,111
07941,知,1117,1,92,111
08058,磬,1119,1,3,112
08057,磨,1120,1,2,112
07997,硜,1121,1,2,112
08135,祭,1122,1,13,113
08124,神,1123,1,7,113
08141,祿,1124,1,6,113
08101,社,1125,1,3,113
08123,祝,1126,1,2,113
08152,禘,1127,1,2,113
08165,禮,1128,1,61,113
08167,禱,1130,1,4,113
08172,禹,1131,1,4,114
08179,秀,1132,1,2,115
08180,私,1133,1,2,115
08261,穀,1134,1,6,115
08252,稷,1135,1,3,115
08248,稱,1136,1,8,115
08257,稼,1137,1,3,115
08296,空,1138,1,4,116
08329,窮,1139,1,4,116
08371,童,1140,1,3,117
08354,立,1141,1,22,117
08375,竭,1142,1,3,117
08366,章,1143,1,6,117
08361,竝,1144,1,2,117
08396,笑,1145,1,5,118
08426,等,1146,1,2,118
08493,節,1147,1,5,118
08477,管,1148,1,13,118
08522,篤,1149,1,3,118
08569,簡,1150,1,8,118
08571,簣,1151,1,2,118
08500,篇,1152,1,4,118
08664,粟,1153,1,4,119
09047,繼,1154,1,3,120
08795,終,1155,1,10,120
08738,約,1156,1,6,120
08809,絶,1157,1,4,120
08814,絜,1158,1,3,120
08765,素,1159,1,3,120
08773,紫,1160,1,2,120
08905,緇,1161,1,2,120
08734,糾,1162,1,2,120
08897,綽,1163,1,2,120
08783,紳,1164,1,2,120
08753,純,1165,1,2,120
09042,繹,1166,1,2,120
08982,縱,1167,1,2,120
08854,綏,1168,1,2,120
09130,罰,1169,1,2,122
09125,罪,1170,1,5,122
09175,羣,1171,1,5,123
09177,義,1172,1,21,123
09155,美,1173,1,14,123
09158,羔,1174,1,3,123
09150,羊,1175,1,4,123
09245,翼,1176,1,2,124
09214,習,1177,1,3,124
09255,者,1178,1,198,125
09250,老,1182,1,8,125
09264,而,1183,1,298,126
09272,耕,1189,1,2,127
09328,聲,1190,1,4,128
09290,耳,1191,1,4,128
09308,聖,1192,1,8,128
09315,聞,1193,1,50,128
09335,聽,1194,1,8,128
09345,肆,1195,1,3,129
09429,能,1196,1,64,130
09462,脩,1198,1,8,130
09348,肉,1199,1,6,130
09539,膚,1200,1,3,130
09383,肸,1201,1,2,130
09600,臧,1202,1,6,131
09596,臣,1203,1,26,131
09601,臨,1204,1,5,131
09602,自,1205,1,17,132
09611,致,1206,1,7,133
09610,至,1207,1,17,133
09621,臾,1208,1,4,134
09632,擧,1209,1,12,134
09629,與,1210,1,120,134
09630,興,1213,1,7,134
09633,舊,1214,1,6,134
09638,舍,1215,1,6,135
09656,舞,1216,1,4,136
09653,舜,1217,1,7,136
09716,色,1218,1,24,139
09782,苟,1219,1,8,140
09869,莊,1220,1,6,140
09846,草,1221,1,5,140
09886,莫,1222,1,18,140
09860,荷,1223,1,2,140
09921,華,1224,1,5,140
09966,葉,1225,1,3,140
09985,葬,1226,1,4,140
10040,蓋,1227,1,5,140
10080,蔡,1228,1,3,140
10088,蔽,1229,1,9,140
10128,蕭,1230,1,2,140
10191,藏,1231,1,2,140
10201,藝,1232,1,4,140
10246,蘧,1233,1,2,140
10123,蕩,1234,1,6,140
10139,薄,1235,1,2,140
09954,萬,1236,1,2,140
09788,若,1237,1,14,140
10275,虞,1238,1,3,141
10272,虛,1239,1,2,141
10270,處,1240,1,6,141
10264,虎,1241,1,2,141
10605,血,1242,1,3,143
10630,衞,1243,1,10,144
10614,行,1244,1,74,144
10724,裳,1246,1,2,145
10770,褻,1247,1,3,145
10637,衣,1248,1,15,145
10710,裘,1249,1,7,145
10649,衰,1250,1,5,145
10820,西,1251,1,4,146
10826,覆,1252,1,2,146
10831,見,1253,1,58,147
10837,視,1254,1,6,147
10848,親,1255,1,8,147
10859,觀,1256,1,11,147
10875,解,1257,1,2,148
10868,觚,1258,1,4,148
11160,譎,1259,1,2,149
11056,諒,1260,1,2,149
10902,討,1261,1,2,149
10921,訥,1262,1,2,149
11195,議,1263,1,2,149
10979,詩,1264,1,13,149
11058,論,1265,1,11,149
11037,誾,1266,1,2,149
11119,講,1267,1,2,149
10909,訓,1268,1,2,149
11074,諫,1269,1,5,149
11041,諂,1270,1,3,149
11189,譬,1271,1,6,149
11169,譖,1272,1,2,149
11142,謹,1273,1,2,149
11024,誨,1274,1,4,149
11222,讓,1275,1,5,149
10957,詐,1276,1,3,149
11090,諾,1277,1,3,149
11049,請,1278,1,12,149
10919,訟,1279,1,3,149
11085,諸,1280,1,40,149
11095,謂,1281,1,67,149
10975,試,1283,1,2,149
11171,識,1284,1,6,149
11028,誰,1285,1,9,149
11092,謀,1286,1,8,149
10890,言,1287,1,116,149
11017,語,1289,1,17,149
11025,虔,1290,1,23,149
10907,訒,1291,1,3,149
11205,譽,1292,0,1,149
11250,豆,1293,1,2,151
11253,豈,1294,1,7,151
11308,貉,1295,1,2,153
11311,貌,1296,1,3,153
11404,質,1297,1,8,154
11339,貨,1298,1,2,154
11377,賊,1299,1,3,154
11402,賤,1300,1,4,154
11374,賈,1301,1,5,154
11397,賢,1302,1,24,154
11393,賜,1303,1,14,154
11338,貧,1304,1,8,154
11335,貢,1305,1,39,154
11355,貴,1306,1,9,154
11332,負,1307,1,2,154
11386,賓,1308,1,3,154
11359,費,1309,1,5,154
11343,貫,1310,1,2,154
11447,赦,1311,1,2,155
11445,赤,1312,1,5,155
11490,趨,1313,1,3,156
11573,踖,1314,1,2,157
11712,躩,1315,1,2,157
11495,足,1316,1,29,157
11548,路,1317,1,51,157
11637,蹜,1318,1,2,157
11591,踧,1319,1,2,157
11593,踰,1320,1,3,157
11715,身,1321,1,16,158
11716,躬,1322,1,10,158
11745,軍,1323,1,6,159
11802,輕,1324,1,2,159
11740,車,1325,1,8,159
11846,輿,1326,1,2,159
11898,辟,1327,1,10,160
11908,辨,1328,1,2,160
11914,辭,1329,1,6,160
11918,辱,1330,1,5,161
11919,農,1331,1,2,161
12010,連,1332,1,2,162
11982,退,1333,1,9,162
12093,遷,1334,1,2,162
12027,逸,1335,1,4,162
12052,達,1336,1,15,162
11948,近,1337,1,12,162
12051,道,1338,1,84,162
12070,遠,1340,1,24,162
12046,過,1341,1,28,162
12042,遊,1342,1,5,162
12087,遲,1343,1,7,162
12054,違,1344,1,12,162
12095,選,1345,1,2,162
12003,速,1346,1,3,162
12037,遂,1347,1,2,162
11987y2,适,1348,1,3,162
11968,述,1349,1,2,162
12022,進,1350,1,11,162
12079,適,1351,1,9,162
12040,遇,1352,1,2,162
12001,逝,1353,1,2,162
12137,邦,1354,1,39,163
12139,邪,1355,1,2,163
12229,鄭,1356,1,5,163
12205,鄕,1357,1,10,163
12212,鄙,1358,1,5,163
12153,郁,1359,1,2,163
12123,邑,1360,1,4,163
12234,鄰,1361,1,3,163
12372,里,1362,1,5,166
12373,重,1363,1,4,166
12376,量,1364,1,3,166
12374,野,1365,1,3,166
12692,鑽,1366,1,2,167
12528,錯,1367,1,3,167
12698,長,1368,1,8,168
12709,門,1369,1,21,169
12783,闕,1370,1,3,169
12724,間,1371,1,8,169
12725,閔,1372,1,5,169
12790,關,1373,1,3,169
12892,階,1374,1,5,170
12836,陋,1375,1,3,170
12935,隱,1376,1,8,170
12838,降,1377,1,3,170
12864,陳,1378,1,12,170
12876,陽,1379,1,3,170
12991,雖,1380,1,28,172
13002,難,1381,1,18,172
12972,雍,1382,1,3,172
12963,集,1383,1,2,172
12962,雅,1384,1,4,172
14542,鷄,1385,1,2,196
13092,靈,1386,1,2,173
13013,雩,1387,1,2,173
13104,非,1388,1,27,175
13207,鞹,1389,1,2,177
13179,鞠,1390,1,3,177
13286,韶,1391,1,3,180
13409,顧,1392,1,2,181
13391,願,1393,1,3,181
13395,顚,1394,1,2,181
13380,顏,1395,1,20,181
13302,順,1396,1,4,181
13385,顓,1397,1,4,181
13423,風,1398,1,2,182
13558,餒,1399,1,2,184
13551,養,1400,1,4,184
13542,飾,1401,1,2,184
13565,餘,1402,1,4,184
13527,飯,1403,1,6,184
13635,饋,1404,1,2,184
13503,食,1405,1,41,184
13640,饑,1406,1,2,184
13636,饌,1407,1,2,184
13541,飽,1408,1,3,184
13526,飮,1409,1,5,184
13661,首,1410,1,2,185
13680,馬,1411,1,16,187
13845,驕,1412,1,8,187
13813,騫,1413,1,4,187
13733,駟,1414,1,2,187
13940,高,1415,1,4,189
14061,鬼,1416,1,5,194
14197,鯉,1417,1,2,195
14116,魯,1418,1,18,195
14174,鮮,1419,1,4,195
14106,𩵔,1420,1,2,195
14101,魚,1421,1,4,195
14361,鳥,1422,1,4,196
14378,鳳,1423,1,3,196
14725,點,1424,0,1,203
14730,黨,1425,1,10,203
14722,黜,1426,1,2,203
14775,鼓,1427,1,4,207
14828,齊,1428,1,28,210
02293,學,1429a,2,50,039
02293b,學,1429b,2,1,039
07559,疑,1430a,2,2,103
07559b,疑,1430b,2,1,103
07930,矜,1431a,2,4,110
07930b,矜,1431b,2,1,110
11018,誠,1432a,2,1,149
11018b,誠,1432b,2,1,149
11023,誦,1433a,2,1,149
11023b,誦,1433b,2,1,149
13108,面,1434,1,2,176
