カード番号,文字,用例数1,用例数2,用例数3,字体数,部首番号,大字典番号
0532,息,4,,,1,061,03298
0533,恩,4,,,1,061,03292
0534,心,48,,,1,061,03179
0535,志,6,,,1,061,03194
0536,慧,22,,,1,061,03462
0537,悉,25,,,1,061,03312
0538,慈,6,5,,2,061,03439
0539,戒,7,,,1,062,03612
0540,成,31,,,1,062,03610
0541,或,13,,,1,062,03617
0542,我,16,,,1,062,03611
0543-0544,所,83,,,1,063,03647
0545,手,7,,,1,064,03659
0546,才,4,,,1,064,03661
0547,撰,2,,,1,064,04070
0548,03927,2,,,1,064,03927
0549,攝,2,,,1,064,04192
0550,披,2,,,1,064,03715
0551,指,3,,,1,064,03783
0552,捨,7,,,1,064,03835
0553,摸,2,,,1,064,04021
0554,持,17,,,1,064,03780
0555,擇,4,,,1,064,04085
0556,投,2,,,1,064,03708
0557,授,2,,,1,064,03855
0558,提,3,,,1,064,03896
0559,故,23,,,1,066,04243
0560,變,3,,,1,066,04319
0561,數,16,,,1,066,04298
0562,救,7,,,1,066,04263
0563,教,8,,,1,066,04261
0564,放,2,,,1,066,04233
0565,政,2,,,1,066,04235
0566,敬,7,,,1,066,04286
0567,敷,2,,,1,066,04296
0568,文,2,,,1,067,04321
0569,斯,34,,,1,069,04373
0570,斷,7,,,1,069,04381
0571,方,20,,,1,070,04385
0572,旋,6,,,1,070,04406
0573,族,2,,,1,070,04412
0574,施,13,,,1,070,04391
0575,於,38,,,1,070,04389
0576,日,5,,,1,072,04446
0577,暢,4,,,1,072,04600
0578,普,9,,,1,072,04557
0579,昧,44,,,1,072,04505
0580,明,15,,,1,072,04485
0581,星,2,,,1,072,04499
0582,曜,2,,,1,072,04636
0583,智,10,,,1,072,04569
0584,晝,2,,,1,072,04542
0585-0587,是,117,,,1,072,04512
0588,時,50,,,1,072,04523
0589,曉,4,,,1,072,04623
0590,曰,30,,,1,073,04650
0591,會,11,,,1,073,04667
0592,曾,8,,,1,073,04661
0593,書,4,,,1,073,04657
0594,最,8,,,1,073,04664
0595,月,5,,,1,074,04673
0596-0601,有,256,,,1,074,04674
0602,服,3,,,1,074,04679
0603-0607,極,221,,,1,075,05161
0608,本,16,,,1,075,04713
0609,樂,23,,,1,075,05279
0610,根,8,,,1,075,04922
0611,權,6,,,1,075,05529
0612,果,2,,,1,075,04806
0613,梵,2,,,1,075,05010
0614,柔,2,,,1,075,04849
0615,棄,6,,,1,075,05014
0616,樹,3,,,1,075,05323
0617,業,18,,,1,075,05152
0618,末,6,,,1,075,04712
0619,未,7,,,1,075,04711
0620,歎,5,,,1,076,05612
0621,欲,23,,,1,076,05580
0622,歸,7,,,1,077,05676
0623,歳,3,,,1,077,05666
0624,止,5,,,1,077,05641
0625,此,11,,,1,077,05644
0626,歩,2,,,1,077,05645
0627,正,33,,,1,077,05643
0628,殊,5,,,1,078,05717
0629,死,14,,,1,078,05686
0630,比,7,,,1,081,05841
0631-0632,法,66,,,1,085,06074
0633,漏,3,,,1,085,06487
0634,滿,5,,,1,085,06476
0635,淨,21,,,1,085,06272
0636,滅,4,,,1,085,06432
0637,沒,2,,,1,085,06023
0638,漸,3,,,1,085,06517
0639,深,3,,,1,085,06285
0640,海,4,,,1,085,06182
0641,渇,2,,,1,085,06338
0642,清,6,,,1,085,06290
0643,水,4,,,1,085,05952
0644,沙,11,,,1,085,06031
0645,求,10,,,1,085,05964
0646,消,9,,,1,085,06192
0647,流,5,,,1,085,06151
0648,濁,2,,,1,085,06617
0649,溺,2,,,1,085,06422
0650,決,4,,,1,085,06003
0651,江,6,,,1,085,05985
0652,濟,7,,,1,085,06641
0653,注,3,,,1,085,06091
0654,淑,2,,,1,085,06246
0655-0662,無,357,,,1,086,06872
0663,然,21,,,1,086,06885
0664,熱,4,,,1,086,06957
0665,燕,3,,,1,086,06981
0666,照,3,,,1,086,06918
0667,爲,49,,,1,087,07032
0668,爾,9,,,1,089,07043
0669,特,3,,,1,093,07086
0670,物,4,,,1,093,07080
0671,牽,2,,,1,093,07087
0672,狐,2,,,1,094,07135
0673,獲,2,,,1,094,07241
0674,犯,2,,,1,094,07112
0675,獨,6,,,1,094,07230
0676,獄,5,,,1,094,07212
0677,猛,3,,,1,094,07180
0678,玄,4,,,1,095,07256
0679,理,3,,,1,096,07307
0680,班,4,,,1,096,07298
0681,現,11,,,1,096,07304
0682,珍,4,,,1,096,07287
0683,王,38,,,1,096,07262
0684,07315,2,,,1,096,07315
0685,甘,2,,,1,099,07456
0686,甚,10,,,1,099,07457
0687-0688,生,62,,,1,100,07461
0689,用,13,,,1,101,07469
0690,畏,11,,,1,102,07503
0691,由,2,,,1,102,07479
0692,異,9,,,1,102,07530
0693,界,21,,,1,102,07501
0694,畜,2,,,1,102,07513
0695,療,3,,,1,104,07668
0696,病,8,,,1,104,07598
0697,疾,6,,,1,104,07591
0698,癡,4,,,1,104,07685
0699,發,19,,,1,105,07707
0700,皆,30,,,1,106,07717
0701,百,20,,,1,106,07710
0702,白,7,,,1,106,07709
0703,盡,11,,,1,108,07779
0704,益,2,,,1,108,07759
0705,眼,10,,,1,109,07843
0706-0707,衆,86,,,1,109,07844
0708,眞,23,,,1,109,07827
0709,睹,3,,,1,109,07870
0710,睡,2,,,1,109,07860
0711,相,4,,,1,109,07801
0712,眠,2,,,1,109,07828
0713,目,8,,,1,109,07790
0714,眷,7,,,1,109,07839
0715,知,17,,,1,111,07941
0716,礙,5,,,1,112,08077
0717,示,5,,,1,113,08097
0718,神,10,,,1,113,08124
0719,福,11,,,1,113,08148
0720,禁,2,,,1,113,08143
0721,禪,4,,,1,113,08162
0722,稍,2,,,1,115,08224
0723,穢,2,,,1,115,08279
0724,稱,4,,,1,115,08248
0725,種,8,,,1,115,08244
0726,積,4,,,1,115,08269
0727,窮,6,,,1,116,08329
0728,空,9,,,1,116,08296
0729,立,13,,,1,117,08354
0730,竟,8,,,1,117,08365
0731,竹,2,,,1,118,08382
0732,第,5,,,1,118,08412
0733,等,28,,,1,118,08426
0734,精,8,,,1,119,08685
0735,累,3,,,1,120,08778
0736,網,2,,,1,120,08885
0737,繋,2,,,1,120,09030
0738,總,6,,,1,120,08993
0739,終,8,,,1,120,08795
0740,經,21,,,1,120,08856
0741,給,2,,,1,120,08822
0742,結,3,,,1,120,08807
0743,縁,4,,,1,120,08924
0744,純,2,,,1,120,08753
0745,維,5,,,1,120,08879
0746,羅,3,,,1,122,09144
0747,罪,6,,,1,122,09125
0748,義,6,,,1,123,09177
0749,習,6,,,1,124,09214
0750,老,3,,,1,125,09250
0751,者,30,,,1,125,09255
0752,而,26,,,1,126,09264
0753,耳,3,,,1,128,09290
0754,聖,12,,,1,128,09308
0755,耶,7,,,1,128,09292
0756,聽,9,1,,2,128,09335
0757,聞,42,,,1,128,09315
0758,聲,3,,,1,128,09328
0759,能,17,,,1,130,09429
0760,脩,8,,,1,130,09462
0761,脱,9,,,1,130,09463
0762,臨,2,1,,2,131,09601
0763,自,38,,,1,132,09602
0764,致,5,,,1,133,09611
0765,至,28,,,1,133,09610
