,,kgk_賢劫経二,kgk_賢劫経二,kgk_賢劫経二,
統合ID,見出し文字,代表字形ID,字体数,代表字形ID,部首
00857,功,0366,1,7,019
00910,勳,0367,1,3,019
00898,勢,0368,1,2,019
00919,勿,0369,1,4,020
00938,化,0370,1,22,021
00985,十,0371,1,39,024
00987,千,0372,1,34,024
01010,南,0373,1,2,024
01034,印,0374,1,5,026
01049,卽,0375,1,3,026
01035,危,0376,1,2,026
01088,厭,0377,1,5,027
01058,厄,0378,1,7,027
01101,去,0379,1,8,028
01109,叉,0380,1,4,029
01127,取,0381,1,5,029
01128,受,0382,1,20,029
01116,反,0383,1,2,029
01111,及,0384,1,14,029
01141,口,0385,1,3,030
01451,嗟,0386,1,3,030
01174,同,0387,1,4,030
01295,哀,0388,1,6,030
01219,告,0389,1,3,030
01412,喜,0390,1,29,030
01581,嚴,0391,1,7,030
01263,和,0392,1,7,030
01235,周,0393,1,6,030
01215,吼,0394,1,2,030
10276,號,0395,1,5,141
01179,向,0396,1,2,030
01175,名,0397,1,18,030
01278,咨,0398,1,8,030
01154,可,0399,1,16,030
01296,品,0400,1,5,030
01252,命,0401,1,15,030
01170,合,0402,1,6,030
01217,吾,0403,1,4,030
01395,善,0404,1,13,030
01305,哉,0405,1,4,030
01158,右,0406,1,4,030
01242,味,0407,1,4,030
01421,喩,0408,1,4,030
01143,句,0409,1,5,030
01574,嚮,0410,1,5,030
01168,各,0411,1,23,030
01369,問,0412,1,4,030
01288,咸,0413,1,9,030
01349,唯,0414a,2,3,030
01349b,唯,0414b,2,1,030
01607,四,0415,1,59,031
01639,國,0417,1,9,031
01611,因,0418,1,9,031
01654,土,0419,1,6,032
01666,地,0420,1,8,032
01796,報,0421,1,8,032
01895,壞,0422,1,2,032
01726,垢,0423,1,3,032
M06209,姟,0424,1,6,038
01682,坐,0425,1,13,032
01863,墮,0426,1,3,032
01818,塗,0427,1,4,032
01659,在,0428,1,37,032
01831,塵,0429,1,3,032
01767,堅,0430,1,2,032
01740,城,0431,1,4,032
01903,士,0432,1,2,033
01913,壽,0433,1,5,033
01943,夢,0434,1,2,036
01938,多,0435,1,9,036
01934,外,0436,1,5,036
01939,夜,0437,1,4,036
01946,大,0438,1,28,037
01948,太,0439,1,8,037
01947,天,0440,1,36,037
01957,失,0441,1,2,037
01981,奏,0442,1,2,037
01974,奉,0443,1,16,037
02188,媱,0444,1,2,038
02118,娛,0445,1,4,038
02069,始,0446,1,3,038
02105,威,0447,1,4,038
02029,好,0448,1,5,038
02045,妙,0449,1,6,038
02031,如,0450,1,72,038
02262,子,0452,1,21,039
02293,學,0453,1,13,039
02268,存,0454,1,5,039
02390,實,0455,1,3,040
02407,寶,0456,1,10,040
02383,察,0457a,2,3,040
02383b,察,0457b,2,1,040
02309,安,0458,1,19,040
02333,宣,0459,1,11,040
02325,定,0460,1,24,040
02355,宿,0461,1,9,040
02346,害,0462,1,4,040
02371,寒,0463a,2,2,040
02371b,寒,0463b,2,1,040
02349,家,0464,1,11,040
02357,寂,0465,1,10,040
02436,導,0466,1,3,041
02429,尊,0467,1,21,041
02422,射,0468,1,2,041
02425,將,0469,1,8,041
02440,少,0470,1,2,042
02464,就,0471,1,7,043
02515,屬,0472,1,8,044
02496,展,0473,1,2,044
02482,居,0474,1,4,044
02774,左,0475,1,3,048
02783,已,0476,1,26,049
02882,幢,0477,1,3,050
02800,布,0478,1,7,050
02819,帛,0479,1,2,050
02847,常,0480,1,20,050
02835,師,0481,1,19,050
02820,帝,0482,1,2,050
02897,干,0483,1,2,051
02899,平,0484,1,3,051
02902,并,0485,1,2,051
02944,度,0486,1,225,053
02993,廣,0491,1,2,053
03006,建,0492,1,4,054
03008,廻,0493,1,2,054
03046,弗,0494,1,6,057
03047,弘,0495,1,2,057
03084,彌,0496,1,5,057
03145,得,0497,1,44,060
03172,德,0498,1,17,060
03173,徹,0499,1,2,060
03159,復,0500,1,17,060
03128,往,0501,1,9,060
03151,從,0502,1,28,060
03544,懃,0503,1,10,061
03240,怠,0504,1,5,061
03402,愍,0505,1,10,061
03362,惚,0506,1,3,061
03309,悦,0507,1,7,061
03367,惡,0508,1,5,061
03335,悲,0509,1,5,061
03404,愚,0510,1,5,061
03395,意,0511,1,30,061
03229,怒,0512,1,2,061
03272,恐,0513,1,3,061
03297,恭,0514,1,2,061
03293,恪,0515,1,2,061
03595,戀,0516,1,2,061
03291,恨,0517,1,2,061
03196,忘,0518,1,2,061
03306,悁,0519,1,4,061
03387,愁,0520,1,6,061
03585,懷,0521,1,7,061
03497,憎,0522,1,2,061
03245,怨,0523,1,3,061
03329,患,0524,1,7,061
03550,應,0525,1,4,061
03450,慕,0526,1,4,061
03239,思,0527,1,4,061
03219,忽,0528,1,3,061
03184,忍,0529,1,12,061
03405,愛,0530,1,4,061
03486,憂,0531,1,4,061
03298,息,0532,1,4,061
03292,恩,0533,1,4,061
03179,心,0534,1,48,061
03194,志,0535,1,6,061
03462,慧,0536,1,22,061
03312,悉,0537,1,25,061
03439,慈,0538a,2,6,061
03439b,慈,0538b,2,5,061
03612,戒,0539,1,7,062
03610,成,0540,1,31,062
03617,或,0541,1,13,062
03611,我,0542,1,16,062
03647,所,0543,1,83,063
03659,手,0545,1,7,064
03661,才,0546,1,4,064
04070,撰,0547,1,2,064
03927,揵,0548,1,2,064
04192,攝,0549,1,2,064
03715,披,0550,1,2,064
03783,指,0551,1,3,064
03835,捨,0552,1,7,064
04021,摸,0553,1,2,064
03780,持,0554,1,17,064
04085,擇,0555,1,4,064
03708,投,0556,1,2,064
03855,授,0557,1,2,064
03896,提,0558,1,3,064
04243,故,0559,1,23,066
04319,變,0560,1,3,066
04298,數,0561,1,16,066
04263,救,0562,1,7,066
04261,教,0563,1,8,066
04233,放,0564,1,2,066
04235,政,0565,1,2,066
04286,敬,0566,1,7,066
04296,敷,0567,1,2,066
04321,文,0568,1,2,067
04373,斯,0569,1,34,069
04381,斷,0570,1,7,069
04385,方,0571,1,20,070
04406,旋,0572,1,6,070
04412,族,0573,1,2,070
04391,施,0574,1,13,070
04389,於,0575,1,38,070
04446,日,0576,1,5,072
