文字,カード番号,用例数１,用例数２,用例数３,字体数,部首番号,大字典,,,,
政,0699,3,,,1,066,04235,,,,
故,0700,9,,,1,066,04243,,,,
教,0701,3,,,1,066,04261,,,,
敬,0702,3,,,1,066,04286,,,,
變,0703,5,,,1,066,04319,,,,
斑,0704,4,,,1,067,04332,,,,
斬,0705,4,,,1,069,04369,,,,
斯,0706,3,,,1,069,04373,,,,
新,0707,10,,,1,069,04376,,,,
方,0708,5,,,1,070,04385,,,,
於,0709-0711,107,,,1,070,04389,,,,
既,0712,3,,,1,071,04442,,,,
日,0713,24,,,1,072,04446,,,,
明,0714,2,,,1,072,04485,,,,
春,0715,8,,,1,072,04503,,,,
時,0716,16,,,1,072,04523,,,,
晝,0717,4,,,1,072,04542,,,,
智,0718,6,,,1,072,04569,,,,
暖,0719,4,,,1,072,04590,,,,
曇,0720,3,,,1,072,04621,,,,
曰,0721,59,,,1,073,04650,,,,
曲,0722,2,,,1,073,04651,,,,
更,0723,4,,,1,073,04654,,,,
曾,0724,8,,,1,073,04661,,,,
月,0725,46,,,1,074,04673,,,,
有,0726,19,,,1,074,04674,,,,
朔,0727,25,,,1,074,04686,,,,
朕,0728,2,,,1,074,04688,,,,
望,0729,3,,,1,074,04693,,,,
朝,0730,10,,,1,074,04696,,,,
木,0731,6,,,1,075,04707,,,,
未,0732,12,,,1,075,04711,,,,
本,0733,3,,,1,075,04713,,,,
村,0734,2,,,1,075,04739,,,,
東,0735,7,,,1,075,04765,,,,
杯,0736,2,,,1,075,04776,,,,
果,0737,2,,,1,075,04806,,,,
枝,0738,2,,,1,075,04807,,,,
柯,0739,7,,,1,075,04869,,,,
柱,0740,2,,,1,075,04871,,,,
梅,0741,4,,,1,075,04971,,,,
梨,0742,3,,,1,075,04993,,,,
棄,0743,2,,,1,075,05014,,,,
樹,0744,2,,,1,075,05323,,,,
橋,0745,2,,,1,075,05348,,,,
檢,0746,2,,,1,075,05420,,,,
權,0747,2,,,1,075,05529,,,,
次,0748,2,,,1,076,05558,,,,
欲,0749,7,,,1,076,05580,,,,
歌,0750,13,,,1,076,05609,,,,
歟,0751,2,,,1,076,05633,,,,
正,0752,5,,,1,077,05643,,,,
此,0753,10,,,1,077,05644,,,,
歴,0754,2,,,1,077,05670,,,,
死,0755,11,,,1,078,05686,,,,
殺,0756,5,,,1,079,05796,,,,
殿,0757,5,1,,2,079,05809,,,,
母,0758,23,,,1,080,05834,,,,
毎,0759,2,,,1,080,05836,,,,
毒,0760,2,,,1,080,05839,,,,
比,0761,9,,,1,081,05841,,,,
鞠,0762,2,,,1,177,13179,,,,
氏,0763,2,,,1,083,05932,,,,
民,0764,8,,,1,083,05935,,,,
氣,0765,7,,,1,084,05947,,,,
水,0766,11,,,1,085,05952,,,,
氷,0767,2,,,1,085,05956,,,,
求,0768,4,,,1,085,05964,,,,
汗,0769,2,,,1,085,05978,,,,
江,0770,3,,,1,085,05985,,,,
池,0771,6,,,1,085,05986,,,,
河,0772,7,,,1,085,06045,,,,
治,0773,2,,,1,085,06055,,,,
泊,0774,4,,,1,085,06064,,,,
法,0775,3,,,1,085,06074,,,,
波,0776,12,,,1,085,06086,,,,
泥,0777,2,,,1,085,06088,,,,
津,0778,5,,,1,085,06128,,,,
流,0779,5,,,1,085,06151,,,,
浦,0780,2,,,1,085,06169,,,,
海,0781,2,,,1,085,06182,,,,
深,0782,3,,,1,085,06285,,,,
清,0783,2,,,1,085,06290,,,,
漢,0784,4,,,1,085,06499,,,,
漸,0785,2,,,1,085,06517,,,,
災,0786,2,,,1,086,06792,,,,
無,0787,18,,,1,086,06872,,,,
然,0788,7,,,1,086,06885,,,,
燒,0789,5,,,1,086,06978,,,,
營,0790,2,,,1,086,06984,,,,
爭,0791,2,,,1,087,07028,,,,
爲,0792,23,,,1,087,07032,,,,
父,0793,8,,,1,088,07035,,,,
爾,0794,3,,,1,089,07043,,,,
物,0795,10,,,1,093,07080,,,,
犬,0796,5,,,1,094,07110,,,,
猿,0797,3,,,1,094,07207,,,,
獨,0798,2,,,1,094,07230,,,,
獲,0799,3,,,1,094,07241,,,,
獻,0800,5,,,1,094,07250,,,,
茲,0801,4,,,1,095,07258,,,,
率,0802,5,,,1,095,07259,,,,
王,0803,26,,,1,096,07262,,,,
珍,0804,2,,,1,096,07287,,,,
甚,0805,5,,,1,099,07457,,,,
生,0806,7,,,1,100,07461,,,,
田,0807,21,,,1,102,07478,,,,
由,0808,12,,,1,102,07479,,,,
甲,0809,10,,,1,102,07480,,,,
申,0810,10,,,1,102,07481,,,,
畏,0811,2,,,1,102,07503,,,,
留,0812,2,,,1,102,07508,,,,
畢,0813,2,,,1,102,07520,,,,
異,0814,2,,,1,102,07530,,,,
當,0815,2,1,,2,102,07535,,,,
疑,0816,2,,,1,103,07559,,,,
疾,0817,2,,,1,104,07591,,,,
病,0818,4,,,1,104,07598,,,,
白,0819,5,,,1,106,07709,,,,
百,0820,30,,,1,106,07710,,,,
皆,0821,2,,,1,106,07717,,,,
皇,0822,36,,,1,106,07718,,,,
盡,0823,4,,,1,108,07779,,,,
目,0824,2,,,1,109,07790,,,,
相,0825,6,,,1,109,07801,,,,
衆,0826,3,,,1,109,07844,,,,
矣,0827,4,,,1,111,07938,,,,
知,0828,8,,,1,111,07941,,,,
矩,0829,2,,,1,111,07944,,,,
石,0830,2,,,1,112,07954,,,,
礙,0831,1,1,,2,112,08077,,,,
示,0832,2,,,1,113,08097,,,,
社,0833,2,,,1,113,08101,,,,
祈,0834,3,,,1,113,08108,,,,
祖,0835,8,,,1,113,08117,,,,
神,0836,9,,,1,113,08124,,,,
禰,0837,3,,,1,113,08166,,,,
祭,0838,5,,,1,113,08135,,,,
福,0839,2,,,1,113,08148,,,,
私,0840,2,,,1,115,08180,,,,
秋,0841,4,,,1,115,08187,,,,
移,0842,6,,,1,115,08212,,,,
稚,0843,4,,,1,115,08233,,,,
種,0844,2,,,1,115,08244,,,,
積,0845,3,,,1,115,08269,,,,
空,0846,3,,,1,116,08296,,,,
立,0847,5,,,1,117,08354,,,,
竝,0848,2,,,1,117,08361,,,,
童,0849,5,,,1,117,08371,,,,
豎,0850,2,,,1,151,11258,,,,
筑,0851,3,1,,2,118,08434,,,,
箭,0852,2,,,1,118,08479,,,,
納,0853,2,,,1,120,08747,,,,
紫,0854,5,,,1,120,08773,,,,
終,0855,2,,,1,120,08795,,,,
結,0856,2,,,1,120,08807,,,,
給,0857,2,,,1,120,08822,,,,
經,0858,6,,,1,120,08856,,,,
網,0859,5,,,1,120,08885,,,,
綿,0860,3,,,1,120,08899,,,,
縣,0861,2,,,1,120,08972,,,,
總,0862,3,,,1,120,08993,,,,
罪,0863,2,,,1,122,09125,,,,
置,0864,6,,,1,122,09128,,,,
罷,0865,6,,,1,122,09133,,,,
羅,0866,21,,,1,122,09144,,,,
羊,0867,2,,,1,123,09150,,,,
翹,0868,10,2,,2,124,09240,,,,
者,0869,16,,,1,125,09255,,,,
而,0870-0871,77,,,1,126,09264,,,,
耶,0872,4,,,1,128,09292,,,,
聚,0873,3,,,1,128,09314,,,,
聲,0874,2,,,1,128,09328,,,,
聽,0875,2,1,,2,128,09335,,,,
肩,0876,2,,,1,130,09370,,,,
背,0877,10,,,1,130,09394,,,,
能,0878,19,,,1,130,09429,,,,
脚,0879,2,,,1,130,09447,,,,
膩,0880,2,,,1,130,09548,,,,
膽,0881,2,,,1,130,09562,,,,
臣,0882-0883,89,,,1,131,09596,,,,
臥,0884,3,,,1,131,09599,,,,
臨,0885,3,,,1,131,09601,,,,
自,0886,17,,,1,132,09602,,,,
臭,0887,3,,,1,132,09605,,,,
至,0888,2,,,1,133,09610,,,,
致,0889,2,,,1,133,09611,,,,
與,0890,18,,,1,134,09629,,,,
興,0891,4,,,1,134,09630,,,,
擧,0892,7,,,1,134,09632,,,,
舍,0893,4,,,1,135,09638,,,,
舶,0894,3,,,1,137,09672,,,,
船,0895,10,,,1,137,09675,,,,
良,0896,2,,,1,138,09714,,,,
色,0897,4,2,,2,139,09716,,,,
花,0898,4,,,1,140,09758,,,,
茨,0899,4,,,1,140,09823,,,,
草,0900,6,,,1,140,09846,,,,
菌,0901,3,,,1,140,09901,,,,
萬,0902,3,,,1,140,09954,,,,
葉,0903,4,,,1,140,09966,,,,
葛,0904,4,,,1,140,09976,,,,
葬,0905,6,,,1,140,09985,,,,
蓋,0906,4,,,1,140,10040,,,,
薨,0907,3,,,1,140,10162,,,,
蘇,0908,21,,,1,140,10231,,,,
虎,0909,3,,,1,141,10264,,,,
處,0910,2,,,1,141,10270,,,,
蜜,0911,2,1,,1,142,10414b,,,,
行,0912,6,,,1,144,10614,,,,
術,0913,2,,,1,144,10618,,,,
表,0914,3,,,1,145,10643,,,,
被,0915,5,,,1,145,10683,,,,
10705,0916,2,,,1,145,10705,,,,
西,0917,5,,,1,146,10820,,,,
覆,0918,4,,,1,146,10826,,,,
見,0919,13,,,1,147,10831,,,,
視,0920,3,,,1,147,10837,,,,
覡,0921,4,,,1,147,10843,,,,
觀,0922,2,1,,2,147,10859,,,,
角,0923,4,,,1,148,10860,,,,
解,0924,4,,,1,148,10875,,,,
言,0925,13,,,1,149,10890,,,,
訖,0926,2,,,1,149,10912,,,,
記,0927,3,,,1,149,10914,,,,
設,0928,1,1,,2,149,10928,,,,
許,0929,8,,,1,149,10930,,,,
詔,0930,6,,,1,149,10959,,,,
詣,0931,2,,,1,149,10974,,,,
誄,0932,3,,,1,149,10998,,,,
誅,0933,4,,,1,149,10999,,,,
語,0934,6,,,1,149,11017,,,,
説,0935,10,,,1,149,11025,,,,
誰,0936,2,,,1,149,11028,,,,
調,0937,8,,,1,149,11038,,,,
請,0938,4,,,1,149,11049,,,,
諮,0939,2,,,1,149,11076,,,,
諸,0940,6,,,1,149,11085,,,,
謀,0941,12,,,1,149,11092,,,,
謂,0942,13,,,1,149,11095,,,,
謠,0943,6,,,1,149,11123,,,,
議,0944,3,,,1,149,11195,,,,
讀,0945,5,,,1,149,11207,,,,
谷,0946,2,,,1,150,11234,,,,
豆,0947,2,,,1,151,11250,,,,
豈,0948,4,,,1,151,11253,,,,
豐,0949,3,,,1,151,11261,,,,
貢,0950,2,,,1,154,11335,,,,
財,0951,3,,,1,154,11334,,,,
賀,0952,2,,,1,154,11364,,,,
質,0953,2,,,1,154,11404,,,,
賊,0954,2,,,1,154,11377,,,,
賜,0955,8,,,1,154,11393,,,,
走,0956,3,,,1,156,11454,,,,
起,0957,12,,,1,156,11461,,,,
越,0958,2,,,1,156,11471,,,,
足,0959,3,,,1,157,11495,,,,
路,0960,4,,,1,157,11548,,,,
身,0961,9,,,1,158,11715,,,,
軍,0962,8,,,1,159,11745,,,,
輕,0963,5,,,1,159,11802,,,,
輪,0964,5,,,1,159,11827,,,,
轉,0965,2,,,1,159,11856,,,,
辛,0966,13,,,1,160,11893,,,,
辰,0967,9,,,1,161,11917,,,,
近,0968,4,,,1,162,11948,,,,
退,0969,4,,,1,162,11982,,,,
送,0970,4,,,1,162,11983,,,,
通,0971,2,,,1,162,12000,,,,
速,0972,2,,,1,162,12003,,,,
造,0973,10,,,1,162,12004,,,,
連,0974,34,,,1,162,12010,,,,
進,0975,9,,,1,162,12022,,,,
遂,0976,9,,,1,162,12037,,,,
過,0977,2,,,1,162,12046,,,,
達,0978,2,,,1,162,12052,,,,
違,0979,2,,,1,162,12054,,,,
遙,0980,2,,,1,162,12062,,,,
遣,0981,11,,,1,162,12074,,,,
還,0982,9,,,1,162,12108,,,,
邊,0983,3,,,1,162,12115,,,,
郡,0984,5,,,1,163,12170,,,,
部,0985,9,,,1,163,12176,,,,
都,0986,7,,,1,163,12188,,,,
酉,0987,12,,,1,164,12259,,,,
野,0988,10,,,1,166,12374,,,,
金,0989,4,,,1,167,12380,,,,
針,0990,3,,,1,167,12386,,,,
鎌,0991,12,,,1,167,12568,,,,
長,0992,13,,,1,168,12698,,,,
門,0993,11,,,1,169,12709,,,,
間,0994,4,,,1,169,12724,,,,
阿,0995,6,,,1,170,12830,,,,
陀,0996,3,,,1,170,12831,,,,
附,0997,2,,,1,170,12834,,,,
限,0998,3,,,1,170,12839,,,,
陳,0999,8,,,1,170,12864,,,,
陵,1000,3,,,1,170,12867,,,,
隨,1001,5,,,1,170,12927,,,,
隱,1002,3,,,1,170,12935,,,,
雀,1003,2,,,1,172,12955,,,,
雖,1004,2,,,1,172,12991,,,,
雙,1005,2,,,1,172,12994,,,,
難,1006,8,,,1,172,13002,,,,
雨,1007,18,,,1,173,13012,,,,
雪,1008,2,,,1,173,13015,,,,
雲,1009,5,,,1,173,13020,,,,
雷,1010,11,,,1,173,13023,,,,
雹,1011,4,,,1,173,13024,,,,
震,1012,4,,,1,173,13036,,,,
霖,1013,2,,,1,173,13048,,,,
青,1014,2,,,1,174,13095,,,,
鞍,1015,9,,,1,177,13160,,,,
韓,1016,3,,,1,178,13249,,,,
須,1017,7,,,1,181,13304,,,,
預,1018,3,,,1,181,13313,,,,
頭,1019,4,,,1,181,13346,,,,
頻,1020,1,1,,2,181,13359,,,,
額,1021,3,,,1,181,13377,,,,
風,1022,12,,,1,182,13423,,,,
食,1023,2,,,1,184,13503,,,,
飼,1024,2,,,1,184,13540,,,,
餘,1025,5,,,1,184,13565,,,,
饗,1026,5,,,1,184,13647,,,,
香,1027,3,,,1,186,13667,,,,
馬,1028,6,,,1,187,13680,,,,
馳,1029,2,,,1,187,13688,,,,
駒,1030,3,,,1,187,13720,,,,
騰,1031,22,,,1,187,13820,,,,
驚,1032,3,,,1,187,13852,,,,
驛,1033,2,,,1,187,13853,,,,
骨,1034,2,,,1,188,13873,,,,
高,1035,18,,,1,189,13940,,,,
魯,1036,2,,,1,195,14116,,,,
鳩,1037,3,,,1,196,14366,,,,
鳴,1038,10,,,1,196,14379,,,,
麗,1039,10,,,1,198,14645,,,,
麻,1040,24,,,1,200,14681,,,,
黄,1041,2,,,1,201,14693,,,,
黒,1042,3,,,1,203,14709,,,,
丈,1043,3,,,1,001,00006,,,,
世,1044,5,1,,2,001,00025,,,,
亦,1045,6,1,,2,008,00154,,,,
休,1046,1,1,,2,009,00219,,,,
作,1047,14,1,,2,009,00256,,,,
來,1048,9,1,,2,009,00282,,,,
俗,1049,1,1,,2,009,00338,,,,
兆,1050,3,2,,2,010,00564,,,,
凡,1051,1,1,,2,016,00701,,,,
劍,1052,6,1,,2,018,00843,,,,
喫,1053,2,1,,2,030,01422,,,,
屡,1054,4,1,,2,044,02504,,,,
巨,1055,1,1,,2,048,02776,,,,
年,1056,6,6,,2,051,02900,,,,
悔,1057,1,1,,2,061,03320,,,,
數,1058,4,1,,2,066,04298,,,,
文,1059,3,3,,2,067,04321,,,,
是,1060,49,1,,2,072,04512,,,,
枳,1061,5,,,1,075,04817,,,,
栖,1062,3,,,1,075,04888,,,,
極,1063,3,1,,2,075,05161,,,,
止,1064,1,1,,2,077,05641,,,,
武,1065,1,1,,2,077,05649,,,,
歳,1066,3,1,,2,077,05666,,,,
歸,1067,5,1,,2,077,05676,,,,
滿,1068,1,1,,2,085,06476,,,,
濟,1069,21,4,,2,085,06641,,,,
烏,1070,6,3,,2,086,06835,,,,
癸,1071,6,2,,2,105,07703,,,,
發,1072,8,2,,2,105,07707,,,,
直,1073,6,1,,2,109,07799,,,,
稱,1074,3,2,,2,115,08248,,,,
等,1075,42,1,,2,118,08426,,,,
羣,1076,3,1,,2,123,09175,,,,
老,1077,2,1,,2,125,09250,,,,
聞,1078,5,,,1,128,09315,,,,
菟,1079,2,1,,2,140,09911,,,,
蝦,1080,10,1,,2,142,10475,,,,
衞,1081,2,1,,2,144,10630,,,,
跪,1082,2,1,,2,157,11542,,,,
願,1083,1,1,,2,181,13391,,,,
養,1084,6,2,,2,184,13551,,,,
鹿,1085,29,1,,2,198,14621,,,,
奏,1086,1,1,1,3,037,01981,,,,
渠,1087,3,2,2,3,085,06317,,,,
焉,1088,2,2,1,3,086,06861,,,,
10381x2,1089,1,1,1,3,142,10381x2,,,,
蟲,1090,3,2,1,3,142,10549,,,,
々,1091,24,,,,部外,,,,,
嗚,1092,2,,,1,030,01448,,,,
