文字,カード番号,用例数１,用例数２,用例数３,字体数,部首番号,大字典,,,,
度,0123,,,,0,053,02944,,,,
庸,0124,,,,0,053,02963,,,,
廟,0125,,,,0,053,02989,,,,
殫,0126,,,,0,078,05770,,,,
彌,0127,,,,0,057,03084,,,,
徑,0128,,,,0,060,03142,,,,
徒,0129,,,,0,060,03143,,,,
忽,0130,,,,0,061,03219,,,,
思,0131,,,,0,061,03239,,,,
急,0132,,,,0,061,03243,,,,
性,0133,,,,0,061,03244,,,,
恨,0134,,,,0,061,03291,,,,
恩,0135,,,,0,061,03292,,,,
恭,0136,,,,0,061,03297,,,,
患,0137,,,,0,061,03329,,,,
情,0138,,,,0,061,03348,,,,
惑,0139,,,,0,061,03355,,,,
愈,0140,,,,0,061,03391,,,,
愚,0141,,,,0,061,03404,,,,
感,0142,,,,0,061,03409,,,,
慈,0143,,,,0,061,03439,,,,
慰,0144,,,,0,061,03469,,,,
懷,0145,,,,0,061,03585,,,,
懸,0146,,,,0,061,03586,,,,
懼,0147,,,,0,061,03589,,,,
懾,0148,,,,0,061,03592,,,,
戒,0149,,,,0,062,03612,,,,
房,0150,,,,0,063,03646,,,,
把,0151,,,,0,064,03700,,,,
抱,0152,,,,0,064,03720,,,,
拒,0153,,,,0,064,03747,,,,
拾,0154,,,,0,064,03778,,,,
挺,0155,,,,0,064,03804,,,,
挾,0156,,,,0,064,03809,,,,
掃,0157,,,,0,064,03851,,,,
掉,0158,,,,0,064,03856,,,,
掌,0159,,,,0,064,03858,,,,
掛,0160,,,,0,064,03867,,,,
採,0161,,,,0,064,03872,,,,
推,0162,,,,0,064,03880,,,,
掩,0163,,,,0,064,03881,,,,
換,0164,,,,0,064,03907,,,,
揮,0165,,,,0,064,03921,,,,
撲,0166,,,,0,064,04072,,,,
04095,0167,,,,0,064,04095,,,,
擬,0168,,,,0,064,04122,,,,
擅,0169,,,,0,064,04084,,,,
擲,0170,,,,0,064,04130,,,,
改,0171,,,,0,066,04228,,,,
敏,0172,,,,0,066,04262,,,,
敢,0173,,,,0,066,04277,,,,
散,0174,,,,0,066,04280,,,,
旅,0175,,,,0,070,04402,,,,
旋,0176,,,,0,070,04406,,,,
挨,0177,,,,0,064,03796,,,,
旦,0178,,,,0,072,04447,,,,
旱,0179,,,,0,072,04461,,,,
昵,0180,,,,0,072,04518,,,,
晩,0181,,,,0,072,04539,,,,
暴,0182,,,,0,072,04608,,,,
曳,0183,,,,0,073,04653,,,,
書,0184,,,,0,073,04657,,,,
曼,0185,,,,0,073,04660,,,,
服,0186,,,,0,074,04679,,,,
期,0187,,,,0,074,04699,,,,
材,0188,,,,0,075,04738,,,,
杜,0189,,,,0,075,04747,,,,
板,0190,,,,0,075,04781,,,,
林,0192,,,,0,075,04803,,,,
枚,0193,,,,0,075,04805,,,,
枯,0194,,,,0,075,04813,,,,
柵,0195,,,,0,075,04875,,,,
桂,0196,,,,0,075,04929,,,,
