,,nto_図書紀24,nto_図書紀24,nto_図書紀24,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
04653,曳,0183,0,1,073
04657,書,0184,0,1,073
04660,曼,0185,0,1,073
04679,服,0186,0,1,074
04699,期,0187,0,1,074
04738,材,0188,0,1,075
04747,杜,0189,0,1,075
04781,板,0190,0,1,075
04803,林,0192,0,1,075
04805,枚,0193,0,1,075
04813,枯,0194,0,1,075
04875,柵,0195,0,1,075
04929,桂,0196,0,1,075
04930,桃,0197,0,1,075
M14784,桙,0198,0,1,075
05087,椒,0199,0,1,075
05210,榮,0200,0,1,075
05237,槍,0201,0,1,075
05272,槻,0202,0,1,075
05279,樂,0203,0,1,075
05361,橘,0204,0,1,075
05391,檀,0205,0,1,075
05428,檮,0206,0,1,075
05557,欠,0207,0,1,076
05561,欣,0208,0,1,076
05612,歎,0209,0,1,076
05707,殆,0210,0,1,078
05717,殊,0211,0,1,078
05737,殘,0212,0,1,078
05845,毗,0213,0,1,081
05850,毛,0214,0,1,082
05957,永,0215,0,1,085
05963,汁,0216,0,1,085
06003,決,0217,0,1,085
06087,泣,0218,0,1,085
06149,派,0219,0,1,085
06184,浹,0220,0,1,085
06192,消,0221,0,1,085
06272,淨,0222,0,1,085
06291,淹,0223,0,1,085
06310,淵,0224,0,1,085
06318,渡,0225,0,1,085
06408,溢,0226,0,1,085
06409,溥,0227,0,1,085
06432,滅,0228,0,1,085
06445,滑,0229,0,1,085
06541,潦,0230,0,1,085
06548,潛,0231,0,1,085
06553,潤,0232,0,1,085
06603,澤,0233,0,1,085
06681,瀆,0234,0,1,085
06776,火,0235,0,1,086
06784,灰,0236,0,1,086
06791,灼,0237,0,1,086
06895,煮,0238,0,1,086
06918,照,0239,0,1,086
06921,煩,0240,0,1,086
06949,熟,0241,0,1,086
07017,爛,0242,0,1,086
07072,牛,0243,0,1,093
07086,特,0244,0,1,093
07112,犯,0245,0,1,094
07122,狀,0246,0,1,094
07192,猪,0247,0,1,094
07203,猶,0248,0,1,094
07244,獵,0249,0,1,094
07248,獸,0250,0,1,094
07346,瑞,0251,0,1,096
07456,甘,0252,0,1,099
07464,産,0253,0,1,100
07483,男,0254,0,1,102
07487,町,0255,0,1,102
07513,畜,0256,0,1,102
07514,畝,0257,0,1,102
07554,疋,0258,0,1,103
07557,疏,0259,0,1,103
07613,痛,0260,0,1,104
07674,癈,0261,0,1,104
07685,癡,0262,0,1,104
07706,登,0263,0,1,105
07739,皮,0264,0,1,107
07759,益,0265,0,1,108
07770,盛,0266,0,1,108
07771,盜,0267,0,1,108
07781,監,0268,0,1,108
07817,看,0269,0,1,109
07827,眞,0270,0,1,109
07839,眷,0271,0,1,109
07843,眼,0272,0,1,109
07860,睡,0273,0,1,109
07870,睹,0274,0,1,109
07907,瞻,0275,0,1,109
07937,矢,0276,0,1,111
07986,破,0277,0,1,112
08047,磐,0278,0,1,112
14686,麿,0279,0,1,200
08165,禮,0280,0,1,113
08107,祇,0281,0,1,113
08123,祝,0282,0,1,113
08141,祿,0283,0,1,113
08167,禱,0284,0,1,113
08172,禹,0285,0,1,114
08204,秦,0286,0,1,115
08235,稜,0287,0,1,115
08252,稷,0288,0,1,115
08256,稻,0289,0,1,115
08273,穗,0290,0,1,115
08291,穴,0291,0,1,116
08293,究,0292,0,1,116
08300,穿,0293,0,1,116
08353,竊,0294,0,1,116
08365,竟,0295,0,1,117
08408,符,0296,0,1,118
08437,答,0297,0,1,118
08483,箱,0298,0,1,118
08619,籠,0299,0,1,118
08664,粟,0300,0,1,119
08735,紀,0301,0,1,120
08759,級,0302,0,1,120
08779,細,0303,0,1,120
08870,綠,0304,0,1,120
08924,緣,0305,0,1,120
09020,繞,0306,0,1,120
09132,罵,0307,0,1,122
09177,義,0308,0,1,123
09191,羹,0309,0,1,123
09463,脱,0310,0,1,130
09568,臂,0311,0,1,130
09657,舟,0312,0,1,137
09674,舸,0313,0,1,137
09694,艘,0314,0,1,137
09742,芝,0315,0,1,140
09788,若,0316,0,1,140
09874,莖,0317,0,1,140
09886,莫,0318,0,1,140
