,,nto_図書紀24,nto_図書紀24,nto_図書紀24,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
11028,誰,0936,1,2,149
11038,調,0937,1,8,149
11049,請,0938,1,4,149
11076,諮,0939,1,2,149
11085,諸,0940,1,6,149
11092,謀,0941,1,12,149
11095,謂,0942,1,13,149
11123,謠,0943,1,6,149
11195,議,0944,1,3,149
11207,讀,0945,1,5,149
11234,谷,0946,1,2,150
11250,豆,0947,1,2,151
11253,豈,0948,1,4,151
11261,豐,0949,1,3,151
11335,貢,0950,1,2,154
11334,財,0951,1,3,154
11364,賀,0952,1,2,154
11404,質,0953,1,2,154
11377,賊,0954,1,2,154
11393,賜,0955,1,8,154
11454,走,0956,1,3,156
11461,起,0957,1,12,156
11471,越,0958,1,2,156
11495,足,0959,1,3,157
11548,路,0960,1,4,157
11715,身,0961,1,9,158
11745,軍,0962,1,8,159
11802,輕,0963,1,5,159
11827,輪,0964,1,5,159
11856,轉,0965,1,2,159
11893,辛,0966,1,13,160
11917,辰,0967,1,9,161
11948,近,0968,1,4,162
11982,退,0969,1,4,162
11983,送,0970,1,4,162
12000,通,0971,1,2,162
12003,速,0972,1,2,162
12004,造,0973,1,10,162
12010,連,0974,1,34,162
12022,進,0975,1,9,162
12037,遂,0976,1,9,162
12046,過,0977,1,2,162
12052,達,0978,1,2,162
12054,違,0979,1,2,162
12062,遙,0980,1,2,162
12074,遣,0981,1,11,162
12108,還,0982,1,9,162
12115,邊,0983,1,3,162
12170,郡,0984,1,5,163
12176,部,0985,1,9,163
12188,都,0986,1,7,163
12259,酉,0987,1,12,164
12374,野,0988,1,10,166
12380,金,0989,1,4,167
12386,針,0990,1,3,167
12568,鎌,0991,1,12,167
12698,長,0992,1,13,168
12709,門,0993,1,11,169
12724,間,0994,1,4,169
12830,阿,0995,1,6,170
12831,陀,0996,1,3,170
12834,附,0997,1,2,170
12839,限,0998,1,3,170
12864,陳,0999,1,8,170
12867,陵,1000,1,3,170
12927,隨,1001,1,5,170
12935,隱,1002,1,3,170
12955,雀,1003,1,2,172
12991,雖,1004,1,2,172
12994,雙,1005,1,2,172
13002,難,1006,1,8,172
13012,雨,1007,1,18,173
13015,雪,1008,1,2,173
13020,雲,1009,1,5,173
13023,雷,1010,1,11,173
13024,雹,1011,1,4,173
13036,震,1012,1,4,173
13048,霖,1013,1,2,173
13095,青,1014,1,2,174
13160,鞍,1015,1,9,177
13249,韓,1016,1,3,178
13304,須,1017,1,7,181
13313,預,1018,1,3,181
13346,頭,1019,1,4,181
13359,頻,1020a,2,1,181
13359b,頻,1020b,2,1,181
13377,額,1021,1,3,181
13423,風,1022,1,12,182
13503,食,1023,1,2,184
13540,飼,1024,1,2,184
13565,餘,1025,1,5,184
13647,饗,1026,1,5,184
13667,香,1027,1,3,186
13680,馬,1028,1,6,187
13688,馳,1029,1,2,187
13720,駒,1030,1,3,187
13820,騰,1031,1,22,187
13852,驚,1032,1,3,187
13853,驛,1033,1,2,187
13873,骨,1034,1,2,188
13940,高,1035,1,18,189
14116,魯,1036,1,2,195
14366,鳩,1037,1,3,196
14379,鳴,1038,1,10,196
14645,麗,1039,1,10,198
14681,麻,1040,1,24,200
14693,黃,1041,1,2,201
14709,黑,1042,1,3,203
00006,丈,1043,1,3,001
00025,世,1044a,2,5,001
00025b,世,1044b,2,1,001
00154,亦,1045a,2,6,008
00154b,亦,1045b,2,1,008
00219,休,1046a,2,1,009
00219b,休,1046b,2,1,009
00256,作,1047a,2,14,009
00256b,作,1047b,2,1,009
00282,來,1048a,2,9,009
00282b,來,1048b,2,1,009
00338,俗,1049a,2,1,009
00338b,俗,1049b,2,1,009
00564,兆,1050a,2,3,010
00564b,兆,1050b,2,2,010
00701,凡,1051a,2,1,016
00701b,凡,1051b,2,1,016
00843,劍,1052a,2,6,018
00843b,劍,1052b,2,1,018
01422,喫,1053a,2,2,030
01422b,喫,1053b,2,1,030
02504,屢,1054a,2,4,044
02504b,屡,1054b,2,1,044
02776,巨,1055a,2,1,048
02776b,巨,1055b,2,1,048
02900,年,1056a,2,6,051
02900b,年,1056b,2,6,051
03320,悔,1057a,2,1,061
03320b,悔,1057b,2,1,061
04298,數,1058a,2,4,066
04298b,數,1058b,2,1,066
04321,文,1059a,2,3,067
04321b,文,1059b,2,3,067
04512,是,1060a,2,49,072
04512b,是,1060b,2,1,072
04817,枳,1061,1,5,075
04888,栖,1062,1,3,075
05161,極,1063a,2,3,075
05161b,極,1063b,2,1,075
05641,止,1064a,2,1,077
05641b,止,1064b,2,1,077
05649,武,1065a,2,1,077
05649b,武,1065b,2,1,077
05666,歳,1066a,2,3,077
05666b,歳,1066b,2,1,077
05676,歸,1067a,2,5,077
05676b,歸,1067b,2,1,077
06476,滿,1068a,2,1,085
06476b,滿,1068b,2,1,085
06641,濟,1069a,2,21,085
06641b,濟,1069b,2,4,085
06835,烏,1070a,2,6,086
06835b,烏,1070b,2,3,086
07703,癸,1071a,2,6,105
07703b,癸,1071b,2,2,105
07707,發,1072a,2,8,105
07707b,發,1072b,2,2,105
07799,直,1073a,2,6,109
07799b,直,1073b,2,1,109
08248,稱,1074a,2,3,115
08248b,稱,1074b,2,2,115
08426,等,1075a,2,42,118
08426b,等,1075b,2,1,118
09175,羣,1076a,2,3,123
09175b,羣,1076b,2,1,123
09250,老,1077a,2,2,125
09250b,老,1077b,2,1,125
09315,聞,1078,1,5,128
09911,菟,1079a,2,2,140
09911b,菟,1079b,2,1,140
10475,蝦,1080a,2,10,142
10475b,蝦,1080b,2,1,142
10630,衞,1081a,2,2,144
10630b,衞,1081b,2,1,144
11542,跪,1082a,2,2,157
11542b,跪,1082b,2,1,157
13391,願,1083a,2,1,181
13391b,願,1083b,2,1,181
13551,養,1084a,2,6,184
13551b,養,1084b,2,2,184
14621,鹿,1085a,2,29,198
14621b,鹿,1085b,2,1,198
01981,奏,1086a,3,1,037
01981b,奏,1086b,3,1,037
01981c,奏,1086c,3,1,037
06317,渠,1087a,3,3,085
06317b,渠,1087b,3,2,085
06317c,渠,1087c,3,2,085
06861,焉,1088a,3,2,086
06861b,焉,1088b,3,2,086
06861c,焉,1088c,3,1,086
10381x2,蛦,1089a,3,1,142
10381x2b,蛦,1089b,3,1,142
10381x2c,蛦,1089c,3,1,142
10549,蟲,1090a,3,3,142
10549b,蟲,1090b,3,2,142
10549c,蟲,1090c,3,1,142
S00066,々,1091,0,24,000
01448,嗚,1092,1,2,030
