,,kak_開成孝経,kak_開成孝経,kak_開成孝経,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
07759,益,0160,0,1,108
07844,眾,0161,0,1,109
07790,目,0162,0,1,109
07907,瞻,0163,0,1,109
08101,社,0164,0,1,113
08143,禁,0165,0,1,113
08141,祿,0166,0,1,113
08146,禍,0167,0,1,113
08204,秦,0168,0,1,115
02352,容,0169,0,1,040
08366,章,0170,0,1,117
08376,端,0171,0,1,117
08554,簋,0172,0,1,118
08568,簠,0173,0,1,118
08569,簡,0174,0,1,118
08657,粕,0175,0,1,119
08685,精,0176,0,1,119
08712,糟,0177,0,1,119
08738,約,0178,0,1,120
08997,繁,0179,0,1,120
09061,續,0180,0,1,120
09155,美,0181,0,1,123
09228,翦,0182,0,1,124
09315,聞,0183,0,1,128
09332,職,0184,0,1,128
09339,聿,0185,0,1,129
04688,朕,0186,0,1,074
09541,膝,0187,0,1,130
09629,與,0188,0,1,134
09633,舊,0189,0,1,134
09630,興,0190,0,1,134
09788,若,0191,0,1,140
10191,藏,0192,0,1,140
09941,萌,0193,0,1,140
10139,薄,0194,0,1,140
10125,蕪,0195,0,1,140
10275,虞,0196,0,1,141
09539,膚,0197,0,1,130
10658,衾,0198,0,1,145
10637,衣,0199,0,1,145
10670,袖,0200,0,1,145
10820,西,0201,0,1,146
10856,覺,0202,0,1,147
10831,見,0203,0,1,147
11046,談,0204,0,1,149
11142,謹,0205,0,1,149
11162,譏,0206,0,1,149
11205,譽,0207,0,1,149
11222,讓,0208,0,1,149
10909,訓,0209,0,1,149
10939,註,0210,0,1,149
11017,語,0211,0,1,149
11275,象,0212,0,1,152
11411,賴,0213,0,1,154
11343,貫,0214,0,1,154
11461,起,0215,0,1,156
11485,趣,0216,0,1,156
11495,足,0217,0,1,157
11976,迹,0218,0,1,162
07557,疏,0219,0,1,103
11595,踳,0220,0,1,157
11565,踊,0221,0,1,157
11744,軌,0222,0,1,159
11858,轍,0223,0,1,159
11918,辱,0224,0,1,161
11983,送,0225,0,1,162
12070,遠,0226,0,1,162
12027,逸,0227,0,1,162
11948,近,0228,0,1,162
11968,述,0229,0,1,162
12103,避,0230,0,1,162
12031,逾,0231,0,1,162
11986,逆,0232,0,1,162
12160,郊,0233,0,1,163
12147,邵,0234,0,1,163
12327,醜,0235,0,1,164
12373,重,0236,0,1,166
12528,錯,0237,0,1,167
12709,門,0238,0,1,169
12869,陷,0239,0,1,170
12855,除,0240,0,1,170
12870,陸,0241,0,1,170
12962,雅,0242,0,1,172
13237,韋,0243,0,1,178
13327,領,0244,0,1,181
