カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号
0099,或,0,,,,03617,062
0100,03481,0,,,,03481,061
0101,戸,0,,,,03640,063
0102,抑,0,,,,03704,064
0103,攀,0,,,,04146,064
0104,持,0,,,,03780,064
0105,揮,0,,,,03921,064
0106,擅,0,,,,04084,064
0107,撮,0,,,,04067,064
0108,措,0,,,,03882,064
0109,04103,0,,,,04103,064
0110,敷,0,,,,04296,066
0111,敏,0,,,,04262,066
0112,救,0,,,,04263,066
0113,既,0,,,,04442,071
0114,旨,0,,,,04450,072
0115,易,0,,,,04489,072
0116,時,0,,,,04523,072
0117,暢,0,,,,04600,072
0118,會,0,,,,04667,073
0119,條,0,,,,04984,075
0120,樞,0,,,,05307,075
0121,末,0,,,,04712,075
0122,朴,0,,,,04718,075
0123,業,0,,,,05152,075
0124,未,0,,,,04711,075
0125,東,0,,,,04765,075
0126,棺,0,,,,05063,075
0127,椁,0,,,,05069,075
0128,厥,0,,,,01079,027
0129,止,0,,,,05641,077
0130,歸,0,,,,05676,077
0131,殆,0,,,,05707,078
0132,殊,0,,,,05717,078
0133,漢,0,,,,06499,085
0134,求,0,,,,05964,085
0135,源,0,,,,06396,085
0136,澄,0,,,,06564,085
0137,沒,0,,,,06023,085
0138,泣,0,,,,06087,085
0139,滅,0,,,,06432,085
0140,淑,0,,,,06246,085
0141,深,0,,,,06285,085
0142,浮,0,,,,06175,085
0143,濫,0,,,,06651,085
0144,淵,0,,,,06310,085
0145,燼,0,,,,06997,086
0146,06815,0,,,,06815,086
0147,災,0,,,,06792,086
0148,爾,0,,,,07043,089
0149,07063,0,,,,07063,091
0150,牲,0,,,,07082,093
0151,07323,0,,,,07323,096
0152,07319,0,,,,07319,096
0153,甫,0,,,,07470,101
0154,畏,0,,,,07503,102
0155,男,0,,,,07483,102
0156,異,0,,,,07530,102
0157,由,0,,,,07479,102
0158,病,0,,,,07598,104
0159,發,0,,,,07707,105
0160,益,0,,,,07759,108
0161,衆,0,,,,07844,109
0162,目,0,,,,07790,109
0163,瞻,0,,,,07907,109
0164,社,0,,,,08101,113
0165,禁,0,,,,08143,113
0166,祿,0,,,,08141,113
0167,禍,0,,,,08146,113
0168,秦,0,,,,08204,115
0169,容,0,,,,02352,040
0170,章,0,,,,08366,117
0171,端,0,,,,08376,117
0172,08554,0,,,,08554,118
0173,08568,0,,,,08568,118
0174,簡,0,,,,08569,118
0175,粕,0,,,,08657,119
0176,精,0,,,,08685,119
0177,糟,0,,,,08712,119
0178,約,0,,,,08738,120
0179,繁,0,,,,08997,120
0180,續,0,,,,09061,120
0181,美,0,,,,09155,123
0182,翦,0,,,,09228,124
0183,聞,0,,,,09315,128
