,,kcj_慶長紀2,kcj_慶長紀2,kcj_慶長紀2,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
10510,螢,0271,0,1,142
10605,血,0272,0,1,143
10618,術,0273,0,1,144
10703,裏,0274,0,1,145
10798,襤,0275,0,1,145
10766,褸,0276,0,1,145
10724,裳,0277,0,1,145
10708,裔,0278,0,1,145
10773,襁,0279,0,1,145
10775,襄,0280,0,1,145
10649,衰,0281,0,1,145
10857,覽,0282,0,1,147
10859,觀,0283,0,1,147
10875,解,0284,0,1,148
11092,謀,0285,0,1,149
11109,謎,0286,0,1,149
10974,詣,0287,0,1,149
11171,識,0288,0,1,149
10987,該,0289,0,1,149
10936,訶,0290,0,1,149
11264,豔,0291,0,1,151
11332,負,0292a,2,1,154
11332b,負,0292b,2,1,154
11450,赩,0293,0,1,155
11447,赦,0294,0,1,155
11453,赭,0295,0,1,155
11457,赴,0296,0,1,156
11467,超,0297,0,1,156
11568,踏,0298,0,1,157
11553,跳,0299,0,1,157
11618,蹈,0300,0,1,157
11580,踞,0301,0,1,157
11593,踰,0302,0,1,157
11716,躬,0303,0,1,158
11799,輒,0304,0,1,159
11856,轉,0305,0,1,159
11896,辜,0306,0,1,160
11893,辛,0307,0,1,160
12046,過,0308,0,1,162
11984,逃,0309,0,1,162
11992,透,0310,0,1,162
12019,逮,0311,0,1,162
11976,迹,0312,0,1,162
12093,遷,0313,0,1,162
11982,退,0314,0,1,162
12082,遭,0315,0,1,162
12077,遨,0316,0,1,162
11979,追,0317,0,1,162
12054,違,0318,0,1,162
11986,逆,0319,0,1,162
12095,選,0320,0,1,162
12040,遇,0321,0,1,162
12062,遙,0322,0,1,162
03008,廻,0323,0,1,054
12262,酌,0324,0,1,164
12266,酒,0325,0,1,164
12360,釀,0326,0,1,164
12342,醬,0327,0,1,164
12327,醜,0328,0,1,164
12372,里,0329,0,1,166
12563,鍾,0330,0,1,167
12380,金,0331,0,1,167
12485,鋒,0332,0,1,167
12601,鏑,0333,0,1,167
12544,鍜,0334,0,1,167
12783,闕,0335,0,1,169
12714,閉,0336,0,1,169
12800,闥,0337,0,1,169
12722,閑,0338,0,1,169
12883,隅,0339,0,1,170
12886,隆,0340,0,1,170
12862,陰,0341,0,1,170
12847,陛,0342,0,1,170
12955,雀,0343,0,1,172
13002,難,0344,0,1,172
12951,隼,0345,0,1,172
12971,雌,0346,0,1,172
13108,面,0347,0,1,176
13151,鞆,0348,0,1,177
13124,靭,0349,0,1,177
