統合ID,文字,斉民要術,字体数,用例数,部首
00857,功,0955a,2,3,019
00857b,功,0955b,2,1,019
01039,卵,0956a,2,9,026
01039b,卵,0956b,2,2,026
01235,周,0957,1,4,030
01647,圖,0958a,2,1,031
01647b,圖,0958b,2,1,031
01938,多,0959a,2,8,036
01938b,多,0959b,2,8,036
02430,尋,0960,1,2,041
02783,已,0961a,3,3,049
02783b,已,0961b,3,1,049
02783c,已,0961c,3,1,049
03165,微,0962a,2,1,060
03165b,微,0962b,2,1,060
03159,復,0963a,2,7,060
03159b,復,0963b,2,3,060
03183,忌,0964a,2,1,061
03183b,忌,0964b,2,1,061
03617,或,0965a,2,4,062
03617b,或,0965b,2,1,062
03689,扼,0966a,2,1,064
03689b,扼,0966b,2,1,064
03965,搯,0967,1,2,064
03872,採,0968a,2,4,064
03872b,採,0968b,2,2,064
03713,抨,0969a,2,1,064
03713b,抨,0969b,2,1,064
04590,暖,0970,1,2,072
04650,曰,0971,1,35,073
05666,歳,0972a,2,19,077
05666b,歳,0972b,2,2,077
05836,每,0973a,2,4,080
05836b,每,0973b,2,2,080
06250,淘,0974a,2,3,085
06250b,淘,0974b,2,2,085
06564,澄,0975,1,2,085
06272,淨,0976,1,12,085
06290,清,0977a,2,7,085
06290b,清,0977b,2,3,085
06684,瀉,0978a,3,1,085
06684b,瀉,0978b,3,1,085
06684c,瀉,0978c,3,1,085
06551,澗,0979a,2,1,085
06551b,澗,0979b,2,1,085
06978,燒,0980,1,8,086
07032,爲,0981a,2,38,087
07032b,爲,0981b,2,5,087
07091,犂,0982a,2,5,093
07091b,犂,0982b,2,1,093
07162,狹,0983,1,2,094
07287,珍,0984a,2,5,096
07287b,珍,0984b,2,3,096
07469,用,0985a,2,18,101
07469b,用,0985b,2,1,101
07508,留,0986a,2,4,102
07508b,留,0986b,2,1,102
07557,疏,0987a,2,1,103
07557b,疏,0987b,2,1,103
07779,盡,0988,1,10,108
08148,福,0989a,2,1,113
08148b,福,0989b,2,1,113
08212,移,0990a,2,9,115
08212b,移,0990b,2,2,115
09028,繩,0991a,2,2,120
09028b,繩,0991b,2,1,120
08856,經,0992a,2,4,120
08856b,經,0992b,2,1,120
09287,耬,0993,1,6,127
09272,耕,0994a,2,14,127
09272b,耕,0994b,2,6,127
09286x1,耩,0995,1,3,127
10191,藏,0996a,2,1,140
10191b,藏,0996b,2,1,140
10157,薅,0997a,2,2,140
10157b,薅,0997b,2,1,140
10189,藍,0998a,2,9,140
10189b,藍,0998b,2,1,140
10139,薄,0999a,2,3,140
10139b,薄,0999b,2,2,140
10549,蟲,1000a,2,4,142
10549b,蟲,1000b,2,2,142
10826,覆,1001a,2,4,146
10826b,覆,1001b,2,3,146
10914,記,1002a,2,3,149
10914b,記,1002b,2,1,149
11038,調,1003,1,4,149
12266,酒,1004a,2,4,164
12266b,酒,1004b,2,1,164
12315,醋,1005a,2,2,164
12315b,醋,1005b,2,1,164
12724,間,1006a,2,5,169
12724b,間,1006b,2,3,169
12927,隨,1007a,2,4,170
12927b,隨,1007b,2,4,170
13095,青,1008a,2,7,174
13095b,青,1008b,2,1,174
13565,餘,1009,1,6,184
04442,旣,1010a,3,5,071
04442b,旣,1010b,3,1,071
04442c,旣,1010c,3,1,071
07514,畝,1011a,3,21,102
07514b,畝,1011b,3,1,102
07514c,畝,1011c,3,1,102
M11842,扷,1012,0,1,064
07525,畫,1013,0,1,102
00805,剝,1014,0,1,018
