統合ID,文字,斉民要術,字体数,用例数,部首
04992,梧,0149,0,1,075
04713,本,0150,0,1,075
04723,机,0151,0,1,075
05366,橛,0152,0,1,075
05037,棟,0153,0,1,075
05221,榼,0154,0,1,075
05152,業,0155,0,1,075
04967,梁,0156,0,1,075
05236,槌,0157,0,1,075
05000,梯,0158,0,1,075
05030,棗,0159,0,1,075
04765,東,0160,0,1,075
05369,橡,0161,0,1,075
04857,柞,0162,0,1,075
05063,棺,0163,0,1,075
05255,槫,0164,0,1,075
05154,楯,0165,0,1,075
05215,榴,0166,0,1,075
05737,殘,0167,0,1,078
05834,母,0168,0,1,080
05850,毛,0169,0,1,082
06422,溺,0170,0,1,085
06494,漚,0171,0,1,085
06487,漏,0172,0,1,085
06134,洪,0173,0,1,085
06499,漢,0174,0,1,085
06521,漿,0175,0,1,085
06266,淡,0176,0,1,085
06243,淋,0177,0,1,085
06091,注,0178,0,1,085
06058,況,0179,0,1,085
05964,求,0180,0,1,085
06192,消,0181,0,1,085
06748,灌,0182,0,1,085
05982,汜,0183,0,1,085
06568,潰,0184,0,1,085
05995,汰,0185,0,1,085
06175,浮,0186,0,1,085
06484,漉,0187,0,1,085
06326,温,0188,0,1,085
06015,沈,0189,0,1,085
05996,汲,0190,0,1,085
05979,汙,0191,0,1,085
06686,瀋,0192,0,1,085
06901,煙,0193,0,1,086
M19185,煏,0194,0,1,086
07017,爛,0195,0,1,086
06800,炒,0196,0,1,086
06991,燭,0197,0,1,086
06981,燕,0198,0,1,086
06792,災,0199,0,1,086
06788,灸,0200,0,1,086
06817,炭,0201,0,1,086
07028,爭,0202,0,1,087
07054,牋,0203,0,1,091
07106,犢,0204,0,1,093
07076,牢,0205,0,1,093
07135,狐,0206,0,1,094
07161,狸,0207,0,1,094
07203,猶,0208,0,1,094
07112,犯,0209,0,1,094
07262,王,0210,0,1,096
07327,琴,0211,0,1,096
07347,瑟,0212,0,1,096
07412,瓣,0213,0,1,097
09080,缶,0214,0,1,121
07453,甖,0215,0,1,098
07456,甘,0216,0,1,099
07480,甲,0217,0,1,102
07520,畢,0218,0,1,102
M21857,㽟,0219,0,1,102
07483,男,0220,0,1,102
07513,畜,0221,0,1,102
07598,病,0222,0,1,104
07706,登,0223,0,1,105
07744,皴,0224,0,1,107
07748,皺,0225,0,1,107
07739,皮,0226,0,1,107
07759,益,0227,0,1,108
07771,盜,0228,0,1,108
07790,目,0229,0,1,109
07828,眠,0230,0,1,109
07827,眞,0231,0,1,109
07937,矢,0232,0,1,111
07948,短,0233,0,1,111
07941,知,0234,0,1,111
07993,硎,0235,0,1,112
08016,碎,0236,0,1,112
08123,祝,0238,0,1,113
M25137,䅞,0239,0,1,115
08285,穫,0240,0,1,115
08213,稀,0241,0,1,115
08272y4,穄,0242,0,1,115
08216,稃,0243,0,1,115
08296,空,0244,0,1,116
08352,竈,0245,0,1,116
08461,箇,0248,0,1,118
08491,箸,0249,0,1,118
08587,簸,0250,0,1,118
08564,簞,0251,0,1,118
08631,籬,0252,0,1,118
08619,籠,0253,0,1,118
08569,簡,0254,0,1,118
08483,箱,0255,0,1,118
08694,糊,0256,0,1,119
08685,精,0257,0,1,119
08659,粗,0258,0,1,119
08676,粱,0259,0,1,119
08672,粧,0260,0,1,119
08670,粥,0261,0,1,119
08753,純,0262,0,1,120
08773,紫,0263,0,1,120
08938,練,0264,0,1,120
08814,絜,0265,0,1,120
08835,絳,0266,0,1,120
09030,繋,0267,0,1,120
08796,絃,0268,0,1,120
08807,結,0269,0,1,120
00658,冪,0270,0,1,014
09175,羣,0271,0,1,123
09155,美,0272,0,1,123
09232,翫,0273,0,1,124
09251,考,0274,0,1,125
09329,聳,0275,0,1,128
09290,耳,0276,0,1,128
09314,聚,0277,0,1,128
09447,脚,0278,0,1,130
09394,背,0279,0,1,130
09354,肕,0280,0,1,130
09548,膩,0281,0,1,130
09573,臈,0282,0,1,130
09584,臘,0283,0,1,130
09439,脆,0284,0,1,130
09501,腦,0285,0,1,130
09366,肥,0286,0,1,130
