カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典
0183,05982,085,0,,,,05982
0184,潰,085,0,,,,06568
0185,汰,085,0,,,,05995
0186,浮,085,0,,,,06175
0187,漉,085,0,,,,06484
0188,温,085,0,,,,06326
0189,沈,085,0,,,,06015
0190,汲,085,0,,,,05996
0191,汚,085,0,,,,05979
0192,瀋,085,0,,,,06686
0193,煙,086,0,,,,06901
0194,M19185,086,0,,,,
0195,爛,086,0,,,,07017
0196,炒,086,0,,,,06800
0197,燭,086,0,,,,06991
0198,燕,086,0,,,,06981
0199,災,086,0,,,,06792
0200,灸,086,0,,,,06788
0201,炭,086,0,,,,06817
0202,爭,087,0,,,,07028
0203,牋,091,0,,,,07054
0204,犢,093,0,,,,07106
0205,牢,093,0,,,,07076
0206,狐,094,0,,,,07135
0207,狸,094,0,,,,07161
0208,猶,094,0,,,,07203
0209,犯,094,0,,,,07112
0210,王,096,0,,,,07262
0211,琴,096,0,,,,07327
0212,瑟,096,0,,,,07347
0213,瓣,097,0,,,,07412
0214,缶,121,0,,,,09080
0215,07453,098,0,,,,07453
0216,甘,099,0,,,,07456
0217,甲,102,0,,,,07480
0218,畢,102,0,,,,07520
0219,M21857,102,0,,,,
0220,男,102,0,,,,07483
0221,畜,102,0,,,,07513
0222,病,104,0,,,,07598
0223,登,105,0,,,,07706
0224,皴,107,0,,,,07744
0225,皺,107,0,,,,07748
0226,皮,107,0,,,,07739
0227,益,108,0,,,,07759
0228,盜,108,0,,,,07771
0229,目,109,0,,,,07790
0230,眠,109,0,,,,07828
0231,眞,109,0,,,,07827
0232,矢,111,0,,,,07937
0233,短,111,0,,,,07948
0234,知,111,0,,,,07941
0235,07993,112,0,,,,07993
0236,碎,112,0,,,,08016
0238,祝,113,0,,,,08123
0239,M25137,115,0,,,,
0240,穫,115,0,,,,08285
0241,稀,115,0,,,,08213
0242,08272y4,115,0,,,,08272y4
0243,08216,115,0,,,,08216
0244,空,116,0,,,,08296
0245,竈,116,0,,,,08352
0248,箇,118,0,,,,08461
0249,箸,118,0,,,,08491
0250,簸,118,0,,,,08587
0251,箪,118,0,,,,08564
0252,籬,118,0,,,,08631
0253,籠,118,0,,,,08619
0254,簡,118,0,,,,08569
0255,箱,118,0,,,,08483
0256,糊,119,0,,,,08694
0257,精,119,0,,,,08685
0258,粗,119,0,,,,08659
0259,粱,119,0,,,,08676
0260,粧,119,0,,,,08672
0261,粥,119,0,,,,08670
0262,純,120,0,,,,08753
0263,紫,120,0,,,,08773
0264,練,120,0,,,,08938
0265,08814,120,0,,,,08814
0266,絳,120,0,,,,08835
0267,繋,120,0,,,,09030
0268,絃,120,0,,,,08796
0269,結,120,0,,,,08807
0270,冪,014,0,,,,00658
0271,羣,123,0,,,,09175
0272,美,123,0,,,,09155
0273,翫,124,0,,,,09232
0274,考,125,0,,,,09251
0275,聳,128,0,,,,09329
0276,耳,128,0,,,,09290
0277,聚,128,0,,,,09314
0278,脚,130,0,,,,09447
0279,背,130,0,,,,09394
0280,09354,130,0,,,,09354
0281,膩,130,0,,,,09548
0282,臈,130,0,,,,09573
0283,臘,130,0,,,,09584
0284,脆,130,0,,,,09439
0285,腦,130,0,,,,09501
0286,肥,130,0,,,,09366
0287,臭,132,0,,,,09605
0288,舌,135,0,,,,09636
0289,舍,135,0,,,,09638
0290,舒,135,0,,,,09643
0291,艮,138,0,,,,09713
0292,茅,140,0,,,,09810
0293,09899,140,0,,,,09899
0294,蓄,140,0,,,,10035
0295,華,140,0,,,,09921
0296,蔭,140,0,,,,10086
0297,苗,140,0,,,,09778
0298,09841,140,0,,,,09841
0299,芬,140,0,,,,09753
0300,蔽,140,0,,,,10088
0301,葛,140,0,,,,09976
0302,蒔,140,0,,,,10004
0303,茂,140,0,,,,09807
0304,蓿,140,0,,,,10062
