,,smk_西夏法華,smk_西夏法華,smk_西夏法華,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
09395,胎,0188,0,1,130
09544,膠,0189,0,1,130
09554,膳,0190,0,1,130
09596,臣,0191,0,1,131
09599,臥,0192,0,1,131
09630,興,0193,0,1,134
09632,擧,0194,0,1,134
09758,花,0195,0,1,140
09807,茂,0196,0,1,140
09846,草,0197,0,1,140
09886,莫,0198,0,1,140
09982,葦,0199,0,1,140
10088,蔽,0200,0,1,140
10683,被,0201,0,1,145
10837,視,0202,0,1,147
10860,角,0203,0,1,148
10959,詔,0204,0,1,149
10974,詣,0205,0,1,149
10984,詳,0206,0,1,149
11006,誑,0207,0,1,149
11038,調,0208,0,1,149
11041,諂,0209,0,1,149
11171,識,0210,0,1,149
11283,豫,0211,0,1,152
11311,貌,0212,0,1,153
11328,貝,0213,0,1,154
11338,貧,0214,0,1,154
11386,賓,0215,0,1,154
11404,質,0216,0,1,154
11445,赤,0217,0,1,155
11471,越,0218,0,1,156
11619,蹉,0219,0,1,157
11750,軒,0220,0,1,159
11823,輦,0221,0,1,159
11841,輸,0222,0,1,159
11846,輿,0223,0,1,159
11914,辭,0224,0,1,160
11916,辯,0225,0,1,160
11965,迫,0226,0,1,162
12001,逝,0227,0,1,162
12003,速,0228,0,1,162
12004,造,0229,0,1,162
12010,連,0230,0,1,162
12027,逸,0231,0,1,162
12030,逼,0232,0,1,162
12042,遊,0233,0,1,162
12079,適,0234,0,1,162
12082,遭,0235,0,1,162
12327,醜,0236,0,1,164
12374,野,0237,0,1,166
M40298,鉐,0238,0,1,167
12445y6,鈸,0239,0,1,167
12418,鈴,0240,0,1,167
12437,鉛,0241,0,1,167
12526,錫,0242,0,1,167
12528,錯,0243,0,1,167
12555,鍮,0244,0,1,167
12629,鐃,0245,0,1,167
12654,鐵,0246,0,1,167
12673,鑞,0247,0,1,167
12867,陵,0248,0,1,170
12929,險,0249,0,1,170
12961,雄,0250,0,1,172
12963,集,0251,0,1,172
12988,雕,0252,0,1,172
12997,雜,0253,0,1,172
13073,露,0254,0,1,173
13103,靜,0255,0,1,174
13108,面,0256,0,1,176
13237,韋,0257,0,1,178
13293,響,0258,0,1,180
13296,頂,0259,0,1,181
13297,頃,0260,0,1,181
13307,頌,0261,0,1,181
13327,領,0262,0,1,181
13359,頻,0263,0,1,181
13416,顯,0264,0,1,181
13423,風,0265,0,1,182
13586y2,餚,0266,0,1,184
13526,飮,0267,0,1,184
13680,馬,0268,0,1,187
13733,駟,0269,0,1,187
13813,騫,0270,0,1,187
13959,髮,0271,0,1,190
14002,鬚,0272,0,1,190
14681,麻,0273,0,1,200
00001,一,0274,1,98,001
00004,七,0276,1,4,001
