カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0045,妾,0 ,,,,,02062,038,1 
0046,始,0 ,,,,,02069,038,1 
0047,婢,0 ,,,,,02151,038,1 
0048,孫,0 ,,,,,02282,039,1 
0049,宮,0 ,,,,,02342,040,1 
0050,宴,0 ,,,,,02347,040,1 
0051,富,0 ,,,,,02366,040,1 
0052,察,0 ,,,,,02383,040,1 
0053,寧,0 ,,,,,02392,040,1 
0054,將,0 ,,,,,02425,041,1 
0055,尚,0 ,,,,,02446,042,1 
0056,02453,0 ,,,,,02453,042,1 
0057,M07511,0 ,,,,,,042,1 
0058,尸,0 ,,,,,02469,044,1 
0059,尾,0 ,,,,,02478,044,1 
0060,岸,0 ,,,,,02564,046,1 
0061,崛,0 ,,,,,02625,046,1 
0062,差,0 ,,,,,02780,048,1 
0063,己,0 ,,,,,02782,049,1 
0064,帝,0 ,,,,,02820,050,1 
0065,幔,0 ,,,,,02869,050,1 
0066,幢,0 ,,,,,02882,050,1 
0067,平,0 ,,,,,02899,051,1 
0068,廢,0 ,,,,,02992,053,1 
0069,延,0 ,,,,,03005,054,1 
0070,建,0 ,,,,,03006,054,1 
0071,式,0 ,,,,,03037,056,1 
0072,彩,0 ,,,,,03109,059,1 
0073,往,0 ,,,,,03128,060,1 
0074,御,0 ,,,,,03153,060,1 
0075,快,0 ,,,,,03208,061,1 
0076,怖,0 ,,,,,03233,061,1 
0077,怛,0 ,,,,,03237,061,1 
0078,息,0 ,,,,,03298,061,1 
0079,悔,0 ,,,,,03320,061,1 
0080,惜,0 ,,,,,03364,061,1 
0081,愧,0 ,,,,,03414,061,1 
0082,慈,0 ,,,,,03439,061,1 
0083,慙,0 ,,,,,03453,061,1 
0084,慮,0 ,,,,,03466,061,1 
0085,憂,0 ,,,,,03486,061,1 
0086,懸,0 ,,,,,03586,061,1 
0087,才,0 ,,,,,03661,064,1 
0088,打,0 ,,,,,03666,064,1 
0089,拜,0 ,,,,,03761,064,1 
0090,指,0 ,,,,,03783,064,1 
0091,捶,0 ,,,,,03843,064,1 
0092,03927,0 ,,,,,03927,064,1 
0093,攝,0 ,,,,,04192,064,1 
0094,變,0 ,,,,,04319,066,1 
0095,新,0 ,,,,,04376,069,1 
0096,旃,0 ,,,,,04398,070,1 
0097,族,0 ,,,,,04412,070,1 
0098,曉,0 ,,,,,04623,072,1 
0099,曠,0 ,,,,,04640,072,1 
0100,曲,0 ,,,,,04651,073,1 
0101,更,0 ,,,,,04654,073,1 
0102,末,0 ,,,,,04712,075,1 
0103,材,0 ,,,,,04738,075,1 
0104,校,0 ,,,,,04904,075,1 
0105,桓,0 ,,,,,04942,075,1 
0106,植,0 ,,,,,05080,075,1 
0107,楯,0 ,,,,,05154,075,1 
0108,樒,0 ,,,,,05291,075,1 
0109,欄,0 ,,,,,05519,075,1 
0110,欺,0 ,,,,,05587,076,1 
0111,歌,0 ,,,,,05609,076,1 
0112,歳,0 ,,,,,05666,077,1 
0113,殖,0 ,,,,,05734,078,1 
0114,殷,0 ,,,,,05795,079,1 
0115,殿,0 ,,,,,05809,079,1 
0116,母,0 ,,,,,05834,080,1 
0117,毒,0 ,,,,,05839,080,1 
0118,毘,0 ,,,,,05845,081,1 
0119,水,0 ,,,,,05952,085,1 
0120,永,0 ,,,,,05957,085,1 
0121,池,0 ,,,,,05986,085,1 
0122,沈,0 ,,,,,06015,085,1 
0123,沒,0 ,,,,,06023,085,1 
0124,河,0 ,,,,,06045,085,1 
0125,況,0 ,,,,,06058,085,1 
0126,泉,0 ,,,,,06063,085,1 
0127,流,0 ,,,,,06151,085,1 
0128,浴,0 ,,,,,06179,085,1 
0129,湯,0 ,,,,,06381,085,1 
0130,漆,0 ,,,,,06481,085,1 
0131,爪,0 ,,,,,07025,087,1 
0132,父,0 ,,,,,07035,088,1 
0133,牛,0 ,,,,,07072,093,1 
0134,特,0 ,,,,,07086,093,1 
0135,07103,0 ,,,,,07103,093,1 
0136,07274,0 ,,,,,07274,096,1 
0137,珊,0 ,,,,,07284,096,1 
0138,珍,0 ,,,,,07287,096,1 
0139,琴,0 ,,,,,07327,096,1 
0140,琵,0 ,,,,,07328,096,1 
0141,琶,0 ,,,,,07329,096,1 
0142,瑕,0 ,,,,,07339,096,1 
0143,瑚,0 ,,,,,07343,096,1 
0144,瑰,0 ,,,,,07356,096,1 
0145,瓦,0 ,,,,,07415,098,1 
0146,甎,0 ,,,,,07445,098,1 
0147,用,0 ,,,,,07469,101,1 
0148,甲,0 ,,,,,07480,102,1 
0149,畢,0 ,,,,,07520,102,1 
0150,略,0 ,,,,,07522,102,1 
0151,疵,0 ,,,,,07583,104,1 
