カード番号,文字,部首番号,字体数,用例数1,用例数2,用例数3,用例数4,大字典,,,,,
0633,岡,046,1,3,,,,02545,,,,,
0634,崩,046,1,2,,,,02640,,,,,
0635,島,046,1,5,,,,02594,,,,,
0636,巨,048,1,4,,,,02776,,,,,
0637,己,049,1,12,,,,02782,,,,,
0638,巳,049,1,9,,,,02784,,,,,
0639,師,050,1,4,,,,02835,,,,,
0640,常,050,1,4,,,,02847,,,,,
0641,幡,050,1,2,,,,02881,,,,,
0642,平,051,1,3,,,,02899,,,,,
0643,年,051,1,15,,,,02900,,,,,
0644,并,051,1,4,,,,02902,,,,,
0645,幸,051,1,2,,,,02903,,,,,
0646,底,053,1,7,,,,02932,,,,,
0647,庚,053,1,13,,,,02936,,,,,
0648,府,053,1,2,,,,02938,,,,,
0649,座,053,1,3,,,,02946,,,,,
0650,庫,053,1,2,,,,02949,,,,,
0651,庭,053,1,3,,,,02952,,,,,
0652,廣,053,1,5,,,,02993,,,,,
0653,弓,057,1,4,,,,03042,,,,,
0654,弔,057,1,6,,,,03043,,,,,
0655,弟,057,1,9,,,,03052,,,,,
0656,役,060,1,4,,,,03123,,,,,
0657,彼,060,1,3,,,,03124,,,,,
0658,往,060,1,5,,,,03128,,,,,
0659,後,060,1,6,,,,03138,,,,,
0660,得,060,1,6,,,,03145,,,,,
0661,御,060,1,3,,,,03153,,,,,
0662,復,060,1,5,,,,03159,,,,,
0663,微,060,1,7,,,,03165,,,,,
0664,徳,060,1,10,,,,03172,,,,,
0665,心,061,1,4,,,,03179,,,,,
0666,必,061,1,3,,,,03180,,,,,
0667,忌,061,1,2,,,,03183,,,,,
0668,志,061,1,4,,,,03194,,,,,
0669,怪,061,1,3,,,,03248,,,,,
0670,恆,061,1,4,,,,03267,,,,,
0671,恐,061,1,7,,,,03272,,,,,
0672,恩,061,2,1,1,,,03292,,,,,
0673,息,061,1,9,,,,03298,,,,,
0674,悦,061,1,3,,,,03309,,,,,
0675,悉,061,1,5,,,,03312,,,,,
0676,悔,061,1,2,,,,03320,,,,,
0677,惡,061,1,3,,,,03367,,,,,
0678,惶,061,1,2,,,,03376,,,,,
0679,意,061,1,4,,,,03395,,,,,
0680,愼,061,1,2,,,,03429,,,,,
0681,憂,061,1,4,,,,03486,,,,,
0682,憤,061,1,2,,,,03518,,,,,
0683,應,061,1,3,,,,03550,,,,,
0684,懸,061,1,2,,,,03586,,,,,
0685,戊,062,1,11,,,,03604,,,,,
0686,戌,062,1,9,,,,03605,,,,,
0687,成,062,1,5,,,,03610,,,,,
0688,我,062,1,27,,,,03611,,,,,
0689,或,062,1,13,,,,03617,,,,,
0690,戮,062,1,2,,,,03632,,,,,
0691,戰,062,1,5,,,,03633,,,,,
0692,所,063,1,35,,,,03647,,,,,
0693,手,064,1,5,,,,03659,,,,,
0694,打,064,1,2,,,,03666,,,,,
0695,投,064,1,2,,,,03708,,,,,
0696,折,064,1,3,,,,03711,,,,,
0697,押,064,1,8,,,,03729,,,,,
0698,提,064,1,2,,,,03896,,,,,
0699,拜,064,1,4,,,,03761,,,,,
0700,03751,064,1,3,,,,03751,,,,,
0701,持,064,1,4,,,,03780,,,,,
0702,指,064,1,2,,,,03783,,,,,
0703,捨,064,1,4,,,,03835,,,,,
0704,授,064,1,6,,,,03855,,,,,
0705,掛,064,1,2,,,,03867,,,,,
0706,接,064,1,3,,,,03878,,,,,
0707,損,064,1,2,,,,03939,,,,,
0708,播,064,1,4,,,,04069,,,,,
0709,改,066,1,2,,,,04228,,,,,
0710,放,066,1,3,,,,04233,,,,,
0711,政,066,1,3,,,,04235,,,,,
0712,故,066,1,9,,,,04243,,,,,
0713,教,066,1,3,,,,04261,,,,,
0714,敬,066,1,3,,,,04286,,,,,
0715,數,066,1,5,,,,04298,,,,,
0716,變,066,1,5,,,,04319,,,,,
0717,文,067,1,5,,,,04321,,,,,
0718,斬,069,1,4,,,,04369,,,,,
0719,斯,069,1,4,,,,04373,,,,,
0720,新,069,1,11,,,,04376,,,,,
0721,方,070,1,6,,,,04385,,,,,
0722-0724,於,070,2,106,2,,,04389,,,,,
0725,既,071,1,3,,,,04442,,,,,
0726,日,072,1,24,,,,04446,,,,,
0727,明,072,1,2,,,,04485,,,,,
0728,春,072,1,8,,,,04503,,,,,
0729,是,072,1,49,,,,04512,,,,,
0730,時,072,1,16,,,,04523,,,,,
0731,晝,072,1,3,,,,04542,,,,,
0732,智,072,1,6,,,,04569,,,,,
0733,暖,072,1,4,,,,04590,,,,,
0734,曇,072,1,3,,,,04621,,,,,
0735-0736,曰,073,1,62,,,,04650,,,,,
0737,曲,073,1,2,,,,04651,,,,,
0738,更,073,1,4,,,,04654,,,,,
0739,書,073,1,2,,,,04657,,,,,
0740,曾,073,1,8,,,,04661,,,,,
0741,月,074,1,50,,,,04673,,,,,
0742,有,074,1,19,,,,04674,,,,,
0743,望,074,1,3,,,,04693,,,,,
0744,朝,074,1,10,,,,04696,,,,,
0745,木,075,1,5,,,,04707,,,,,
0746,未,075,1,12,,,,04711,,,,,
0747,柱,075,1,2,,,,04871,,,,,
0748,本,075,1,3,,,,04713,,,,,
0749,村,075,1,2,,,,04739,,,,,
0750,東,075,1,7,,,,04765,,,,,
0751,杯,075,1,2,,,,04776,,,,,
0752,果,075,1,2,,,,04806,,,,,
0753,枝,075,1,2,,,,04807,,,,,
0754,枳,075,1,5,,,,04817,,,,,
0756,柯,075,1,7,,,,04869,,,,,
0757,栖,075,1,3,,,,04888,,,,,
0758,梅,075,1,4,,,,04971,,,,,
0759,梨,075,1,3,,,,04993,,,,,
0760,棄,075,1,2,,,,05014,,,,,
0761,樹,075,2,1,1,,,05323,,,,,
0762,橋,075,1,2,,,,05348,,,,,
0763,檢,075,1,2,,,,05420,,,,,
0764,權,075,1,2,,,,05529,,,,,
0765,次,076,1,2,,,,05558,,,,,
0766,欲,076,1,7,,,,05580,,,,,
0767,歌,076,1,13,,,,05609,,,,,
0768,歟,076,1,2,,,,05633,,,,,
0769,止,077,1,2,,,,05641,,,,,
0770,此,077,1,11,,,,05644,,,,,
0771,武,077,1,2,,,,05649,,,,,
0772,歳,077,1,4,,,,05666,,,,,
0773,歴,077,1,2,,,,05670,,,,,
0774,死,078,1,11,,,,05686,,,,,
0775,殊,078,0,1,,,,05717,,,,,
0776,殺,079,1,4,,,,05796,,,,,
0777,殿,079,1,6,,,,05809,,,,,
0778,母,080,1,24,,,,05834,,,,,
0779,毎,080,1,2,,,,05836,,,,,
0780,毒,080,1,2,,,,05839,,,,,
0781,比,081,1,9,,,,05841,,,,,
0782,鞠,177,1,2,,,,13179,,,,,
0783,氏,083,1,2,,,,05932,,,,,
0784,氣,084,1,7,,,,05947,,,,,
0785,水,085,1,11,,,,05952,,,,,
0786,氷,085,1,2,,,,05956,,,,,
0787,求,085,1,4,,,,05964,,,,,
0788,汗,085,1,2,,,,05978,,,,,
0789,江,085,1,3,,,,05985,,,,,
0790,池,085,1,6,,,,05986,,,,,
0791,河,085,1,6,,,,06045,,,,,
0792,治,085,1,3,,,,06055,,,,,
0793,泊,085,1,4,,,,06064,,,,,
0794,法,085,1,3,,,,06074,,,,,
0795,波,085,1,12,,,,06086,,,,,
0796,泥,085,1,3,,,,06088,,,,,
0797,津,085,1,5,,,,06128,,,,,
0798,浦,085,1,2,,,,06169,,,,,
0799,海,085,1,3,,,,06182,,,,,
0800,深,085,1,3,,,,06285,,,,,
0801,清,085,1,2,,,,06290,,,,,
0802,淵,085,1,2,,,,06310,,,,,
0803,渟,085,1,2,,,,06316,,,,,
0804,渠,085,1,7,,,,06317,,,,,
0805,渡,085,1,2,,,,06318,,,,,
0806,滿,085,1,2,,,,06476,,,,,
0807,漢,085,1,4,,,,06499,,,,,
0808,災,086,1,2,,,,06792,,,,,
0809,烏,086,1,9,,,,06835,,,,,
0810,焉,086,1,5,,,,06861,,,,,
0811,無,086,1,18,,,,06872,,,,,
0812,然,086,1,7,,,,06885,,,,,
0813,燒,086,2,4,1,,,06978,,,,,
0814,爭,087,1,2,,,,07028,,,,,
0815,爲,087,1,27,,,,07032,,,,,
0816,父,088,1,8,,,,07035,,,,,
0817,爾,089,1,2,,,,07043,,,,,
0818,物,093,1,9,,,,07080,,,,,
0819,犬,094,1,5,,,,07110,,,,,
0820,猿,094,1,4,,,,07207,,,,,
0821,獨,094,1,2,,,,07230,,,,,
0822,獻,094,1,6,,,,07250,,,,,
0823,茲,095,1,4,,,,07258,,,,,
0824,率,095,1,5,,,,07259,,,,,
0825,斑,067,1,4,,,,04332,,,,,
0826,王,096,1,29,,,,07262,,,,,
0827,珍,096,1,2,,,,07287,,,,,
0828,甚,099,1,5,,,,07457,,,,,
0829,生,100,1,7,,,,07461,,,,,
0830,田,102,1,21,,,,07478,,,,,
0831,由,102,1,14,,,,07479,,,,,
0832,甲,102,1,10,,,,07480,,,,,
0833,申,102,1,9,,,,07481,,,,,
0834,畏,102,1,2,,,,07503,,,,,
0835,留,102,1,2,,,,07508,,,,,
0836,畝,102,1,2,,,,07514,,,,,
0837,畢,102,1,2,,,,07520,,,,,
0838,異,102,1,2,,,,07530,,,,,
0839,當,102,1,3,,,,07535,,,,,
0840,疾,104,1,2,,,,07591,,,,,
0841,病,104,1,4,,,,07598,,,,,
0842,發,105,2,7,3,,,07707,,,,,
0843,白,106,1,5,,,,07709,,,,,
0844,百,106,1,31,,,,07710,,,,,
0845,皆,106,1,2,,,,07717,,,,,
0846,皇,106,1,45,,,,07718,,,,,
0847,盡,108,1,5,,,,07779,,,,,
0848,目,109,1,2,,,,07790,,,,,
0849,直,109,1,8,,,,07799,,,,,
0850,相,109,1,7,,,,07801,,,,,
0851,看,109,1,2,,,,07817,,,,,
0852,衆,109,1,3,,,,07844,,,,,
0853,矣,111,1,5,,,,07938,,,,,
0854,知,111,1,9,,,,07941,,,,,
0855,矩,111,1,2,,,,07944,,,,,
0856,石,112,1,2,,,,07954,,,,,
0857,礙,112,1,2,,,,08077,,,,,
0858,示,113,1,2,,,,08097,,,,,
0859,社,113,1,2,,,,08101,,,,,
0860,祈,113,1,3,,,,08108,,,,,
0861,祖,113,1,8,,,,08117,,,,,
0862,神,113,1,9,,,,08124,,,,,
0863,禰,113,1,2,,,,08166,,,,,
0864,祭,113,2,3,2,,,08135,,,,,
0865,福,113,1,2,,,,08148,,,,,
0866,私,115,1,2,,,,08180,,,,,
0867,秋,115,1,4,,,,08187,,,,,
0868,移,115,1,6,,,,08212,,,,,
0869,稚,115,1,4,,,,08233,,,,,
0870,種,115,1,2,,,,08244,,,,,
0871,稱,115,1,3,,,,08248,,,,,
0872,積,115,1,3,,,,08269,,,,,
0873,穴,116,1,2,,,,08291,,,,,
0874,空,116,1,2,,,,08296,,,,,
0875,立,117,1,6,,,,08354,,,,,
0876,竝,117,1,2,,,,08361,,,,,
0877,童,117,1,5,,,,08371,,,,,
0878,第,118,1,2,,,,08412,,,,,
0879,等,118,1,43,,,,08426,,,,,
0880,筑,118,1,4,,,,08434,,,,,
0881,箭,118,1,2,,,,08479,,,,,
0882,納,120,1,2,,,,08747,,,,,
0883,紫,120,1,6,,,,08773,,,,,
0884,終,120,1,2,,,,08795,,,,,
0885,結,120,1,2,,,,08807,,,,,
0886,給,120,1,2,,,,08822,,,,,
0887,經,120,1,6,,,,08856,,,,,
0888,綿,120,1,3,,,,08899,,,,,
0889,總,120,1,3,,,,08993,,,,,
0890,罪,122,1,2,,,,09125,,,,,
0891,置,122,1,6,,,,09128,,,,,
0892,羅,122,1,19,,,,09144,,,,,
0893,羣,123,1,4,,,,09175,,,,,
0894,翹,124,1,12,,,,09240,,,,,
0895,老,125,1,2,,,,09250,,,,,
0896,者,125,1,17,,,,09255,,,,,
0897-0898,而,126,1,77,,,,09264,,,,,
0899,聚,128,1,3,,,,09314,,,,,
0900,聞,128,1,6,,,,09315,,,,,
0901,聲,128,1,2,,,,09328,,,,,
0902,肩,130,1,2,,,,09370,,,,,
0903,背,130,1,10,,,,09394,,,,,
0904,脚,130,1,2,,,,09447,,,,,
0905,膩,130,1,2,,,,09548,,,,,
0906,膽,130,1,2,,,,09562,,,,,
0907-0908,臣,131,1,86,,,,09596,,,,,
0909,臥,131,1,3,,,,09599,,,,,
0910,臨,131,1,3,,,,09601,,,,,
0911,自,132,1,17,,,,09602,,,,,
0912,臭,132,1,3,,,,09605,,,,,
0913,至,133,1,2,,,,09610,,,,,
0914,致,133,1,2,,,,09611,,,,,
0915,與,134,1,18,,,,09629,,,,,
0916,興,134,1,4,,,,09630,,,,,
0917,擧,134,1,8,,,,09632,,,,,
0918,舍,135,1,4,,,,09638,,,,,
0919,舞,136,1,2,,,,09656,,,,,
0920,舶,137,1,3,,,,09672,,,,,
0921,船,137,1,10,,,,09675,,,,,
0922,色,139,2,4,2,,,09716,,,,,
0923,花,140,1,4,,,,09758,,,,,
0924,茨,140,1,4,,,,09823,,,,,
0925,草,140,2,3,3,,,09846,,,,,
0926,莖,140,1,2,,,,09874,,,,,
0927,菌,140,1,3,,,,09901,,,,,
0928,菟,140,1,3,,,,09911,,,,,
0929,葉,140,1,4,,,,09966,,,,,
0930,葛,140,1,4,,,,09976,,,,,
0931,葬,140,1,6,,,,09985,,,,,
0932,蓋,140,1,4,,,,10040,,,,,
0933,薨,140,1,3,,,,10162,,,,,
0934,虎,141,1,3,,,,10264,,,,,
0935,行,144,1,6,,,,10614,,,,,
0936,術,144,1,2,,,,10618,,,,,
0937,衞,144,1,3,,,,10630,,,,,
0938,表,145,1,3,,,,10643,,,,,
0939,西,146,1,5,,,,10820,,,,,
0940,覆,146,1,4,,,,10826,,,,,
0941,見,147,1,12,,,,10831,,,,,
0942,視,147,1,3,,,,10837,,,,,
0943,觀,147,1,3,,,,10859,,,,,
0944,角,148,1,4,,,,10860,,,,,
0945,解,148,1,4,,,,10875,,,,,
0946,言,149,1,14,,,,10890,,,,,
0947,訖,149,2,1,1,,,10912,,,,,
0948,記,149,1,3,,,,10914,,,,,
0949,設,149,1,2,,,,10928,,,,,
0950,許,149,1,8,,,,10930,,,,,
0951,詔,149,1,6,,,,10959,,,,,
0952,詣,149,1,2,,,,10974,,,,,
0953,誅,149,1,7,,,,10999,,,,,
0954,語,149,1,7,,,,11017,,,,,
0955,説,149,1,10,,,,11025,,,,,
0956,誰,149,1,2,,,,11028,,,,,
0957,調,149,1,8,,,,11038,,,,,
0958,請,149,1,4,,,,11049,,,,,
0959,諮,149,1,2,,,,11076,,,,,
0960,諸,149,1,7,,,,11085,,,,,
0961,謀,149,1,11,,,,11092,,,,,
0962,謂,149,1,12,,,,11095,,,,,
0963,謠,149,1,6,,,,11123,,,,,
0964,議,149,1,3,,,,11195,,,,,
0965,讀,149,1,5,,,,11207,,,,,
0966,谷,150,1,2,,,,11234,,,,,
0967,豆,151,1,2,,,,11250,,,,,
0968,豈,151,1,4,,,,11253,,,,,
0969,豐,151,1,4,,,,11261,,,,,
0970,財,154,1,4,,,,11334,,,,,
0971,賀,154,1,2,,,,11364,,,,,
0972,質,154,1,2,,,,11404,,,,,
0973,賊,154,1,3,,,,11377,,,,,
0974,賜,154,1,8,,,,11393,,,,,
0975,走,156,1,3,,,,11454,,,,,
0976,越,156,1,2,,,,11471,,,,,
0977,跪,157,1,3,,,,11542,,,,,
0978,路,157,1,4,,,,11548,,,,,
0979,身,158,1,10,,,,11715,,,,,
0980,軍,159,1,9,,,,11745,,,,,
0981,輕,159,1,5,,,,11802,,,,,
0982,輪,159,1,5,,,,11827,,,,,
0983,轉,159,1,2,,,,11856,,,,,
0984,辛,160,1,15,,,,11893,,,,,
0985,辰,161,1,8,,,,11917,,,,,
0986,近,162,1,4,,,,11948,,,,,
0987,述,162,1,2,,,,11968,,,,,
0988,退,162,1,4,,,,11982,,,,,
0989,送,162,1,4,,,,11983,,,,,
0990,速,162,1,2,,,,12003,,,,,
0991,造,162,1,11,,,,12004,,,,,
0992,連,162,1,35,,,,12010,,,,,
0993,進,162,1,9,,,,12022,,,,,
0994,遂,162,1,10,,,,12037,,,,,
0995,過,162,1,2,,,,12046,,,,,
0996,達,162,1,3,,,,12052,,,,,
0997,遙,162,1,2,,,,12062,,,,,
0998,遣,162,1,11,,,,12074,,,,,
0999,還,162,1,9,,,,12108,,,,,
1000,郷,163,1,5,,,,12205,,,,,
1001,郡,163,1,5,,,,12170,,,,,
1002,部,163,1,9,,,,12176,,,,,
1003,都,163,1,7,,,,12188,,,,,
1004,酉,164,2,11,1,,,12259,,,,,
1005,重,166,1,2,,,,12373,,,,,
1006,野,166,1,10,,,,12374,,,,,
1007,金,167,1,4,,,,12380,,,,,
1008,針,167,1,3,,,,12386,,,,,
1009,鎌,167,1,12,,,,12568,,,,,
1010,長,168,1,15,,,,12698,,,,,
1011,門,169,1,11,,,,12709,,,,,
1012,間,169,1,4,,,,12724,,,,,
1013,阿,170,1,8,,,,12830,,,,,
1014,附,170,1,2,,,,12834,,,,,
1015,限,170,1,3,,,,12839,,,,,
1016,陳,170,1,8,,,,12864,,,,,
1017,陵,170,1,3,,,,12867,,,,,
1018,隨,170,1,5,,,,12927,,,,,
1019,隱,170,1,3,,,,12935,,,,,
1020,雀,172,1,2,,,,12955,,,,,
1021,雖,172,1,2,,,,12991,,,,,
1022,雙,172,1,2,,,,12994,,,,,
1023,難,172,1,8,,,,13002,,,,,
1024,雨,173,1,19,,,,13012,,,,,
1025,雪,173,1,2,,,,13015,,,,,
1026,雲,173,1,4,,,,13020,,,,,
1027,雷,173,1,12,,,,13023,,,,,
1028,雹,173,1,4,,,,13024,,,,,
1029,震,173,1,4,,,,13036,,,,,
1030,霖,173,1,2,,,,13048,,,,,
1031,青,174,1,2,,,,13095,,,,,
1032,鞍,177,1,9,,,,13160,,,,,
1033,韓,178,1,3,,,,13249,,,,,
1034,順,181,1,2,,,,13302,,,,,
1035,須,181,1,7,,,,13304,,,,,
1036,預,181,1,3,,,,13313,,,,,
1037,頭,181,1,4,,,,13346,,,,,
1038,頻,181,1,2,,,,13359,,,,,
1039,額,181,1,5,,,,13377,,,,,
1040,願,181,1,2,,,,13391,,,,,
1041,風,182,1,12,,,,13423,,,,,
1042,飯,184,1,2,,,,13527,,,,,
1043,飼,184,1,2,,,,13540,,,,,
1044,養,184,1,8,,,,13551,,,,,
1045,餘,184,1,5,,,,13565,,,,,
1046,饗,184,1,5,,,,13647,,,,,
1047,香,186,1,2,,,,13667,,,,,
1048,馬,187,1,7,,,,13680,,,,,
1049,馳,187,1,2,,,,13688,,,,,
1050,駒,187,1,3,,,,13720,,,,,
1051,騰,187,1,23,,,,13820,,,,,
1052,驚,187,1,3,,,,13852,,,,,
1053,驛,187,1,3,,,,13853,,,,,
1054,骨,188,1,2,,,,13873,,,,,
1055,高,189,1,18,,,,13940,,,,,
1056,魯,195,1,2,,,,14116,,,,,
1057,鳩,196,1,3,,,,14366,,,,,
1058,鳴,196,1,10,,,,14379,,,,,
1059,麻,200,1,22,,,,14681,,,,,
1060,麼,200,1,2,,,,14684,,,,,
1061,黄,201,1,2,,,,14693,,,,,
1062,黒,203,1,3,,,,14709,,,,,
1063,世,001,2,4,2,,,00025,,,,,
1064,休,009,2,1,1,,,00219,,,,,
1065,候,009,2,1,1,,,00369,,,,,
1066,兆,010,2,3,2,,,00564,,,,,
1067,凡,016,2,1,1,,,00701,,,,,
1068,劍,018,2,6,1,,,00843,,,,,
1069,又,029,2,5,1,,,01108,,,,,
1070,吉,030,2,6,2,,,01172,,,,,
1071,吐,030,2,1,1,,,01178,,,,,
1072,喚,030,2,1,1,,,01410,,,,,
1073,壁,032,2,1,1,,,01873,,,,,
1074,壽,033,2,1,1,,,01913,,,,,
1075,姫,038,2,2,1,,,02108,,,,,
1076,害,040,2,2,1,,,02346,,,,,
1077,岐,046,2,15,2,,,02540,,,,,
1078,巫,048,2,5,1,,,02779,,,,,
1079,差,048,2,2,1,,,02780,,,,,
1080,從,060,2,4,3,,,03151,,,,,
1081,朔,074,2,23,4,,,04686,,,,,
1082,極,075,2,4,1,,,05161,,,,,
1083,正,077,2,5,1,,,05643,,,,,
1084,歸,077,2,4,2,,,05676,,,,,
1085,民,083,2,4,4,,,05935,,,,,
1086,流,085,2,3,2,,,06151,,,,,
1087,濟,085,2,14,12,,,06641,,,,,
1088,獲,094,2,2,1,,,07241,,,,,
1089,疑,103,2,1,1,,,07559,,,,,
1090,癸,105,2,6,3,,,07703,,,,,
1091,網,120,2,3,2,,,08885,,,,,
1092,罷,122,2,5,1,,,09133,,,,,
1093,聽,128,2,2,1,,,09335,,,,,
1094,能,130,2,18,2,,,09429,,,,,
1095,蘇,140,2,21,1,,,10231,,,,,
1096,蝦,142,2,10,1,,,10475,,,,,
1097,蟲,142,2,5,1,,,10549,,,,,
1098,被,145,2,4,1,,,10683,,,,,
1099,覡,147,2,3,1,,,10843,,,,,
1100,貢,154,1,2,,,,11335,,,,,
1101,起,156,2,11,1,,,11461,,,,,
1102,足,157,2,4,2,,,11495,,,,,
1103,邊,162,3,1,1,1,,12115,,,,,
1104,陀,170,2,3,1,,,12831,,,,,
1105,鹿,198,2,26,4,,,14621,,,,,
1106,麗,198,2,6,5,,,14645,,,,,
1107,喪,030,4,3,1,1,1,01430,,,,,
1108,々,〓,1,22,,,,,,,,,
1109,珠,096,0,1,,,,07291,,,,,
1110,嗚,030,1,2,,,,01448,,,,,
1111,旦,072,0,1,,,,04447,,,,,
1112,柁,075,1,2,,,,04833,,,,,
