カード番号,文字,部首番号,字体数,用例数1,用例数2,用例数3,用例数4,大字典,,,,,
0079,塋,032,0,,,,,01809,,,,,
0080,壹,033,0,,,,,01909,,,,,
0081,奇,037,0,,,,,01972,,,,,
0082,姻,038,0,,,,,02100,,,,,
0083,奴,038,0,,,,,02024,,,,,
0084,姉,038,0,,,,,02068,,,,,
0085,妾,038,0,,,,,02062,,,,,
0086,娘,038,0,,,,,02116,,,,,
0087,婚,038,0,,,,,02149,,,,,
0088,婦,038,0,,,,,02155,,,,,
0089,媒,038,0,,,,,02175,,,,,
0090,嫌,038,0,,,,,02203,,,,,
0091,孔,039,0,,,,,02264,,,,,
0092,宇,040,0,,,,,02307,,,,,
0093,宅,040,0,,,,,02306,,,,,
0094,定,040,0,,,,,02325,,,,,
0095,室,040,0,,,,,02332,,,,,
0096,宴,040,0,,,,,02347,,,,,
0097,宿,040,0,,,,,02355,,,,,
0098,察,040,0,,,,,02383,,,,,
0099,寢,040,0,,,,,02387,,,,,
0100,審,040,0,,,,,02395,,,,,
0101,寵,040,0,,,,,02406,,,,,
0102,容,040,0,,,,,02352,,,,,
0103,封,041,0,,,,,02420,,,,,
0104,射,041,0,,,,,02422,,,,,
0105,尚,042,0,,,,,02446,,,,,
0106,屈,044,0,,,,,02485,,,,,
0107,展,044,0,,,,,02496,,,,,
0108,屬,044,0,,,,,02515,,,,,
0109,岸,046,0,,,,,02564,,,,,
0110,崑,046,0,,,,,02614,,,,,
0111,崙,046,0,,,,,02623,,,,,
0112,嶺,046,0,,,,,02734,,,,,
0113,川,047,0,,,,,02762,,,,,
0114,市,050,0,,,,,02799,,,,,
0115,布,050,0,,,,,02800,,,,,
0116,帛,050,0,,,,,02819,,,,,
0117,席,050,0,,,,,02839,,,,,
0118,幣,050,0,,,,,02883,,,,,
0119,幼,052,0,,,,,02909,,,,,
0120,幽,052,0,,,,,02912,,,,,
0121,床,053,0,,,,,02924,,,,,
0122,序,053,0,,,,,02928,,,,,
0123,庸,053,0,,,,,02963,,,,,
0124,廟,053,0,,,,,02989,,,,,
0125,弊,055,0,,,,,03027,,,,,
0126,弑,056,0,,,,,03039,,,,,
0127,彈,057,0,,,,,03079,,,,,
0128,彌,057,0,,,,,03084,,,,,
0129,彦,059,0,,,,,03106,,,,,
0130,徑,060,0,,,,,03142,,,,,
0131,徒,060,0,,,,,03143,,,,,
0132,忠,061,0,,,,,03203,,,,,
0133,忽,061,0,,,,,03219,,,,,
0134,思,061,0,,,,,03239,,,,,
0135,急,061,0,,,,,03243,,,,,
0136,性,061,0,,,,,03244,,,,,
0137,恨,061,0,,,,,03291,,,,,
0138,恭,061,0,,,,,03297,,,,,
0139,患,061,0,,,,,03329,,,,,
0140,情,061,0,,,,,03348,,,,,
0141,惑,061,0,,,,,03355,,,,,
0142,惠,061,0,,,,,03366,,,,,
0143,愈,061,0,,,,,03391,,,,,
0144,愚,061,0,,,,,03404,,,,,
0145,感,061,0,,,,,03409,,,,,
0146,慈,061,0,,,,,03439,,,,,
0147,慰,061,0,,,,,03469,,,,,
0148,懷,061,0,,,,,03585,,,,,
0149,懼,061,0,,,,,03589,,,,,
0150,懾,061,0,,,,,03592,,,,,
0151,戒,062,0,,,,,03612,,,,,
0152,房,063,0,,,,,03646,,,,,
0153,把,064,0,,,,,03700,,,,,
0154,抱,064,0,,,,,03720,,,,,
0155,拒,064,0,,,,,03747,,,,,
0156,拾,064,0,,,,,03778,,,,,
0157,挺,064,0,,,,,03804,,,,,
0158,挾,064,0,,,,,03809,,,,,
0159,捉,064,0,,,,,03818,,,,,
0160,掃,064,0,,,,,03851,,,,,
0161,掉,064,0,,,,,03856,,,,,
0162,掌,064,0,,,,,03858,,,,,
0163,採,064,0,,,,,03872,,,,,
0164,推,064,0,,,,,03880,,,,,
0165,掩,064,0,,,,,03881,,,,,
0166,換,064,0,,,,,03907,,,,,
0167,揮,064,0,,,,,03921,,,,,
0168,撲,064,0,,,,,04072,,,,,
0169,04095,064,0,,,,,04095,,,,,
0170,擬,064,0,,,,,04122,,,,,
0171,擅,064,0,,,,,04084,,,,,
0172,擲,064,0,,,,,04130,,,,,
0173,敢,066,0,,,,,04277,,,,,
0174,散,066,0,,,,,04280,,,,,
0175,敷,066,0,,,,,04296,,,,,
0176,旅,070,0,,,,,04402,,,,,
0177,旋,070,0,,,,,04406,,,,,
0178,族,070,0,,,,,04412,,,,,
0179,旱,072,0,,,,,04461,,,,,
0180,星,072,0,,,,,04499,,,,,
0181,晩,072,0,,,,,04539,,,,,
0182,昵,072,0,,,,,04518,,,,,
0183,暴,072,0,,,,,04608,,,,,
0184,曳,073,0,,,,,04653,,,,,
0185,曼,073,0,,,,,04660,,,,,
0186,服,074,0,,,,,04679,,,,,
0187,朕,074,0,,,,,04688,,,,,
0188,期,074,0,,,,,04699,,,,,
0189,末,075,0,,,,,04712,,,,,
0190,材,075,0,,,,,04738,,,,,
0191,杜,075,0,,,,,04747,,,,,
0192,板,075,0,,,,,04781,,,,,
0193,林,075,0,,,,,04803,,,,,
0194,枚,075,0,,,,,04805,,,,,
0195,枯,075,0,,,,,04813,,,,,
0196,柵,075,0,,,,,04875,,,,,
0197,桃,075,0,,,,,04930,,,,,
0198,桙,075,0,,,,,,,,,,
0199,椒,075,0,,,,,05087,,,,,
0200,榮,075,0,,,,,05210,,,,,
0201,槍,075,0,,,,,05237,,,,,
0202,槻,075,0,,,,,05272,,,,,
0203,樂,075,0,,,,,05279,,,,,
0204,橘,075,0,,,,,05361,,,,,
0205,檀,075,0,,,,,05391,,,,,
0206,檮,075,0,,,,,05428,,,,,
0207,欠,076,0,,,,,05557,,,,,
0208,欣,076,0,,,,,05561,,,,,
0209,歎,076,0,,,,,05612,,,,,
0210,殆,078,0,,,,,05707,,,,,
0211,殘,078,0,,,,,05737,,,,,
0212,毘,081,0,,,,,05845,,,,,
0213,毛,082,0,,,,,05850,,,,,
0214,永,085,0,,,,,05957,,,,,
0215,汁,085,0,,,,,05963,,,,,
0216,決,085,0,,,,,06003,,,,,
0217,沃,085,0,,,,,06009,,,,,
0218,泣,085,0,,,,,06087,,,,,
0219,派,085,0,,,,,06149,,,,,
0220,消,085,0,,,,,06192,,,,,
0221,淨,085,0,,,,,06272,,,,,
0222,淹,085,0,,,,,06291,,,,,
0223,溝,085,0,,,,,06404,,,,,
0224,溢,085,0,,,,,06408,,,,,
0225,滅,085,0,,,,,06432,,,,,
0226,滑,085,0,,,,,06445,,,,,
0227,漸,085,0,,,,,06517,,,,,
0228,潦,085,0,,,,,06541,,,,,
0229,潛,085,0,,,,,06548,,,,,
0230,潤,085,0,,,,,06553,,,,,
0231,澤,085,0,,,,,06603,,,,,
0232,涜,085,0,,,,,06681,,,,,
0233,火,086,0,,,,,06776,,,,,
0234,灰,086,0,,,,,06784,,,,,
0235,灼,086,0,,,,,06791,,,,,
0236,煮,086,0,,,,,06895,,,,,
0237,照,086,0,,,,,06918,,,,,
0238,煩,086,0,,,,,06921,,,,,
0239,熟,086,0,,,,,06949,,,,,
0240,營,086,0,,,,,06984,,,,,
0241,爛,086,0,,,,,07017,,,,,
0242,牛,093,0,,,,,07072,,,,,
0243,特,093,0,,,,,07086,,,,,
0244,犯,094,0,,,,,07112,,,,,
0245,状,094,0,,,,,07122,,,,,
0246,猪,094,0,,,,,07192,,,,,
0247,猴,094,0,,,,,07200,,,,,
0248,猶,094,0,,,,,07203,,,,,
0249,獵,094,0,,,,,07244,,,,,
0250,獸,094,0,,,,,07248,,,,,
0251,瑞,096,0,,,,,07346,,,,,
0252,甘,099,0,,,,,07456,,,,,
0253,産,100,0,,,,,07464,,,,,
0254,男,102,0,,,,,07483,,,,,
0255,町,102,0,,,,,07487,,,,,
0256,畜,102,0,,,,,07513,,,,,
0257,疏,103,0,,,,,07557,,,,,
0258,痛,104,0,,,,,07613,,,,,
0259,癈,104,0,,,,,07674,,,,,
0260,癡,104,0,,,,,07685,,,,,
0261,登,105,0,,,,,07706,,,,,
0262,皮,107,0,,,,,07739,,,,,
0263,益,108,0,,,,,07759,,,,,
0264,盛,108,0,,,,,07770,,,,,
0265,盜,108,0,,,,,07771,,,,,
0266,眞,109,0,,,,,07827,,,,,
0267,眷,109,0,,,,,07839,,,,,
0268,眼,109,0,,,,,07843,,,,,
0269,睡,109,0,,,,,07860,,,,,
0270,睹,109,0,,,,,07870,,,,,
0271,瞻,109,0,,,,,07907,,,,,
0272,矢,111,0,,,,,07937,,,,,
0273,破,112,0,,,,,07986,,,,,
0274,磐,112,0,,,,,08047,,,,,
