統合ID,文字,兼右書紀,字体数,用例数,部首
10974,詣,0952,1,2,149
10999,誅,0953,1,7,149
11017,語,0954,1,7,149
11025,説,0955,1,10,149
11028,誰,0956,1,2,149
11038,調,0957,1,8,149
11049,請,0958,1,4,149
11076,諮,0959,1,2,149
11085,諸,0960,1,7,149
11092,謀,0961,1,11,149
11095,謂,0962,1,12,149
11123,謠,0963,1,6,149
11195,議,0964,1,3,149
11207,讀,0965,1,5,149
11234,谷,0966,1,2,150
11250,豆,0967,1,2,151
11253,豈,0968,1,4,151
11261,豐,0969,1,4,151
11334,財,0970,1,4,154
11364,賀,0971,1,2,154
11404,質,0972,1,2,154
11377,賊,0973,1,3,154
11393,賜,0974,1,8,154
11454,走,0975,1,3,156
11471,越,0976,1,2,156
11542,跪,0977,1,3,157
11548,路,0978,1,4,157
11715,身,0979,1,10,158
11745,軍,0980,1,9,159
11802,輕,0981,1,5,159
11827,輪,0982,1,5,159
11856,轉,0983,1,2,159
11893,辛,0984,1,15,160
11917,辰,0985,1,8,161
11948,近,0986,1,4,162
11968,述,0987,1,2,162
11982,退,0988,1,4,162
11983,送,0989,1,4,162
12003,速,0990,1,2,162
12004,造,0991,1,11,162
12010,連,0992,1,35,162
12022,進,0993,1,9,162
12037,遂,0994,1,10,162
12046,過,0995,1,2,162
12052,達,0996,1,3,162
12062,遙,0997,1,2,162
12074,遣,0998,1,11,162
12108,還,0999,1,9,162
12205,鄕,1000,1,5,163
12170,郡,1001,1,5,163
12176,部,1002,1,9,163
12188,都,1003,1,7,163
12259,酉,1004a,2,11,164
12259b,酉,1004b,2,1,164
12373,重,1005,1,2,166
12374,野,1006,1,10,166
12380,金,1007,1,4,167
12386,針,1008,1,3,167
12568,鎌,1009,1,12,167
12698,長,1010,1,15,168
12709,門,1011,1,11,169
12724,間,1012,1,4,169
12830,阿,1013,1,8,170
12834,附,1014,1,2,170
12839,限,1015,1,3,170
12864,陳,1016,1,8,170
12867,陵,1017,1,3,170
12927,隨,1018,1,5,170
12935,隱,1019,1,3,170
12955,雀,1020,1,2,172
12991,雖,1021,1,2,172
12994,雙,1022,1,2,172
13002,難,1023,1,8,172
13012,雨,1024,1,19,173
13015,雪,1025,1,2,173
13020,雲,1026,1,4,173
13023,雷,1027,1,12,173
13024,雹,1028,1,4,173
13036,震,1029,1,4,173
13048,霖,1030,1,2,173
13095,青,1031,1,2,174
13160,鞍,1032,1,9,177
13249,韓,1033,1,3,178
13302,順,1034,1,2,181
13304,須,1035,1,7,181
13313,預,1036,1,3,181
13346,頭,1037,1,4,181
13359,頻,1038,1,2,181
13377,額,1039,1,5,181
13391,願,1040,1,2,181
13423,風,1041,1,12,182
13527,飯,1042,1,2,184
13540,飼,1043,1,2,184
13551,養,1044,1,8,184
13565,餘,1045,1,5,184
13647,饗,1046,1,5,184
13667,香,1047,1,2,186
13680,馬,1048,1,7,187
13688,馳,1049,1,2,187
13720,駒,1050,1,3,187
13820,騰,1051,1,23,187
13852,驚,1052,1,3,187
13853,驛,1053,1,3,187
13873,骨,1054,1,2,188
13940,高,1055,1,18,189
14116,魯,1056,1,2,195
14366,鳩,1057,1,3,196
14379,鳴,1058,1,10,196
14681,麻,1059,1,22,200
14684,麼,1060,1,2,200
14693,黃,1061,1,2,201
14709,黑,1062,1,3,203
00025,世,1063a,2,4,001
00025b,世,1063b,2,2,001
00219,休,1064a,2,1,009
00219b,休,1064b,2,1,009
00369,候,1065a,2,1,009
00369b,候,1065b,2,1,009
00564,兆,1066a,2,3,010
00564b,兆,1066b,2,2,010
00701,凡,1067a,2,1,016
00701b,凡,1067b,2,1,016
00843,劍,1068a,2,6,018
00843b,劍,1068b,2,1,018
01108,又,1069a,2,5,029
01108b,又,1069b,2,1,029
01172,吉,1070a,2,6,030
01172b,吉,1070b,2,2,030
01178,吐,1071a,2,1,030
01178b,吐,1071b,2,1,030
01410,喚,1072a,2,1,030
01410b,喚,1072b,2,1,030
01873,壁,1073a,2,1,032
01873b,壁,1073b,2,1,032
01913,壽,1074a,2,1,033
01913b,壽,1074b,2,1,033
02108,姫,1075a,2,2,038
02108b,姫,1075b,2,1,038
02346,害,1076a,2,2,040
02346b,害,1076b,2,1,040
02540,岐,1077a,2,15,046
02540b,岐,1077b,2,2,046
02779,巫,1078a,2,5,048
02779b,巫,1078b,2,1,048
02780,差,1079a,2,2,048
02780b,差,1079b,2,1,048
03151,從,1080a,2,4,060
03151b,從,1080b,2,3,060
04686,朔,1081a,2,23,074
04686b,朔,1081b,2,4,074
05161,極,1082a,2,4,075
05161b,極,1082b,2,1,075
05643,正,1083a,2,5,077
05643b,正,1083b,2,1,077
05676,歸,1084a,2,4,077
05676b,歸,1084b,2,2,077
05935,民,1085a,2,4,083
05935b,民,1085b,2,4,083
06151,流,1086a,2,3,085
06151b,流,1086b,2,2,085
06641,濟,1087a,2,14,085
06641b,濟,1087b,2,12,085
07241,獲,1088a,2,2,094
07241b,獲,1088b,2,1,094
07559,疑,1089a,2,1,103
07559b,疑,1089b,2,1,103
07703,癸,1090a,2,6,105
07703b,癸,1090b,2,3,105
08885,網,1091a,2,3,120
08885b,網,1091b,2,2,120
09133,罷,1092a,2,5,122
09133b,罷,1092b,2,1,122
09335,聽,1093a,2,2,128
09335b,聽,1093b,2,1,128
09429,能,1094a,2,18,130
09429b,能,1094b,2,2,130
10231,蘇,1095a,2,21,140
10231b,蘇,1095b,2,1,140
10475,蝦,1096a,2,10,142
10475b,蝦,1096b,2,1,142
10549,蟲,1097a,2,5,142
10549b,蟲,1097b,2,1,142
10683,被,1098a,2,4,145
10683b,被,1098b,2,1,145
10843,覡,1099a,2,3,147
10843b,覡,1099b,2,1,147
11335,貢,1100,1,2,154
11461,起,1101a,2,11,156
11461b,起,1101b,2,1,156
11495,足,1102a,2,4,157
11495b,足,1102b,2,2,157
12115,邊,1103a,3,1,162
12115b,邊,1103b,3,1,162
12115c,邊,1103c,3,1,162
12831,陀,1104a,2,3,170
12831b,陀,1104b,2,1,170
14621,鹿,1105a,2,26,198
14621b,鹿,1105b,2,4,198
14645,麗,1106a,2,6,198
14645b,麗,1106b,2,5,198
01430,喪,1107a,4,3,030
01430b,喪,1107b,4,1,030
01430c,喪,1107c,4,1,030
01430d,喪,1107d,4,1,030
S00066,々,1108,〓,22,000
07291,珠,1109,0,1,096
01448,嗚,1110,1,2,030
04447,旦,1111,0,1,072
04833,柁,1112,1,2,075
