統合ID,文字,兼右書紀,字体数,用例数,部首
12783,闕,0390,0,1,169
12788,闚,0391,0,1,169
12797,闢,0392,0,1,169
12802,阜,0393,0,1,170
12854,陣,0394,0,1,170
12914,障,0395,0,1,170
12997,雜,0396,0,1,172
13052,霜,0397,0,1,173
13063,霧,0398,0,1,173
13107,靡,0399,0,1,175
13158,鞋,0400,0,1,177
13293,響,0401,0,1,180
13297,頃,0402,0,1,181
13327,領,0403,0,1,181
13495,飛,0404,0,1,183
13503,食,0405,0,1,184
13521,飫,0406,0,1,184
13584,館,0407,0,1,184
13661,首,0408,0,1,185
13959,髮,0409,0,1,190
14101,魚,0410,0,1,195
14361,鳥,0411,0,1,196
14542,鷄,0412,0,1,196
14725,點,0413,0,1,203
14730,黨,0414,0,1,203
14790,鼠,0415,0,1,208
00001,一,0416,1,28,001
00007,三,0417,1,23,001
00004,七,0418,1,3,001
00009,下,0419,1,8,001
00002,丁,0420,1,14,001
00008,上,0421,1,14,001
00013,不,0422,1,50,001
00027,丙,0423,1,10,001
00017,丑,0424,1,9,001
00020,且,0425,0,1,001
00006,丈,0426,1,3,001
00051,中,0427,1,43,002
00070,主,0428,1,4,003
00088,之,0429,1,67,004
00102,乘,0431,1,5,004
00078,乃,0432,1,5,004
00092,乎,0433,1,6,004
00121,亂,0434,1,2,005
00104,乙,0435,1,14,005
00109,也,0436,1,20,005
00107,九,0437,1,3,005
00113,乳,0438,1,2,005
00128,事,0439,1,4,006
00129,二,0440,1,15,007
00132,于,0441,1,13,007
00135,五,0442,1,9,007
00133,云,0443,1,3,007
00150,亡,0444,1,3,008
00153,亥,0445,1,15,008
00154,亦,0446,1,8,008
00168,人,0447,1,58,009
00170,仁,0449,1,2,009
00175,今,0450,1,6,009
00177,仍,0451,1,5,009
00192,代,0452,1,4,009
00193,令,0453,1,7,009
00194,以,0454,1,37,009
00199,仰,0455,1,3,009
00206,任,0456,1,3,009
00213,伊,0457,1,8,009
00217,伏,0458,1,2,009
00228,伯,0459,1,6,009
00230,伴,0460,1,5,009
00233,伺,0461,1,2,009
00235,似,0462,1,2,009
00243,位,0463,1,7,009
00246,佐,0464,1,13,009
00250,何,0465,1,6,009
00253,余,0466,1,4,009
00255,佛,0467,1,3,009
00256,作,0468,1,16,009
00260,伱,0469,1,10,009
00279,使,0470,1,54,009
00282,來,0472,1,11,009
00287,例,0473,1,8,009
00288,侍,0474,1,6,009
00321,便,0475,1,9,009
00338,俗,0476,1,2,009
00350,倶,0477,1,11,009
00365,倉,0478,1,9,009
00393,倭,0479,1,9,009
00421,健,0480,1,2,009
00429,側,0481,1,3,009
00449,傍,0482,1,3,009
00455,備,0483,1,5,009
00473,傷,0484,1,4,009
00489,像,0485,1,2,009
00503,僧,0486,1,2,009
00530,儒,0487,1,2,009
00561,兄,0488,1,30,010
00566,先,0489,1,2,010
00574,兒,0490,1,9,010
00582,入,0491,1,42,011
00585,内,0492,1,7,011
00589,全,0493,1,3,011
00591,兩,0494,1,2,011
00594,八,0495,1,6,012
00597,六,0496,1,8,012
00599,共,0497,1,3,012
00602,兵,0498,1,6,012
00605,其,0499,1,49,012
00606,具,0500,1,3,012
00662,冬,0501,1,5,015
00723,出,0502,1,6,017
