統合ID,文字,京博金般,字体数,用例数,部首
06499,漢,0340,1,8,085
06290,清,0341,1,2,085
06285,深,0342,1,2,085
06490,演,0343,1,2,085
06971,燈,0344,1,7,086
06885,然,0345,1,8,086
06872,無,0346,1,88,086
07032,爲,0348,1,48,087
07043,爾,0349,1,10,089
07074,牟,0350,1,2,093
07304,現,0351,1,2,096
07307,理,0352,1,2,096
07262,王,0353,1,4,096
07457,甚,0354,1,11,099
07461,生,0355,1,67,100
07469,用,0357,1,6,101
07535,當,0358,1,20,102
07479,由,0359,1,2,102
07483,男,0360,1,13,102
07501,界,0361,1,17,102
07707,發,0362,1,12,105
07717,皆,0363,1,13,106
07709,白,0364,1,10,106
07710,百,0365,1,9,106
07801,相,0366,1,89,109
07844,眾,0368,1,54,109
07843,眼,0370,1,11,109
07941,知,0371,1,15,111
08148,福,0372,1,28,113
08248,稱,0373,1,2,115
08244,種,0374,1,5,115
08296,空,0375,1,3,116
08366,章,0376,1,3,117
08426,等,0377,1,19,118
08493,節,0378,1,2,118
08412,第,0379,1,41,118
08469,算,0380,1,2,118
08856,經,0381,1,28,120
08924,緣,0382,1,2,120
09144,羅,0383,1,50,122
09125,罪,0384,1,2,122
09177,義,0385,1,10,123
09250,老,0386,1,2,125
09255,者,0387,1,70,125
09264,而,0389,1,18,126
09286,耨,0390,1,29,127
09335,聽,0391,1,2,128
09308,聖,0392,1,2,128
09328,聲,0393,1,5,128
09315,聞,0394,1,14,128
09292,耶,0395,1,3,128
09429,能,0396,1,15,130
09462,脩,0397,1,5,130
09348,肉,0398,1,2,130
09610,至,0399,1,11,133
09629,與,0400,1,3,134
09638,舍,0401,1,2,135
09665,般,0402,1,5,137
09716,色,0403,1,15,139
10163,薩,0404,1,37,140
09869,莊,0405,1,9,140
09919,菩,0406,1,201,140
09788,若,0411,1,77,140
09972,著,0413,1,9,140
09954,萬,0414,1,5,140
10251,蘭,0415,1,2,140
10192,藐,0416,1,29,140
09886,莫,0417,1,5,140
10272,虛,0418,1,5,141
10270,處,0419,1,7,141
10414,蜜,0420,1,10,142
10630,衞,0421,1,2,144
10614,行,0422,1,10,144
10637,衣,0423,1,2,145
10859,觀,0424,1,6,147
10831,見,0425,1,40,147
10875,解,0426,1,14,148
10887,觸,0427,1,4,148
10890,言,0428,1,41,149
11207,讀,0429,1,10,149
11023,誦,0430,1,10,149
11025,説,0431,1,88,149
10936,訶,0433,1,2,149
11095,謂,0434,1,4,149
11200,護,0435,1,2,149
11195,議,0436,1,4,149
11085,諸,0437,1,33,149
10914,記,0438,1,2,149
11189,譬,0439,1,4,149
11017,語,0440,1,5,149
11402,賤,0441,1,2,154
11342,貪,0442a,2,2,154
11342b,貪,0442b,2,1,154
11461,起,0443,1,2,156
11495,足,0444,1,14,157
11715,身,0445,1,24,158
11802,輕,0446,1,2,159
11918,辱,0447,1,3,161
11960,迦,0448,1,2,162
12000,通,0449,1,2,162
12046,過,0450,1,4,162
12051,道,0451,1,5,162
12115,邊,0452,1,4,162
12134,那,0453,1,7,163
12371,釋,0454,1,2,165
12376,量,0455,1,14,166
12373,重,0456,1,2,166
12440,鉢,0457,1,2,167
12698,長,0458,1,4,168
12724,間,0459,1,2,169
12830,阿,0460,1,48,170
