カード番号,漢字,部首番号,字体数,用例数1,用例数2,大字典番号
0239,奉,037,1,3,,01974
0240,天,037,1,5,,01947
0241,大,037,1,20,,01946
0242,夫,037,1,5,,01949
0243,女,038,1,13,,02022
0244-0247,如,038,1,153,,02031
0248,婆,038,1,2,,02142
0249,子,039,1,14,,02262
0250,寂,040,1,2,,02357
0251,定,040,1,2,,02325
0252,實,040,1,26,,02390
0253,寧,040,1,4,,02392
0254,寶,040,1,6,,02407
0255-0256,尊,041,1,55,,02429
0257,尚,042,1,2,,02446
0258,就,043,1,4,,02464
0259,尼,044,1,3,,02473
0260,山,046,1,2,,02528
0261,巳,049,1,5,,02784
0262,布,050,1,21,,02800
0263,希,050,1,7,,02806
0264,座,053,1,2,,02946
0265,度,053,1,10,,02944
0266,彌,057,1,2,,03084
0267,微,060,1,11,,03165
0268,往,060,1,3,,03128
0269,後,060,1,6,,03138
0270,彼,060,1,4,,03124
0271,從,060,1,4,,03151
0272,徳,060,1,27,,03172
0273,復,060,1,14,,03159
0274-0275,得,060,1,57,,03145
0276,應,061,1,33,,03550
0277,悉,061,1,8,,03312
0278,恭,061,1,2,,03297
0279,心,061,1,40,,03179
0280,想,061,1,4,,03373
0281,意,061,1,30,,03395
0282,念,061,1,20,,03214
0283,恆,061,1,14,,03267
0284,慧,061,1,5,,03462
0285,忍,061,1,4,,03184
0286,思,061,1,8,,03239
0287-0288,我,062,1,65,,03611
0289,成,062,1,5,,03610
0290-0293,提,064,1,166,,01783
0294,持,064,1,24,,03780
0295,摩,064,1,2,,04009
0296,授,064,1,2,,03855
0297-0298,故,066,1,59,,04243
0299,教,066,1,2,,04261
0300,斷,069,1,3,,04381
0301,斯,069,1,4,,04373
0302,方,070,1,2,,04385
0303-0304,於,070,2,63,3,04389
0305,施,070,1,21,,04391
0306-0309,是,072,1,163,,04512
0310,時,072,1,11,,04523
0311,昔,072,1,4,,04490
0312,日,072,1,4,,04446
0313,智,072,1,2,,04569
0314,最,073,1,3,,04664
0315-0316,有,074,1,95,,04674
0317,末,075,1,2,,04712
0318,果,075,1,4,,04806
0319,樂,075,1,4,,05279
0320,根,075,1,2,,04922
0321,業,075,1,3,,05152
0322,未,075,1,3,,04711
0323,欲,076,1,3,,05580
0324,次,076,1,5,,05558
0325,此,077,1,23,,05644
0326,正,077,1,3,,05643
0327,歳,077,1,2,,05666
0328,比,081,1,5,,05841
0329,淨,085,1,6,,06272
0330,滿,085,1,5,,06476
0331,汝,085,1,12,,05983
0332,滅,085,1,13,,06432
0333-0334,法,085,1,79,,06074
0335,波,085,1,10,,06086
0336,河,085,1,14,,06045
0337,沙,085,1,16,,06031
0338,況,085,1,4,,06058
0339,06144,085,1,4,,06144
0340,漢,085,1,8,,06499
0341,清,085,1,2,,06290
0342,深,085,1,2,,06285
0343,演,085,1,2,,06490
0344,燈,086,1,7,,06971
0345,然,086,1,8,,06885
0346-0347,無,086,1,88,,06872
0348,爲,087,1,48,,07032
0349,爾,089,1,10,,07043
0350,牟,093,1,2,,07074
0351,現,096,1,2,,07304
0352,理,096,1,2,,07307
0353,王,096,1,4,,07262
0354,甚,099,1,11,,07457
0355-0356,生,100,1,67,,07461
0357,用,101,1,6,,07469
0358,當,102,1,20,,07535
0359,由,102,1,2,,07479
0360,男,102,1,13,,07483
0361,界,102,1,17,,07501
0362,發,105,1,12,,07707
0363,皆,106,1,13,,07717
0364,白,106,1,10,,07709
0365,百,106,1,9,,07710
0366-0367,相,109,1,89,,07801
0368-0369,衆,109,1,54,,07844
0370,眼,109,1,11,,07843
0371,知,030,1,15,,07941
0372,福,113,1,28,,08148
0373,稱,115,1,2,,08248
0374,種,115,1,5,,08244
0375,空,116,1,3,,08296
0376,章,117,1,3,,08366
0377,等,118,1,19,,08426
0378,節,118,1,2,,08493
