,,kyd_漢書揚雄,kyd_漢書揚雄,kyd_漢書揚雄,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
01913,壽,0131,0,1,033
01939,夜,0132,0,1,036
01957,失,0133,0,1,037
01966,夾,0134,0,1,037
01972,奇,0135,0,1,037
02033,妄,0136,0,1,038
02040,妒,0137,0,1,038
02106,娃,0138,0,1,038
02110,娑,0139,0,1,038
02133,娵,0140,0,1,038
02146,婓,0141,0,1,038
02175,媒,0142,0,1,038
02201,嫉,0143,0,1,038
02213,嫣,0144,0,1,038
02218,嫭,0145,0,1,038
02250,嬴,0146,0,1,038
02264,孔,0147,0,1,039
02275,孟,0148,0,1,039
02284,孰,0149,0,1,039
02293,學,0150,0,1,039
02307,宇,0151,0,1,040
02325,定,0152,0,1,040
02349,家,0153,0,1,040
02371,寒,0154,0,1,040
02392,寧,0155,0,1,040
02407,寶,0156,0,1,040
02422,射,0157,0,1,041
02429,尊,0158,0,1,041
02435,對,0159,0,1,041
02439,小,0160,0,1,042
02473,尼,0161,0,1,044
02478,尾,0162,0,1,044
02482,居,0163,0,1,044
02511,屨,0164,0,1,044
02517,屮,0165,0,1,045
01672,坂,0166,0,1,032
02544,岠,0167,0,1,046
02563,岭,0168,0,1,046
02567,峋,0169,0,1,046
02577,峛,0170,0,1,046
02583,峨,0171,0,1,046
02595,㟎,0172,0,1,046
02614,崑,0173,0,1,046
02617,崔,0174,0,1,046
02623,崙,0175,0,1,046
02629,崝,0176,0,1,046
02631,崟,0177,0,1,046
02633,崢,0178,0,1,046
02646,崺,0179,0,1,046
02656,嵌,0180,0,1,046
02659,嵏,0181,0,1,046
02670,嵩,0182,0,1,046
02676,嵯,0183,0,1,046
02677,嵱,0184,0,1,046
02680,嵷,0185,0,1,046
02692,嶅,0186,0,1,046
02697,嶉,0187,0,1,046
02698,嶊,0188,0,1,046
02706,嶔,0189,0,1,046
02711,嶙,0190,0,1,046
02714,嶜,0191,0,1,046
02718,嶠,0192,0,1,046
02726,㠑,0193,0,1,046
02737,嶽,0194,0,1,046
02752,巍,0195,0,1,046
02764,州,0196,0,1,047
02776,巨,0197,0,1,048
02779,巫,0198,0,1,048
02787,㠯,0199,0,1,049
02839,席,0200,0,1,050
02849,帷,0201,0,1,050
02897,干,0202,0,1,051
02900,年,0203a,2,1,051
02900b,年,0203b,2,1,051
02902,并,0204,0,1,051
02932,底,0205,0,1,053
02933,庖,0206,0,1,053
02936,庚,0207,0,1,053
02985,廚,0209,0,1,053
02989,廟,0210a,2,1,053
02989b,廟,0210b,2,1,053
02993,廣,0211,0,1,053
02997,廩,0212,0,1,053
03032,弋,0213,0,1,056
03037,式,0214,0,1,056
03606,戍,0215,0,1,062
03043,弔,0216,0,1,057
03046,弗,0217,0,1,057
03055,弦,0218,0,1,057
03058,弩,0219,0,1,057
03064,弱,0220,0,1,057
03067,弸,0221,0,1,057
03083,彋,0222,0,1,057
03087,彏,0223,0,1,057
00746,刑,0224,0,1,018
03132,待,0225,0,1,060
03137,律,0226,0,1,060
03141,徐,0227,0,1,060
03142,徑,0228,0,1,060
03148,徙,0229,0,1,060
03152,徠,0230,0,1,060
03157,徧,0231,0,1,060
03165,微,0232,0,1,060
03177,徽,0233,0,1,060
03179,心,0234,0,1,061
03218,忼,0235,0,1,061
03233,怖,0236,0,1,061
03248,怪,0237,0,1,061
03312,悉,0238,0,1,061
03348,情,0239,0,1,061
03355,惑,0240,0,1,061
03369,惝,0241,0,1,061
03373,想,0242,0,1,061
03442,態,0243,0,1,061
03451,慘,0244,0,1,061
03463,慨,0245,0,1,061
03585,懷,0246,0,1,061
03612,戒,0247,0,1,062
03618,戚,0248,0,1,062
03640,戸,0249,0,1,063
03646,房,0250,0,1,063
03649,扁,0251,0,1,063
03659,手,0252,0,1,064
03691,技,0253,0,1,064
03710,抗,0254,0,1,064
03713,抨,0255,0,1,064
03722,抵,0256,0,1,064
03726,抾,0257,0,1,064
03730,拂,0258,0,1,064
03751,拕,0259,0,1,064
03764,括,0260,0,1,064
03783,指,0261,0,1,064
03792,挐,0263,0,1,064
03809,挾,0264,0,1,064
03823,捎,0265,0,1,064
03844,捷,0266,0,1,064
03856,掉,0267,0,1,064
03858,掌,0268,0,1,064
03865,掘,0269,0,1,064
03874,探,0270,0,1,064
03879,控,0271,0,1,064
03881,掩,0272,0,1,064
03901,揖,0273,0,1,064
03941,搏,0274,0,1,064
03952,搜,0275,0,1,064
04009,摩,0276,0,1,064
04027,摻,0277,0,1,064
04028,摼,0278,0,1,064
04036,撆,0279,0,1,064
04056,撟,0280,0,1,064
04066,撫,0281,0,1,064
04069,播,0282,0,1,064
04113,擥,0283,0,1,064
04122,擬,0284,0,1,064
04146,攀,0285,0,1,064
04151,攄,0286,0,1,064
04183,攘,0287,0,1,064
04210,攫,0288,0,1,064
04228,改,0289,0,1,066
04233,放,0290,0,1,066
04258,敘,0291,0,1,066
04277,敢,0292,0,1,066
04303,整,0293,0,1,066
04319,變,0294,0,1,066
04369,斬,0295,0,1,069
04372,斮,0296,0,1,069
04376,新,0297,0,1,069
04392,斿,0298,0,1,070
04406,旋,0299,0,1,070
04412,族,0300,0,1,070
04415,旐,0301,0,1,070
04419,旓,0302,0,1,070
04436,旟,0303,0,1,070
