,,kyd_漢書揚雄,kyd_漢書揚雄,kyd_漢書揚雄,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
01176,后,0939,1,5,030
01217,吾,0940,1,6,030
01235,周,0941,1,15,030
01252,命,0942,1,4,030
01288,咸,0943,1,3,030
01305,哉,0944,1,4,030
01505,噍,0945,1,2,030
01581,嚴,0946,1,2,030
01607,四,0947,1,2,031
01611,因,0948,1,5,031
01627,固,0949,1,3,031
01630,囿,0950,1,10,031
01633,圃,0951,1,2,031
01639,國,0952,1,2,031
01654,土,0953,1,6,032
01659,在,0954,1,2,032
01666,地,0955,1,13,032
01767,堅,0956,1,2,032
01853,增,0957,1,3,032
01878,壇,0958,1,2,032
01890,壘,0959,1,2,032
01903,士,0960,1,2,033
01909,壹,0961,1,3,033
01927,夏,0962,1,5,035
01934,外,0963,1,5,036
01943,夢,0964,1,2,036
01946,大,0965,1,10,037
01947,天,0966,1,37,037
01949,夫,0967,1,11,037
01974,奉,0968,1,2,037
01981,奏,0969,1,2,037
01986,奔,0970,1,3,037
01992,奚,0971,1,3,037
02006,奢,0972,1,3,037
02022,女,0973,1,8,038
02029,好,0974,1,2,038
02031,如,0975,1,7,038
02032,妃,0976,1,5,038
02045,妙,0977,1,2,038
02069,始,0978,1,2,038
02077,姓,0979,1,2,038
02078,委,0980,1,2,038
02105,威,0981,1,4,038
02130,娭,0982,1,2,038
02248,嬰,0983,1,3,038
02262,子,0984,1,5,039
02273,孝,0985,1,2,039
02276,季,0986,1,2,039
02282,孫,0987,1,2,039
02309,安,0988,1,2,040
02320,宓,0989,1,5,040
02322,宗,0990,1,2,040
02327,宜,0991,1,2,040
02331,客,0992,1,2,040
02332,室,0993,1,3,040
02333,宣,0994,1,2,040
02352,容,0995,1,5,040
02355,宿,0996,1,2,040
02342,宮,0997,1,14,040
02420,封,0998,1,3,041
02446,尚,0999,1,2,042
02456,尤,1000,1,2,043
02485,屈,1001,1,3,044
02499,屏,1002,1,2,044
02508,履,1003,1,2,044
02515,屬,1004,1,5,044
02528,山,1005,1,12,046
02540,岐,1006,1,2,046
02559,岳,1007,1,2,046
02607,崇,1008,1,8,046
02717,嶟,1009,1,2,046
02719,嶢,1010,1,3,046
02745,巆,1011,1,5,046
02754,巒,1012,1,5,046
02757,巖,1013,1,5,046
02762,川,1014,1,2,047
02771,巢,1015,1,3,047
02774,左,1016,1,2,048
02783,已,1017,1,4,049
02800,布,1018,1,4,050
02820,帝,1019,1,15,050
02828,帥,1020,1,2,050
02835,師,1021,1,8,050
02846,帶,1022,1,3,050
02847,常,1023,1,2,050
02899,平,1024,1,4,051
02903,幸,1025,1,2,051
02912,幽,1026,1,6,052
02944,度,1027,1,3,053
02952,庭,1028,1,3,053
02973,廉,1029,1,2,053
02980,廓,1030,1,4,053
03005,延,1031,1,5,054
03056,弧,1032,1,2,057
03065,張,1033,1,2,057
03084,彌,1034,1,2,057
03111,彫,1035,1,2,059
03113,彭,1036,1,4,059
03124,彼,1037,1,6,060
03128,往,1038a,2,2,060
03128b,往,1038b,2,2,060
03129,征,1039,1,2,060
03138,後,1040,1,5,060
03145,得,1041,1,5,060
03153,御,1042,1,3,060
03158,徨,1043,1,2,060
03159,復,1044,1,3,060
03172,德,1045,1,6,060
03180,必,1046,1,4,061
03219,忽,1047a,3,3,061
03219b,忽,1047b,3,1,061
03219c,忽,1047c,3,1,061
03239,思,1048,1,3,061
03272,恐,1049,1,6,061
03365,惟,1050,1,4,061
03366,惠,1051,1,6,061
03395,意,1052,1,2,061
03402,愍,1053,1,2,061
03409,感,1054,1,3,061
03474,慶,1055,1,3,061
03594,懿,1056,1,3,061
03550,應,1057,1,2,061
03607,戎,1058,1,2,062
03610,成,1059,1,9,062
03617,或,1060,1,4,062
03636,戲,1061,1,2,062
03647,所,1062,1,15,063
03708,投,1063,1,2,064
03711,折,1064,1,3,064
03723,抶,1065,1,2,064
03758,招,1066,1,5,064
03799,振,1067,1,4,064
03851,掃,1068,1,2,064
03862,排,1069,1,2,064
03880,推,1070,1,2,064
03947,搖,1071,1,3,064
04051,撙,1072,1,2,064
04087,擊,1073,1,3,064
04106,據,1074,1,2,064
09632,擧,1075,1,4,134
04203,攢,1076,1,2,064
04243,故,1077,1,4,066
04321,文,1078a,2,5,067
04321b,文,1078b,2,2,067
04385,方,1079,1,13,070
04389,於,1080,1,48,070
04391,施,1081,1,6,070
04394,旁,1082,1,2,070
04395,旂,1083,1,2,070
04398,旃,1084,1,2,070
04399,旄,1085,1,2,070
04421,旖,1086,1,2,070
04422,旗,1087,1,4,070
04442,旣,1088,1,9,071
04446,日,1089,1,8,072
04455,旭,1090,1,5,072
04478,昆,1091,1,8,072
04485,明,1092,1,10,072
04490,昔,1093,1,4,072
04499,星,1094,1,6,072
04503,春,1095,1,3,072
04510,昭,1096,1,3,072
04512,是,1097,1,19,072
04523,時,1098,1,7,072
04558,景,1099,1,4,072
04619,曄,1100,1,2,072
04650,曰,1101,1,8,073
04651,曲,1102,1,2,073
04660,曼,1103,1,2,073
04661,曾,1104,1,4,073
04667,會,1105,1,2,073
04673,月,1106,1,9,074
04693,望,1107,1,5,074
04674,有,1108,1,10,074
04679,服,1109,1,3,074
04707,木,1110,1,5,075
04711,未,1111,1,4,075
04717,朱,1112,1,3,075
04765,東,1113,1,16,075
04767,杳,1114,1,2,075
04803,林,1115,1,7,075
04884,柴,1116,1,2,075
04929,桂,1117,1,2,075
04941,桑,1118,1,3,075
04967,梁,1119,1,5,075
04984,條,1120,1,3,075
04988,梢,1121,1,2,075
05014,棄,1122,1,3,075
05021,棍,1123,1,3,075
05031,棘,1124,1,2,075
05039,棠,1125,1,3,075
05087,椒,1126,1,4,075
05107,椽,1127,1,2,075
05123,楊,1128,1,9,075
05134,楚,1129,1,3,075
05152,業,1130,1,2,075
05190,榛,1131,1,2,075
05210,榮,1132,1,5,075
05323,樹,1133,1,3,075
05381,橫,1134,1,3,075
05580,欲,1135,1,3,076
05589,欽,1136,1,3,076
05644,此,1137,1,2,077
05643,正,1138a,2,3,077
05643b,正,1138b,2,3,077
05649,武,1139,1,5,077
05670,歷,1140,1,9,077
05676,歸,1141,1,3,077
05717,殊,1142,1,2,078
05770,殫,1143,1,2,078
05795,殷,1144,1,5,079
05809,殿,1145,1,2,079
05841,比,1146,1,3,081
05932,氏,1147,1,5,083
05947,氣,1148,1,2,084
05952,水,1149,1,6,085
05971,汎,1150,1,2,085
05985,江,1151,1,7,085
05986,池,1152,1,4,085
05991,汩,1153,1,3,085
06003,決,1154,1,2,085
06005,汾,1155,1,4,085
06013,沇,1156,1,2,085
06034,沛,1157,1,2,085
06045,河,1158,1,7,085
06053,沼,1159,1,3,085
06063,泉,1160,1,9,085
06074,法,1161,1,2,085
06086,波,1162,1,4,085
06098,泰,1163,1,11,085
06125,洞,1164,1,2,085
06134,洪,1165,1,7,085
06142,洶,1166,1,2,085
06151,流,1167a,2,17,085
06151b,流,1167b,2,1,085
06175,浮,1168,1,6,085
06182,海,1169,1,4,085
06374,湧,1170,1,2,085
06244,𣶂,1171,1,2,085
06273,淩,1172,1,5,085
06277,淫,1173,1,4,085
06285,深,1174,1,2,085
06290,清,1175,1,11,085
06331,渭,1176,1,3,085
06340,游,1177,1,3,085
06364,湘,1178,1,4,085
06381,湯,1179,1,2,085
06408,溢,1180,1,3,085
06499,漢,1181,1,4,085
06419,溶,1182,1,2,085
06506,漫,1183,1,4,085
06545,潭,1184,1,2,085
06548,潛,1185,1,3,085
06564,澄,1186,1,2,085
06603,澤,1187,1,3,085
06645,濤,1188a,2,1,085
06645b,濤,1188b,2,1,085
06697,瀕,1189,1,3,085
06754,灕,1190,1,2,085
06776,火,1191,1,2,086
06801,炎,1192,1,2,086
06804,炘,1193,1,2,086
06831,烈,1194,1,3,086
06861,焉,1195,1,4,086
06885,然,1196,1,8,086
06939,熊,1197,1,2,086
06947,熛,1198,1,2,086
06976,燎,1199,1,2,086
06991,燭,1200,1,4,086
07001,燿,1201,1,5,086
07032,爲,1202,1,25,087
07080,物,1203,1,3,093
07172,猋,1204,1,4,094
07203,猶,1205,1,2,094
07230,獨,1206,1,4,094
07256,玄,1207,1,12,095
07261,玉,1208,1,10,096
07262,王,1209,1,10,096
07287,珍,1210,1,5,096
07291,珠,1211,1,2,096
07368,璇,1212,1,3,096
07456,甘,1213,1,8,099
07461,生,1214,1,3,100
07478,田,1215,1,3,102
07483,男,1216,1,2,102
07521,畤,1217,1,2,102
07591,疾,1218,1,2,104
07706,登,1219,1,10,105
07707,發,1220,1,7,105
07709,白,1221,1,3,106
07710,百,1222,1,7,106
07718,皇,1223,1,20,106
07721,皋,1224,1,2,106
07770,盛,1225,1,2,108
07779,盡,1226,1,2,108
07785,盧,1227,1,2,108
07786,盪,1228,1,2,108
07790,目,1229,1,5,109
07801,相,1230,1,10,109
07811,眇,1231,1,3,109
07813,眉,1232,1,2,109
07832,眩,1233,1,2,109
07902,瞰,1234,1,2,109
07941,知,1235,1,3,111
07954,石,1236,1,3,112
08052,磕,1237,1,3,112
08124,神,1238,1,25,113
08135,祭,1239,1,2,113
08143,禁,1240,1,2,113
08165,禮,1241,1,2,113
08172,禹,1242,1,2,114
08176,禽,1243,1,2,114
08187,秋,1244,1,3,115
08212,移,1245,1,2,115
08248,稱,1246,1,3,115
08261,穀,1247,0,1,115
08289,穰,1248,1,2,115
08291,穴,1249,1,2,116
08329,窮,1250,1,7,116
08337,窺,1251,1,2,116
08354,立,1252,1,3,117
08361,竝,1253,1,2,117
08366,章,1254,1,4,117
08685,精,1255,1,3,119
08739,紅,1256,1,2,120
08753,純,1257,1,2,120
08760,紛,1258,1,11,120
08765,素,1259,1,3,120
08773,紫,1260,1,2,120
08795,終,1261,1,2,120
08809,絶,1262,1,2,120
08814,絜,1263,1,2,120
08833,統,1264,1,3,120
08993,總,1265,1,4,120
09042,繹,1266,1,2,120
09049,繽,1267,1,2,120
09062,纍,1268,1,13,120
09106,罕,1269,1,2,122
09108,罘,1270,1,2,122
09144,羅,1271,1,5,122
09176,羨,1272,1,3,123
09195,羽,1273,1,5,124
09255,者,1274,1,11,125
09264,而,1275,1,90,126
09285,耦,1277,1,2,127
09290,耳,1278,1,2,128
09304,聊,1279,1,4,128
09308,聖,1280,1,4,128
09344,肅,1281,1,3,129
09345,肆,1282,1,3,129
09383,肸,1283,1,2,130
09411,胡,1284,1,2,130
09429,能,1285,1,6,130
09462,脩,1286,1,5,130
09544,膠,1287,1,2,130
09596,臣,1288,1,5,131
09602,自,1289,1,3,132
09610,至,1290,1,7,133
09617,臺,1291,1,7,133
09618,臻,1292,1,3,133
09643,舒,1293,1,2,135
09736,芒,1294,1,2,140
09753,芬,1295,1,4,140
09759,芳,1296,1,4,140
09788,若,1297,1,13,140
07258,玆,1298,1,4,095
09846,草,1299,1,2,140
09851,荒,1300,1,3,140
09921,華,1301,1,7,140
09954,萬,1302,1,7,140
09961,落,1303,1,2,140
10008,蒙,1304,1,7,140
10031,蒼,1305,1,4,140
10040,蓋,1306,1,3,140
09886,莫,1307,1,6,140
10048,蓬,1308,1,2,140
10121,蕤,1309,1,2,140
10128,蕭,1310,1,2,140
10155,薜,1311,1,3,140
10214,藹,1312,1,4,140
10251,蘭,1313,1,4,140
10264,虎,1314,1,5,141
10271,虖,1315,1,23,141
10272,虛,1316,1,3,141
10349,蛇,1317,1,3,142
10364,蛟,1318,1,2,142
10388,蛾,1319,1,2,142
10500,融,1320,1,2,142
10515,螭,1321,1,2,142
10575,蠖,1322,1,2,142
10605,血,1323,0,1,143
07844,眾,1324,1,6,109
10614,行,1325,1,6,144
10615,衍,1326,1,3,144
10631,衡,1327,1,2,144
10637,衣,1328,1,3,145
10649,衰,1329,1,2,145
10683,被,1330,1,6,145
10724,裳,1331,1,2,145
10820,西,1332,1,13,146
10822,要,1333,1,2,146
10831,見,1334,1,3,147
10959,詔,1335,1,3,149
10859,觀,1336,1,8,147
10837,視,1337,1,2,147
10887,觸,1338,1,2,148
10890,言,1339,1,2,149
11028,誰,1340,1,2,149
11160,譎,1341,1,2,149
11216,讋,1342,1,2,149
11222,讓,1343,1,2,149
11234,谷,1344,1,2,150
11253,豈,1345,1,5,151
11261,豐,1346,1,4,151
11275,象,1347,1,4,152
11293,豹,1348,1,3,153
11329,貞,1349,1,2,154
11332,負,1350,1,2,154
11373,資,1351,1,2,154
11386,賓,1352,1,2,154
11403,賦,1353,1,4,154
11467,超,1354,1,4,156
11495,足,1355,1,7,157
11548,路,1356,1,2,157
11618,蹈,1357,1,3,157
11622,蹌,1358,1,2,157
11708,躡,1359,1,2,157
11715,身,1360,1,2,158
11740,車,1361,1,11,159
11745,軍,1362,1,3,159
11750,軒,1363,1,2,159
11770,軫,1364,1,3,159
11783,軼,1365,1,2,159
11795,載,1366,1,2,159
11802,輕,1367,1,3,159
11838,輵,1368,1,2,159
11846,輿,1369,1,7,159
11866,轔,1370,1,2,159
11885,轡,1371,1,3,159
11898,辟,1372,1,2,160
11914,辭,1373,1,5,160
11919,農,1374,1,2,161
11948,近,1375,1,2,162
11976,迹,1376,1,3,162
11977,迺,1377,1,9,162
11986,逆,1378,1,2,162
12000,通,1379,1,2,162
12004,造,1380,1,2,162
12010,連,1381,1,3,162
12037,遂,1382,1,5,162
12042,遊,1383,1,4,162
12046,過,1384,1,2,162
12048,遐,1385,1,2,162
12051,道,1386,1,5,162
12054,違,1387a,2,1,162
12054b,違,1387b,2,1,162
12062,遙,1388,1,3,162
12070,遠,1389,1,4,162
12082,遭,1390,1,2,162
12097,遺,1391,1,3,162
12108,還,1392,1,6,162
12123,邑,1394,1,2,163
12139,邪,1395,1,2,163
12160,郊,1396,1,5,163
12188,都,1397,1,3,163
12234,鄰,1398,1,2,163
12263,配,1399,1,2,164
12350,醴,1400,1,3,164
12372,里,1401,1,5,166
12373,重,1402,1,3,166
12374,野,1403a,3,2,166
12374b,野,1403b,3,1,166
12374c,野,1403c,3,1,166
12379,釐,1404,1,2,166
12425,鉅,1405,1,2,167
12528,錯,1406,1,2,167
12563,鍾,1407,1,4,167
12698,長,1408,1,6,168
12709,門,1409,1,5,169
12716,開,1410,1,8,169
12724,間,1411,1,3,169
12749,閬,1412,1,2,169
12790,關,1413,1,6,169
12817,阬,1414,1,2,170
12833,陂,1415,1,2,170
12838,降,1416,1,5,170
12851,陟,1417,1,2,170
12864,陳,1418,1,6,170
12867,陵,1419,1,3,170
12870,陸,1420,1,3,170
12876,陽,1421,1,8,170
12886,隆,1422,1,7,170
12935,隱,1423,1,3,170
12955,雀,1424,1,2,172
12961,雄,1425,1,8,172
12963,集,1426,1,3,172
12965,雉,1427,1,2,172
12972,雍,1428a,2,2,172
12972b,雍,1428b,2,2,172
12991,雖,1429,1,4,172
13001,離,1431,1,14,172
13012,雨,1432,1,2,173
13020,雲,1433,1,14,173
13023,雷,1434,1,6,173
13026,電,1435,1,4,173
13035,霆,1436,1,2,173
13095,青,1437,1,4,174
13104,非,1438,1,8,175
13107,靡,1439,1,7,175
13192,鞭,1440,1,3,177
13307,頌,1441,1,4,181
13376,題,1442,1,2,181
13423,風,1443,1,11,182
13495,飛,1444,1,11,183
13497,䬠,1445,1,2,183
13565,餘,1446,1,3,184
13661,首,1447,1,2,185
13680,馬,1448,1,3,187
13688,馳,1449,1,7,187
13693,馺,1450,1,2,187
13712,駍,1451,1,4,187
13724,駕,1452,1,4,187
13733,駟,1453,1,2,187
13751,駭,1454,1,4,187
13780,駢,1455,1,4,187
13787,騎,1456,1,8,187
13820,騰,1457,1,3,187
13839,驅,1458,1,2,187
13940,高,1459,1,11,189
14036,鬯,1460a,2,1,192
14036b,鬯,1460b,2,1,192
14061,鬼,1461,1,3,194
14067,魂,1462,1,4,194
14101,魚,1463,1,3,195
14361,鳥,1464,1,2,196
14378,鳳,1465a,2,5,196
14378b,鳳,1465b,2,2,196
14379,鳴,1466,1,3,196
14446,鴻,1467a,2,5,196
14446b,鴻,1467b,2,1,196
14611,鸞,1468a,2,3,196
14611b,鸞,1468b,2,3,196
14636,麋,1469,1,2,198
14642,麒,1470,1,2,198
14645,麗,1471,1,10,198
14655,麟,1472,1,3,198
14693,黃,1473,1,5,201
14876,龍,1474a,2,8,212
14876b,龍,1474b,2,6,212
00025,世,1475a,2,5,001
00025b,世,1475b,2,1,001
00150,亡,1476a,2,6,008
00150b,亡,1476b,2,6,008
00598,兮,1477a,2,117,012
00598b,兮,1477b,2,37,012
00608,典,1481a,2,1,012
00608b,典,1481b,2,1,012
00651,冥,1482a,2,5,014
00651b,冥,1482b,2,2,014
00725,函,1483a,2,1,017
00725b,函,1483b,2,1,017
00759,初,1484a,2,2,018
00759b,初,1484b,2,1,018
00913,勸,1485a,2,1,019
00913b,勸,1485b,2,1,019
01044,卻,1486a,2,1,026
01044b,卻,1486b,2,1,026
01063,厓,1487a,2,4,027
01063b,厓,1487b,2,1,027
01079,厥,1488a,2,3,027
01079b,厥,1488b,2,2,027
01139,叢,1489a,2,1,029
01139b,叢,1489b,2,1,029
01263,和,1490,2,5,030
01342,唐,1491a,2,8,030
01342b,唐,1491b,2,1,030
01574,嚮,1492a,2,1,030
01574b,嚮,1492b,2,1,030
01609,回,1493a,2,6,031
01609b,回,1493b,2,2,031
01641,圍,1494,2,4,031
01710,垂,1495,1,7,032
01725,垠,1496a,2,3,032
01725b,垠,1496b,2,1,032
01873,壁,1498a,2,2,032
01873b,壁,1498b,2,1,032
01931,虁,1499a,2,1,035
01931b,虁,1499b,2,1,035
01952,夭,1500a,2,1,037
01952b,夭,1500b,2,1,037
01961,夷,1501a,2,2,037
01961b,夷,1501b,2,2,037
02013,奪,1502a,2,1,037
02013b,奪,1502b,2,1,037
02019,奮,1503a,2,1,037
02019b,奮,1503b,2,1,037
02389,寥,1504a,2,1,040
02389b,寥,1504b,2,1,040
02366,富,1505a,2,1,040
02366b,富,1505b,2,1,040
02425,將,1506a,2,10,041
02425b,將,1506b,2,3,041
02780,差,1507a,2,1,048
02780b,差,1507b,2,1,048
03006,建,1508a,2,3,054
03006b,建,1508b,2,3,054
03047,弘,1509a,2,2,057
03047b,弘,1509b,2,1,057
03130,徂,1510a,2,1,060
03130b,徂,1510b,2,1,060
03143,徒,1511a,2,5,060
03143b,徒,1511b,2,2,060
03151,從,1512a,2,5,060
03151b,從,1512b,2,1,060
03686,扶,1513a,2,3,064
03686b,扶,1513b,2,1,064
03690,承,1514a,2,2,064
03690b,承,1514b,2,1,064
04224,收,1515,0,1,066
04280,散,1516a,2,2,066
04280b,散,1516b,2,1,066
04281,敦,1517a,2,2,066
04281b,敦,1517b,2,1,066
04298,數,1518a,2,1,066
04298b,數,1518b,2,1,066
04410,旎,1519a,2,1,070
04410b,旎,1519b,2,1,070
04653,曳,1520a,2,2,073
04653b,曳,1520b,2,1,073
04807,枝,1521a,2,2,075
04807b,枝,1521b,2,1,075
04993,梨,1522a,2,1,075
04993b,梨,1522b,2,1,075
05161,極,1523a,2,4,075
05161b,極,1523b,2,1,075
05237,槍,1524a,2,3,075
05237b,槍,1524b,2,1,075
05305,樛,1525a,2,1,075
05305b,樛,1525b,2,1,075
05518,欃,1526a,2,2,075
05518b,欃,1526b,2,1,075
05935,民,1527a,2,5,083
05935b,民,1527b,2,1,083
06984,營,1528a,2,6,086
06984b,營,1528b,2,2,086
07043,爾,1529a,2,2,089
07043b,爾,1529b,2,1,089
07047,牆,1530a,2,1,090
07047b,牆,1530b,2,1,090
07241,獲,1531a,2,1,094
07241b,獲,1531b,2,1,094
07394,瓊,1532a,2,2,096
07394b,瓊,1532b,2,1,096
08107,祇,1533a,2,2,113
08107b,祇,1533b,2,1,113
08118,祗,1534a,2,1,113
08118b,祗,1534b,2,1,113
08204,秦,1535a,2,1,115
08204b,秦,1535b,2,1,115
08265,穆,1536a,2,4,115
08265b,穆,1536b,2,4,115
08856,經,1537a,2,3,120
08856b,經,1537b,2,1,120
08767,索,1538a,2,3,120
08767b,索,1538b,2,1,120
09175,羣,1539a,2,5,123
09175b,羣,1539b,2,3,123
09220,翠,1540a,2,5,124
09220b,翠,1540b,2,1,124
09328,聲,1541a,2,5,128
09328b,聲,1541b,2,1,128
09414,胥,1542a,2,2,130
09414b,胥,1542b,2,1,130
09601,臨,1543a,2,5,131
09601b,臨,1543b,2,2,131
09633,舊,1544a,2,1,134
09633b,舊,1544b,2,1,134
09629,與,1545a,2,30,134
09629b,與,1545b,2,2,134
09665,般,1546a,2,3,137
09665b,般,1546b,2,1,137
09795,英,1547a,2,1,140
09795b,英,1547b,2,1,140
10139,薄,1548a,2,3,140
10139b,薄,1548b,2,1,140
09807,茂,1549a,2,1,140
09807b,茂,1549b,2,1,140
09772,苑,1550a,2,2,140
09772b,苑,1550b,2,1,140
10270,處,1551a,2,1,141
10270b,處,1551b,2,1,141
10275,虞,1552a,2,8,141
10275b,虞,1552b,2,1,141
10440,蜺,1553a,2,1,142
10440b,蜺,1553b,2,1,142
10857,覽,1554a,2,3,147
10857b,覽,1554b,2,3,147
11454,走,1555a,2,1,156
11454b,走,1555b,2,1,156
11668,蹶,1556a,2,1,157
11668b,蹶,1556b,2,1,157
11947,迎,1557a,2,1,162
11947b,迎,1557b,2,1,162
12087,遲,1558a,3,2,162
12087b,遲,1558b,3,1,162
12087c,遲,1558c,3,1,162
12441,鉤,1559a,2,4,167
12441b,鉤,1559b,2,1,167
12782,闔,1560a,2,1,169
12782b,闔,1560b,2,1,169
12783,闕,1561a,2,1,169
12783b,闕,1561b,2,1,169
12881,隃,1562a,2,1,170
12881b,隃,1562b,2,1,170
12997,雜,1563a,2,1,172
12997b,雜,1563b,2,1,172
13073,露,1564a,2,2,173
13073b,露,1564b,2,1,173
13409,顧,1565a,2,2,181
13409b,顧,1565b,2,1,181
13468,颺,1566a,2,3,182
13468b,颺,1566b,2,1,182
13584,館,1567a,2,2,184
13584b,館,1567b,2,1,184
13773,騁,1568a,2,1,187
13773b,騁,1568b,2,1,187
14327,鱗,1569a,2,4,195
14327b,鱗,1569b,2,1,195
14828,齊,1570a,2,6,210
14828b,齊,1570b,2,2,210
01104,參,1571a,3,1,028
01104b,參,1571b,3,1,028
01104c,參,1571c,3,1,028
04591,暗,1572a,2,3,072
04591b,暗,1572b,2,1,072
07244,獵,1573a,3,5,094
07244b,獵,1573b,3,1,094
07244c,獵,1573c,3,1,094
07088,犀,1574a,3,2,093
07088b,犀,1574b,3,1,093
07088c,犀,1574c,3,1,093
12862,陰,1575a,3,4,170
12862b,陰,1575b,3,3,170
12862c,陰,1575c,3,2,170
13092,靈,1576a,3,17,173
13092b,靈,1576b,3,1,173
13092c,靈,1576c,3,1,173
13836,驂,1577a,3,1,187
13836b,驂,1577b,3,1,187
13836c,驂,1577c,3,1,187
14039,鬱,1578a,3,1,192
14039b,鬱,1578b,3,1,192
14039c,鬱,1578c,3,1,192
06310,淵,1579a,5,2,085
06310b,淵,1579b,5,2,085
06310c,淵,1579c,5,1,085
06310d,淵,1579d,5,1,085
06310e,淵,1579e,5,1,085
M00568,佺,1580,0,1,009
M00770,倕,1581,0,1,009
M00853,偓,1582,0,1,009
07259,率,1583,0,1,095
M07928,岋,1585,0,1,046
02686,嵾,1586,0,1,046
M12400,揰,1587,0,1,064
M14799,桭,1588,0,1,075
03932,㨖,1589,0,1,064
M17248,沶,1590,0,1,085
M19654,𤓯,1591,0,1,087
M03123,𠬜,1592,0,1,029
09199,羿,1593,0,1,124
07845,眽,1594,0,1,109
M30909,䒷,1595,0,1,140
M43243,韰,1597,0,1,179
M44672,駖,1598,0,1,187
