統合ID,JIS文字,カード番号,字体数,例数,部首,大字典,大漢和,,
09653,舜,0588,0,1,136,09653,M30339,,
09742,芝,0589,0,1,140,09742,M30699,,
09756,09756,0590,0,1,140,09756,M30733,,
09762,09762,0591,0,1,140,09762,M30740,,
09774,苓,0592,0,1,140,09774,M30777,,
09805,09805,0593,0,1,140,09805,M30831,,
09809,茄,0594,0,1,140,09809,M30835,,
09810,茅,0595,0,1,140,09810,M30836,,
09812,09812,0596,0,1,140,09812,M30839,,
09818,茘,0597,0,1,140,09818,M30866,,
09824,茫,0598,0,1,140,09824,M30900,,
09835,茸,0599,0,1,140,09835,M30918,,
09860,荷,0600,0,1,140,09860,M31000,,
09869,莊,0601,0,1,140,09869,M31035,,
09900,菊,0602,0,1,140,09900,M31153,,
09901,菌,0603,0,1,140,09901,M31156,,
09973,09973,0604,0,1,140,09973,M31413,,
09911,菟,0605,0,1,140,09911,M31189,,
09934,萃,0606,0,1,140,09934,M31251,,
09939,莱,0607,0,1,140,09939,M31262,,
09976,葛,0608,0,1,140,09976,M31420,,
09765,芻,0609,0,1,140,09765,M30744,,
10028,蒸,0610,0,1,140,10028,M31618,,
10043,蓐,0611,0,1,140,10043,M31660,,
10070,蔑,0612,0,1,140,10070,M31781,,
09988,葱,0613,0,1,140,09988,M31454,,
10089,10089,0614,0,1,140,10089,M31892,,
10111,蕘,0615,0,1,140,10111,M31965,,
10145,10145,0616,0,1,140,10145,M32100,,
10160,薦,0617,0,1,140,10160,M32143,,
10200,藜,0618,0,1,140,10200,M32326,,
10206,藩,0619,0,1,140,10206,M32346,,
10207,藪,0620,0,1,140,10207,M32348,,
10244,蘢,0621,0,1,140,10244,M32438,,
10267,10267,0622,0,1,141,10267,M32682,,
10268,10268,0623,0,1,141,10268,M32684,,
10276,號,0624,0,1,141,10276,M32726,,
10280,10280,0625,0,1,141,10280,M32734,,
10287,10287,0626,0,1,142,10287,M32810,,
10318,蚤,0627,0,1,142,10318,M32893,,
10322,蚩,0628,0,1,142,10322,M32902,,
10401,10401,0631a,2,1,142,10401,M33115,,
10401b,10401,0631b,2,1,142,10401,M33115,,
10438,蜷,0632,0,1,142,10438,M33199,,
10539,10539,0633,0,1,142,10539,M33584,,
10546,蝉,0634,0,1,142,10546,M33616,,
10549,蟲,0635,0,1,142,10549,M33633,,
10561,10561,0636,0,1,142,10561,M33682,,
10573,10573,0637,0,1,142,10573,M33745,,
10580,蠡,0638,0,1,142,10580,M33796,,
10597,10597,0639,0,1,142,10597,M33887,,
10653,衷,0640,0,1,145,10653,M34139,,
10660,衿,0641,0,1,145,10660,M34149,,
10679,袤,0642,0,1,145,10679,M34213,,
10709,裕,0643,0,1,145,10709,M34305,,
10710,裘,0644,0,1,145,10710,M34312,,
10715,裝,0645,0,1,145,10715,M34321,,
10791,襞,0646,0,1,145,10791,M34645,,
10806,襲,0647,0,1,145,10806,M34717,,
10826,覆,0648,0,1,146,10826,M34789,,
10833,規,0649,0,1,147,10833,M34810,,
10852,覲,0650,0,1,147,10852,M34952,,
10860,角,0651,0,1,148,10860,M35003,,
10875,解,0652,1,2,148,10875,M35067,,
10877,10877,0653,0,1,148,10877,M35079,,
10884,10884,0654,0,1,148,10884,M35158,,
10896,計,0655,0,1,149,10896,M35220,,
10897,訊,0656,0,1,149,10897,M35224,,
10914,記,0657,0,1,149,10914,M35244,,
10916,訛,0658,0,1,149,10916,M35256,,
10930,許,0659,0,1,149,10930,M35298,,
10943,10943,0660,0,1,149,10943,M35344,,
10971,10971,0661,0,1,149,10971,M35410,,
10982,詭,0662,0,1,149,10982,M35434,,
11000,誇,0663,0,1,149,11000,M35474,,
11025,説,0664,0,1,149,11025,M35556,,
11015,11015,0665,0,1,149,11015,M35528,,
11038,調,0666,0,1,149,11038,M35609,,
11058,論,0667,0,1,149,11058,M35658,,
11063,諜,0668,0,1,149,11063,M35697,,
11073,諧,0669,0,1,149,11073,M35718,,
11074,諫,0670,0,1,149,11074,M35724,,
11085,諸,0671,0,1,149,11085,M35743,,
11094,謁,0672,0,1,149,11094,M35757,,
11095,謂,0673,0,1,149,11095,M35759,,
11117,謙,0674,0,1,149,11117,M35821,,
11185,警,0675,0,1,149,11185,M36009,,
11247,豁,0676,0,1,150,11247,M36221,,
11280,11280,0677,0,1,152,11280,M36404,,
11288,11288,0678,0,1,152,11288,M36448,,
11308,貉,0679,0,1,153,11308,M36549,,
11334,財,0681,0,1,154,11334,M36664,,
11338,貧,0682,0,1,154,11338,M36677,,
11343,貫,0683,0,1,154,11343,M36681,,
11349,貯,0684,0,1,154,11349,M36698,,
11355,貴,0685,0,1,154,11355,M36704,,
11359,費,0686,0,1,154,11359,M36717,,
11366,賁,0687,0,1,154,11366,M36727,,
11397,賢,0688,0,1,154,11397,M36822,,
11404,質,0689,0,1,154,11404,M36833,,
11411,頼,0690,0,1,154,11411,M36861,,
11433,贍,0691,0,1,154,11433,M36945,,
11445,赤,0692,0,1,155,11445,M36993,,
11451,赫,0693,0,1,155,11451,M37010,,
11457,赴,0694,0,1,156,11457,M37040,,
11461,起,0695,0,1,156,11461,M37048,,
11471,越,0696,0,1,156,11471,M37110,,
11479,趙,0697,0,1,156,11479,M37171,,
11485,趣,0698,0,1,156,11485,M37207,,
11492x,11492x,0699,0,1,156,11492x,M37308,,
11509,11509,0700,0,1,157,11509,M37434,,
11515,跋,0701,0,1,157,11515,M37446,,
11526,跖,0702,0,1,157,11526,M37469,,
11553,跳,0703,0,1,157,11553,M37533,,
11569,踐,0704,0,1,157,11569,M37608,,
11572,11572,0705,0,1,157,11572,M37617,,
11586,11586,0706,0,1,157,11586,M37648,,
11608,蹂,0707,0,1,157,11608,M37718,,
11616,蹇,0708,0,1,157,11616,M37741,,
11628,蹕,0709,0,1,157,11628,M37783,,
11631,蹙,0710,0,1,157,11631,M37790,,
11646,蹤,0711,0,1,157,11646,M37823,,
11641,蹠,0712,0,1,157,11641,M37815,,
11662,蹲,0713,0,1,157,11662,M37874,,
11665,蹴,0714,0,1,157,11665,M37876,,
11689,躍,0715,0,1,157,11689,M37955,,
11741,軋,0716,0,1,159,11741,M38173,,
11744,軌,0717,0,1,159,11744,M38176,,
11754,11754,0718,0,1,159,11754,M38190,,
11766,11766,0719,0,1,159,11766,M38239,,
11771,11771,0720,0,1,159,11771,M38248,,
11814,輜,0721,0,1,159,11814,M38368,,
11817,輟,0722,0,1,159,11817,M38374,,
11827,輪,0723,0,1,159,11827,M38400,,
11844,輻,0724,0,1,159,11844,M38442,,
11849,轂,0725,0,1,159,11849,M38479,,
11850,11850,0726,0,1,159,11850,M38481,,
11851,轄,0727,0,1,159,11851,M38482,,
11884,11884,0728,0,1,159,11884,M38584,,
11889,轤,0729,0,1,159,11889,M38596,,
11917,辰,0730,0,1,161,11917,M38682,,
11961,11961,0731,0,1,162,11961,M38791,,
11979,追,0732,0,1,162,11979,M38836,,
11980,11980,0733,0,1,162,11980,M38837,,
11982,退,0734,0,1,162,11982,M38839,,
11994,逑,0736,0,1,162,11994,M38878,,
11995,途,0737,0,1,162,11995,M38882,,
12001,逝,0738,0,1,162,12001,M38895,,
12009,逢,0739,1,2,162,12009,M38901,,
12022,進,0740,0,1,162,12022,M38943,,
12025,逶,0741,0,1,162,12025,M38949,,
12027,逸,0742,0,1,162,12027,M38951,,
12083,遮,0743,0,1,162,12083,M39086,,
12093,遷,0744,0,1,162,12093,M39123,,
12095,選,0745,0,1,162,12095,M39127,,
12102,遽,0746,0,1,162,12102,M39161,,
12105,邁,0747,0,1,162,12105,M39169,,
12112,邇,0748,0,1,162,12112,M39193,,
12156,12156,0749,0,1,163,12156,M39380,,
12176,部,0750,0,1,163,12176,M39460,,
12194,鄂,0751,0,1,163,12194,M39520,,
12205,郷,0752,0,1,163,12205,M39571,,
12256,12256,0753,0,1,163,12256,M39749,,
12301,酷,0754,0,1,164,12301,M39870,,
12312,醇,0755,0,1,164,12312,M39901,,
12367,采,0756,0,1,165,12367,M40116,,
12380,金,0757,0,1,167,12380,M40152,,
12397,12397,0758,0,1,167,12397,M40187,,
12494,鋪,0759,0,1,167,12494,M40491,,
12499,録,0760,0,1,167,12499,M40519,,
12526,錫,0761,0,1,167,12526,M40573,,
12585,鎬,0762,0,1,167,12585,M40741,,
12587,鎭,0763,0,1,167,12587,M40744,,
12599,12599,0764,0,1,167,12599,M40784,,
12674,鑠,0765,0,1,167,12674,M41019,,
12714,閉,0766,0,1,169,12714,M41222,,
12717,12717,0767,0,1,169,12717,M41239,,
12719,12719,0768,0,1,169,12719,M41241,,
12739,閣,0769,0,1,169,12739,M41300,,
12744,閨,0770,0,1,169,12744,M41312,,
12748,12748,0771,0,1,169,12748,M41329,,
12750,閭,0772,0,1,169,12750,M41334,,
12753,12753,0773,0,1,169,12753,M41367,,
12758,閼,0774,0,1,169,12758,M41380,,
12759,12759,0775,0,1,169,12759,M41383,,
12768,闇,0776,0,1,169,12768,M41421,,
12770,12770,0777,0,1,169,12770,M41428,,
12789,12789,0778,0,1,169,12789,M41468,,
12815,阨,0779,0,1,170,12815,M41559,,
12824,12824,0780,0,1,170,12824,M41591,,
12875,12875,0781,0,1,170,12875,M41724,,
12849,陜,0782,0,1,170,12849,M41656,,
12883,隅,0783,0,1,170,12883,M41743,,
12889,隊,0784,0,1,170,12889,M41750,,
12899,隕,0785,0,1,170,12899,M41785,,
12901,隗,0786,0,1,170,12901,M41788,,
12923,12923,0787,0,1,170,12923,M41849,,
12927,隨,0788,0,1,170,12927,M41871,,
12962,雅,0789,0,1,172,12962,M41973,,
12971,雌,0790,0,1,172,12971,M41998,,
12973,雎,0791,0,1,172,12973,M42001,,
12994,雙,0792,0,1,172,12994,M42116,,
13002,難,0793,0,1,172,13002,M42145,,
13022,零,0794,0,1,173,13022,M42242,,
13032,霄,0795,0,1,173,13032,M42290,,
13033,13033,0796,0,1,173,13033,M42296,,
13041,霍,0797,0,1,173,13041,M42321,,
13052,霜,0798,0,1,173,13052,M42363,,
13063,霧,0799,0,1,173,13063,M42418,,
13098,靖,0800,0,1,174,13098,M42570,,
13101,13101,0801,0,1,174,13101,M42575,,
13305,13305,0802,0,1,181,13305,M43357,,
13325,頗,0803,0,1,181,13325,M43415,,
13335,頡,0804,0,1,181,13335,M43452,,
13337,頤,0805,0,1,181,13337,M43455,,
13369,13369,0806,0,1,181,13369,M43557,,
13380,顏,0807,0,1,181,13380,M43591,,
13385,13385,0808,0,1,181,13385,M43600,,
13395,顛,0809,0,1,181,13395,M43628,,
13486,飆,0810,0,1,182,13486,M43963,,
13526,飮,0811,0,1,184,13526,M44063,,
13542,飾,0812,0,1,184,13542,M44111,,
13549,餉,0813,0,1,184,13549,M44140,,
13561,餔,0814,0,1,184,13561,M44173,,
13641,饒,0815,0,1,184,13641,M44400,,
13667,香,0816,0,1,186,13667,M44518,,
13711,13711,0817,0,1,187,13711,M44638,,
13772,13772,0818,0,1,187,13772,M44776,,
13818,13818,0819,0,1,187,13818,M44912,,
13826,騷,0820,0,1,187,13826,M44935,,
13832,騾,0821,0,1,187,13832,M44957,,
13834,13834,0822,0,1,187,13834,M44982,,
13852,驚,0823,0,1,187,13852,M45029,,
13856,13856,0824,0,1,187,13856,M45046,,
13864,驢,0825,0,1,187,13864,M45069,,
13948,髢,0826,0,1,190,13948,M45363,,
14057,鬻,0827,0,1,193,14057,M45721,,
14066,魁,0828,0,1,194,14066,M45785,,
14072,魄,0829,0,1,194,14072,M45810,,
14073,魅,0830,0,1,194,14073,M45811,,
14095,14095,0831,0,1,194,14095,M45925,,
14116,魯,0832,0,1,195,14116,M46013,,
14174,鮮,0833,0,1,195,14174,M46133,,
14365,鳧,0834,0,1,196,14365,M46643,,
14366,鳩,0835,0,1,196,14366,M46648,,
12957,雁,0836,0,1,172,12957,M41960,,
14448,14448,0837,0,1,196,14448,M46870,,
14473,鵝,0838,0,1,196,14473,M46954,,
14488,鵲,0839,0,1,196,14488,M47014,,
14553,14553,0840,0,1,196,14553,M47267,,
14564,14564,0841,0,1,196,14564,M47307,,
14582,鷺,0842,0,1,196,14582,M47362,,
07781,監,0843,0,1,108,07781,M23032,,
14621,鹿,0844,0,1,198,14621,M47586,,
14643,麓,0845,0,1,198,14643,M47658,,
14720,默,0846,0,1,203,14720,M48063,,
14730,黨,0847,0,1,203,14730,M48132,,
14754,14754,0848,0,1,205,14754,M48261,,
14758,14758,0849,0,1,205,14758,M48274,,
14767,14767,0850,0,1,205,14767,M48306,,
14769,鼎,0851,0,1,206,14769,M48315,,
14775,鼓,0852,0,1,207,14775,M48330,,
14809,鼻,0853,0,1,209,14809,M48498,,
00007,三,0854,1,18,001,00007,M00012,,
00008,上,0855,1,22,001,00008,M00013,,
00009,下,0856,1,15,001,00009,M00014,,
00013,不,0857,1,36,001,00013,M00019,,
00026,丘,0858,1,5,001,00026,M00033,,
00051,中,0859,1,10,002,00051,M00073,,
00078,乃,0860,1,4,004,00078,M00113,,
00088,之,0861,1,177,004,00088,M00125,,
00092,乎,0865,1,10,004,00092,M00131,,
00102,乘,0866,1,9,004,00102,M00154,,
00107,九,0867,1,6,005,00107,M00167,,
00109,也,0868,1,13,005,00109,M00171,,
00121,亂,0869,1,3,005,00121,M00214,,
00128,事,0870,1,5,006,00128,M00241,,
00129,二,0871,1,3,007,00129,M00247,,
00132,于,0872,1,5,007,00132,M00252,,
00133,云,0873,1,2,007,00133,M00254,,
00135,五,0874,1,9,007,00135,M00257,,
00154,亦,0875,1,2,008,00154,M00293,,
00152,交,0876,1,2,008,00152,M00291,,
00168,人,0877,1,3,009,00168,M00344,,
00170,仁,0878,1,3,009,00170,M00349,,
00176,介,0879,1,2,009,00176,M00359,,
00194,以,0880,1,65,009,00194,M00388,,
00213,伊,0882,1,2,009,00213,M00432,,
00235,似,0883,1,2,009,00235,M00485,,
00228,伯,0884,1,3,009,00228,M00466,,
00250,何,0885,1,10,009,00250,M00511,,
03136,徊,0886,1,3,060,03136,M10095,,
00279,使,0887,1,5,009,00279,M00573,,
00282,來,0888,1,4,009,00282,M00581,,
00284,侈,0889,1,3,009,00284,M00583,,
00293,00293,0890,1,2,009,00293,M00597,,
00294,侖,0891,1,2,009,00294,M00599,,
00313,侯,0892,1,2,009,00313,M00633,,
00345,信,0893,1,3,009,00345,M00707,,
00391,倫,0894,1,4,009,00391,M00793,,
00406,偈,0895,1,2,009,00406,M00836,,
00256,作,0896,1,2,009,00256,M00518,,
00424,00424,0897,1,2,009,00424,M00888,,
00466,00466,0898,1,3,009,00466,M01013,,
00475,傾,0899,1,2,009,00475,M01038,,
00490,僑,0900,1,2,009,00490,M01088,,
00516,儀,0901,1,2,009,00516,M01172,,
00546,儲,0902,1,6,009,00546,M01284,,
00566,先,0903,1,5,010,00566,M01349,,
00567,光,0904,1,11,010,00567,M01350,,
00582,入,0905,1,5,011,00582,M01415,,
00585,内,0906,1,2,011,00585,M01418,,
00594,八,0907,1,5,012,00594,M01450,,
00596,公,0908,1,4,012,00596,M01452,,
00597,六,0909,1,4,012,00597,M01453,,
00599,共,0910,1,3,012,00599,M01458,,
00605,其,0911,1,40,012,00605,M01472,,
00723,出,0912,1,5,017,00723,M01811,,
00754,列,0913,1,7,018,00754,M01901,,
00776,制,0914,1,2,018,00776,M01961,,
00789,則,0915,1,9,018,00789,M01994,,
00794,前,0916,1,6,018,00794,M02011,,
00824,創,0917,1,3,018,00824,M02127,,
00857,功,0918,1,4,019,00857,M02295,,
00887,動,0919,1,4,019,00887,M02390,,
00900,勤,0920,1,3,019,00900,M02424,,
00941,北,0921,1,7,021,00941,M02574,,
00985,十,0922,1,5,024,00985,M02695,,
00987,千,0923,1,4,024,00987,M02697,,
00994,半,0924,1,3,024,00994,M02707,,
01007,協,0925,1,2,024,01007,M02742,,
01010,南,0926,1,10,024,01010,M02750,,
01040,卷,0927,1,2,026,01040,M02860,,
01074,原,0928,1,3,027,01074,M02973,,
01095,01095,0929,1,2,027,01095,M03041,,
01101,去,0930,1,2,028,01101,M03070,,
01108,又,0931,1,5,029,01108,M03115,,
01111,及,0932,1,3,029,01111,M03118,,
01116,反,0933,1,2,029,01116,M03127,,
01154,可,0934,1,4,030,01154,M03245,,
01163,司,0935,1,3,030,01163,M03257,,
01168,各,0936,1,2,030,01168,M03281,,
01170,合,0937,1,2,030,01170,M03287,,
01174,同,0938,1,2,030,01174,M03294,,
01176,后,0939,1,5,030,01176,M03298,,
01217,吾,0940,1,6,030,01217,M03379,,
01235,周,0941,1,15,030,01235,M03441,,
01252,命,0942,1,4,030,01252,M03473,,
01288,咸,0943,1,3,030,01288,M03563,,
01305,哉,0944,1,4,030,01305,M03596,,
01505,01505,0945,1,2,030,01505,M04306,,
01581,嚴,0946,1,2,030,01581,M04589,,
01607,四,0947,1,2,031,01607,M04682,,
01611,因,0948,1,5,031,01611,M04693,,
01627,固,0949,1,3,031,01627,M04745,,
01630,囿,0950,1,10,031,01630,M04756,,
01633,圃,0951,1,2,031,01633,M04774,,
01639,國,0952,1,2,031,01639,M04798,,
01654,土,0953,1,6,032,01654,M04867,,
01659,在,0954,1,2,032,01659,M04881,,
01666,地,0955,1,13,032,01666,M04890,,
01767,堅,0956,1,2,032,01767,M05210,,
01853,増,0957,1,3,032,01853,M05454,,
01878,壇,0958,1,2,032,01878,M05528,,
01890,壘,0959,1,2,032,01890,M05574,,
01903,士,0960,1,2,033,01903,M05638,,
01909,壹,0961,1,3,033,01909,M05661,,
01927,夏,0962,1,5,035,01927,M05720,,
01934,外,0963,1,5,036,01934,M05750,,
01943,夢,0964,1,2,036,01943,M05802,,
01946,大,0965,1,10,037,01946,M05831,,
01947,天,0966,1,37,037,01947,M05833,,
01949,夫,0967,1,11,037,01949,M05835,,
01974,奉,0968,1,2,037,01974,M05894,,
01981,奏,0969,1,2,037,01981,M05915,,
01986,奔,0970,1,3,037,01986,M05921,,
01992,奚,0971,1,3,037,01992,M05930,,
02006,奢,0972,1,3,037,02006,M05964,,
02022,女,0973,1,8,038,02022,M06036,,
02029,好,0974,1,2,038,02029,M06053,,
02031,如,0975,1,7,038,02031,M06060,,
02032,妃,0976,1,5,038,02032,M06061,,
02045,妙,0977,1,2,038,02045,M06090,,
02069,始,0978,1,2,038,02069,M06166,,
02077,姓,0979,1,2,038,02077,M06178,,
02078,委,0980,1,2,038,02078,M06181,,
02105,威,0981,1,4,038,02105,M06259,,
02130,02130,0982,1,2,038,02130,M06341,,
02248,嬰,0983,1,3,038,02248,M06828,,
02262,子,0984,1,5,039,02262,M06930,,
02273,孝,0985,1,2,039,02273,M06952,,
02276,季,0986,1,2,039,02276,M06965,,
02282,孫,0987,1,2,039,02282,M06987,,
02309,安,0988,1,2,040,02309,M07072,,
02320,02320,0989,1,5,040,02320,M07098,,
02322,宗,0990,1,2,040,02322,M07106,,
02327,宜,0991,1,2,040,02327,M07111,,
02331,客,0992,1,2,040,02331,M07128,,
02332,室,0993,1,3,040,02332,M07136,,
02333,宣,0994,1,2,040,02333,M07132,,
02352,容,0995,1,5,040,02352,M07172,,
02355,宿,0996,1,2,040,02355,M07195,,
02342,宮,0997,1,14,040,02342,M07156,,
02420,封,0998,1,3,041,02420,M07426,,
02446,尚,0999,1,2,042,02446,M07493,,
02456,尤,1000,1,2,043,02456,M07543,,
02485,屈,1001,1,3,044,02485,M07669,,
02499,屏,1002,1,2,044,02499,M07734,,
02508,履,1003,1,2,044,02508,M07799,,
02515,屬,1004,1,5,044,02515,M07821,,
02528,山,1005,1,12,046,02528,M07869,,
02540,岐,1006,1,2,046,02540,M07936,,
02559,岳,1007,1,2,046,02559,M08001,,
02607,崇,1008,1,8,046,02607,M08152,,
02717,02717,1009,1,2,046,02717,M08487,,
02719,嶢,1010,1,3,046,02719,M08491,,
02745,02745,1011,1,5,046,02745,M08613,,
02754,巒,1012,1,5,046,02754,M08640,,
02757,巖,1013,1,5,046,02757,M08649,,
02762,川,1014,1,2,047,02762,M08673,,
02771,巣,1015,1,3,047,02771,M08696,,
02774,左,1016,1,2,048,02774,M08720,,
02783,已,1017,1,4,049,02783,M08743,,
02800,布,1018,1,4,050,02800,M08778,,
02820,帝,1019,1,15,050,02820,M08865,,
02828,帥,1020,1,2,050,02828,M08886,,
02835,師,1021,1,8,050,02835,M08916,,
02846,帶,1022,1,3,050,02846,M08950,,
02847,常,1023,1,2,050,02847,M08955,,
02899,平,1024,1,4,051,02899,M09167,,
02903,幸,1025,1,2,051,02903,M09176,,
02912,幽,1026,1,6,052,02912,M09205,,
02944,度,1027,1,3,053,02944,M09313,,
02952,庭,1028,1,3,053,02952,M09337,,
02973,廉,1029,1,2,053,02973,M09436,,
02980,廓,1030,1,4,053,02980,M09461,,
03005,延,1031,1,5,054,03005,M09569,,
03056,弧,1032,1,2,057,03056,M09757,,
03065,張,1033,1,2,057,03065,M09812,,
03084,彌,1034,1,2,057,03084,M09877,,
03111,彫,1035,1,2,059,03111,M09995,,
03113,彭,1036,1,4,059,03113,M10003,,
03124,彼,1037,1,6,060,03124,M10066,,
03128,往,1038a,2,2,060,03128,M10073,,
03128b,往,1038b,2,2,060,03128,M10073,,
03129,征,1039,1,2,060,03129,M10077,,
03138,後,1040,1,5,060,03138,M10098,,
03145,得,1041,1,5,060,03145,M10137,,
03153,御,1042,1,3,060,03153,M10157,,
03158,徨,1043,1,2,060,03158,M10178,,
03159,復,1044,1,3,060,03159,M10183,,
03172,徳,1045,1,6,060,03172,M10243,,
03180,必,1046,1,4,061,03180,M10299,,
03219,忽,1047a,3,3,061,03219,M10405,,
03219b,忽,1047b,3,1,061,03219,M10405,,
03219c,忽,1047c,3,1,061,03219,M10405,,
03239,思,1048,1,3,061,03239,M10462,,
03272,恐,1049,1,6,061,03272,M10552,,
03365,惟,1050,1,4,061,03365,M10820,,
03366,惠,1051,1,6,061,03366,M10822,,
03395,意,1052,1,2,061,03395,M10921,,
03402,愍,1053,1,2,061,03402,M10919,,
03409,感,1054,1,3,061,03409,M10953,,
03474,慶,1055,1,3,061,03474,M11145,,
03594,懿,1056,1,3,061,03594,M11501,,
03550,應,1057,1,2,061,03550,M11330,,
03607,戎,1058,1,2,062,03607,M11539,,
03610,成,1059,1,9,062,03610,M11544,,
03617,或,1060,1,4,062,03617,M11563,,
03636,戲,1061,1,2,062,03636,M11681,,
03647,所,1062,1,15,063,03647,M11715,,
03708,投,1063,1,2,064,03708,M11887,,
03711,折,1064,1,3,064,03711,M11890,,
03723,03723,1065,1,2,064,03723,M11922,,
03758,招,1066,1,5,064,03758,M11968,,
03799,振,1067,1,4,064,03799,M12093,,
03851,掃,1068,1,2,064,03851,M12237,,
03862,排,1069,1,2,064,03862,M12256,,
03880,推,1070,1,2,064,03880,M12284,,
03947,搖,1071,1,3,064,03947,M12479,,
04051,04051,1072,1,2,064,04051,M12712,,
04087,撃,1073,1,3,064,04087,M12800,,
04106,據,1074,1,2,064,04106,M12839,,
09632,擧,1075,1,4,134,09632,M12863,,
04203,攅,1076,1,2,064,04203,M13030,,
04243,故,1077,1,4,066,04243,M13161,,
04321,文,1078a,2,5,067,04321,M13450,,
04321b,文,1078b,2,2,067,04321,M13450,,
04385,方,1079,1,13,070,04385,M13620,,
04389,於,1080,1,48,070,04389,M13628,,
04391,施,1081,1,6,070,04391,M13629,,
04394,旁,1082,1,2,070,04394,M13637,,
04395,04395,1083,1,2,070,04395,M13638,,
04398,旃,1084,1,2,070,04398,M13640,,
04399,旄,1085,1,2,070,04399,M13642,,
04421,04421,1086,1,2,070,04421,M13685,,
04422,旗,1087,1,4,070,04422,M13687,,
04442,既,1088,1,9,071,04442,M13724,,
04446,日,1089,1,8,072,04446,M13733,,
04455,旭,1090,1,5,072,04455,M13747,,
04478,昆,1091,1,8,072,04478,M13792,,
04485,明,1092,1,10,072,04485,M13805,,
04490,昔,1093,1,4,072,04490,M13816,,
04499,星,1094,1,6,072,04499,M13837,,
04503,春,1095,1,3,072,04503,M13844,,
04510,昭,1096,1,3,072,04510,M13855,,
04512,是,1097,1,19,072,04512,M13859,,
04523,時,1098,1,7,072,04523,M13890,,
04558,景,1099,1,4,072,04558,M13983,,
04619,曄,1100,1,2,072,04619,M14169,,
04650,曰,1101,1,8,073,04650,M14278,,
04651,曲,1102,1,2,073,04651,M14280,,
04660,曼,1103,1,2,073,04660,M14298,,
04661,曾,1104,1,4,073,04661,M14299,,
04667,會,1105,1,2,073,04667,M14306,,
04673,月,1106,1,9,074,04673,M14330,,
04693,望,1107,1,5,074,04693,M14368,,
04674,有,1108,1,10,074,04674,M14332,,
04679,服,1109,1,3,074,04679,M14345,,
04707,木,1110,1,5,075,04707,M14415,,
04711,未,1111,1,4,075,04711,M14419,,
04717,朱,1112,1,3,075,04717,M14424,,
04765,東,1113,1,16,075,04765,M14499,,
04767,杳,1114,1,2,075,04767,M14501,,
04803,林,1115,1,7,075,04803,M14551,,
04884,柴,1116,1,2,075,04884,M14664,,
04929,桂,1117,1,2,075,04929,M14755,,
04941,桑,1118,1,3,075,04941,M14772,,
04967,梁,1119,1,5,075,04967,M14825,,
04984,條,1120,1,3,075,04984,M14859,,
04988,梢,1121,1,2,075,04988,M14866,,
05014,棄,1122,1,3,075,05014,M14913,,
05021,棍,1123,1,3,075,05021,M14924,,
05031,棘,1124,1,2,075,05031,M14938,,
05039,棠,1125,1,3,075,05039,M14953,,
05087,椒,1126,1,4,075,05087,M15029,,
05107,椽,1127,1,2,075,05107,M15087,,
05123,楊,1128,1,9,075,05123,M15112,,
05134,楚,1129,1,3,075,05134,M15141,,
05152,業,1130,1,2,075,05152,M15170,,
05190,榛,1131,1,2,075,05190,M15240,,
05210,榮,1132,1,5,075,05210,M15273,,
05323,樹,1133,1,3,075,05323,M15496,,
05381,横,1134,1,3,075,05381,M15594,,
05580,欲,1135,1,3,076,05580,M16080,,
05589,欽,1136,1,3,076,05589,M16104,,
05644,此,1137,1,2,077,05644,M16259,,
05643,正,1138a,2,3,077,05643,M16255,,
05643b,正,1138b,2,3,077,05643,M16255,,
05649,武,1139,1,5,077,05649,M16273,,
05670,歴,1140,1,9,077,05670,M16340,,
05676,歸,1141,1,3,077,05676,M16349,,
05717,殊,1142,1,2,078,05717,M16451,,
05770,殫,1143,1,2,078,05770,M16581,,
05795,殷,1144,1,5,079,05795,M16627,,
05809,殿,1145,1,2,079,05809,M16651,,
05841,比,1146,1,3,081,05841,M16743,,
05932,氏,1147,1,5,083,05932,M17026,,
05947,氣,1148,1,2,084,05947,M17059,,
05952,水,1149,1,6,085,05952,M17083,,
05971,汎,1150,1,2,085,05971,M17120,,
05985,江,1151,1,7,085,05985,M17140,,
05986,池,1152,1,4,085,05986,M17141,,
05991,05991,1153,1,3,085,05991,M17153,,
06003,決,1154,1,2,085,06003,M17174,,
06005,汾,1155,1,4,085,06005,M17178,,
06013,06013,1156,1,2,085,06013,M17188,,
06034,沛,1157,1,2,085,06034,M17216,,
06045,河,1158,1,7,085,06045,M17245,,
06053,沼,1159,1,3,085,06053,M17257,,
06063,泉,1160,1,9,085,06063,M17274,,
06074,法,1161,1,2,085,06074,M17290,,
06086,波,1162,1,4,085,06086,M17308,,
06098,泰,1163,1,11,085,06098,M17325,,
06125,洞,1164,1,2,085,06125,M17386,,
06134,洪,1165,1,7,085,06134,M17402,,
06142,洶,1166,1,2,085,06142,M17417,,
06151,流,1167a,2,17,085,06151,M17431,,
06151b,流,1167b,2,1,085,06151,M17431,,
06175,浮,1168,1,6,085,06175,M17487,,
06182,海,1169,1,4,085,06182,M17503,,
06374,湧,1170,1,2,085,06374,M17862,,
06244,06244,1171,1,2,085,06244,M17627,,
06273,06273,1172,1,5,085,06273,M17670,,
06277,淫,1173,1,4,085,06277,M17678,,
06285,深,1174,1,2,085,06285,M17687,,
06290,清,1175,1,11,085,06290,M17695,,
