統合ID,JIS文字,カード番号,字体数,例数,部首,大字典,大漢和,,
00447,傅,0045,0,1,009,00447,M00939,,
00564,兆,0046,0,1,010,00564,M01347,,
00576,00576,0047,0,1,010,00576,M01369,,
00581,兢,0048,0,1,010,00581,M01395,,
00593,兪,0049,0,1,011,00593,M01437,,
00602,兵,0050,0,1,012,00602,M01462,,
00639,冕,0051,0,1,013,00639,M01545,,
00644,00644,0052,0,1,014,00644,M01567,,
00646,冠,0053,0,1,014,00646,M01580,,
00650,冤,0054,0,1,014,00650,M01587,,
00662,冬,0055,0,1,015,00662,M01610,,
00664,冰,0056,0,1,015,00664,M01612,,
00696,凝,0057,0,1,015,00696,M01720,,
00734,分,0058,0,1,018,00734,M01853,,
00735,切,0059,0,1,018,00735,M01858,,
00763,別,0060,0,1,018,00763,M01924,,
00768,刮,0061,0,1,018,00768,M01943,,
00799,剖,0062,0,1,018,00799,M02034,,
00803,剛,0063,0,1,018,00803,M02042,,
00806,剞,0064,0,1,018,00806,M02054,,
00820,割,0065,0,1,018,00820,M02112,,
00833,00833,0066,0,1,018,00833,M02190,,
00856,力,0067,0,1,019,00856,M02288,,
00858,加,0068,0,1,019,00858,M02297,,
00881,勇,0069,0,1,019,00881,M02360,,
00885,勒,0070,0,1,019,00885,M02386,,
00888,00888,0071,0,1,019,00888,M02391,,
00894,勞,0072,0,1,019,00894,M02410,,
00938,化,0073,0,1,021,00938,M02572,,
00953,匡,0074,0,1,022,00953,M02606,,
00997,00997,0075,0,1,024,00997,M02718,,
00998,卉,0076,0,1,024,00998,M02720,,
01003,卑,0077,0,1,024,01003,M02738,,
01004,卒,0078,0,1,024,01004,M02740,,
01035,危,0079,0,1,026,01035,M02849,,
01041,01041,0080,0,1,026,01041,M33968,,
01112,友,0081,0,1,029,01112,M03119,,
01141,口,0082,0,1,030,01141,M03227,,
01142,古,0083,0,1,030,01142,M03233,,
01148,叫,0084,0,1,030,01148,M03240,,
01150,召,0085,0,1,030,01150,M03241,,
01156,叱,0086,0,1,030,01156,M03247,,
01158,右,0087,0,1,030,01158,M03250,,
01172,吉,0088,0,1,030,01172,M03289,,
01128,受,0089,0,1,029,01128,M03159,,
01178,吐,0090,0,1,030,01178,M03300,,
01185,君,0091,0,1,030,01185,M03323,,
01190,否,0092,0,1,030,01190,M03340,,
01211,吸,0093,0,1,030,01211,M03372,,
01245,呵,0094,0,1,030,01245,M03459,,
01248,01248,0095,0,1,030,01248,M03465,,
01326,哲,0096,0,1,030,01326,M03667,,
01358,01358,0097,0,1,030,01358,M03780,,
01412,喜,0098,0,1,030,01412,M03957,,
01416,喟,0099,0,1,030,01416,M03963,,
01427,單,0100,0,1,030,01427,M03993,,
01430,喪,0101,0,1,030,01430,M03985,,
01451,嗟,0102,0,1,030,01451,M04102,,
01452,嗣,0103,0,1,030,01452,M04109,,
01463,01463,0104,0,1,030,01463,M04168,,
01494,01494,0105,0,1,030,01494,M04276,,
01507,01507,0106,0,1,030,01507,M04310,,
01523,器,0107,0,1,030,01523,M04376,,
01532,01532,0108,0,1,030,01532,M04403,,
01550,嚊,0109,0,1,030,01550,M04467,,
01595,嚢,0110,0,1,030,01595,M04633,,
09715,艱,0111,0,1,138,09715,M30600,,
01637,圉,0112,0,1,031,01637,M04793,,
01644,園,0113,0,1,031,01644,M04818,,
01647,圖,0114,0,1,031,01647,M04832,,
01651,圜,0115,0,1,031,01651,M04851,,
01689,坤,0116,0,1,032,01689,M04969,,
