文字,カード番号,用例数1,用例数2,字体数,部首番号,大字典番号,備考
昧,0383,3,,1,072,04505,
日,0384,3,,1,072,04446,
最,0385,2,,1,073,04664,
曼,0386,3,,1,073,04660,
會,0387,2,,1,073,04667,
曰,0388,11,,1,073,04650,
有,0389,45,,1,074,04674,
服,0390,2,,1,074,04679,
樓,0391,3,,1,075,05293,
楞,0392,3,,1,075,05138,
樹,0393,9,,1,075,05323,
柱,0394,2,,1,075,04871,
未,0395,12,,1,075,04711,
梵,0396,5,,1,075,05010,
梨,0397,3,,1,075,04993,
楯,0398,2,,1,075,05154,
果,0399,3,,1,075,04806,
樂,0400,15,,1,075,05279,
檀,0401,7,,1,075,05391,
業,0402,5,,1,075,05152,
歌,0403,2,,1,076,05609,
欲,0404,4,,1,076,05580,
歡,0405,2,,1,076,05639,
此,0406,36,,1,077,05644,
歳,0407,2,,1,077,05666,
正,0408,6,,1,077,05643,
歸,0409,5,1,2,077,05676,
死,0410,5,,1,078,05686,
殿,0411,2,,1,079,05809,
比,0412,8,,1,081,05841,
毘,0413,2,,1,081,05845,
毛,0414,3,,1,082,05850,
波,0415,21,,1,085,06086,
流,0416,4,,1,085,06151,
滅,0417,4,,1,085,06432,
沒,0418,2,,1,085,06023,
深,0419,3,,1,085,06285,
法,0420,15,,1,085,06074,
清,0421,2,,1,085,06290,
淨,0422,4,,1,085,06272,
渠,0423,3,,1,085,06317,
水,0424,6,,1,085,05952,
演,0425,5,,1,085,06490,
汝,0426,6,,1,085,05983,
浮,0427,10,,1,085,06175,
無,0428,35,,1,086,06872,
然,0429,13,,1,086,06885,
爲,0430,23,,1,087,07032,
爾,0431,12,,1,089,07043,
牆,0432,4,,1,091,07047,
猶,0433,2,,1,094,07203,
率,0434,19,,1,095,07259,
珞,0435,2,,1,096,07290,
玉,0436,2,,1,096,07261,
璃,0437,2,,1,096,07366,
瑠,0438,3,,1,096,07348,
瓔,0439,2,,1,096,07397,
珠,0440,8,,1,096,07291,
王,0441,5,,1,096,07262,
生,0442,44,,1,100,07461,
當,0443,13,,1,102,07535,
男,0444,2,,1,102,07483,
異,0445,3,,1,102,07530,
由,0446,4,,1,102,07479,
疑,0447,2,,1,103,07559,
白,0448,7,,1,106,07709,
皆,0449,13,,1,106,07717,
百,0450,46,,1,106,07710,
衆,0451,26,,1,109,07844,
眷,0452,9,,1,109,07839,
目,0453,2,,1,109,07790,
眉,0454,3,,1,109,07813,
相,0455,12,,1,109,07801,
知,0456,2,,1,111,07941,
神,0457,8,,1,113,08124,
禪,0458,2,,1,113,08162,
祇,0459,2,,1,113,08107,
福,0460,6,,1,113,08148,
禮,0461,12,,1,113,08165,
禁,0462,2,,1,113,08143,
稱,0463,3,,1,115,08248,
種,0464,2,,1,115,08244,
空,0465,6,,1,116,08296,
立,0466,4,,1,117,08354,
等,0467,11,,1,118,08426,
第,0468,6,,1,118,08412,
精,0469,2,,1,119,08685,
終,0470,8,,1,120,08795,
繋,0471,3,,1,120,09030,
縁,0472,2,,1,120,08924,
結,0473,5,,1,120,08807,
紺,0474,2,,1,120,08788,
紫,0475,2,,1,120,08773,
經,0476,7,,1,120,08856,
羅,0477,29,,1,122,09144,
罪,0478,4,,1,122,09125,
者,0479,27,,1,125,09255,
而,0480,5,,1,126,09264,
耨,0481,3,,1,127,09286,
聲,0482,3,2,2,128,09328,
聽,0483,3,,1,128,09335,
聞,0484,12,,1,128,09315,
耶,0485,3,,1,128,09292,
脩,0486,9,,1,130,09462,
肩,0487,2,,1,130,09370,
脱,0488,2,,1,130,09463,
自,0489,13,,1,132,09602,
至,0490,5,,1,133,09610,
與,0491,11,,1,134,09629,
舌,0492,2,,1,135,09636,
舍,0493,7,,1,135,09638,
色,0494,27,,1,139,09716,
苦,0495,2,,1,140,09789,
華,0496,28,,1,140,09921,
蓋,0497,3,,1,140,10040,
葉,0498,2,,1,140,09966,
若,0499,18,,1,140,09788,
菩,0500,38,,1,140,09919,
薩,0501,31,,1,140,10163,
藐,0502,4,,1,140,10192,
蓮,0503,11,,1,140,10050,
莊,0504,5,,1,140,09869,
蘭,0505,2,,1,140,10251,
花,0506,2,,1,140,09758,
處,0507,13,,1,141,10270,
蜜,0508,6,,1,142,10414,
行,0509,8,,1,144,10614,
衞,0510,2,,1,144,10630,
補,0511,2,,1,145,10714,
衣,0512,3,,1,145,10637,
覆,0513,2,,1,146,10826,
見,0514,5,,1,147,10831,
觀,0515,15,,1,147,10859,
解,0516,2,,1,148,10875,
角,0517,2,,1,148,10860,
諸,0518,47,,1,149,11085,
諦,0519,4,,1,149,11072,
言,0520,6,,1,149,10890,
誓,0521,6,,1,149,11008,
説,0522,25,,1,149,11025,
記,0523,7,,1,149,10914,
語,0524,5,,1,149,11017,
讚,0525,2,,1,149,11229,
訶,0526,6,,1,149,10936,
誠,0527,2,,1,149,11018,
豪,0528,3,,1,152,11282,
起,0529,9,,1,156,11461,
跏,0530,3,,1,157,11519,
趺,0531,3,,1,157,11502,
足,0532,6,,1,157,11495,
跪,0533,3,,1,157,11542,
跋,0534,2,,1,157,11515,
身,0535,16,,1,158,11715,
轉,0536,6,,1,159,11856,
輪,0537,2,,1,159,11827,
遇,0538,6,,1,162,12040,
道,0539,6,,1,162,12051,
03157,0540,4,,1,060,03157,
達,0541,2,,1,162,12052,
迦,0542,4,,1,162,11960,
逸,0543,2,,1,162,12027,
造,0544,4,,1,162,12004,
遶,0545,4,,1,162,12092,
部,0546,4,,1,163,12176,
量,0547,15,,1,166,12376,
重,0548,2,,1,166,12373,
金,0549,10,,1,167,12380,
長,0550,6,,1,168,12698,
闥,0551,2,,1,169,12800,
門,0552,4,,1,169,12709,
間,0553,6,,1,169,12724,
閣,0554,2,,1,169,12739,
除,0555,3,,1,170,12855,
阿,0556,12,,1,170,12830,
陀,0557,28,,1,170,12831,
雖,0558,2,,1,172,12991,
難,0559,3,,1,172,13002,
離,0560,12,,1,172,13001,
雲,0561,5,,1,173,13020,
面,0562,4,,1,176,13108,
音,0563,13,,1,180,13281,
頃,0564,5,,1,181,13297,
頂,0565,2,,1,181,13296,
額,0566,2,,1,181,13377,
願,0567,12,,1,181,13391,
頗,0568,3,,1,181,13325,
頭,0569,5,,1,181,13346,
須,0570,3,,1,181,13304,
養,0571,4,,1,184,13551,
首,0572,2,,1,185,13661,
香,0573,5,,1,186,13667,
鳴,0574,2,,1,196,14379,
鼓,0575,2,,1,207,14776,
龍,0576,7,,1,212,14876,
亦,0577,10,1,2,008,00154,
作,0578,20,1,2,009,00256,
來,0579,11,3,2,009,00282,
儀,0580,1,1,2,009,00516,
國,0581,3,2,2,031,01639,
弟,0582,4,,1,057,03052,
恭,0583,1,1,2,061,03297,
我,0584,12,,1,062,03611,
發,0585,10,1,2,105,07707,
擧,0586,1,1,2,134,09632,
般,0587,1,1,2,137,09665,
萬,0588,9,2,2,140,09954,
退,0589,4,3,2,162,11982,
閻,0590,9,1,2,169,12757,
隨,0591,3,2,2,170,12927,
高,0592,1,1,2,189,13940,
