統合ID,文字,弥勒上生,字体数,用例数,部首
13667,香,0573,1,5,186
14379,鳴,0574,1,2,196
14776,鼔,0575,1,2,207
14876,龍,0576,1,7,212
00154,亦,0577a,2,10,008
00154b,亦,0577b,2,1,008
00256,作,0578a,2,20,009
00256b,作,0578b,2,1,009
00282,來,0579a,2,11,009
00282b,來,0579b,2,3,009
00516,儀,0580a,2,1,009
00516b,儀,0580b,2,1,009
01639,國,0581a,2,3,031
01639b,國,0581b,2,2,031
03052,弟,0582,1,4,057
03297,恭,0583a,2,1,061
03297b,恭,0583b,2,1,061
03611,我,0584,1,12,062
07707,發,0585a,2,10,105
07707b,發,0585b,2,1,105
09632,擧,0586a,2,1,134
09632b,擧,0586b,2,1,134
09665,般,0587a,2,1,137
09665b,般,0587b,2,1,137
09954,萬,0588a,2,9,140
09954b,萬,0588b,2,2,140
11982,退,0589a,2,4,162
11982b,退,0589b,2,3,162
12757,閻,0590a,2,9,169
12757b,閻,0590b,2,1,169
12927,隨,0591a,2,3,170
12927b,隨,0591b,2,2,170
13940,高,0592a,2,1,189
13940b,高,0592b,2,1,189
