カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典,,,,,,,
0162,表,145,0,,,,10643,,,,,,,
0163,西,146,0,,,,10820,,,,,,,
0164,覆,146,0,,,,10826,,,,,,,
0165,覺,147,0,,,,10856,,,,,,,
0166,議,149,0,,,,11195,,,,,,,
0167,詠,149,0,,,,10969,,,,,,,
0168,調,149,0,,,,11038,,,,,,,
0169,謬,149,0,,,,11134,,,,,,,
0170,誤,149,0,,,,11020,,,,,,,
0171,計,149,0,,,,10896,,,,,,,
0172,護,149,0,,,,11200,,,,,,,
0173,謙,149,0,,,,11117,,,,,,,
0174,詣,149,0,,,,10974,,,,,,,
0175,貴,154,0,,,,11355,,,,,,,
0176,賤,154,0,,,,11402,,,,,,,
0177,貪,154,0,,,,11342,,,,,,,
0178,貧,154,0,,,,11338,,,,,,,
0179,賜,154,0,,,,11393,,,,,,,
0180,赤,155,0,,,,11445,,,,,,,
0181,越,156,0,,,,11471,,,,,,,
0182,跪,157,0,,,,11542,,,,,,,
0183,輕,159,0,,,,11802,,,,,,,
0184,載,159,0,,,,11795,,,,,,,
0185,軟,159,0,,,,11763,,,,,,,
0186,辯,160,0,,,,11916,,,,,,,
0187,辭,160,0,,,,11914,,,,,,,
0188,遂,162,0,,,,12037,,,,,,,
0189,遊,162,0,,,,12042,,,,,,,
0190,遙,162,0,,,,12062,,,,,,,
0191,遇,162,0,,,,12040,,,,,,,
0192,遣,162,0,,,,12074,,,,,,,
0193,廻,054,0,,,,03008,,,,,,,
0194,迦,162,0,,,,11960,,,,,,,
0195,部,163,0,,,,12176,,,,,,,
0196,醒,164,0,,,,12322,,,,,,,
0197,金,167,0,,,,12380,,,,,,,
0198,錯,167,0,,,,12528,,,,,,,
0199,閑,169,0,,,,12722,,,,,,,
0200,門,169,0,,,,12709,,,,,,,
0201,間,169,0,,,,12724,,,,,,,
0202,闍,169,0,,,,12774,,,,,,,
0203,閻,169,0,,,,12757,,,,,,,
0204,墮,032,0,,,,01863,,,,,,,
0205,際,170,0,,,,12913,,,,,,,
0206,離,172,0,,,,13001,,,,,,,
0207,露,173,0,,,,13073,,,,,,,
0208,面,176,0,,,,13108,,,,,,,
0209,順,181,0,,,,13302,,,,,,,
0210,頗,181,0,,,,13325,,,,,,,
0211,風,182,0,,,,13423,,,,,,,
0212,飛,183,0,,,,13495,,,,,,,
0213,饌,184,0,,,,13636,,,,,,,
0214,鳥,196,0,,,,14361,,,,,,,
0215,一,001,1,34,,,00001,,,,,,,
0216,三,001,1,30,,,00007,,,,,,,
0217,上,001,1,19,,,00008,,,,,,,
0218,七,001,1,4,,,00004,,,,,,,
0219,下,001,1,14,,,00009,,,,,,,
0220,丘,001,1,5,,,00026,,,,,,,
0221,不,001,1,51,,,00013,,,,,,,
0222,萬,140,1,23,,,09954,,,,,,,
0223,中,002,1,22,,,00051,,,,,,,
0224,久,004,1,7,,,00085,,,,,,,
0225,乃,004,1,9,,,00078,,,,,,,
0226,之,004,1,23,,,00088,,,,,,,
0227,亂,005,1,3,,,00121,,,,,,,
0228,事,006,1,9,,,00128,,,,,,,
0229,于,007,1,3,,,00132,,,,,,,
0230,二,007,1,7,,,00129,,,,,,,
0231,云,007,1,2,,,00133,,,,,,,
0232,五,007,1,5,,,00135,,,,,,,
0233,亦,008,1,14,,,00154,,,,,,,
0234,値,009,1,2,,,00385,,,,,,,
0235,仰,009,1,3,,,00199,,,,,,,
0236,偈,009,1,6,,,00406,,,,,,,
0237,作,009,1,14,,,00256,,,,,,,
0238,倍,009,1,2,,,00368,,,,,,,
0239,伎,009,1,3,,,00216,,,,,,,
0240,他,009,1,15,,,00183,,,,,,,
0241,便,009,1,15,,,00321,,,,,,,
0242,佛,009,1,58,,,00255,,,,,,,
0244,以,009,1,44,,,00194,,,,,,,
0245,來,009,1,30,,,00282,,,,,,,
0246,令,009,1,10,,,00193,,,,,,,
0247,倒,009,1,3,,,00373,,,,,,,
0248,何,009,1,10,,,00250,,,,,,,
