カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典,,,,,,,
0607,陀,170,1,8,,,12831,,,,,,,
0608,隱,170,1,2,,,12935,,,,,,,
0609,隨,170,1,7,,,12927,,,,,,,
0610,雖,172,1,4,,,12991,,,,,,,
0611,難,172,1,7,,,13002,,,,,,,
0612,雨,173,1,6,,,13012,,,,,,,
0613,靈,173,1,2,,,13092,,,,,,,
0614,非,175,1,7,,,13104,,,,,,,
0615,音,180,1,3,,,13281,,,,,,,
0616,顛,181,1,3,,,13395,,,,,,,
0617,頭,181,1,2,,,13346,,,,,,,
0618,須,181,1,4,,,13304,,,,,,,
0619,頂,181,1,2,,,13296,,,,,,,
0620,願,181,1,3,,,13391,,,,,,,
0621,頌,181,1,2,,,13307,,,,,,,
0622,食,184,1,2,,,13503,,,,,,,
0623,饒,184,1,3,,,13641,,,,,,,
0624,餘,184,1,6,,,13565,,,,,,,
0625,養,184,1,20,,,13551,,,,,,,
0626,飮,184,1,4,,,13526,,,,,,,
0627,香,186,1,20,,,13667,,,,,,,
0628,高,189,1,7,,,13940,,,,,,,
0629,鷲,196,1,2,,,14576,,,,,,,
0630,鼓,207,1,4,,,14775,,,,,,,
0631,世,001,2,21,8,,00025,,,,,,,
0632,差,048,2,1,1,,02780,,,,,,,
0633,己,049,2,3,1,,02782,,,,,,,
0634,已,049,2,11,1,,02783,,,,,,,
0635,想,061,2,4,1,,03373,,,,,,,
0636,當,102,2,14,5,,07535,,,,,,,
0637,祇,113,2,6,2,,08107,,,,,,,
0638,窟,116,2,1,1,,08323,,,,,,,
0639,經,120,2,19,4,,08856,,,,,,,
0641,達,162,2,1,1,,12052,,,,,,,
0543,藐,140,3,8,1,1,10192,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
