,,khi_宮廷今西,khi_宮廷今西,khi_宮廷今西,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
07827,眞,0123,0,1,109
07843,眼,0124,0,1,109
07860,睡,0125,0,1,109
07790,目,0126,0,1,109
08143,禁,0127,0,1,113
08165,禮,0128,0,1,113
08329,窮,0129,0,1,116
08504,篌,0130,0,1,118
08400,笛,0131,0,1,118
08437,答,0132,0,1,118
08527,篩,0133,0,1,118
08577,簫,0134,0,1,118
08474,箜,0135,0,1,118
08779,細,0136,0,1,120
09020,繞,0137,0,1,120
09049,繽,0138,0,1,120
08760,紛,0139,0,1,120
08885,網,0140,0,1,120
08938,練,0141,0,1,120
09011,繒,0142,0,1,120
09085,缺,0143,0,1,121
09194,羼,0144,0,1,123
09250,老,0145,0,1,125
09257,耆,0146,0,1,125
09292,耶,0147,0,1,128
09326,聰,0148,0,1,128
09394,背,0149,0,1,130
09370,肩,0150,0,1,130
09463,脱,0151,0,1,130
09617,臺,0152,0,1,133
09621,臾,0153,0,1,134
09665,般,0154,0,1,137
09846,草,0155,0,1,140
10172,薰,0156,0,1,140
09905,菔,0157,0,1,140
09904,菓,0158,0,1,140
10669,袒,0159,0,1,145
10649,衰,0160,0,1,145
10756,褥,0161,0,1,145
10643,表,0162,0,1,145
10820,西,0163,0,1,146
10826,覆,0164,0,1,146
10856,覺,0165,0,1,147
11195,議,0166,0,1,149
10969,詠,0167,0,1,149
11038,調,0168,0,1,149
11134,謬,0169,0,1,149
11020,誤,0170,0,1,149
10896,計,0171,0,1,149
11200,護,0172,0,1,149
11117,謙,0173,0,1,149
10974,詣,0174,0,1,149
11355,貴,0175,0,1,154
11402,賤,0176,0,1,154
11342,貪,0177,0,1,154
11338,貧,0178,0,1,154
11393,賜,0179,0,1,154
11445,赤,0180,0,1,155
11471,越,0181,0,1,156
11542,跪,0182,0,1,157
11802,輕,0183,0,1,159
11795,載,0184,0,1,159
11763,軟,0185,0,1,159
11916,辯,0186,0,1,160
11914,辭,0187,0,1,160
12037,遂,0188,0,1,162
12042,遊,0189,0,1,162
12062,遙,0190,0,1,162
12040,遇,0191,0,1,162
12074,遣,0192,0,1,162
03008,廻,0193,0,1,054
11960,迦,0194,0,1,162
12176,部,0195,0,1,163
12322,醒,0196,0,1,164
12380,金,0197,0,1,167
12528,錯,0198,0,1,167
12722,閑,0199,0,1,169
12709,門,0200,0,1,169
12724,間,0201,0,1,169
12774,闍,0202,0,1,169
12757,閻,0203,0,1,169
01863,墮,0204,0,1,032
12913,際,0205,0,1,170
13001,離,0206,0,1,172
13073,露,0207,0,1,173
13108,面,0208,0,1,176
13302,順,0209,0,1,181
13325,頗,0210,0,1,181
13423,風,0211,0,1,182
13495,飛,0212,0,1,183
13636,饌,0213,0,1,184
14361,鳥,0214,0,1,196
00001,一,0215,1,34,001
00007,三,0216,1,30,001
00008,上,0217,1,19,001
00004,七,0218,1,4,001
00009,下,0219,1,14,001
00026,丘,0220,1,5,001
00013,不,0221,1,51,001
09954,萬,0222,1,23,140
00051,中,0223,1,22,002
00085,久,0224,1,7,004
00078,乃,0225,1,9,004
00088,之,0226,1,23,004
00121,亂,0227,1,3,005
00128,事,0228,1,9,006
00132,于,0229,1,3,007
00129,二,0230,1,7,007
00133,云,0231,1,2,007
00135,五,0232,1,5,007
00154,亦,0233,1,14,008
00385,値,0234,1,2,009
00199,仰,0235,1,3,009
00406,偈,0236,1,6,009
00256,作,0237,1,14,009
00368,倍,0238,1,2,009
00216,伎,0239,1,3,009
00183,他,0240,1,15,009
00321,便,0241,1,15,009
00255,佛,0242,1,58,009
00194,以,0244,1,44,009
00282,來,0245,1,30,009
00193,令,0246,1,10,009
