カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号,
0364,黨,0,,,,14730,203,
0365,龍,0,,,,14876,212,
0366,龜,0,,,,14887,213,
0367,丘,1,5,,,00026,001,
0368,且,1,8,,,00020,001,
0369,三,1,15,,,00007,001,
0370,七,1,3,,,00004,001,
0371,世,1,7,,,00025,001,
0372,上,1,26,,,00008,001,
0373,下,1,12,,,00009,001,
0374-0375,不,1,66,,,00013,001,
0376-0377,一,1,64,,,00001,001,
0378,中,1,27,,,00051,002,
0379,主,1,14,,,00070,003,
0380-0381,乃,1,60,,,00078,004,
0382-0388,之,1,310,,,00088,004,
0389,久,1,11,,,00085,004,
0390,乎,1,19,,,00092,004,
0391,乘,1,4,,,00102,004,
0392,乞,1,3,,,00108,005,
0393,乳,1,4,,,00113,005,
0394-0395,也,1,53,,,00109,005,
0396,事,1,19,,,00128,006,
0397,于,1,18,,,00132,007,
0398-0399,云,1,52,,,00133,007,
0400,井,1,9,,,00136,007,
0401,二,1,19,,,00129,007,
0402,五,1,13,,,00135,007,
0403,亡,1,2,,,00150,008,
0404,今,1,26,,,00175,009,
0405,作,1,24,,,00256,009,
0406,伊,1,6,,,00213,009,
0407-0409,以,1,125,,,00194,009,
0410,令,1,5,,,00193,009,
0411,代,1,7,,,00192,009,
0412,何,1,24,,,00250,009,
0413,供,1,4,,,00299,009,
0414,企,1,5,,,00209,009,
0415,仍,1,4,,,00177,009,
0416,便,1,7,,,00321,009,
0417,侍,1,6,,,00288,009,
0418,依,1,12,,,00301,009,
0419,但,1,3,,,00240,009,
0420,他,1,2,,,00183,009,
0421,俳,1,4,,,00351,009,
0422,伏,1,7,,,00217,009,
0423,倚,1,2,,,00378,009,
0424,住,1,6,,,00245,009,
0425,候,1,2,,,00369,009,
0426,人,1,33,,,00168,009,
0427,傾,1,2,,,00475,009,
0428,倒,1,2,,,00373,009,
0429,佐,1,2,,,00246,009,
0430,00419,1,2,,,00419,009,
0431,00207,1,2,,,00207,009,
0432,使,1,18,,,00279,009,
0433,仰,1,4,,,00199,009,
0434,優,1,3,,,00542,009,
0435,傍,1,2,,,00449,009,
0436,似,1,2,,,00235,009,
0437,余,1,7,,,00253,009,
0438,先,1,17,,,00566,010,
0439-0440,兄,1,51,,,00561,010,
0441-0442,兒,1,59,,,00574,010,
0443,兩,1,3,,,00591,011,
0444,全,1,2,,,00589,011,
0445,内,1,12,,,00585,013,
0446,入,1,24,,,00582,011,
0447-0448,其,1,83,,,00605,012,
0449,八,1,34,,,00594,012,
0450,共,1,6,,,00599,012,
0451,兼,1,4,,,00613,012,
0452,具,1,5,,,00606,012,
0453,分,1,3,,,00734,018,
0454,副,1,3,,,00818,018,
0455,刀,1,4,,,00729,018,
0456,制,1,2,,,00776,018,
0457,利,1,12,,,00767,018,
0458,前,1,11,,,00794,018,
0459,到,1,18,,,00769,018,
