統合ID,文字,カード番号,字体数,用例数,部首
00919,勿,0467,1,9,020
00938,化,0468,1,4,021
00985,十,0469,1,14,024
00987,千,0470,1,14,024
01019,卜,0471,1,2,025
01022,占,0472,1,2,025
01049,即,0473,1,31,026
01035,危,0474,1,2,026
01101,去,0475,1,18,028
01127,取,0476,1,12,029
01128,受,0477,1,6,029
01108,又,0478,1,17,029
01111,及,0479,1,22,029
01369,問,0480,1,33,030
01141,口,0481,1,17,030
01179,向,0482,1,11,030
01188,吟,0483,1,4,030
01150,召,0484,1,9,030
01452,嗣,0485,1,5,030
03066,強,0486,1,2,057
01312,咲,0487,1,2,030
01217,吾,0488,1,80,030
01252,命,0490,1,74,030
01185,君,0492,1,9,030
01487,嘲,0493,1,4,030
01420,喧,0494,1,2,030
01479,嘗,0495,1,2,030
01154,可,0496,1,24,030
01349,唯,0497,1,2,030
01219,告,0498,1,6,030
01395,善,0499,1,3,030
01359,唾,0500,1,2,030
01242,味,0501,1,6,030
01430,喪,0502,1,6,030
01263,和,0503,1,4,030
01170,合,0504,1,9,030
01175,名,0505,1,20,030
01279,咫,0506,1,4,030
01305,哉,0507,1,4,030
01251,呼,0508,1,3,030
01168,各,0509,1,2,030
01187,呑,0510,1,2,030
01174,同,0511,1,3,030
01627,固,0512,1,2,031
01623,困,0513,1,4,031
01607,四,0514,1,2,031
01726,垢,0515,1,2,032
01666,地,0516,1,12,032
01710,垂,0517,1,2,032
01659,在,0518,1,24,032
01654,土,0519,1,4,032
01682,坐,0520,1,6,032
01672,坂,0521,1,2,032
01767,堅,0522,1,3,032
01938,多,0523,1,10,036
01939,夜,0524,1,14,036
01947,天,0525,1,176,037
01948,太,0529,1,8,037
01974,奉,0530,1,27,037
01946,大,0531,1,40,037
01957,失,0532,1,7,037
01973,奈,0533,1,5,037
02108,姫,0534,1,63,038
02062,妾,0536,1,19,038
02031,如,0537,1,22,038
02069,始,0538,1,6,038
02022,女,0539,1,49,038
02105,威,0540,1,4,038
02178,媛,0541,1,4,038
02059,妹,0542,1,5,038
02134,娶,0543,1,8,038
02122,娠,0544,1,8,038
02061,妻,0545,1,8,038
02032,妃,0546,1,6,038
02119,娜,0547,1,2,038
02068,姉,0548,1,2,038
02078,委,0549,1,2,038
02024,奴,0550,1,3,038
02151,婢,0551,1,2,038
02282,孫,0552,1,82,039
02265,孕,0554,1,2,039
02342,宮,0555,1,15,040
02309,安,0556,1,3,040
09348,肉,0557,1,3,130
02346,害,0558,1,5,040
02327,宜,0559,1,12,040
02331,客,0560,1,4,040
02352,容,0561,1,7,040
02407,寶,0562,1,5,040
02332,室,0563,1,7,040
02390,實,0564,1,5,040
02429,尊,0565,1,100,041
02435,對,0567,1,23,041
02422,射,0568,1,6,041
02430,尋,0569,1,12,041
02440,少,0570,1,5,042
02439,小,0571,1,8,042
02478,尾,0572,1,3,044
02515,屬,0573,1,4,044
02482,居,0574,1,13,044
02504,屡,0575,1,5,044
02488,屋,0576,1,20,044
02528,山,0577,1,25,046
02540,岐,0578,1,3,046
02640,崩,0579,1,3,046
02589,峯,0580,1,6,046
08125,祟,0581,1,2,113
02762,川,0582,1,3,047
02774,左,0583,1,2,048
02783,已,0584,1,25,049
02782,己,0585,1,10,049
02828,帥,0586,1,2,050
02846,帶,0587,1,4,050
02881,幡,0588,1,12,050
02847,常,0589,1,3,050
02839,席,0590,1,2,050
02900,年,0591,1,5,051
02899,平,0592,1,16,051
02946,座,0593,1,2,053
02993,廣,0594,1,3,053
02952,庭,0595,1,2,053
02932,底,0596,1,2,053
11977,迺,0597,1,5,054
03065,張,0598,1,3,057
03052,弟,0599,1,41,057
03044,引,0600,1,2,057
03043,弔,0601,1,2,057
03084,彌,0602,1,4,057
03042,弓,0603,1,8,057
03106,彦,0604,1,91,059
03116,影,0606,1,2,059
03132,待,0607,1,6,060
03145,得,0608,1,17,060
03138,後,0609,1,19,060
03128,往,0610,1,13,060
03142,徑,0611,1,4,060
03153,御,0612,1,11,060
03124,彼,0613,1,13,060
03172,徳,0614,1,2,060
03291,恨,0615,1,9,061
03179,心,0616,1,10,061
03367,惡,0617,1,5,061
03438,慇,0618,1,2,061
03499,憐,0619,1,3,061
03238,怜,0620,1,4,061
03585,懷,0621,1,3,061
03194,志,0622,1,4,061
03298,息,0623,1,6,061
03453,慙,0624,1,4,061
03410,慍,0625,1,2,061
03184,忍,0626,1,10,061
03183,忌,0627,1,2,061
03180,必,0628,1,13,061
03550,應,0629,1,2,061
03544,懃,0630,1,2,061
03220,忿,0631,1,4,061
03395,意,0632,1,5,061
03405,愛,0633,1,2,061
03239,思,0634,1,6,061
03466,慮,0635,1,2,061
03243,急,0636,1,5,061
03219,忽,0637,1,6,061
03372,惱,0638,1,3,061
03329,患,0639,1,3,061
03229,怒,0640,1,4,061
03320,悔,0641,1,2,061
03348,情,0642,1,4,061
03387,愁,0643,1,4,061
03534,憶,0644,1,3,061
03486,憂,0645,1,8,061
03617,或,0646,1,2,062
03611,我,0647,1,24,062
03610,成,0648,1,3,062
03647,所,0649,1,40,063
03640,戸,0650,1,6,063
03858,掌,0651,1,3,064
03715,披,0652,1,2,064
04106,據,0653,1,4,064
03780,持,0654,1,11,064
03855,授,0655,1,9,064
03862,排,0656,1,6,064
04069,播,0657,1,12,064
03708,投,0658,1,5,064
03874,探,0659,1,4,064
03659,手,0660,1,14,064
03711,折,0661,1,10,064
03720,抱,0662,1,2,064
03939,損,0663,1,2,064
03751,03751,0664,1,5,064
04243,故,0665,1,72,066
04277,敢,0667,1,3,066
04263,救,0668,1,4,066
04261,教,0669,1,12,066
04233,放,0670,1,5,066
04376,新,0671,1,3,069
04385,方,0672,1,7,070
04442,既,0673,1,11,071
04485,明,0674,1,13,072
04490,昔,0675,1,2,072
04569,智,0676,1,5,072
04480,昇,0677,1,4,072
04489,易,0678,1,4,072
04523,時,0679,1,104,072
04500,映,0682,1,3,072
04512,是,0683,1,84,072
04446,日,0685,1,39,072
04650,曰,0686,1,162,073
04661,曾,0690,1,2,073
04654,更,0691,1,2,073
04651,曲,0692,1,4,073
04667,會,0693,1,2,073
04657,書,0694,1,17,073
04673,月,0695,1,3,074
04674,有,0696,1,80,074
04693,望,0698,1,2,074
04699,期,0699,1,3,074
04807,枝,0700,1,2,075
05293,樓,0701,1,2,075
05014,棄,0702,1,5,075
05471,櫛,0703,1,3,075
04922,根,0704,1,12,075
04723,机,0705,1,2,075
04915,04915,0706,1,5,075
04713,本,0707,1,12,075
04769,杵,0708,1,17,075
04707,木,0709,1,9,075
04711,未,0710,1,6,075
04712,末,0711,1,3,075
05323,樹,0712,1,17,075
04806,果,0713,1,5,075
04747,杜,0714,1,5,075
05348,橋,0715,1,7,075
04803,林,0716,1,2,075
05236,槌,0717,1,4,075
05266,05266,0718,1,5,075
05609,歌,0719,1,13,076
05558,次,0720,1,28,076
05612,歎,0721,1,3,076
05580,欲,0722,1,16,076
05649,武,0723,1,8,077
05686,死,0724,1,3,078
05809,殿,0725,1,4,079
05834,母,0726,1,10,080
05836,毎,0727,1,2,080
05841,比,0728,1,5,081
05845,05845,0729,1,2,081
05850,毛,0730,1,5,082
05935,民,0731,1,2,083
06312,渚,0732,1,3,085
06175,浮,0733,1,8,085
06381,湯,0734,1,5,085
06055,治,0735,1,9,085
06432,滅,0736,1,2,085
05983,汝,0737,1,46,085
06086,波,0738,1,12,085
06408,溢,0739,1,5,085
06128,津,0740,1,39,085
06422,溺,0741,1,8,085
06476,滿,0742,1,7,085
06182,海,0743,1,72,085
05962,汀,0745,1,5,085
06023,沒,0746,1,5,085
05952,水,0747,1,6,085
06145,活,0748,1,3,085
06294,添,0749,1,2,085
06713,瀬,0750,1,7,085
06507,漬,0751,1,3,085
06227,涸,0752,1,10,085
05996,汲,0753,1,5,085
06554,潮,0754,1,23,085
06658,濱,0755,1,8,085
06173,浪,0756,1,2,085
05957,永,0757,1,4,085
06285,深,0758,1,3,085
05964,求,0759,1,3,085
06045,河,0760,1,2,085
06645,濤,0761,1,3,085
06193,渉,0762,1,2,085
06074,法,0763,1,2,085
06723,瀲,0764,1,7,085
06150,06150,0765,1,2,085
06138,洲,0766,1,2,085
06947,06947,0767,1,2,086
06882,焔,0768,1,2,086
06776,火,0769,1,111,086
06872,無,0772,1,20,086
06885,然,0773,1,16,086
06867,焚,0774,1,2,086
06801,炎,0775,1,3,086
07035,父,0776,1,10,088
00260,00260,0777,1,2,009
01905,壯,0778,1,3,033
07080,物,0779,1,5,093
07122,状,0780,1,6,094
07139,狗,0781,1,2,094
07248,獸,0782,1,3,094
07162,狹,0783,1,17,094
07241,獲,0784,1,2,094
07230,獨,0785,1,2,094
07189,07189,0786,1,5,094
07203,猶,0787,1,9,094
07275,玲,0788,1,2,096
07394,瓊,0789,1,35,096
07395,瓏,0790,1,2,096
07261,玉,0791,1,49,096
07262,王,0792,1,7,096
07307,理,0793,1,2,096
07346,瑞,0794,1,2,096
07452,甕,0795,1,3,098
07457,甚,0796,1,5,099
07464,産,0797,1,30,100
07461,生,0798,1,40,100
07469,用,0799,1,6,101
07478,田,0800,1,33,102
07483,男,0801,1,3,102
07508,留,0802,1,8,102
07479,由,0803,1,3,102
07559,疑,0804,1,5,103
07591,疾,0805,1,4,104
07685,癡,0806,1,2,104
08135,祭,0807,1,2,113
07710,百,0808,1,8,106
07709,白,0809,1,6,106
07717,皆,0810,1,6,106
07770,盛,0811,1,5,108
07785,盧,0812,1,2,108
07779,盡,0813,1,3,108
07759,益,0814,1,3,108
07790,目,0815,1,13,109
07806,盾,0816a,2,1,109
07806b,盾,0816b,2,1,109
07827,眞,0817,1,7,109
07844,衆,0818,1,2,109
07801,相,0819,1,12,109
07929,矛,0820,1,4,110
07937,矢,0821,1,13,111
07941,知,0822,1,14,030
07948,短,0823,1,2,111
08047,磐,0824,1,17,112
07954,石,0825,1,5,112
08023,碕,0826,1,4,112
08057,磨,0827,1,7,112
08166,禰,0828,1,4,115
08107,祇,0829,1,8,113
08124,神,0830,1,162,113
08117,祖,0834,1,13,113
08187,秋,0835,1,2,115
08244,種,0836,1,2,115
08212,移,0837,1,2,115
08233,稚,0838,1,16,115
08273,穗,0839,1,19,115
08248,稱,0840,1,8,115
08180,私,0841,1,3,115
08235,稜,0842,1,3,115
08179,秀,0843,1,2,115
08329,窮,0844,1,3,116
08353,竊,0845,1,2,116
08296,空,0846,1,4,116
08354,立,0847,1,12,117
08438,策,0848,1,2,118
08404,笠,0849,1,4,118
08468,箕,0850,1,2,118
08631,籬,0851,1,2,118
08437,答,0852,1,2,118
08382,竹,0853,1,8,118
08434,筑,0854,1,3,118
08461,箇,0855,1,10,118
08856,經,0856,1,8,120
08807,結,0857,1,2,120
08773,紫,0858,1,3,120
08765,素,0859,1,5,120
09028,繩,0860,1,2,120
08795,終,0861,1,3,120
08899,綿,0862,1,2,120
09012,織,0863,1,2,120
08809,絶,0864,1,4,120
08870,縁,0865,1,10,120
09125,罪,0866,1,2,122
09128,置,0867,1,7,122
09195,羽,0868,1,4,124
09201,翁,0869,1,10,124
09250,老,0870,1,11,125
09255,者,0871,1,93,125
09264,而,0873,1,107,126
09267,耐,0876,1,4,126
09315,聞,0877,1,8,128
09290,耳,0878,1,8,128
09425,胸,0879,1,6,130
09413,胤,0880,1,7,130
09508,腰,0881,1,2,130
09601,臨,0882,1,7,131
09596,臣,0883,1,2,131
09602,自,0884,1,36,132
09610,至,0885,1,23,133
09611,致,0886,1,6,133
09675,船,0887,1,2,137
09714,良,0888,1,2,138
09764,芹,0889,1,9,140
10040,蓋,0890,1,3,140
09972,著,0891,1,3,140
09789,苦,0892,1,6,140
09994,葺,0893,1,7,140
09846,草,0894,1,10,140
09961,落,0895,1,3,140
09982,葦,0896,1,19,140
09966,葉,0897,1,2,140
09985,葬,0898,1,3,140
09921,華,0899,1,2,140
10272,虚,0900,1,3,141
10270,處,0901,1,17,141
10563,蠅,0902,1,2,142
10614,行,0903,1,18,144
10636,衢,0904,1,3,144
10649,衰,0905,1,2,145
10774,襃,0906a,2,2,145
10774b,襃,0906b,2,1,145
10683,被,0907,1,2,145
10658,衾,0908,1,5,145
10826,覆,0909,1,5,146
10820,西,0910,1,2,146
10831,見,0911,1,64,147
10837,視,0913,1,7,147
10848,親,0914,1,2,147
10840,覘,0915,1,2,147
10887,觸,0916,1,2,148
10928,設,0917,1,5,149
10896,計,0918,1,3,149
10975,試,0919,1,3,149
11017,語,0920,1,4,149
11049,請,0921,1,14,149
11095,謂,0922,1,16,149
10890,言,0923,1,26,149
11085,諸,0924,1,7,149
11234,谷,0925,1,2,150
11024,誨,0926,1,2,149
10965,詛,0927,1,2,149
11022,誥,0928,1,3,149
11200,護,0929,1,2,149
11028,誰,0930,1,8,149
11008,誓,0931,1,4,149
10999,誅,0932,1,2,149
11020,誤,0933,1,2,149
11205,譽,0934,1,5,149
11090,諾,0935,1,2,149
11018,誠,0936,1,2,149
10925,訪,0937,1,4,149
10930,許,0938,1,2,149
11250,豆,0939,1,6,151
11253,豈,0940,1,4,151
11261,豐,0941,1,29,151
11283,豫,0942,1,3,152
11311,貌,0943,1,2,153
11429,贈,0944,1,3,154
11332,負,0945,1,2,154
11354,貳,0946,1,2,154
11377,賊,0947,1,2,154
11393,賜,0948,1,6,154
