カード番号,文字,字体数,用例数1,用例数2,大字典番号,部首番号
0139,畜,0,1,,07513,102
0140,疉,0,1,,07553,102
0141,疏,0,1,,07557,103
0142,癡,0,1,,07685,104
0143,眠,0,1,,07828,109
0144,短,0,1,,07948,111
0145,破,0,1,,07986,112
0146,禪,0,1,,08162,113
0147,稱,0,1,,08248,115
0148,稽,0,1,,08258,115
0149,章,0,1,,08366,117
0150,童,0,1,,08371,117
0151,豎,0,1,,11258,151
0152,端,0,1,,08376,117
0153,簡,0,1,,08569,118
0154,純,0,1,,08753,120
0155,索,0,1,,08767,120
0156,細,0,1,,08779,120
0157,結,0,1,,08807,120
0158,纏,0,1,,09064,120
0159,纔,0,1,,09073,120
0160,罪,0,1,,09125,122
0161,翻,0,1,,09243,124
0162,膝,0,1,,09541,130
0163,曳,0,1,,04653,073
0164,舍,0,1,,09638,135
0165,芥,0,1,,09747,140
0166,草,0,1,,09846,140
0167,莫,0,1,,09886,140
0168,葉,0,1,,09966,140
0169,蓋,0,1,,10040,140
0170,薄,0,1,,10139,140
0171,藥,0,1,,10204,140
0172,盧,0,1,,07785,108
0173,詣,0,1,,10974,149
0174,該,0,1,,10987,149
0175,語,0,1,,11017,149
0176,誰,0,1,,11028,149
0177,誹,0,1,,11035,149
0178,謗,0,1,,11116,149
0179,謬,0,1,,11134,149
0180,譬,0,1,,11189,149
0181,責,0,1,,11344,154
0182,資,0,1,,11373,154
0183,質,0,1,,11404,154
0184,趺,0,1,,11502,157
0186,辨,0,1,,11908,160
0187,迄,0,1,,11936,162
0188,述,0,1,,11968,162
0189,逢,0,1,,12009,162
0190,遲,0,1,,12087,162
0191,過,0,1,,12046,162
0192,達,0,1,,12052,162
0193,部,0,1,,12176,163
0194,陀,0,1,,12831,170
0195,降,0,1,,12838,170
0196,集,0,1,,12963,172
0197,雨,0,1,,13012,173
0198,雪,0,1,,13015,173
0199,雲,0,1,,13020,173
0200,露,0,1,,13073,173
0201,響,0,1,,13293,180
0202,頂,0,1,,13296,181
0203,頌,0,1,,13307,181
0204,預,0,1,,13313,181
0205,顧,0,1,,13409,181
0206,風,0,1,,13423,182
0207,食,0,1,,13503,184
0208,饒,0,1,,13641,184
0209,驚,0,1,,13852,187
0210,骨,0,1,,13873,188
0211,高,0,1,,13940,189
0212,14659,0,1,,14659,198
0213-0214,一,1,78,,00001,001
0215,七,1,9,,00004,001
0216,三,1,30,,00007,001
0217,上,1,17,,00008,001
0218,下,1,5,,00009,001
0219-0220,不,1,90,,00013,001
0221,世,1,26,,00025,001
0222-0223,中,1,64,,00051,002
0224,主,1,3,,00070,003
0225,乃,1,6,,00078,004
0226,之,1,45,,00088,004
0227,乘,1,22,,00102,004
0228,九,1,9,,00107,005
0229,也,1,43,,00109,005
0230,事,1,11,,00128,006
0231,二,1,37,,00129,007
0232,云,1,32,,00133,007
0233,五,1,13,,00135,007
0234,亡,1,3,,00150,008
0235,亦,1,15,,00154,008
0236,人,1,34,,00168,009
0237,他,1,3,,00183,009
0238,仙,1,2,,00186,009
0239,令,1,24,,00193,009
0240,以,1,37,,00194,009
0241,仰,1,2,,00199,009
0242,但,1,7,,00240,009
0243,位,1,27,,00243,009
0244,住,1,17,,00245,009
0245,何,1,46,,00250,009
0246-0248,佛,1,119,,00255,009
0249,作,1,4,,00256,009
0250-0251,來,1,58,,00282,009
0252,例,1,2,,00287,009
0253,供,1,4,,00299,009
0254-0255,依,1,73,,00301,009
0256,便,1,18,,00321,009
0257-0259,信,1,133,,00345,009
0260,充,1,2,,00562,010
0261,先,1,8,,00566,010
0262,光,1,23,,00567,010
0263,兜,1,2,,00579,010
0264,入,1,25,,00582,011
0265,内,1,2,,00585,011
0266,八,1,9,,00594,012
0267,六,1,10,,00597,012
0268,其,1,31,,00605,012
0269,具,1,9,,00606,012
0270,准,1,3,,00678,015
0271,凡,1,32,,00701,016
0272,出,1,24,,00723,017
0273,分,1,15,,00734,018
0274,切,1,17,,00735,018
0275,初,1,16,,00759,018
0276,別,1,24,,00763,018
0277,利,1,17,,00767,018
0278,到,1,5,,00769,018
0279,刹,1,5,,00781,018
0280,則,1,2,,00789,018
0281,前,1,3,,00794,018
0282,剛,1,5,,00803,018
0283,力,1,11,,00856,019
0284,功,1,11,,00857,019
0285,加,1,3,,00858,019
0286,劣,1,4,,00859,019
0287,助,1,3,,00863,019
0288,動,1,3,,00887,019
0289,勝,1,7,,00893,019
0290,勤,1,2,,00900,019
0291,勸,1,3,,00913,019
0292,化,1,8,,00938,021
0293-0294,十,1,81,,00985,024
0295,千,1,4,,00987,024
0296,廿,1,2,,00988,024
0297,即,1,23,,01049,026
0298,去,1,2,,01101,028
