統合ID,文字,華嚴信種,字体数,用例数,部首
03194,志,0070,0,1,061
03240,怠,0071,0,1,061
03267,恆,0072,0,1,061
03329,患,0073,0,1,061
03373,想,0074,0,1,061
03405,愛,0075,0,1,061
03459,慣,0076,0,1,061
03511,憚,0078,0,1,061
03534,憶,0079,0,1,061
03549,懈,0080,0,1,061
03612,戒,0081,0,1,062
03708,投,0082,0,1,064
03755,拙,0083,0,1,064
03761,拜,0084,0,1,064
03780,持,0085,0,1,064
03783,指,0086,0,1,064
03880,推,0087,0,1,064
04009,摩,0088,0,1,064
04085,擇,0089,0,1,064
04224,收,0090,0,1,066
04228,改,0091,0,1,066
04268,敗,0093,0,1,066
04280,散,0094,0,1,066
04298,數,0095,0,1,066
04442,旣,0096,0,1,071
04446,日,0097,0,1,072
04480,昇,0098,0,1,072
04603,暫,0099a,2,1,072
04603b,暫,0099b,2,1,072
04636,曜,0100,0,1,072
04651,曲,0101,0,1,073
04654,更,0102,0,1,073
04657,書,0103,0,1,073
04679,服,0104,0,1,074
04690,朗,0105,0,1,074
07912,矇,0106,0,1,109
04712,末,0107,0,1,075
04848,染,0108,0,1,075
05000,梯,0109,0,1,075
05138,楞,0110,0,1,075
05312,樣,0111,0,1,075
05293,樓,0112,0,1,075
05362,橙,0113,0,1,075
05381,橫,0114,0,1,075
05580,欲,0115,0,1,076
05587,欺,0116,0,1,076
05670,歷,0117,0,1,077
05792,段,0118,0,1,079
05845,毗,0119,0,1,081
05850,毛,0120,0,1,082
05935,民,0121,0,1,083
05947,氣,0122,0,1,084
05957,永,0123,0,1,085
05983,汝,0124,0,1,085
06286,淳,0125,0,1,085
06290,清,0126,0,1,085
06499,漢,0127,0,1,085
06641,濟,0128,0,1,085
06882,焰,0129,0,1,086
06978,燒,0130,0,1,086
07035,父,0131,0,1,088
07180,猛,0132,0,1,094
07241,獲,0133,0,1,094
07256,玄,0134,0,1,095
07456,甘,0135,0,1,099
07478,田,0136,0,1,102
07479,由,0137,0,1,102
07508,留,0138,0,1,102
07513,畜,0139,0,1,102
07553,疉,0140,0,1,102
07557,疏,0141,0,1,103
07685,癡,0142,0,1,104
07828,眠,0143,0,1,109
07948,短,0144,0,1,111
07986,破,0145,0,1,112
08162,禪,0146,0,1,113
08248,稱,0147,0,1,115
08258,稽,0148,0,1,115
08366,章,0149,0,1,117
08371,童,0150,0,1,117
11258,豎,0151,0,1,151
08376,端,0152,0,1,117
