カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号,,
0773,12204,1,2,,,12204,163,,
0774,邪,1,5,,,12139,163,,
0775,醫,1,3,,,12341,164,,
0776,量,1,15,,,12376,166,,
0777,重,1,5,,,12373,166,,
0778,長,1,6,,,12698,168,,
0779,門,1,4,,,12709,169,,
0780,閉,1,2,,,12714,169,,
0781,間,1,5,,,12724,169,,
0782,闕,1,2,,,12783,169,,
0783,開,1,2,,,12716,169,,
0784,陀,1,2,,,12831,170,,
0785,陵,1,2,,,12867,170,,
0786,除,1,8,,,12855,170,,
0787,隨,1,9,,,12927,170,,
0788,阿,1,17,,,12830,170,,
0789,難,1,36,,,13002,172,,
0790,雜,1,3,,,12997,172,,
0791,雖,1,7,,,12991,172,,
0792,離,1,3,,,13001,172,,
0793,雨,1,3,,,13012,173,,
0794,非,1,7,,,13104,175,,
0795,鞭,1,2,,,13192,177,,
0796,13176,1,4,,,13176,177,,
0797,音,1,2,,,13281,180,,
0798,頂,1,3,,,13296,181,,
0799,願,1,37,,,13391,181,,
0800,風,1,2,,,13423,182,,
0801,餘,1,11,,,13565,184,,
0802,食,1,9,,,13503,184,,
0803,飢,1,3,,,13508,184,,
0804,飮,1,4,,,13526,184,,
0805,香,1,11,,,13667,186,,
0806,高,1,2,,,13940,189,,
0807,鬘,1,2,,,13999,190,,
0808,魅,1,2,,,14073,194,,
0809,鼓,1,2,,,14775,207,,
0810,齋,1,3,,,14829,210,,
0811,亂,2,1,1,,00121,005,,
0812,僧,2,3,1,,00503,009,,
0813,像,2,6,2,,00489,009,,
0814,伎,2,2,1,,00216,009,,
0815,厭,3,2,1,1,01088,027,,
0816,報,2,3,1,,01796,032,,
0817,墮,2,6,5,,01863,032,,
0818,掲,2,2,1,,03919,064,,
0819,於,2,32,5,,04389,070,,
0820,晝,2,1,1,,04542,072,,
0821,此,2,19,8,,05644,077,,
0822,歸,2,4,1,,05676,077,,
0823,淨,2,8,7,,06272,085,,
0824,滿,2,4,1,,06476,085,,
0825,瑠,2,32,1,,07348,096,,
0826,疑,2,1,1,,07559,103,,
0827,耶,2,1,1,,09292,128,,
0828,肉,2,3,1,,09348,130,,
0829,臨,2,1,1,,09601,131,,
0830,説,2,17,2,,11025,149,,
0831,貪,2,3,1,,11342,154,,
0832,趣,2,9,8,,11485,156,,
0833,轉,2,6,3,,11856,159,,
0834,號,2,12,5,,10276,141,,
0835,處,2,12,6,,10270,141,,
0836,10480,2,1,1,,10480,142,,
0837,蚊,2,1,1,,10303,142,,
0838,隱,3,2,1,1,12935,170,,
0839,饒,2,6,1,,13641,184,,
0840,養,2,16,1,,13551,184,,
0841,鬼,2,3,3,,14061,194,,
0842,魔,2,6,4,,14088,194,,
0843,經,2,14,1,,08856,120,,
0844,甚,3,2,1,1,07457,099,,
0845,鬪,0,,,,14033,191,,
