カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号,,
0222,羯,0,,,,09182,123,,
0223,習,0,,,,09214,124,,
0224,翫,0,,,,09232,124,,
0225,老,0,,,,09250,125,,
0226,聾,0,,,,09336,128,,
0227,耽,0,,,,09296,128,,
0228,膝,0,,,,09541,130,,
0229,胝,0,,,,09407,130,,
0230,背,0,,,,09394,130,,
0231,脣,0,,,,09459,130,,
0232,肩,0,,,,09370,130,,
0233,臥,0,,,,09599,131,,
0234,擧,0,,,,09632,134,,
0235,薜,0,,,,10155,140,,
0236,藐,0,,,,10192,140,,
0237,蓋,0,,,,10040,140,,
0238,落,0,,,,09961,140,,
0239,藏,0,,,,10191,140,,
0240,莎,0,,,,09870,140,,
0241,荷,0,,,,09860,140,,
0242,茶,0,,,,09833,140,,
0243,蔽,0,,,,10088,140,,
0244,蚣,0,,,,10316,142,,
0245,蟲,0,,,,10549,142,,
0246,蜒,0,,,,10404,142,,
0247,蛇,0,,,,10349,142,,
0248,蚰,0,,,,10328,142,,
0249,蝎,0,,,,10453,142,,
0250,蜈,0,,,,10395,142,,
0251,術,0,,,,10618,144,,
0252,衞,0,,,,10630,144,,
0253,補,0,,,,10714,145,,
0254,袒,0,,,,10669,145,,
0255,覆,0,,,,10826,146,,
0256,覓,0,,,,10834,147,,
0257,計,0,,,,10896,149,,
0258,詣,0,,,,10974,149,,
0259,謨,0,,,,11132,149,,
0260,訟,0,,,,10919,149,,
0261,調,0,,,,11038,149,,
0262,誹,0,,,,11035,149,,
0263,記,0,,,,10914,149,,
0264,誅,0,,,,10999,149,,
0265,謀,0,,,,11092,149,,
0266,豐,0,,,,11261,151,,
0267,豈,0,,,,11253,151,,
0268,象,0,,,,11275,152,,
0269,賊,0,,,,11377,154,,
0270,賤,0,,,,11402,154,,
0271,赦,0,,,,11447,155,,
0272,躄,0,,,,11677,157,,
0273,體,0,,,,13934,188,,
0274,躬,0,,,,11716,158,,
0275,輔,0,,,,11801,159,,
0276,車,0,,,,11740,159,,
0277,軒,0,,,,11750,159,,
0278,11907,0,,,,11907,160,,
0279,退,0,,,,11982,162,,
0280,逸,0,,,,12027,162,,
0281,遭,0,,,,12082,162,,
0282,返,0,,,,11951,162,,
0283,邑,0,,,,12123,163,,
0284,醜,0,,,,12327,164,,
0285,酒,0,,,,12266,164,,
0286,録,0,,,,12499,167,,
0287,金,0,,,,12380,167,,
0288,鉢,0,,,,12440,167,,
