カード番号,JIS,字体数,用例数,用例数2,大字典番号,部首番号
0126,鬘,0,1,,13999,190
0127,魔,0,1,,14088,194
0128,齒,0,1,,14833,211
0129,一,1,236,,00001,1
0130,三,1,15,,00007,1
0131,上,1,14,,00008,1
0132,下,1,9,,00009,1
0133,不,1,42,,00013,1
0134,中,1,108,,00051,2
0135,主,1,2,,00070,3
0136,乃,1,4,,00078,4
0137,之,1,19,,00088,4
0138,了,1,10,,00125,6
0139,事,1,6,,00128,6
0140,云,1,25,,00133,7
0141,亦,1,12,,00154,8
0142,人,1,5,,00168,9
0143,今,1,3,,00175,9
0144,令,1,31,,00193,9
0145,以,1,34,,00194,9
0146,仰,1,2,,00199,9
0147,伏,1,4,,00217,9
0148,住,1,20,,00245,9
0149,何,1,25,,00250,9
0150,佛,1,209,,00255,9
0151,作,1,19,,00256,9
0152,使,1,2,,00279,9
0153,來,1,55,,00282,9
0154,供,1,14,,00299,9
0155,依,1,2,,00301,9
0156,便,1,10,,00321,9
0157,信,1,5,,00345,9
0158,倶,1,7,,00350,9
0159,像,1,5,,00489,9
0160,億,1,9,,00520,9
0161,充,1,12,,00562,10
0162,光,1,104,,00567,10
0163,入,1,33,,00582,11
0164,共,1,5,,00599,12
0165,其,1,36,,00605,12
0166,具,1,9,,00606,12
0167,出,1,18,,00723,17
0168,切,1,151,,00735,18
0169,別,1,9,,00763,18
0170,利,1,2,,00767,18
0171,刹,1,51,,00781,18
0172,前,1,9,,00794,18
0173,剛,1,3,,00803,18
0174,力,1,34,,00856,19
0175,功,1,9,,00857,19
0176,加,1,10,,00858,19
0177,劫,1,15,,00865,19
0178,動,1,3,,00887,19
0179,勝,1,9,,00893,19
0180,勤,1,2,,00900,19
0181,化,1,20,,00938,21
0182,北,1,2,,00941,21
0183,十,1,110,,00985,24
0184,南,1,3,,01010,24
0185,即,1,9,,01049,26
0186,去,1,2,,01101,28
0187,又,1,3,,01108,29
0188,及,1,19,,01111,29
0189,取,1,2,,01127,29
0190,受,1,4,,01128,29
0191,可,1,7,,01154,30
0192,右,1,2,,01158,30
0193,各,1,46,,01168,30
0194,同,1,9,,01174,30
0195,名,1,34,,01175,30
0196,向,1,8,,01179,30
0197,吼,1,2,,01215,30
0198,周,1,16,,01235,30
0199,咸,1,7,,01288,30
0200,唯,1,2,,01349,30
0201,善,1,5,,01395,30
0202,喜,1,7,,01412,30
0203,嚴,1,32,,01581,30
0204,四,1,3,,01607,31
0205,國,1,34,,01639,31
0206,圍,1,4,,01641,31
0207,圓,1,15,,01645,31
0208,土,1,40,,01654,32
0209,在,1,10,,01659,32
0210,地,1,16,,01666,32
0211,坐,1,17,,01682,32
0212,垂,1,2,,01710,32
0213,場,1,14,,01798,32
0214,塗,1,2,,01818,32
0215,塵,1,67,,01831,32
0216,境,1,10,,01839,32
0217,大,1,39,,01946,37
0218,天,1,4,,01947,37
0219,如,1,91,,02031,38
