大字典番号,JIS,カード番号,字体数,用例数,部首番号
06292,淺,0072,0,1,85
06462,滞,0073,0,1,85
06532,潔,0074,0,1,85
06949,熟,0075,0,1,86
06965,熾,0076,0,1,86
07080,物,0077,0,1,93
07086,特,0078,0,1,93
07122,状,0079,0,1,94
07203,猶,0080,0,1,94
07290,珞,0081,0,1,96
07348,瑠,0082,0,1,96
07366,璃,0083,0,1,96
07397,瓔,0084,0,1,96
07469,用,0085,0,1,101
07580,疲,0086,0,1,104
07709,白,0087,0,1,106
07813,眉,0088,0,1,109
07839,眷,0089,0,1,109
08376,端,0090,0,1,117
08412,第,0091,0,1,118
08795,終,0092,0,1,120
08817,絡,0093,0,1,120
08924,縁,0094,0,1,120
09072,纓,0095,0,1,120
09214,習,0096,0,1,124
09314,聚,0097,0,1,128
09643,舒,0098,0,1,135
09874,茎,0099,0,1,140
09966,葉,0100,0,1,140
10008,蒙,0101,0,1,140
10099,蘂,0102,0,1,140
10852,覲,0103,0,1,147
11008,誓,0104,0,1,149
11171,識,0105,0,1,149
11457,赴,0106,0,1,156
11745,軍,0107,0,1,159
11898,辟,0108,0,1,160
11937,迅,0109,0,1,162
11958,迥,0110,0,1,162
11982,退,0111,0,1,162
12042,遊,0112,0,1,162
12046,過,0113,0,1,162
12139,邪,0114,0,1,163
12528,錯,0115,0,1,167
12592y,〓,0116,0,1,167
12657,鐸,0117,0,1,167
12739,閣,0118,0,1,169
12795,闡,0119,0,1,169
12991,雖,0120,0,1,172
13104,非,0121,0,1,175
13297,頃,0122,0,1,181
13398,類,0123,0,1,181
13542,飾,0124,0,1,184
13970,髻,0125,0,1,190
13999,鬘,0126,0,1,190
14088,魔,0127,0,1,194
14833,齒,0128,0,1,211
00001,一,0129,1,236,1
00007,三,0130,1,15,1
00008,上,0131,1,14,1
00009,下,0132,1,9,1
00013,不,0133,1,42,1
00051,中,0134,1,108,2
00070,主,0135,1,2,3
00078,乃,0136,1,4,4
00088,之,0137,1,19,4
00125,了,0138,1,10,6
00128,事,0139,1,6,6
00133,云,0140,1,25,7
00154,亦,0141,1,12,8
00168,人,0142,1,5,9
00175,今,0143,1,3,9
00193,令,0144,1,31,9
00194,以,0145,1,34,9
00199,仰,0146,1,2,9
00217,伏,0147,1,4,9
00245,住,0148,1,20,9
00250,何,0149,1,25,9
00255,佛,0150,1,209,9
00256,作,0151,1,19,9
