統合ID,文字,カード番号,字体数,用例数,部首,枚数,
02907,幻,0456,1,2,052,1,
02932,底,0457,1,2,053,1,
02944,度,0458,1,7,053,1,
02993,廣,0459,1,11,053,1,
03008,廻,0460,1,4,054,1,
03044,引,0461,1,3,057,1,
03084,彌,0462,1,5,057,1,
03101,形,0463,1,12,059,1,
03124,彼,0464,1,33,060,1,
03128,往,0465,1,8,060,1,
03138,後,0466,1,2,060,1,
03141,徐,0467,1,2,060,1,
03145,得,0468,1,47,060,1,
03151,從,0469,1,5,060,1,
03157,03157,0470,1,22,060,1,
03159,復,0471,1,20,060,1,
03165,微,0472,1,5,060,1,
03172,徳,0473,1,28,060,1,
03179,心,0474,1,64,061,2,
03180,必,0476,1,3,061,1,
03182,03182,0477,1,2,061,1,
03214,念,0478,1,22,061,1,
03233,怖,0479,1,13,061,1,
03239,思,0480,1,8,061,1,
03244,性,0481,1,3,061,1,
03245,怨,0482,1,2,061,1,
03267,恆,0483,1,3,061,1,
03272,恐,0484,1,4,061,1,
03278,恚,0485,1,2,061,1,
03298,息,0486,1,3,061,1,
03312,悉,0487,1,22,061,1,
03335,悲,0488,1,8,061,1,
03355,惑,0489,1,5,061,1,
03365,惟,0490,1,5,061,1,
03367,惡,0491,1,14,061,1,
03372,惱,0492,1,13,061,1,
03373,想,0493,1,4,061,1,
03376,惶,0494,1,3,061,1,
03395,意,0495,1,13,061,1,
03405,愛,0496,1,6,061,1,
03438,慇,0497,1,6,061,1,
03439,慈,0498,1,3,061,1,
03458,慢,0499,1,3,061,1,
03462,慧,0500,1,16,061,1,
03486,憂,0501,1,7,061,1,
03534,憶,0502,1,2,061,1,
03544,懃,0503,1,4,061,1,
03550,應,0504,1,3,061,1,
03595,戀,0505,1,2,061,1,
03610,成,0506,1,31,062,1,
03611,我,0507,1,96,062,2,
03612,戒,0509,1,4,062,1,
03617,或,0510,1,69,062,2,
03647,所,0512,1,101,063,3,
03661,才,0515,1,3,064,1,
03691,技,0516,1,2,064,1,
03750,拔,0517,1,3,064,1,
03780,持,0518,1,14,064,1,
03835,捨,0519,1,17,064,1,
