統合ID,文字,和寧花67,字体数,用例数,部首
00985,十,0344,1,22,024
00987,千,0345,1,19,024
01010,南,0346,1,7,024
01034,印,0347,1,2,026
01049,卽,0348,1,5,026
01058,厄,0349,1,2,027
01088,厭,0350,1,8,027
01101,去,0351,1,7,028
01108,又,0352,1,6,029
01109,叉,0353,1,5,029
01111,及,0354,1,15,029
01127,取,0355,1,4,029
01128,受,0356,1,10,029
01154,可,0357,1,22,030
01158,右,0358,1,2,030
01168,各,0359,1,4,030
01170,合,0360,1,7,030
01174,同,0361,1,8,030
01175,名,0362,1,67,030
01179,向,0364,1,9,030
01212,吹,0365,1,2,030
01219,告,0366,1,8,030
01235,周,0367,1,9,030
01252,命,0368,1,2,030
01263,和,0369,1,2,030
01288,咸,0370,1,3,030
01305,哉,0371,1,10,030
01349,唯,0372,1,21,030
01363,商,0373,1,3,030
01369,問,0374,1,9,030
01395,善,0375,1,167,030
01412,喜,0379,1,14,030
01439,嗅,0380,1,2,030
01523,器,0381,1,2,030
01581,嚴,0382,1,35,030
01607,四,0383,1,10,031
01611,因,0384,1,25,031
01639,國,0385,1,13,031
01641,圍,0386,1,36,031
01644,園,0387,1,14,031
01645,圓,0388,1,2,031
01654,土,0389,1,6,032
01659,在,0390,1,23,032
01666,地,0391,1,30,032
01690,坦,0392,1,5,032
01710,垂,0393,1,3,032
01726,垢,0394,1,6,032
01740,城,0395,1,28,032
01755,執,0396,1,5,032
01767,堅,0397,1,4,032
01796,報,0398,1,2,032
01798,場,0399,1,3,032
01818,塗,0400,1,5,032
01831,塵,0401,1,5,032
01839,境,0402,1,15,032
01853,增,0403,1,4,032
01895,壞,0404,1,6,032
01934,外,0405,1,4,036
01938,多,0406,1,22,036
01939,夜,0407,1,20,036
01946,大,0408,1,82,037
01947,天,0410,1,65,037
01957,失,0412,1,4,037
01961,夷,0413a,2,1,037
01961b,夷,0413b,2,1,037
02013,奪,0414,1,2,037
02022,女,0415,1,12,038
02029,好,0416,1,5,038
02031,如,0417,1,107,038
02045,妙,0420,1,20,038
02105,威,0421,1,6,038
02110,娑,0422,1,2,038
02142,婆,0423,1,13,038
02262,子,0424,1,112,039
02264,孔,0427,1,4,039
02306,宅,0428,1,2,040
02309,安,0429,1,12,040
02325,定,0430,1,4,040
02342,宮,0431,1,12,040
02349,家,0432,1,2,040
02355,宿,0433,1,4,040
02357,寂,0434,1,4,040
02383,察,0435,1,6,040
02390,實,0436,1,3,040
02407,寶,0437,1,58,040
02425,將,0439,1,3,041
02426,專,0440,1,3,041
02430,尋,0441,1,2,041
02464,就,0442,1,24,043
02482,居,0443,1,3,044
02528,山,0444,1,15,046
02564,岸,0445,1,3,046
02780,差,0446,1,9,048
02783,已,0447,1,26,049
02800,布,0448,1,6,050
02820,帝,0449,1,4,050
02835,師,0450,1,24,050
02843,帳,0451,1,2,050
02847,常,0452,1,15,050
02881,幡,0453,1,2,050
02882,幢,0454,1,6,050
02899,平,0455,1,13,051
02907,幻,0456,1,2,052
02932,底,0457,1,2,053
02944,度,0458,1,7,053
02993,廣,0459,1,11,053
03008,廻,0460,1,4,054
03044,引,0461,1,3,057
03084,彌,0462,1,5,057
03101,形,0463,1,12,059
03124,彼,0464,1,33,060
03128,往,0465,1,8,060
03138,後,0466,1,2,060
03141,徐,0467,1,2,060
03145,得,0468,1,47,060
03151,從,0469,1,5,060
03157,徧,0470,1,22,060
03159,復,0471,1,20,060
03165,微,0472,1,5,060
03172,德,0473,1,28,060
03179,心,0474,1,64,061
03180,必,0476,1,3,061
03182,忉,0477,1,2,061
03214,念,0478,1,22,061
03233,怖,0479,1,13,061
03239,思,0480,1,8,061
03244,性,0481,1,3,061
03245,怨,0482,1,2,061
03267,恆,0483,1,3,061
03272,恐,0484,1,4,061
03278,恚,0485,1,2,061
03298,息,0486,1,3,061
03312,悉,0487,1,22,061
03335,悲,0488,1,8,061
03355,惑,0489,1,5,061
03365,惟,0490,1,5,061
03367,惡,0491,1,14,061
03372,惱,0492,1,13,061
03373,想,0493,1,4,061
03376,惶,0494,1,3,061
03395,意,0495,1,13,061
03405,愛,0496,1,6,061
03438,慇,0497,1,6,061
03439,慈,0498,1,3,061
03458,慢,0499,1,3,061
03462,慧,0500,1,16,061
03486,憂,0501,1,7,061
03534,憶,0502,1,2,061
03544,懃,0503,1,4,061
03550,應,0504,1,3,061
03595,戀,0505,1,2,061
03610,成,0506,1,31,062
03611,我,0507,1,96,062
03612,戒,0509,1,4,062
03617,或,0510,1,69,062
03647,所,0512,1,101,063
03661,才,0515,1,3,064
03691,技,0516,1,2,064
03750,拔,0517,1,3,064
03780,持,0518,1,14,064
03835,捨,0519,1,17,064
03858,掌,0520,1,6,064
03880,推,0521,1,2,064
04008,摧,0522,1,2,064
04009,摩,0523,1,32,064
04192,攝,0524,1,6,064
04233,放,0525,1,6,066
04243,故,0526,1,16,066
04261,教,0527,1,10,066
04263,救,0528,1,4,066
04280,散,0529,1,3,066
04286,敬,0530,1,2,066
04296,敷,0531,1,7,066
04298,數,0532,1,13,066
04319,變,0533,1,4,066
