カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0233,露,0,,,,,13073,173,1
0234,靈,0,,,,,13092,173,1
0235,面,0,,,,,13108,176,1
0236,頗,0,,,,,13325,181,1
0237,領,0,,,,,13327,181,1
0238,顧,0,,,,,13409,181,1
0239,飮,0,,,,,13526,184,1
0240,饒,0,,,,,13641,184,1
0241,騰,0,,,,,13820,187,1
0242,髮,0,,,,,13959,190,1
0243,鬻,0,,,,,14057,193,1
0244,鬼,0,,,,,14061,194,1
0245,魚,0,,,,,14101,195,1
0246,鳩,0,,,,,14366,196,1
0247,麻,0,,,,,14681,200,1
0248,鼓,0,,,,,14776,207,1
0249,龜,0,,,,,14887,213,1
0250-0255,一,1,273,,,,00001,001,6
0256,七,1,6,,,,00004,001,1
0257-0258,三,1,57,,,,00007,001,2
0259,上,1,32,,,,00008,001,1
0260,下,1,15,,,,00009,001,1
0261-0262,不,1,66,,,,00013,001,2
0263,世,1,43,,,,00025,001,1
0264,丘,1,45,,,,00026,001,1
0265-0266,中,1,52,,,,00051,002,2
0267,丸,1,7,,,,00068,003,1
0268,主,1,2,,,,00070,003,1
0269,乃,1,8,,,,00078,004,1
0270,久,1,2,,,,00085,004,1
0271,之,1,40,,,,00088,004,1
0272,乘,1,11,,,,00102,004,1
0273,九,1,2,,,,00107,005,1
0274,了,1,7,,,,00125,006,1
0275,事,1,4,,,,00128,006,1
0276,二,1,9,,,,00129,007,1
0277,云,1,28,,,,00133,007,1
0278,五,1,4,,,,00135,007,1
0279,人,1,28,,,,00168,009,1
0280,今,1,2,,,,00175,009,1
0281,他,1,3,,,,00183,009,1
0282-0283,令,1,91,,,,00193,009,2
0284-0285,以,1,58,,,,00194,009,2
0286,仰,1,7,,,,00199,009,1
0287,伏,1,4,,,,00217,009,1
0288,伽,1,6,,,,00236,009,1
0289,位,1,4,,,,00243,009,1
0290,住,1,31,,,,00245,009,1
0291,何,1,36,,,,00250,009,1
0292-0293,佛,1,52,,,,00255,009,2
0294,作,1,33,,,,00256,009,1
0295,使,1,2,,,,00279,009,1
0296,來,1,16,,,,00282,009,1
0297,供,1,14,,,,00299,009,1
0298,依,1,8,,,,00301,009,1
0299,便,1,17,,,,00321,009,1
0300,信,1,7,,,,00345,009,1
0301,像,1,2,,,,00489,009,1
0302,億,1,2,,,,00520,009,1
0303,優,1,4,,,,00542,009,1
0304,充,1,5,,,,00562,010,1
0305,先,1,8,,,,00566,010,1
0306,光,1,31,,,,00567,010,1
0307,免,1,6,,,,00570,010,1
0308,兜,1,6,,,,00579,010,1
0309,入,1,34,,,,00582,011,1
