カード番号,文字,字体数,用例数,用例数2,用例数3,大字典番号,部首番号
0126,02572,0,,,,02572,046
0127,峻,0,,,,02598,046
0128,嶺,0,,,,02734,046
0129,岳,0,,,,02559,046
0130,02606,0,,,,02606,046
0131,巨,0,,,,02776,048
0132,工,0,,,,02773,048
0133,幡,0,,,,02881,050
0134,幢,0,,,,02882,050
0135,幅,0,,,,02857,050
0136,希,0,,,,02806,050
0137,并,0,,,,02902,051
0138,底,0,,,,02932,053
0139,廬,0,,,,02999,053
0140,府,0,,,,02938,053
0141,庇,0,,,,02922,053
0142,席,0,,,,02839,050
0143,廢,0,,,,02992,053
0144,廾,0,,,,03010,055
0145,式,0,,,,03037,056
0146,彌,0,,,,03084,057
0147,強,0,,,,03066,057
0148,形,0,,,,03101,059
0149,彩,0,,,,03109,059
0150,循,0,,,,03160,060
0151,徹,0,,,,03173,060
0152,03226,0,,,,03226,061
0153,恨,0,,,,03291,061
0154,恭,0,,,,03297,061
0155,03396,0,,,,03396,061
0156,忝,0,,,,03200,061
0157,03310,0,,,,03310,061
0158,怒,0,,,,03229,061
0159,憶,0,,,,03534,061
0160,憂,0,,,,03486,061
0161,怠,0,,,,03240,061
0162,性,0,,,,03244,061
0163,憫,0,,,,03523,061
0164,悦,0,,,,03309,061
0165,慮,1,2,,,03466,061
0166,懶,0,,,,03584,061
0167,懈,0,,,,03549,061
0168,03394,0,,,,03394,061
0170,悃,0,,,,03307,061
0171,慨,0,,,,03463,061
0172,懷,0,,,,03585,061
0174,愕,0,,,,03400,061
0175,恃,0,,,,03265,061
0176,怙,0,,,,03235,061
0177,忽,0,,,,03219,061
0178,03561,0,,,,03561,061
0179,懊,0,,,,03551,061
0180,慙,2,1,1,,03453,061
0181,戴,0,,,,03638,062
0182,戎,0,,,,03607,062
0183,戰,0,,,,03633,062
0184,拘,0,,,,03757,064
0185,撫,0,,,,04066,064
0186,抄,0,,,,03694,064
0187,抑,0,,,,03704,064
0188,攝,0,,,,04192,064
0189,摧,0,,,,04008,064
0190,03980,0,,,,03980,064
0191,措,0,,,,03882,064
0192,扣,0,,,,03675,064
0193,拙,0,,,,03755,064
0194,接,0,,,,03878,064
0195,推,0,,,,03880,064
0196,擬,0,,,,04122,064
0197,據,0,,,,04106,064
0199,掃,0,,,,03851,064
0200,抱,0,,,,03720,064
0201,拯,0,,,,03767,064
0202,揮,0,,,,03921,064
0203,撓,0,,,,04047,064
0204,捷,0,,,,03844,064
0205,括,0,,,,03764,064
0206,撃,0,,,,04087,064
0207,排,0,,,,03862,064
0208,04091,0,,,,04091,064
0209,拜,0,,,,03761,064
0210,03854,0,,,,03854,064
0211,撮,0,,,,04067,064
0212,拱,0,,,,03768,064
0213,拒,0,,,,03747,064
0215,04133,0,,,,04133,064
0216,擁,0,,,,04082,064
0218,援,0,,,,03926,064
0219,放,0,,,,04233,066
0220,散,0,,,,04280,066
0221,攻,0,,,,04231,066
0222,改,0,,,,04228,066
0223,敢,0,,,,04277,066
0224,敵,0,,,,04293,066
0225,04275,0,,,,04275,066
0226,旁,0,,,,04394,070
0227,旃,0,,,,04398,070
0228,旋,0,,,,04406,070
0229,04609,0,,,,04609,072
0230,04586,0,,,,04586,072
0231,暗,0,,,,04591,072
0232,暦,0,,,,04620,072
0233,昭,0,,,,04510,072
0234,昔,0,,,,04490,072
0235,晦,0,,,,04552,072
0236,映,0,,,,04500,072
0237,晝,0,,,,04542,072
0238,暴,0,,,,04608,072
0239,早,0,,,,04452,072
0240,昏,0,,,,04486,072
0241,曹,0,,,,04659,073
0242,臾,0,,,,09621,134
0243,曼,0,,,,04660,073
0244,朋,0,,,,04676,074
0245,朔,0,,,,04686,074
0246,服,0,,,,04679,074
0247,朕,0,,,,04688,074
0248,棄,0,,,,05014,075
0249,格,0,,,,04924,075
0250,栖,0,,,,04888,075
0251,04814,0,,,,04814,075
0252,李,0,,,,04735,075
0253,松,0,,,,04780,075
0254,末,1,2,,,04712,075
0255,槃,0,,,,05228,075
0256,棲,0,,,,05056,075
0257,案,0,,,,04933,075
0258,椎,0,,,,05081,075
0259,校,0,,,,04904,075
0260,檀,0,,,,05391,075
0261,橇,0,,,,05340,075
0262,桑,0,,,,04941,075
0263,朽,0,,,,04725,075
0264,條,0,,,,04984,075
0265,桃,0,,,,04930,075
0266,械,0,,,,05001,075
0267,植,0,,,,05080,075
0268,橋,0,,,,05348,075
0269,梁,0,,,,04967,075
0270,杪,0,,,,04758,075
0271,權,0,,,,05529,075
0272,楷,0,,,,05165,075
0273,梅,0,,,,04971,075
0274,枉,0,,,,04787,075
0275,欲,0,,,,05580,076
0276,欺,0,,,,05587,076
0277,歟,0,,,,05633,076
0278,武,0,,,,05649,077
0279,05650,0,,,,05650,077
0280,殲,0,,,,05784,078
0281,毅,0,,,,05820,079
0282,殿,0,,,,05809,079
0283,毛,0,,,,05850,082
0284,毫,0,,,,05867,082
0285,毳,0,,,,05878,082
0286,民,0,,,,05935,083
0287,沐,0,,,,06020,085
0288,洲,0,,,,06138,085
0289,濬,0,,,,06652,085
0290,游,0,,,,06340,085
0291,津,0,,,,06128,085
0292,浴,0,,,,06179,085
0293,淬,0,,,,06278,085
0294,洞,0,,,,06125,085
0295,波,0,,,,06086,085
0296,灌,0,,,,06748,085
0297,瀉,0,,,,06684,085
0298,滋,0,,,,06437,085
0299,滂,0,,,,06428,085
0300,湯,0,,,,06381,085
0301,06071,0,,,,06071,085
0302,注,0,,,,06091,085
0303,浹,0,,,,06184,085
0304,泯,0,,,,06096,085
0305,沱,0,,,,06043,085
0306,池,0,,,,05986,085
0307,液,0,,,,06219,085
0308,湫,0,,,,06378,085
0309,渾,0,,,,06346,085
0310,潭,0,,,,06545,085
0311,渇,0,,,,06338,085
0312,泣,0,,,,06087,085
0313,沿,0,,,,06057,085
0314,混,0,,,,06289,085
0315,沖,0,,,,06029,085
0316,淺,0,,,,06292,085
0317,添,0,,,,06294,085
0318,汚,0,,,,05979,085
0319,澹,0,,,,06607,085
0320,淆,0,,,,06238,085
0321,燕,0,,,,06981,086
0322,災,0,,,,06792,086
0323,燒,0,,,,06978,086
0324,熏,0,,,,06941,086
0325,營,0,,,,06984,086
0326,熟,0,,,,06949,086
0327,炬,0,,,,06816,086
0328,06904,0,,,,06904,086
0329,07016,0,,,,07016,086
0330,06825,0,,,,06825,086
0331,烈,0,,,,06831,086
0332,父,0,,,,07035,088
0333,07046,0,,,,07046,090
0334,片,0,,,,07048,091
0335,牧,0,,,,07079,093
0336,獨,0,,,,07230,094
0337,猊,0,,,,07171,094
0338,猛,0,,,,07180,094
0339,07164,0,,,,07164,094
0340,獄,0,,,,07212,094
0341,猷,0,,,,07204,094
0342,犬,0,,,,07110,094
0343,率,0,,,,07259,095
0344,07277,0,,,,07277,096
0345,07336,0,,,,07336,096
0346,瑰,0,,,,07356,096
0347,環,0,,,,07386,096
0348,璽,0,,,,07389,096
0349,班,0,,,,07298,096
0350,璞,0,,,,07378,096
0351,琢,0,,,,07312,096
0352,甦,0,,,,07467,100
0353,甫,0,,,,07470,101
0354,疾,0,,,,07591,104
0355,瘡,0,,,,07649,104
0356,疱,0,,,,07579,104
0357,疲,0,,,,07580,104
0358,癸,0,,,,07703,105
0359,07731,0,,,,07731,106
0360,盜,0,,,,07771,108
0361,盍,0,,,,07762,108
0362,瞶,0,,,,07904,109
0363,眷,0,,,,07839,109
0364,M23656,0,,,,M23656,109
0365,眉,0,,,,07813,109
0366,矇,0,,,,07912,109
0367,07858,0,,,,07858,109
