,,hod_法蔵和尚,hod_法蔵和尚,hod_法蔵和尚,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
04192,攝,0188,0,1,064
04008,摧,0189,0,1,064
03980,摛,0190,0,1,064
03882,措,0191,0,1,064
03675,扣,0192,0,1,064
03755,拙,0193,0,1,064
03878,接,0194,0,1,064
03880,推,0195,0,1,064
04122,擬,0196,0,1,064
04106,據,0197,0,1,064
03851,掃,0199,0,1,064
03720,抱,0200,0,1,064
03767,拯,0201,0,1,064
03921,揮,0202,0,1,064
04047,撓,0203,0,1,064
03844,捷,0204,0,1,064
03764,括,0205,0,1,064
04087,擊,0206,0,1,064
03862,排,0207,0,1,064
04091,擎,0208,0,1,064
03761,拜,0209,0,1,064
03854,掇,0210,0,1,064
04067,撮,0211,0,1,064
03768,拱,0212,0,1,064
03747,拒,0213,0,1,064
04133,擷,0215,0,1,064
04082,擁,0216,0,1,064
03926,援,0218,0,1,064
04233,放,0219,0,1,066
04280,散,0220,0,1,066
04231,攻,0221,0,1,066
04228,改,0222,0,1,066
04277,敢,0223,0,1,066
04293,敵,0224,0,1,066
04275,敡,0225,0,1,066
04394,旁,0226,0,1,070
04398,旃,0227,0,1,070
04406,旋,0228,0,1,070
04609,暵,0229,0,1,072
04586,暐,0230,0,1,072
04591,暗,0231,0,1,072
04620,曆,0232,0,1,072
04510,昭,0233,0,1,072
04490,昔,0234,0,1,072
04552,晦,0235,0,1,072
04500,映,0236,0,1,072
04542,晝,0237,0,1,072
04608,暴,0238,0,1,072
04452,早,0239,0,1,072
04486,昏,0240,0,1,072
04659,曹,0241,0,1,073
09621,臾,0242,0,1,134
04660,曼,0243,0,1,073
04676,朋,0244,0,1,074
04686,朔,0245,0,1,074
04679,服,0246,0,1,074
04688,朕,0247,0,1,074
05014,棄,0248,0,1,075
04924,格,0249,0,1,075
04888,栖,0250,0,1,075
04814,枰,0251,0,1,075
04735,李,0252,0,1,075
04780,松,0253,0,1,075
04712,末,0254,1,2,075
05228,槃,0255,0,1,075
05056,棲,0256,0,1,075
04933,案,0257,0,1,075
05081,椎,0258,0,1,075
04904,校,0259,0,1,075
05391,檀,0260,0,1,075
05340,橇,0261,0,1,075
04941,桑,0262,0,1,075
04725,朽,0263,0,1,075
04984,條,0264,0,1,075
04930,桃,0265,0,1,075
05001,械,0266,0,1,075
05080,植,0267,0,1,075
05348,橋,0268,0,1,075
04967,梁,0269,0,1,075
04758,杪,0270,0,1,075
05529,權,0271,0,1,075
05165,楷,0272,0,1,075
04971,梅,0273,0,1,075
04787,枉,0274,0,1,075
05580,欲,0275,0,1,076
05587,欺,0276,0,1,076
05633,歟,0277,0,1,076
05649,武,0278,0,1,077
05650,歧,0279,0,1,077
05784,殲,0280,0,1,078
05820,毅,0281,0,1,079
05809,殿,0282,0,1,079
05850,毛,0283,0,1,082
05867,毫,0284,0,1,082
05878,毳,0285,0,1,082
05935,民,0286,0,1,083
06020,沐,0287,0,1,085
06138,洲,0288,0,1,085
06652,濬,0289,0,1,085
06340,游,0290,0,1,085
06128,津,0291,0,1,085
06179,浴,0292,0,1,085
06278,淬,0293,0,1,085
06125,洞,0294,0,1,085
06086,波,0295,0,1,085
06748,灌,0296,0,1,085
06684,瀉,0297,0,1,085
06437,滋,0298,0,1,085
06428,滂,0299,0,1,085
06381,湯,0300,0,1,085
06071,泒,0301,0,1,085
06091,注,0302,0,1,085
06184,浹,0303,0,1,085
06096,泯,0304,0,1,085
06043,沱,0305,0,1,085
05986,池,0306,0,1,085
06219,液,0307,0,1,085
06378,湫,0308,0,1,085
06346,渾,0309,0,1,085
06545,潭,0310,0,1,085
06338,渴,0311,0,1,085
06087,泣,0312,0,1,085
06057,沿,0313,0,1,085
06289,混,0314,0,1,085
06029,沖,0315,0,1,085
06292,淺,0316,0,1,085
06294,添,0317,0,1,085
05979,汙,0318,0,1,085
06607,澹,0319,0,1,085
06238,淆,0320,0,1,085
06981,燕,0321,0,1,086
06792,災,0322,0,1,086
06978,燒,0323,0,1,086
06941,熏,0324,0,1,086
06984,營,0325,0,1,086
06949,熟,0326,0,1,086
06816,炬,0327,0,1,086
06904,煜,0328,0,1,086
07016,爚,0329,0,1,086
06825,炷,0330,0,1,086
06831,烈,0331,0,1,086
07035,父,0332,0,1,088
07046,牂,0333,0,1,090
07048,片,0334,0,1,091
07079,牧,0335,0,1,093
07230,獨,0336,0,1,094
07171,猊,0337,0,1,094
07180,猛,0338,0,1,094
07164,狻,0339,0,1,094
07212,獄,0340,0,1,094
07204,猷,0341,0,1,094
07110,犬,0342,0,1,094
07259,率,0343,0,1,095
07277,玷,0344,0,1,096
07336,瑋,0345,0,1,096
07356,瑰,0346,0,1,096
07386,環,0347,0,1,096
07389,璽,0348,0,1,096
07298,班,0349,0,1,096
07378,璞,0350,0,1,096
07312,琢,0351,0,1,096
07467,甦,0352,0,1,100
07470,甫,0353,0,1,101
07591,疾,0354,0,1,104
07649,瘡,0355,0,1,104
07579,疱,0356,0,1,104
07580,疲,0357,0,1,104
07703,癸,0358,0,1,105
07731,皞,0359,0,1,106
07771,盜,0360,0,1,108
07762,盍,0361,0,1,108
07904,瞶,0362,0,1,109
07839,眷,0363,0,1,109
M23656,𥉈,0364,0,1,109
07813,眉,0365,0,1,109
07912,矇,0366,0,1,109
07858,睟,0367,0,1,109
07928,矚,0368,0,1,109
07796,盲,0369,0,1,109
07870,睹,0370a,2,6,109
07870b,睹,0370b,2,1,109
07873,睿,0371,0,1,109
07843,眼,0372,0,1,109
07907,瞻,0373,0,1,109
07930,矜,0374,0,1,110
07951,矯,0375,0,1,111
07948,短,0376,0,1,111
08029,碩,0377,0,1,112
08057,磨,0378,0,1,112
07954,石,0379,0,1,112
08141,祿,0380,0,1,113
08147,禎,0381,0,1,113
08143,禁,0382,0,1,113
08150,禖,0383,0,1,113
08109,祉,0384,0,1,113
08107,祇,0385,0,1,113
08101,社,0386,0,1,113
08213,稀,0387,0,1,115
08269,積,0388,0,1,115
08229,稔,0389,0,1,115
08256,稻,0390,0,1,115
08177,禾,0391,0,1,115
08258,稽,0392,0,1,115
08206,秩,0393,0,1,115
08212,移,0394,0,1,115
08204,秦,0395,0,1,115
08325,窣,0396,0,1,116
08329,窮,0397,0,1,116
08365,竟,0398,0,1,117
08375,竭,0399,0,1,117
08396,笑,0400,0,1,118
08477,管,0401,0,1,118
08500,篇,0402,0,1,118
08634,籲,0403,0,1,118
08541,𥱼,0404,0,1,118
08497,範,0405,0,1,118
08457,筵,0406,0,1,118
08382,竹,0407,0,1,118
08603,籍,0408,0,1,118
08462,箋,0409,0,1,118
08664,粟,0410,0,1,119
08788,紺,0411,0,1,120
08760,紛,0412,0,1,120
08757,紘,0413,0,1,120
08735,紀,0414,0,1,120
08779,細,0415,0,1,120
08913,緒,0416,0,1,120
08933,緬,0417,0,1,120
08822,給,0418,0,1,120
08916,線,0419,0,1,120
08787,紹,0420,0,1,120
08950,縈,0421,0,1,120
08834,絲,0422,0,1,120
08738,約,0423,0,1,120
08797,組,0424,0,1,120
08899,綿,0425,0,1,120
09028,繩,0426,0,1,120
09047,繼,0427,0,1,120
09078,纛,0428,0,1,120
09072,纓,0429,0,1,120
08710,糝,0430,0,1,119
08891,綸,0431,0,1,120
08938,練,0432,0,1,120
09075,纖,0433,0,1,120
09012,織,0434,0,1,120
09073,纔,0435,0,1,120
09079,纜,0436,0,1,120
08982,縱,0437,0,1,120
08921,締,0438,0,1,120
