,,hod_法蔵和尚,hod_法蔵和尚,hod_法蔵和尚,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
02415,寺,0929,1,28,041
02425,將,0930,1,5,041
02429,尊,0931,1,2,041
02435,對,0932,1,2,041
02422,射,0933,1,2,041
02436,導,0934,1,3,041
02440,少,0935,1,2,042
02446,尚,0936,1,5,042
02439,小,0937,1,6,042
02464,就,0938,1,7,043
02482,居,0939,1,9,044
02471,尺,0940,1,3,044
02473,尼,0941,1,3,044
02528,山,0942,1,11,046
02607,崇,0943,1,3,046
02764,州,0944,1,5,047
02774,左,0945,1,5,048
02780,差,0946,1,2,048
02775,巧,0947,1,4,048
02784,巳,0948,1,7,049
02820,帝,0949,1,4,050
02816,帙,0950,1,3,050
02847,常,0951,1,6,050
02835,師,0952,1,41,050
02903,幸,0953,1,4,051
02899,平,0954,1,4,051
02900,年,0955,1,27,051
02915,幾,0956,1,2,052
02963,庸,0957,1,2,053
02946,座,0958,1,3,053
02961,庶,0959,1,3,053
02962,康,0960,1,6,053
02944,度,0961,1,6,053
02993,廣,0962,1,10,053
02928,序,0963,1,5,053
03005,延,0964,1,2,054
03006,建,0965,1,4,054
03052,弟,0966,1,5,057
03044,引,0967,1,6,057
03065,張,0968,1,3,057
03047,弘,0969,1,5,057
03115,彰,0970,1,2,059
03116,影,0971,1,2,059
03159,復,0972,1,12,060
03128,往,0973,1,4,060
03132,待,0974,1,3,060
03124,彼,0975,1,7,060
03137,律,0976,1,3,060
03138,後,0977,1,28,060
03151,從,0978,1,12,060
03145,得,0979,1,17,060
03172,德,0980,1,13,060
03153,御,0981,1,3,060
03157,徧,0982,1,8,060
03143,徒,0983,1,6,060
03165,微,0984,1,4,060
03501,憑,0985,1,4,061
03267,恆,0986,1,3,061
03372,惱,0987,1,2,061
03587,懺,0988,1,2,061
03373,想,0989,1,5,061
03371,惰,0990,1,2,061
03289,恥,0991,1,2,061
03326,悟,0992,1,8,061
03395,意,0993,1,5,061
03196,忘,0994,1,3,061
03245,怨,0995,1,2,061
03365,惟,0996,1,3,061
03530,憲,0997,1,2,061
03214,念,0998,1,3,061
03194,志,0999,1,3,061
03586,懸,1000,1,3,061
03312,悉,1001,1,6,061
03404,愚,1002,1,2,061
03179,心,1003,1,44,061
03550,應,1004,1,9,061
03335,悲,1005,1,3,061
03239,思,1006,1,5,061
03292,恩,1007,1,5,061
03462,慧,1008,1,12,061
03184,忍,1009,1,2,061
03409,感,1010,1,6,061
03439,慈,1011,1,12,061
03474,慶,1012,1,2,061
03390,愆,1013,1,2,061
03548,懇,1014a,2,2,061
03548b,懇,1014b,2,1,061
03355,惑,1015,1,3,061
03203,忠,1016,1,2,061
03298,息,1017,1,2,061
03180,必,1018,1,3,061
03612,戒,1019,1,8,062
03617,或,1020,1,28,062
03610,成,1021,1,22,062
03611,我,1022,1,3,062
03647,所,1023,1,31,063
03896,提,1024,1,3,064
03874,探,1025,1,10,064
03881,掩,1026,1,4,064
04070,撰,1027,1,3,064
04085,擇,1028,1,4,064
03711,折,1029,1,3,064
03835,捨,1030,1,5,064
03858,掌,1031,1,5,064
03687,批,1032,1,2,064
03904,揚,1033,1,3,064
04009,摩,1034,1,3,064
03659,手,1035,1,3,064
03708,投,1036,1,4,064
03750,拔,1037,1,3,064
03855,授,1038,1,10,064
03690,承,1039,1,6,064
03783,指,1040,1,6,064
03780,持,1041,1,7,064
03686,扶,1042,1,3,064
04084,擅,1043,1,2,064
03952,搜,1044,1,9,064
04069,播,1045,1,2,064
04126,擯,1046,1,3,064
03715,披,1047,1,3,064
03834,捧,1048,1,2,064
03661,才,1049,1,2,064
04216,支,1050,1,4,065
04319,變,1051,1,2,066
04263,救,1052a,2,1,066
04263b,救,1052b,2,1,066
04258,敘,1053,1,3,066
04235,政,1054,1,2,066
04251,效,1055a,2,2,066
04251b,效,1055b,2,1,066
04298,數,1056,1,14,066
04296,敷,1057,1,5,066
04261,教,1058a,2,19,066
04261b,教,1058b,2,1,066
04286,敬,1059,1,2,066
04243,故,1060,1,14,066
04332,斑,1061,1,2,067
04321,文,1062,1,24,067
04373,斯,1063,1,8,069
04376,新,1064,1,9,069
04381,斷,1065,1,3,069
04389,於,1066,1,55,070
04391,施,1068,1,2,070
04412,族,1069,1,2,070
04385,方,1070,1,11,070
04442,旣,1071,1,12,071
04512,是,1072,1,32,072
04446,日,1073,1,26,072
04485,明,1074,1,9,072
04621,曇,1075,1,2,072
04480,昇,1076,1,2,072
04603,暫,1077,1,2,072
04506,昨,1078,1,2,072
04623,曉,1079,1,3,072
04558,景,1080,1,5,072
04557,普,1081,1,3,072
04505,昧,1082,1,3,072
04489,易,1083,1,3,072
04447,旦,1084,1,2,072
04569,智,1085,1,8,072
04539,晩,1086,1,2,072
04530,晉,1087,1,3,072
04600,暢,1088,1,2,072
04450,旨,1089,1,6,072
04503,春,1090,1,2,072
04523,時,1091,1,11,072
04617,曁,1092,1,2,072
04453,旬,1093,1,5,072
04667,會,1094,1,9,073
04650,曰,1095,1,47,073
04657,書,1096,1,12,073
04651,曲,1097,1,2,073
04654,更,1098,1,4,073
04661,曾,1099,1,4,073
04674,有,1100,1,49,074
04696,朝,1101,1,12,074
04673,月,1102,1,14,074
04699,期,1103,1,3,074
05152,業,1104,1,5,075
04803,林,1105,1,7,075
04713,本,1106,1,14,075
05164,𣕋,1107,1,2,075
05323,樹,1108,1,3,075
05161,極,1109,1,4,075
05138,楞,1110,1,3,075
04715,朮,1111,1,2,075
04707,木,1112,1,3,075
05010,梵,1113,1,17,075
05279,樂,1114,1,4,075
04922,根,1115,1,2,075
04806,果,1116,1,2,075
04794,析,1117,1,2,075
05368,機,1118,1,4,075
04869,柯,1119,1,2,075
04711,未,1120,1,13,075
05302,標,1121,1,6,075
05210,榮,1122,1,5,075
04765,東,1123,1,14,075
04848,染,1124,1,3,075
05588,欻,1125,1,2,076
05612,歎,1126,1,2,076
05561,欣,1127,1,4,076
05644,此,1128,1,21,077
05670,歷,1129,1,4,077
05676,歸,1130,1,11,077
05643,正,1131,1,8,077
05641,止,1132,1,4,077
05666,歳,1133,1,5,077
05692,歿,1134,1,2,078
05702,殄,1135,1,2,078
05686,死,1136,1,3,078
05717,殊,1137,1,3,078
05836,每,1138,1,7,080
05834,母,1139,1,4,080
05841,比,1140,1,4,081
05932,氏,1141,1,7,083
06476,滿,1142,1,2,085
06123,洛,1143,1,3,085
06003,決,1144,1,2,085
06031,沙,1145,1,4,085
06335,測,1146,1,2,085
06564,澄,1147,1,3,085
06651,濫,1148,1,3,085
05952,水,1149,1,2,085
06058,況,1150,1,3,085
06074,法,1151,1,51,085
06063,泉,1153,1,3,085
06175,浮,1154,1,2,085
06147,洽,1155,1,4,085
06230,涼,1156,1,3,085
06517,漸,1157,1,2,085
06487,漏,1158,1,2,085
06553,潤,1159,1,3,085
06641,濟,1160,1,4,085
06400,準,1161,1,3,085
06290,清,1162,1,5,085
05957,永,1163,1,4,085
06151,流,1164,1,13,085
06490,演,1165,1,12,085
06056,沾,1166,1,2,085
05964,求,1167,1,9,085
06045,河,1168,1,2,085
06182,海,1169,1,10,085
06432,滅,1170,1,3,085
06272,淨,1171,1,7,085
05985,江,1172,1,2,085
06114,洎,1173,1,2,085
06285,深,1174,1,12,085
06193,涉,1175,1,3,085
06009,沃,1176,1,2,085
06396,源,1177,1,6,085
06872,無,1178,1,41,086
06921,煩,1179,1,3,086
06971,燈,1180,1,5,086
06801,炎,1181,1,2,086
06918,照,1182,1,8,086
06885,然,1183,1,11,086
06861,焉,1184,1,18,086
06991,燭,1185,1,2,086
06776,火,1186,1,2,086
07028,爭,1187,1,2,087
07030,爰,1188,1,3,087
07032,爲,1189,1,34,087
07043,爾,1190,1,3,089
07061,牓,1191,1,2,091
07072,牛,1192,1,2,093
07080,物,1193,1,3,093
07086,特,1194,1,4,093
07203,猶,1195,1,8,094
07122,狀,1196,1,5,094
07241,獲,1197,1,4,094
07258,玆,1198,1,9,095
07256,玄,1199,1,17,095
07287,珍,1200,1,2,096
07291,珠,1201,1,2,096
07346,瑞,1202,1,2,096
07304,現,1203,1,2,096
07272,玩,1204,1,2,096
07261,玉,1205,1,7,096
07307,理,1206,1,8,096
07262,王,1207,1,15,096
07457,甚,1208,1,4,099
07456,甘,1209,1,3,099
07461,生,1210,1,13,100
07469,用,1211,1,12,101
07530,異,1212,1,12,102
07535,當,1213,1,5,102
07520,畢,1214,1,3,102
07522,略,1215,1,8,102
07479,由,1216,1,5,102
07508,留,1217,1,2,102
07481,申,1218,1,2,102
07501,界,1219,1,7,102
07478,田,1220,1,2,102
07557,疏,1221,1,11,103
07559,疑,1222,1,6,103
07707,發,1223,1,4,105
07706,登,1224,1,2,105
07718,皇,1225,1,9,106
07717,皆,1226,1,11,106
07709,白,1227,1,2,106
07710,百,1228,1,16,106
07779,盡,1229,1,9,108
07770,盛,1230,1,3,108
07759,益,1231,1,7,108
07758,盈,1232,1,2,108
07832,眩,1233,1,2,109
07807,省,1234,1,2,109
07790,目,1235,1,10,109
07801,相,1236,1,9,109
07799,直,1237,1,3,109
07844,眾,1238,1,14,109
07827,眞,1239,1,16,109
07943,矧,1240,1,3,111
07938,矣,1241,1,7,111
07941,知,1242,1,11,111
08019,碑,1243,1,4,112
08077,礙,1244a,2,2,112
08077b,礙,1244b,2,2,112
08117,祖,1245,1,3,113
08097,示,1246,1,11,113
08167,禱,1247,1,2,113
08162,禪,1248,1,6,113
08108,祈,1249,1,3,113
08116,祕,1250,1,2,113
08130,祥,1251,1,6,113
08148,福,1252,1,8,113
08124,神,1253a,2,9,113
08124b,神,1253b,2,5,113
08165,禮,1254,1,7,113
08192,科,1255,1,14,115
08248,稱,1256,1,6,115
08238,稟,1257,1,3,115
08224,稍,1258,1,3,115
08244,種,1259,1,2,115
08338,䆮,1260,1,2,116
08337,窺,1261,1,3,116
08293,究,1262,1,2,116
08296,空,1263,1,8,116
08366,章,1264,1,9,117
08380,競,1265,1,3,117
08361,竝,1266,1,2,117
08376,端,1267,1,8,117
08354,立,1268,1,12,117
08486,箴,1269,1,2,118
08408,符,1270,1,4,118
08432,筏,1271,1,2,118
08569,簡,1272,1,5,118
08438,策,1273,1,2,118
08383,竺,1274,1,4,118
08437,答,1275,1,5,118
08493,節,1276,1,5,118
08423,筆,1277,1,6,118
08426,等,1278,1,14,118
08412,第,1279,1,13,118
08685,精,1280,1,9,119
09061,續,1281,1,4,120
09064,纏,1282,1,2,120
09052,纂,1283,1,2,120
08840,絹,1284,1,2,120
08856,經,1285,1,35,120
08993,總,1286,1,3,120
08807,結,1287,1,3,120
08919,緝,1288,1,2,120
08924,緣,1289,1,17,120
08997,繁,1290,1,3,120
08883,綰,1291,1,2,120
08833,統,1292,1,5,120
08987,縷,1293,1,2,120
08905,緇,1294,1,2,120
08778,累,1295,1,2,120
08809,絶,1296,1,2,120
08884,綱,1297,1,4,120
08888,綴,1298,1,2,120
08927,編,1299,1,7,120
08972,縣,1300,1,2,120
08767,索,1301,1,4,120
08795,終,1302,1,6,120
08885,網,1303,1,2,120
09128,置,1304,1,2,122
09085,缺,1305,1,2,121
09144,羅,1306,1,5,122
09106,罕,1307,1,3,122
09155,美,1308,1,5,123
09175,羣,1309,1,4,123
09177,義,1310,1,28,123
09249,耀,1311,1,5,124
09208,翌,1312,1,4,124
09243,翻,1313,1,5,124
09251,考,1314,1,2,125
09255,者,1315,1,42,125
09264,而,1316,1,41,126
09303,聆,1317,1,2,128
09292,耶,1318,1,4,128
09307,聒,1319,1,2,128
09328,聲,1320,1,4,128
09314,聚,1321,1,4,128
09335,聽,1322,1,3,128
09308,聖,1323,1,7,128
09290,耳,1324,1,7,128
09304,聊,1325,1,4,128
09315,聞,1326,1,12,128
09379,育,1327,1,2,130
09463,脱,1328,1,4,130
09462,脩,1329,1,8,130
09413,胤,1330,1,2,130
09429,能,1331,1,9,130
09540,膜,1332,1,2,130
09362,肝,1333,1,2,130
09602,自,1334,1,16,132
09610,至,1335,1,21,133
09629,與,1336,1,10,134
09632,擧,1337,1,5,134
09633,舊,1338,1,5,134
09638,舍,1339,1,3,135
09714,良,1340,1,2,138
09716,色,1341,1,2,139
09961,落,1342,1,2,140
09772,苑,1343,1,3,140
10163,薩,1344,1,6,140
09759,芳,1345,1,4,140
09886,莫,1346,1,8,140
09788,若,1347,1,11,140
10160,薦,1348,1,5,140
10040,蓋,1349,1,8,140
09758,花,1350,1,31,140
09919,菩,1351,1,6,140
09972,著,1352,1,11,140
10008,蒙,1353,1,4,140
10076,蔚,1354,1,2,140
10191,藏,1355,1,60,140
10050,蓮,1357,1,3,140
09921,華,1358,1,12,140
09795,英,1359,1,4,140
09860,荷,1360,1,2,140
09966,葉,1361,1,4,140
09789,苦,1362,1,3,140
09985,葬,1363a,2,2,140
09985b,葬,1363b,2,1,140
10269,䖍,1364,1,2,141
10272,虛,1365,1,5,141
10270,處,1366,1,7,141
10282,虧,1367,1,2,141
10500,融,1368,1,7,142
10615,衍,1369,1,2,144
10630,衞,1370,1,2,144
10614,行,1371,1,24,144
10643,表,1372,1,9,145
10774,襃,1373,1,2,145
10637,衣,1374,1,8,145
10714,補,1375,1,7,145
10732,製,1376,1,4,145
10822,要,1377,1,5,146
10820,西,1378,1,13,146
10859,觀,1379,1,27,147
10856,覺,1380,1,7,147
10831,見,1382,1,8,147
10852,覲,1383,1,2,147
10848,親,1384,1,8,147
10857,覽,1385,1,2,147
10833,規,1386,1,2,147
10837,視,1387,1,4,147
10875,解,1388,1,7,148
10983,詮,1389,1,2,149
11195,議,1390,1,2,149
11222,讓,1391a,2,1,149
11222b,讓,1391b,2,1,149
11119,講,1392,1,19,149
11200,護,1393,1,6,149
11174,譜,1394,1,2,149
10975,試,1395,1,2,149
11038,調,1396,1,2,149
10954,詎,1397,1,2,149
11024,誨,1398,1,2,149
11046,談,1399,1,3,149
10914,記,1400,1,13,149
10987,該,1401,1,2,149
11085,諸,1402,1,11,149
11008,誓,1403,1,2,149
11207,讀,1404,1,4,149
11191,譯,1405,1,13,149
11023,誦,1406,1,6,149
10959,詔,1407,1,10,149
10936,訶,1408,1,3,149
11025,虔,1409,1,14,149
11058,論,1410,1,6,149
10896,計,1411,1,2,149
10890,言,1412,1,26,149
10902,討,1413,1,3,149
10909,訓,1414,1,7,149
11022,誥,1415,1,2,149
11012,誘,1416,1,2,149
10928,設,1417,1,2,149
11072,諦,1418,1,3,149
11095,謂,1419,1,22,149
11018,誠,1420,1,5,149
11017,語,1421,1,10,149
11229,讚,1422,1,2,149
11162,譏,1423,1,2,149
11171,識,1424,1,4,149
11010,誕,1425,1,4,149
11155,證,1426,1,4,149
11049,請,1427,1,11,149
10960,評,1428,1,2,149
11253,豈,1429,1,16,151
11261,豐,1430,1,3,151
11275,象,1431,1,4,152
11417,賻,1432,1,3,154
11404,質,1433,1,2,154
11373,資,1434,1,7,154
11393,賜,1435,1,4,154
11334,財,1436,1,2,154
11397,賢,1437,1,12,154
11429,贈,1438,1,3,154
11433,贍,1439,1,2,154
11394,賞,1440,1,3,154
11329,貞,1441,1,2,154
11485,趣,1442,1,3,156
11467,超,1443,1,2,156
11471,越,1444,1,8,156
11454,走,1445,1,2,156
11461,起,1446,1,8,156
11495,足,1447,1,3,157
11548,路,1448,1,4,157
11593,踰,1449,1,2,157
11976,迹,1450a,2,7,162
11976b,迹,1450b,2,1,162
11715,身,1451,1,12,158
11716,躬,1452,1,3,158
11826,輩,1453,1,3,159
11795,載,1454,1,8,159
11827,輪,1455,1,3,159
11745,軍,1456,1,2,159
11778,軸,1457,1,4,159
11856,轉,1458,1,4,159
11914,辭,1459,1,5,160
11916,辯,1460,1,7,160
11917,辰,1461,1,3,161
11918,辱,1462,1,2,161
12112,邇,1463,1,2,162
12048,遐,1464,1,4,162
11974,迷,1465,1,4,162
11948,近,1466,1,10,162
11979,追,1467,1,3,162
11983,送,1468,1,3,162
12042,遊,1469,1,4,162
12074,遣,1470,1,2,162
12010,連,1471,1,2,162
12079,適,1472,1,2,162
11977,迺,1473,1,2,162
12043,運,1474,1,6,162
11947,迎,1475,1,5,162
11968,述,1476,1,8,162
12051,道,1477,1,21,162
12037,遂,1478,1,10,162
12052,達,1479,1,3,162
12022,進,1480,1,7,162
12000,通,1481,1,7,162
12070,遠,1482,1,11,162
12097,遺,1483,1,6,162
11986,逆,1484,1,2,162
12046,過,1485,1,2,162
12108,還,1486,1,4,162
12040,遇,1487,1,3,162
12188,都,1488,1,7,163
12139,邪,1489,1,3,163
12176,部,1490,1,3,163
12168,郞,1491,1,3,163
12123,邑,1492,1,3,163
12263,配,1493,1,2,164
12371,釋,1494,1,12,165
12373,重,1495,1,4,166
12411,鈔,1496,1,2,167
12499,錄,1497,1,5,167
12513,錚,1498,1,2,167
12613,鏡,1499,1,4,167
12534,錬,1500,1,2,167
12587,鎭,1501,1,2,167
12441,鉤,1502,1,4,167
12526,錫,1503,1,2,167
12472,鋭,1504,1,2,167
12380,金,1505,1,10,167
12698,長,1506,1,9,168
12757,閻,1507,1,3,169
12724,間,1508,1,4,169
12716,開,1509,1,8,169
12783,闕,1510,1,3,169
12709,門,1511,1,13,169
12751,閲,1512,1,4,169
12795,闡,1513,1,2,169
12886,隆,1514,1,4,170
12927,隨,1515,1,8,170
12935,隱,1516,1,5,170
12914,障,1517,1,2,170
12913,際,1518,1,2,170
12876,陽,1519,1,2,170
12838,降,1520,1,11,170
12867,陵,1521,1,3,170
12864,陳,1522,1,4,170
12855,除,1523,1,4,170
12826,阻,1524,1,3,170
12831,陀,1525,1,6,170
12830,阿,1526,1,3,170
12962,雅,1527,1,3,172
13002,難,1528,1,10,172
13001,離,1529,1,2,172
12997,雜,1530,1,2,172
12963,集,1531,1,4,172
12972,雍,1532,1,3,172
12994,雙,1533a,2,2,172
12994b,雙,1533b,2,1,172
13092,靈,1534,1,7,173
13073,露,1535,1,3,173
13036,震,1536,1,4,173
13020,雲,1537,1,8,173
13012,雨,1538,1,5,173
13015,雪,1539,1,5,173
13103,靜,1540,1,2,174
13104,非,1541,1,18,175
13107,靡,1542,1,3,175
13108,面,1543,1,6,176
13281,音,1544,1,7,180
13376,題,1545,1,2,181
13389,顗,1546,1,2,181
13304,須,1547,1,4,181
13398,類,1548,1,2,181
13327,領,1549,1,4,181
13325,頗,1550,1,3,181
13316,頓,1551,1,5,181
13313,預,1552,1,3,181
13296,頂,1553,1,2,181
13416,顯,1554,1,8,181
13391,願,1555,1,9,181
13346,頭,1556,1,2,181
13409,顧,1557,1,6,181
13423,風,1558,1,4,182
13495,飛,1559,1,2,183
13565,餘,1560,1,8,184
13551,養,1561,1,4,184
13507,飡,1562,1,2,184
13503,食,1563,1,3,184
13661,首,1564,1,5,185
13667,香,1565,1,5,186
13849,驗,1566,1,6,187
13820,騰,1567,1,4,187
13934,體,1568,1,7,188
13940,高,1569,1,4,189
14088,魔,1570,1,3,194
14693,黃,1571,1,2,201
14722,黜,1572,1,2,203
14775,鼓,1573,1,2,207
14828,齊,1574,1,2,210
14876,龍,1575,1,16,212
00455,備,1576a,2,3,009
00455b,備,1576b,2,2,009
00759,初,1577a,2,7,018
00759b,初,1577b,2,1,018
01197,含,1578a,2,1,030
01197b,含,1578b,2,1,030
01796,報,1579a,2,2,032
01796b,報,1579b,2,1,032
01928,夐,1580a,2,1,035
01928b,夐,1580b,2,1,035
02430,尋,1581a,2,4,041
02430b,尋,1581b,2,1,041
02515,屬,1582a,2,5,044
02515b,屬,1582b,2,2,044
02767,巡,1583a,2,1,047
02767b,巡,1583b,2,1,047
02952,庭,1584a,2,1,053
02952b,庭,1584b,2,1,053
03171,徵,1585a,2,1,060
03171b,徵,1585b,2,1,060
04402,旅,1586a,2,2,070
04402b,旅,1586b,2,1,070
04693,望,1587a,2,3,074
04693b,望,1587b,2,2,074
05254,概,1588a,2,2,075
05254b,概,1588b,2,1,075
06499,漢,1589a,2,1,085
06499b,漢,1589b,2,1,085
07781,監,1590a,2,2,108
07781b,監,1590b,2,1,108
09611,致,1591a,2,6,133
09611b,致,1591b,2,4,133
09630,興,1592a,2,3,134
09630b,興,1592b,2,2,134
09954,萬,1593a,2,7,140
09954b,萬,1593b,2,2,140
12102,遽,1594a,2,3,162
12102b,遽,1594b,2,2,162
12991,雖,1595a,2,9,172
12991b,雖,1595b,2,3,172
