統合ID,文字,佛説大教,字体数,用例数,部首
01197,含,0451,1,2,030
01627,固,0452,1,11,031
01611,因,0453,1,3,031
01607,四,0454,1,6,031
01645,圓,0455,1,7,031
01798,場,0456,1,2,032
01682,坐,0457,1,2,032
01748,埵,0458,1,14,032
01659,在,0459,1,8,032
01666,地,0460,1,18,032
01710,垂,0461,1,2,032
01831,塵,0462,1,3,032
01745,域,0463,1,4,032
01903,士,0464,1,4,033
01939,夜,0465,1,2,036
01938,多,0466,1,9,036
01946,大,0467,1,100,037
01947,天,0469,1,8,037
01948,太,0470,1,2,037
02031,如,0471,1,151,038
02045,妙,0475,1,19,038
02033,妄,0476,1,2,038
02069,始,0477,1,2,038
02262,子,0478,1,4,039
02322,宗,0479,1,3,040
02344,宰,0480,1,2,040
02383,察,0481,1,3,040
02307,宇,0482,1,2,040
02316,宏,0483,1,2,040
02352,容,0484,1,2,040
02357,寂,0485,1,5,040
02390,實,0486,1,6,040
02407,寶,0487,1,14,040
02366,富,0488,1,2,040
02342,宮,0489,1,3,040
02325,定,0490,1,2,040
02309,安,0491,1,8,040
02429,尊,0492,1,24,041
02425,將,0493,1,2,041
02482,居,0494,1,2,044
02564,岸,0495,1,2,046
02752,巍,0496,1,2,046
02528,山,0497,1,2,046
02589,峯,0498,1,2,046
02782,己,0499,1,2,049
02783,已,0500,1,17,049
02820,帝,0501,1,2,050
02800,布,0502,1,2,050
02835,師,0503,1,2,050
02847,常,0504,1,7,050
02882,幢,0505,1,4,050
02902,并,0506,1,2,051
02899,平,0507,1,12,051
02912,幽,0508,1,2,052
02932,底,0509,1,2,053
02928,序,0510,1,4,053
02993,廣,0511,1,8,053
02963,庸,0512,1,2,053
03046,弗,0513,1,2,057
03116,影,0514,1,3,059
03165,微,0515,1,8,060
03138,後,0516,1,5,060
03159,復,0517,1,11,060
03157,徧,0518a,2,9,060
03157b,徧,0518b,2,6,060
03124,彼,0519,1,23,060
03145,得,0520,1,13,060
03404,愚,0521,1,2,061
03348,情,0522,1,9,061
03326,悟,0523,1,4,061
03184,忍,0524,1,5,061
03267,恆,0525,1,2,061
03335,悲,0526,1,2,061
03439,慈,0527,1,4,061
03405,愛,0528,1,3,061
03462,慧,0529,1,3,061
03373,想,0530,1,2,061
03214,念,0531,1,2,061
03298,息,0532,1,3,061
03179,心,0533,1,39,061
03244,性,0534,1,17,061
03395,意,0535,1,5,061
03365,惟,0536,1,2,061
03239,思,0537,1,2,061
03550,應,0538,1,6,061
03312,悉,0539,1,10,061
03237,怛,0540,1,4,061
03309,悦,0541,1,2,061
03208,快,0542,1,2,061
03610,成,0543,1,34,062
03611,我,0544,1,13,062
03647,所,0545,1,28,063
03858,掌,0546,1,5,064
03904,揚,0547,1,2,064
03659,手,0548,1,8,064
03750,拔,0549,1,3,064
03690,承,0550,1,2,064
03896,提,0551,1,13,064
04008,摧,0552,1,2,064
03764,括,0553,1,2,064
04009,摩,0554,1,30,064
03780,持,0555,1,17,064
03855,授,0556a,2,2,064
03855b,授,0556b,2,2,064
03744,拏,0557,1,2,064
04243,故,0558,1,15,066
04263,救,0559,1,2,066
04261,教,0560,1,16,066
04321,文,0561,1,6,067
04385,方,0562,1,9,070
04391,施,0563,1,2,070
04486,昏,0564,1,3,072
04489,易,0565,1,2,072
04505,昧,0566,1,15,072
04446,日,0567,1,9,072
04512,是,0568,1,43,072
04557,普,0569,1,29,072
04569,智,0570,1,32,072
04523,時,0571,1,32,072
04660,曼,0572,1,2,073
04650,曰,0573,1,13,073
04664,最,0574,1,11,073
04688,朕,0575,1,2,074
04674,有,0576,1,17,074
04673,月,0577,1,12,074
04769,杵,0578,1,5,075
05152,業,0579,1,11,075
04711,未,0580,1,3,075
05279,樂,0581,1,8,075
04713,本,0582,1,2,075
04922,根,0583,1,2,075
04848,染,0584,1,3,075
04767,杳,0585,1,2,075
M16014,㰠,0586,1,2,076
05676,歸,0587,1,2,077
05643,正,0588,1,14,077
05717,殊,0589,1,3,078
05841,比,0590,1,2,081
05845,毗,0591,1,8,081
05935,民,0592,1,2,083
06074,法,0593,1,28,085
06641,濟,0594,1,2,085
06340,游,0595,1,2,085
06335,測,0596,1,3,085
05983,汝,0597,1,3,085
06285,深,0598,1,3,085
06031,沙,0599,1,3,085
06396,源,0600,1,2,085
05978,汗,0601,1,2,085
06172,浩,0602,1,2,085
06617,濁,0603,1,2,085
06490,演,0604,1,2,085
06182,海,0605,1,5,085
06151,流,0606,1,2,085
06193,涉,0607,1,3,085
06272,淨,0608,1,15,085
06290,清,0609,1,9,085
06476,滿,0610,1,9,085
06086,波,0611,1,4,085
06861,焉,0612,1,3,086
06885,然,0613,1,8,086
06776,火,0614,1,2,086
06872,無,0615,1,31,086
07043,爾,0616,1,13,089
07080,物,0617,1,2,093
07203,猶,0618,1,3,094
07180,猛,0619,1,2,094
07256,玄,0620,1,3,095
07307,理,0621,1,9,096
07262,王,0622,1,14,096
07291,珠,0623,1,2,096
07304,現,0624,1,22,096
07461,生,0625,1,25,100
07469,用,0626,1,4,101
07483,男,0627,1,2,102
07479,由,0628,1,3,102
07501,界,0629,1,29,102
07480,甲,0630,1,2,102
07535,當,0631,1,2,102
07718,皇,0632,1,2,106
07717,皆,0633,1,4,106
07709,白,0634,1,7,106
07779,盡,0635,1,13,108
07759,益,0636,1,7,108
07770,盛,0637,1,2,108
07844,眾,0638,1,8,109
07801,相,0639,1,21,109
07941,知,0640,1,4,111
08057,磨,0641,1,2,112
08130,祥,0642,1,2,113
08116,祕,0643,1,6,113
08097,示,0644,1,10,113
08124,神,0645,1,3,113
08165,禮,0646,1,2,113
08244,種,0647,1,19,115
08296,空,0648,1,32,116
08329,窮,0649,1,4,116
08293,究,0650,1,4,116
08365,竟,0651,1,2,117
08366,章,0652,1,2,117
08376,端,0653,1,2,117
08354,立,0654,1,6,117
08396,笑,0655,1,4,118
08685,精,0656,1,7,119
08993,總,0657,1,3,120
09011,繒,0658,1,2,120
08735,紀,0659,1,3,120
08885,網,0660,1,3,120
08924,緣,0661,1,2,120
09073,纔,0662,1,2,120
09144,羅,0663,1,6,122
09177,義,0664,1,5,123
09249,耀,0665,1,2,124
09243,翻,0666,1,2,124
09245,翼,0667,1,2,124
09255,者,0668,1,7,125
09264,而,0669,1,23,126
09315,聞,0670,1,2,128
09308,聖,0671,1,11,128
09328,聲,0672,1,2,128
09411,胡,0673,1,2,130
09463,脱,0674,1,4,130
09602,自,0675,1,18,132
09618,臻,0676,1,2,133
09610,至,0677,1,5,133
09630,興,0678,1,3,134
09788,若,0679,1,3,140
10008,蒙,0680,1,2,140
09789,苦,0681,1,2,140
09921,華,0682,1,4,140
09954,萬,0683,1,4,140
09919,菩,0684,1,48,140
09966,葉,0685,1,2,140
10163,薩,0686,1,62,140
10276,號,0688,1,4,141
10414,蜜,0689,1,2,142
10614,行,0690,1,12,144
10820,西,0691,1,4,146
10859,觀,0692a,2,6,147
10859b,觀,0692b,2,3,147
10831,見,0693,1,6,147
10856,覺,0694a,2,10,147
10856b,覺,0694b,2,6,147
11072,諦,0695,1,2,149
11229,讚,0696,1,2,149
11049,請,0697,1,7,149
11191,譯,0698,1,3,149
11095,謂,0699,1,4,149
11155,證,0700,1,6,149
11023,誦,0701,1,2,149
11058,論,0702,1,2,149
11017,語,0703,1,9,149
10936,訶,0704,1,12,149
11025,説,0705,1,13,149
11038,調,0706,1,3,149
11200,護,0707,1,4,149
10928,設,0708,1,5,149
10890,言,0709,1,16,149
10974,詣,0710,1,2,149
11085,諸,0711,1,43,149
11253,豈,0712,1,4,151
11275,象,0713,1,2,152
11328,貝,0714,1,3,154
11397,賢,0715,1,19,154
11342,貪,0716,1,2,154
11343,貫,0717,1,2,154
11461,起,0718,1,8,156
11715,身,0719,1,23,158
11744,軌,0720,1,3,159
11856,轉,0721,1,5,159
11827,輪,0722,1,17,159
11960,迦,0723,1,3,162
12083,遮,0725,1,8,162
11995,途,0726,1,2,162
12051,道,0727,1,3,162
11974,迷,0728,1,2,162
11968,述,0729,1,4,162
12115,邊,0730,1,2,162
12000,通,0731,1,7,162
12022,進,0732,1,5,162
12004,造,0733,1,2,162
12079,適,0734,1,2,162
12371,釋,0735,1,3,165
12373,重,0736,1,3,166
12376,量,0737,1,9,166
12380,金,0738,1,81,167
12795,闡,0740,1,2,169
12716,開,0741,1,2,169
12724,間,0742,1,2,169
12709,門,0743,1,6,169
12913,際,0744,1,2,170
12830,阿,0745,1,3,170
12991,雖,0746,1,2,172
13001,離,0747,1,2,172
12963,集,0748,1,2,172
13002,難,0749,1,3,172
12994,雙,0750,1,2,172
13020,雲,0751,1,3,173
13103,靜,0752a,2,2,174
13103b,靜,0752b,2,1,174
13104,非,0753,1,2,175
13281,音,0754,1,3,180
13296,頂,0755,1,16,181
13304,須,0756,1,2,181
13416,顯,0757,1,3,181
13391,願,0758,1,3,181
13307,頌,0759,1,5,181
13423,風,0760,1,4,182
13565,餘,0761,1,5,184
13934,體,0762,1,4,188
13940,高,0763,1,4,189
13999,鬘,0764,1,2,190
14088,魔,0765,1,2,194
00134,互,0766a,2,2,007
00134b,互,0766b,2,1,007
00282,來,0767a,2,126,009
00282b,來,0767b,2,5,009
00803,剛,0770a,2,62,018
00803b,剛,0770b,2,16,018
01128,受,0772a,2,2,029
01128b,受,0772b,2,1,029
01581,嚴,0773a,2,1,030
01581b,嚴,0773b,2,1,030
