カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典
0579,業,075,1,11,,,05152
0580,未,075,1,3,,,04711
0581,樂,075,1,8,,,05279
0582,本,075,1,2,,,04713
0583,根,075,1,2,,,04922
0584,染,075,1,3,,,04848
0585,杳,075,1,2,,,04767
0586,M16014,076,1,2,,,M16014
0587,歸,077,1,2,,,05676
0588,正,077,1,14,,,05643
0589,殊,078,1,3,,,05717
0590,比,081,1,2,,,05841
0591,05845,081,1,8,,,05845
0592,民,083,1,2,,,05935
0593,法,085,1,28,,,06074
0594,濟,085,1,2,,,06641
0595,游,085,1,2,,,06340
0596,測,085,1,3,,,06335
0597,汝,085,1,3,,,05983
0598,深,085,1,3,,,06285
0599,沙,085,1,3,,,06031
0600,源,085,1,2,,,06396
0601,汗,085,1,2,,,05978
0602,浩,085,1,2,,,06172
0603,濁,085,1,2,,,06617
0604,演,085,1,2,,,06490
0605,海,085,1,5,,,06182
0606,流,085,1,2,,,06151
0607,渉,085,1,3,,,06193
0608,淨,085,1,15,,,06272
0609,清,085,1,9,,,06290
0610,滿,085,1,9,,,06476
0611,波,085,1,4,,,06086
0612,焉,086,1,3,,,06861
0613,然,086,1,8,,,06885
0614,火,086,1,2,,,06776
0615,無,086,1,31,,,06872
0616,爾,089,1,13,,,07043
0617,物,093,1,2,,,07080
0618,猶,094,1,3,,,07203
0619,猛,094,1,2,,,07180
0620,玄,095,1,3,,,07256
0621,理,096,1,9,,,07307
0622,王,096,1,14,,,07262
0623,珠,096,1,2,,,07291
0624,現,096,1,22,,,07304
0625,生,100,1,25,,,07461
0626,用,101,1,4,,,07469
0627,男,102,1,2,,,07483
0628,由,102,1,3,,,07479
0629,界,102,1,29,,,07501
0630,甲,102,1,2,,,07480
0631,當,102,1,2,,,07535
0632,皇,106,1,2,,,07718
0633,皆,106,1,4,,,07717
0634,白,106,1,7,,,07709
0635,盡,108,1,13,,,07779
0636,益,108,1,7,,,07759
0637,盛,108,1,2,,,07770
0638,衆,109,1,8,,,07844
0639,相,109,1,21,,,07801
0640,知,111,1,4,,,07941
0641,磨,112,1,2,,,08057
0642,祥,113,1,2,,,08130
0643,祕,113,1,6,,,08116
0644,示,113,1,10,,,08097
0645,神,113,1,3,,,08124
0646,禮,113,1,2,,,08165
0647,種,115,1,19,,,08244
0648,空,116,1,32,,,08296
0649,窮,116,1,4,,,08329
0650,究,116,1,4,,,08293
0651,竟,117,1,2,,,08365
0652,章,117,1,2,,,08366
0653,端,117,1,2,,,08376
0654,立,117,1,6,,,08354
0655,笑,118,1,4,,,08396
0656,精,119,1,7,,,08685
0657,總,120,1,3,,,08993
0658,09011,120,1,2,,,09011
0659,紀,120,1,3,,,08735
0660,網,120,1,3,,,08885
0661,縁,120,1,2,,,08924
0662,纔,120,1,2,,,09073
0663,羅,122,1,6,,,09144
0664,義,123,1,5,,,09177
0665,耀,124,1,2,,,09249
0666,翻,124,1,2,,,09243
0667,翼,124,1,2,,,09245
0668,者,125,1,7,,,09255
0669,而,126,1,23,,,09264
0670,聞,128,1,2,,,09315
0671,聖,128,1,11,,,09308
0672,聲,128,1,2,,,09328
0673,胡,130,1,2,,,09411
0674,脱,130,1,4,,,09463
0675,自,132,1,18,,,09602
0676,臻,133,1,2,,,09618
0677,至,133,1,5,,,09610
0678,興,134,1,3,,,09630
0679,若,140,1,3,,,09788
0680,蒙,140,1,2,,,10008
0681,苦,140,1,2,,,09789
0682,華,140,1,4,,,09921
0683,萬,140,1,4,,,09954
0684,菩,140,1,48,,,09919
0685,葉,140,1,2,,,09966
0686-0687,薩,140,1,62,,,10163
0688,號,141,1,4,,,10276
0689,蜜,142,1,2,,,10414
0690,行,144,1,12,,,10614
0691,西,146,1,4,,,10820
0692,觀,147,2,6,3,,10859
0693,見,147,1,6,,,10831
0694,覺,147,2,10,6,,10856
0695,諦,149,1,2,,,11072
0696,讚,149,1,2,,,11229
0697,請,149,1,7,,,11049
0698,譯,149,1,3,,,11191
0699,謂,149,1,4,,,11095
0700,證,149,1,6,,,11155
0701,誦,149,1,2,,,11023
0702,論,149,1,2,,,11058
0703,語,149,1,9,,,11017
0704,訶,149,1,12,,,10936
0705,説,149,1,13,,,11025
0706,調,149,1,3,,,11038
0707,護,149,1,4,,,11200
0708,設,149,1,5,,,10928
0709,言,149,1,16,,,10890
0710,詣,149,1,2,,,10974
0711,諸,149,1,43,,,11085
0712,豈,151,1,4,,,11253
