カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典,,,,
0223,矩,111,0,,,,07944,,,,
0224,破,112,0,,,,07986,,,,
0225,碎,112,0,,,,08016,,,,
0226,祀,113,0,,,,08103,,,,
0227,祝,113,0,,,,08123,,,,
0228,祈,113,0,,,,08108,,,,
0229,祚,113,0,,,,08119,,,,
0230,禮,113,0,,,,08165,,,,
0231,穢,115,0,,,,08279,,,,
0232,窟,116,0,,,,08323,,,,
0233,竟,117,0,,,,08365,,,,
0234,豎,151,0,,,,11258,,,,
0235,箭,118,0,,,,08479,,,,
0236,粟,119,0,,,,08664,,,,
0237,繋,120,0,,,,09030,,,,
0238,縫,120,0,,,,08976,,,,
0239,總,120,0,,,,08993,,,,
0240,纏,120,0,,,,09064,,,,
0241,08744,120,0,,,,08744,,,,
0242,08762,120,0,,,,08762,,,,
0243,紀,120,0,,,,08735,,,,
0244,細,120,0,,,,08779,,,,
0245,罷,122,0,,,,09133,,,,
0246,羅,122,0,,,,09144,,,,
0247,羂,122,0,,,,09142,,,,
0248,義,123,0,,,,09177,,,,
0249,羣,123,0,,,,09175,,,,
0250,耀,124,0,,,,09249,,,,
0251,聽,128,0,,,,09335,,,,
0252,膝,130,0,,,,09541,,,,
0253,肩,130,0,,,,09370,,,,
0254,股,130,0,,,,09364,,,,
0255,肯,130,0,,,,09377,,,,
0256,脱,130,0,,,,09463,,,,
0257,脛,130,0,,,,09449,,,,
0258,腋,130,0,,,,09483,,,,
0259,臂,130,0,,,,09568,,,,
0260,臥,131,0,,,,09599,,,,
0261,臾,134,0,,,,09621,,,,
0262,09627,134,0,,,,09627,,,,
0263,舂,134,0,,,,09626,,,,
0264,苗,140,0,,,,09778,,,,
0265,菟,140,0,,,,09911,,,,
0266,薄,140,0,,,,10139,,,,
0267,薙,140,0,,,,10153,,,,
0268,藍,140,0,,,,10189,,,,
0269,螢,142,0,,,,10510,,,,
0270,蛇,142,0,,,,10349,,,,
0271,血,143,0,,,,10605,,,,
0272,術,144,0,,,,10618,,,,
0273,裏,145,0,,,,10703,,,,
0274,裔,145,0,,,,10708,,,,
0275,裳,145,0,,,,10724,,,,
0276,襁,145,0,,,,10773,,,,
0277,褸,145,0,,,,10766,,,,
0278,襤,145,0,,,,10798,,,,
0279,覽,147,0,,,,10857,,,,
0280,觀,147,0,,,,10859,,,,
0281,解,148,0,,,,10875,,,,
0282,訶,149,0,,,,10936,,,,
0283,詣,149,0,,,,10974,,,,
0284,謀,149,0,,,,11092,,,,
0285,識,149,0,,,,11171,,,,
0286,該,149,0,,,,10987,,,,
0287,謎,149,0,,,,11109,,,,
0288,諾,149,0,,,,11090,,,,
0289,11264,151,0,,,,11264,,,,
0290,赦,155,0,,,,11447,,,,
0291,赭,155,0,,,,11453,,,,
0292,11450,155,0,,,,11450,,,,
0293,超,156,0,,,,11467,,,,
0294,赴,156,0,,,,11457,,,,
0295,跳,157,0,,,,11553,,,,
0296,踞,157,0,,,,11580,,,,
0297,蹈,157,0,,,,11618,,,,
0298,踏,157,0,,,,11568,,,,
0299,踰,157,0,,,,11593,,,,
0300,躬,158,0,,,,11716,,,,
0301,輒,159,0,,,,11799,,,,
0302,轉,159,0,,,,11856,,,,
0303,辛,160,0,,,,11893,,,,
0304,辜,160,0,,,,11896,,,,
0305,遷,162,0,,,,12093,,,,
0306,迹,162,0,,,,11976,,,,
0307,逆,162,0,,,,11986,,,,
0308,逃,162,0,,,,11984,,,,
0309,追,162,0,,,,11979,,,,
0310,過,162,0,,,,12046,,,,
0311,廻,054,0,,,,03008,,,,
0312,逮,162,0,,,,12019,,,,
0313,退,162,0,,,,11982,,,,
0314,逶,162,0,,,,12025,,,,
0315,遇,162,0,,,,12040,,,,
0316,遙,162,0,,,,12062,,,,
0317,選,162,0,,,,12095,,,,
0318,遨,162,0,,,,12077,,,,
0319,遭,162,0,,,,12082,,,,
0320,違,162,0,,,,12054,,,,
0321,醤,164,0,,,,12342,,,,
0322,釀,164,0,,,,12360,,,,
0323,酌,164,0,,,,12262,,,,
0324,醜,164,0,,,,12327,,,,
0325,酒,164,0,,,,12266,,,,
0326,里,166,0,,,,12372,,,,
0327,鋒,167,0,,,,12485,,,,
0328,鍜,167,0,,,,12544,,,,
0329,金,167,0,,,,12380,,,,
0330,鏑,167,0,,,,12601,,,,
0331,鍾,167,0,,,,12563,,,,
0332,閑,169,0,,,,12722,,,,
0333,闕,169,0,,,,12783,,,,
0334,閉,169,0,,,,12714,,,,
0335,闥,169,0,,,,12800,,,,
0336,陰,170,0,,,,12862,,,,
0337,隅,170,0,,,,12883,,,,
