カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典,,,,
0723,方,070,1,7,,,04385,,,,
0724-0725,於,070,1,79,,,04389,,,,
0726,既,071,1,14,,,04442,,,,
0727-0729,時,072,1,117,,,04523,,,,
0730-0731,是,072,1,97,,,04512,,,,
0732,日,072,1,45,,,04446,,,,
0733,明,072,1,13,,,04485,,,,
0734,昇,072,1,5,,,04480,,,,
0735,映,072,1,3,,,04500,,,,
0736,昔,072,1,3,,,04490,,,,
0737,易,072,1,4,,,04489,,,,
0738,智,072,1,5,,,04569,,,,
0739-0742,曰,073,1,177,,,04650,,,,
0743,更,073,1,4,,,04654,,,,
0744,會,073,1,4,,,04667,,,,
0745,曾,073,1,2,,,04661,,,,
0746,曲,073,1,4,,,04651,,,,
0747,書,073,1,16,,,04657,,,,
0748-0749,有,074,1,84,,,04674,,,,
0750,望,074,1,2,,,04693,,,,
0751,月,074,1,3,,,04673,,,,
0752,朋,074,1,2,,,04676,,,,
0753,期,074,1,3,,,04699,,,,
0754,杜,075,1,8,,,04747,,,,
0755,槌,075,1,5,,,05236,,,,
0756,樂,075,1,3,,,05279,,,,
0757,木,075,1,11,,,04707,,,,
0758,机,075,1,2,,,04723,,,,
0759,林,075,1,2,,,04803,,,,
0760,未,075,1,6,,,04711,,,,
0761,末,075,1,3,,,04712,,,,
0762,杪,075,1,3,,,04758,,,,
0763,樹,075,1,17,,,05323,,,,
0764,枝,075,1,2,,,04807,,,,
0765,植,075,1,2,,,05080,,,,
0766,果,075,1,5,,,04806,,,,
0767,根,075,1,17,,,04922,,,,
0768,橋,075,1,7,,,05348,,,,
0769,杵,075,1,19,,,04769,,,,
0770,横,075,1,3,,,05381,,,,
0771,本,075,1,12,,,04713,,,,
0772,棄,075,1,5,,,05014,,,,
0773,樓,075,1,2,,,05293,,,,
0774,櫛,075,1,3,,,05471,,,,
0775,05266,075,1,6,,,05266,,,,
0776,栲,075,1,6,,,04915,,,,
0777,歌,076,1,13,,,05609,,,,
0778,歟,076,1,10,,,05633,,,,
0779,欲,076,1,20,,,05580,,,,
0780,次,076,1,30,,,05558,,,,
0781,歎,076,1,2,,,05612,,,,
0782,歸,077,1,13,,,05676,,,,
0783,正,077,1,6,,,05643,,,,
0784-0785,此,077,1,87,,,05644,,,,
0786,武,077,1,10,,,05649,,,,
0787,死,078,1,6,,,05686,,,,
0788,殯,078,1,2,,,05777,,,,
0789,殿,079,1,4,,,05809,,,,
0790,母,080,1,10,,,05834,,,,
0791,毎,080,1,2,,,05836,,,,
0792,比,081,1,6,,,05841,,,,
0793,毛,082,1,5,,,05850,,,,
0794,民,083,1,2,,,05935,,,,
0795,氣,084,1,2,,,05947,,,,
0796,水,085,1,6,,,05952,,,,
0797,湯,085,1,6,,,06381,,,,
0798,汀,085,1,7,,,05962,,,,
0799,汝,085,1,48,,,05983,,,,
0800-0801,海,085,1,74,,,06182,,,,
0802,津,085,1,45,,,06128,,,,
0803,濤,085,1,3,,,06645,,,,
0804,滿,085,1,7,,,06476,,,,
0805,溺,085,1,8,,,06422,,,,
0806,汲,085,1,5,,,05996,,,,
0807,深,085,1,3,,,06285,,,,
0808,活,085,1,3,,,06145,,,,
0809,瀬,085,1,7,,,06713,,,,
0810,渚,085,1,3,,,06312,,,,
0811,泣,085,1,2,,,06087,,,,
0812,濃,085,1,2,,,06611,,,,
0813,沒,085,1,5,,,06023,,,,
0814,漬,085,1,3,,,06507,,,,
0815,波,085,1,12,,,06086,,,,
0816,浮,085,1,8,,,06175,,,,
0817,添,085,1,2,,,06294,,,,
0818,治,085,1,9,,,06055,,,,
0819,濱,085,1,8,,,06658,,,,
0820,法,085,1,2,,,06074,,,,
0821,溢,085,1,5,,,06408,,,,
0822,浪,085,1,2,,,06173,,,,
0823,渉,085,1,2,,,06193,,,,
0824,06150,085,1,2,,,06150,,,,
0825,滅,085,1,2,,,06432,,,,
0826,涸,085,1,10,,,06227,,,,
0827,瀲,085,1,7,,,06723,,,,
0828,沈,085,1,3,,,06015,,,,
0829,永,085,1,4,,,05957,,,,
0830,求,085,1,3,,,05964,,,,
0831,潮,085,1,23,,,06554,,,,
0832-0834,火,086,1,114,,,06776,,,,
0835,06956,086,1,2,,,06956,,,,
0836,照,086,1,15,,,06918,,,,
0837,熊,086,1,4,,,06939,,,,
0838,無,086,1,22,,,06872,,,,
0839,然,086,1,21,,,06885,,,,
0840,熱,086,1,2,,,06957,,,,
0841,06947,086,1,2,,,06947,,,,
0842,炎,086,1,3,,,06801,,,,
0843,焚,086,1,2,,,06867,,,,
0844,焉,086,1,25,,,06861,,,,
0845-0846,爲,087,1,58,,,07032,,,,
0847,父,088,1,13,,,07035,,,,
0848,特,093,1,2,,,07086,,,,
0849,物,093,1,5,,,07080,,,,
0850,状,094,1,6,,,07122,,,,
0851,狹,094,1,18,,,07162,,,,
0852,猶,094,1,10,,,07203,,,,
0853,獨,094,1,3,,,07230,,,,
0854,猿,094,1,6,,,07207,,,,
0855,獲,094,1,2,,,07241,,,,
0856,狗,094,1,2,,,07139,,,,
0857,王,096,1,7,,,07262,,,,
0858-0859,玉,096,1,53,,,07261,,,,
0860,瓊,096,1,37,,,07394,,,,
0861,瓏,096,1,2,,,07395,,,,
0862,理,096,1,3,,,07307,,,,
0863,玲,096,1,2,,,07275,,,,
0864,瑞,096,1,2,,,07346,,,,
0865,甍,098,1,2,,,07444,,,,
0866,甕,098,1,6,,,07452,,,,
0867,甚,099,1,5,,,07457,,,,
0868,生,100,1,45,,,07461,,,,
0869,産,100,1,41,,,07464,,,,
0870,用,101,1,7,,,07469,,,,
0871,田,102,1,34,,,07478,,,,
0872,留,102,1,9,,,07508,,,,
0873-0874,當,102,1,51,,,07535,,,,
0875,畏,102,1,2,,,07503,,,,
0876,男,102,1,4,,,07483,,,,
0877,由,102,1,3,,,07479,,,,
0878,05845,081,1,2,,,05845,,,,
0879,疏,103,1,2,,,07557,,,,
0880,疑,103,1,5,,,07559,,,,
0881,疾,104,1,5,,,07591,,,,
0882,癡,104,1,2,,,07685,,,,
0883,登,105,1,6,,,07706,,,,
0884,白,106,1,9,,,07709,,,,
0885-0886,皇,106,1,69,,,07718,,,,
0887,百,106,1,8,,,07710,,,,
0888,皆,106,1,7,,,07717,,,,
0889,盛,108,1,5,,,07770,,,,
0890,盧,108,1,2,,,07785,,,,
0891,盡,108,1,3,,,07779,,,,
0892,益,108,1,3,,,07759,,,,
0893,眞,109,1,7,,,07827,,,,
0894,衆,109,1,3,,,07844,,,,
0895,目,109,1,12,,,07790,,,,
0896,相,109,1,14,,,07801,,,,
0897,矛,110,1,4,,,07929,,,,
0898,知,111,1,16,,,07941,,,,
0899,矢,111,1,24,,,07937,,,,
0900,矣,111,1,31,,,07938,,,,
0901,短,111,1,2,,,07948,,,,
0902,石,112,1,6,,,07954,,,,
0903,磐,112,1,21,,,08047,,,,
0904,磨,112,1,7,,,08057,,,,
0905,碕,112,1,5,,,08023,,,,
0906-0910,神,113,1,203,,,08124,,,,
0911,祇,113,1,8,,,08107,,,,
0912,祖,113,1,12,,,08117,,,,
0913,禦,113,1,3,,,08159,,,,
0914,禰,113,1,4,,,08166,,,,
0915,祭,113,1,2,,,08135,,,,
0916,穗,115,1,23,,,08273,,,,
0917,秀,115,1,2,,,08179,,,,
0918,秋,115,1,2,,,08187,,,,
0919,稚,115,1,28,,,08233,,,,
0920,移,115,1,2,,,08212,,,,
0921,稜,115,1,4,,,08235,,,,
0922,私,115,1,3,,,08180,,,,
0923,稱,115,1,8,,,08248,,,,
0924,種,115,1,2,,,08244,,,,
0925,空,116,1,4,,,08296,,,,
0926,窮,116,1,3,,,08329,,,,
0927,立,117,1,13,,,08354,,,,
0928,竊,116,1,2,,,08353,,,,
0929,端,117,1,2,,,08376,,,,
0930,竹,118,1,8,,,08382,,,,
0931,笠,118,1,4,,,08404,,,,
0932,籠,118,1,6,,,08619,,,,
0933,箕,118,1,2,,,08468,,,,
0934,籬,118,1,3,,,08631,,,,
0935,等,118,1,15,,,08426,,,,
0936,筑,118,1,3,,,08434,,,,
0937,箇,118,1,10,,,08461,,,,
0938,答,118,1,2,,,08437,,,,
0939,筒,118,1,3,,,08435,,,,
0940,笑,118,1,2,,,08396,,,,
0941,紫,120,1,3,,,08773,,,,
0942,縁,120,1,12,,,08924,,,,
0943,結,120,1,2,,,08807,,,,
0944,經,120,1,11,,,08856,,,,
0945,素,120,1,5,,,08765,,,,
0946,綿,120,1,2,,,08899,,,,
0947,絶,120,1,4,,,08809,,,,
0948,繩,120,1,2,,,09028,,,,
0949,終,120,1,3,,,08795,,,,
0950,織,120,1,2,,,09012,,,,
0951,罪,122,1,2,,,09125,,,,
0952,置,122,1,7,,,09128,,,,
0953,美,123,1,12,,,09155,,,,
0954,羽,124,1,6,,,09195,,,,
0955,翁,124,1,11,,,09201,,,,
0956-0958,者,125,1,102,,,09255,,,,
0959,老,125,1,12,,,09250,,,,
0960-0962,而,126,1,120,,,09264,,,,
0963,耐,126,1,4,,,09267,,,,
0964,耜,127,1,9,,,09278,,,,
0965,聞,128,1,11,,,09315,,,,
0966,耶,128,1,21,,,09292,,,,
0967,聲,128,1,4,,,09328,,,,
0968,能,130,1,17,,,09429,,,,
0969,背,130,1,6,,,09394,,,,
0970,胸,130,1,8,,,09425,,,,
0971,胤,130,1,7,,,09413,,,,
0972,臍,130,1,2,,,09577,,,,
0973,腰,130,1,2,,,09508,,,,
0974,臨,131,1,8,,,09601,,,,
0975,臣,131,1,2,,,09596,,,,
0976,自,132,1,35,,,09602,,,,
0977,至,133,1,25,,,09610,,,,
0978,臺,133,1,2,,,09617,,,,
0979,致,133,1,8,,,09611,,,,
0980,與,134,1,23,,,09629,,,,
0981,擧,134,1,7,,,09632,,,,
0982,船,137,1,4,,,09675,,,,
0983,良,138,1,2,,,09714,,,,
0984,色,139,1,4,,,09716,,,,
0985,花,140,1,6,,,09758,,,,
0986,芹,140,1,9,,,09764,,,,
0987,葦,140,1,26,,,09982,,,,
0988,蒼,140,1,2,,,10031,,,,
0989,蓋,140,1,4,,,10040,,,,
0990,葬,140,1,3,,,09985,,,,
0991,草,140,1,11,,,09846,,,,
0992,葉,140,1,3,,,09966,,,,
0993,落,140,1,5,,,09961,,,,
0994,茂,140,1,5,,,09807,,,,
0995,若,140,1,17,,,09788,,,,
0996,苦,140,1,6,,,09789,,,,
0997,著,140,1,3,,,09972,,,,
0998,華,140,1,2,,,09921,,,,
0999,萬,140,1,9,,,09954,,,,
1000,處,141,1,19,,,10270,,,,
1001,虚,141,1,3,,,10272,,,,
1002,蠅,142,1,3,,,10563,,,,
1003,行,144,1,19,,,10614,,,,
1004,衢,144,1,3,,,10636,,,,
1005,裂,145,1,2,,,10698,,,,
1006,衣,145,1,2,,,10637,,,,
1007,衰,145,1,2,,,10649,,,,
1008,襲,145,1,3,,,10806,,,,
1009,裹,145,1,4,,,10729,,,,
1010,衾,145,1,5,,,10658,,,,
1011,襃,145,1,3,,,10774,,,,
1012,西,146,1,2,,,10820,,,,
1013,覆,146,1,5,,,10826,,,,
1014-1015,見,147,1,69,,,10831,,,,
1016,覓,147,1,6,,,10834,,,,
1017,親,147,1,3,,,10848,,,,
1018,視,147,1,7,,,10837,,,,
1019,覘,147,1,2,,,10840,,,,
1020,觸,148,1,2,,,10887,,,,
1021,言,149,1,29,,,10890,,,,
1022,謂,149,1,20,,,11095,,,,
1023,諸,149,1,12,,,11085,,,,
1024,誰,149,1,9,,,11028,,,,
1025,語,149,1,5,,,11017,,,,
1026,訪,149,1,4,,,10925,,,,
1027,計,149,1,4,,,10896,,,,
1028,請,149,1,14,,,11049,,,,
1029,誠,149,1,3,,,11018,,,,
1030,誓,149,1,4,,,11008,,,,
1031,試,149,1,5,,,10975,,,,
1032,誅,149,1,2,,,10999,,,,
1033,誨,149,1,2,,,11024,,,,
1034,訖,149,1,6,,,10912,,,,
1035,誤,149,1,4,,,11020,,,,
1036,護,149,1,2,,,11200,,,,
1037,許,149,1,2,,,10930,,,,
1038,誥,149,1,4,,,11022,,,,
1039,詛,149,1,2,,,10965,,,,
1040,譽,149,1,5,,,11205,,,,
1041,設,149,1,5,,,10928,,,,
1042,谷,150,1,2,,,11234,,,,
1043,豆,151,1,6,,,11250,,,,
1044,豈,151,1,5,,,11253,,,,
1045,豐,151,1,30,,,11261,,,,
1046,豫,152,1,3,,,11283,,,,
1047,貌,153,1,4,,,11311,,,,
1048,貴,154,1,11,,,11355,,,,
1049,責,154,1,5,,,11344,,,,
1050,貧,154,1,7,,,11338,,,,
1051,賜,154,1,9,,,11393,,,,
1052,賊,154,1,2,,,11377,,,,
1053,貳,154,1,2,,,11354,,,,
1054,贈,154,1,3,,,11429,,,,
1055,赤,155,1,10,,,11445,,,,
1056,走,156,1,3,,,11454,,,,
1057,起,156,1,13,,,11461,,,,
1058,躡,157,1,4,,,11708,,,,
1059,路,157,1,3,,,11548,,,,
1060,足,157,1,6,,,11495,,,,
1061,11614,157,1,2,,,11614,,,,
1062,踉,157,1,2,,,11564,,,,
1063,身,158,1,8,,,11715,,,,
1064,載,159,1,3,,,11795,,,,
1065,輔,159,1,5,,,11801,,,,
1066,軻,159,1,2,,,11782,,,,
1067,辭,160,1,6,,,11914,,,,
1068,辱,161,1,6,,,11918,,,,
1069,通,162,1,2,,,12000,,,,
1070,途,162,1,2,,,11995,,,,
1071,迎,162,1,4,,,11947,,,,
1072,逢,162,1,2,,,12009,,,,
1073,邊,162,1,10,,,12115,,,,
1074,遠,162,1,7,,,12070,,,,
1075,迅,162,1,2,,,11937,,,,
1076,遂,162,1,18,,,12037,,,,
1077,遊,162,1,11,,,12042,,,,
1078,返,162,1,2,,,11951,,,,
1079,遣,162,1,22,,,12074,,,,
1080,還,162,1,32,,,12108,,,,
1081,遵,162,1,4,,,12091,,,,
1082,避,162,1,12,,,12103,,,,
1083,道,162,1,6,,,12051,,,,
1084,速,162,1,9,,,12003,,,,
1085,達,162,1,4,,,12052,,,,
1086,造,162,1,9,,,12004,,,,
1087,連,162,1,7,,,12010,,,,
1088,進,162,1,11,,,12022,,,,
1089,送,162,1,6,,,11983,,,,
1090,邏,162,1,3,,,12120,,,,
1091,逼,162,1,3,,,12030,,,,
1092,12223,163,1,4,,,12223,,,,
1093,郷,163,1,7,,,12205,,,,
1094,都,163,1,3,,,12188,,,,
1095,部,163,1,6,,,12176,,,,
1096,邪,163,1,2,,,12139,,,,
1097,酸,164,1,3,,,12302,,,,
1098,酢,164,1,7,,,12282,,,,
1099,配,164,1,5,,,12263,,,,
1100,重,166,1,10,,,12373,,,,
1101,野,166,1,9,,,12374,,,,
1102,針,167,1,2,,,12386,,,,
1103,鈿,167,1,9,,,12421,,,,
1104,鋪,167,1,2,,,12494,,,,
1105,釣,167,1,9,,,12388,,,,
1106,鉤,167,1,45,,,12441,,,,
1107,鈴,167,1,2,,,12418,,,,
1108,鏡,167,1,6,,,12613,,,,
1109,鋺,167,1,4,,,12497,,,,
1110,長,168,1,19,,,12698,,,,
1111,間,169,1,9,,,12724,,,,
1112,闌,169,1,4,,,12773,,,,
1113,門,169,1,8,,,12709,,,,
1114,開,169,1,5,,,12716,,,,
1115,隱,170,1,4,,,12935,,,,
1116,防,170,1,2,,,12822,,,,
1117,隈,170,1,2,,,12887,,,,
1118,降,170,1,34,,,12838,,,,
1119,陪,170,1,2,,,12859,,,,
1120,隔,170,1,2,,,12898,,,,
1121,陸,170,1,2,,,12870,,,,
1122,除,170,1,2,,,12855,,,,
1123,阿,170,1,10,,,12830,,,,
1124,陳,170,1,2,,,12864,,,,
1125,陀,170,1,3,,,12831,,,,
1126,離,172,1,5,,,13001,,,,
1127,雖,172,1,7,,,12991,,,,
1128,雉,172,1,14,,,12965,,,,
1129,雄,172,1,2,,,12961,,,,
1130,集,172,1,4,,,12963,,,,
1131,靈,173,1,28,,,13092,,,,
1132,露,173,1,4,,,13073,,,,
1133,雲,173,1,8,,,13020,,,,
1134,雨,173,1,2,,,13012,,,,
1135,非,175,1,11,,,13104,,,,
1136,響,180,1,2,,,13293,,,,
1137,順,181,1,6,,,13302,,,,
1138,頓,181,1,5,,,13316,,,,
1139,頭,181,1,3,,,13346,,,,
1140,顏,181,1,2,,,13380,,,,
1141,頗,181,1,2,,,13325,,,,
1142,顯,181,1,7,,,13416,,,,
1143,顧,181,1,2,,,13409,,,,
1144,須,181,1,7,,,13304,,,,
1145,願,181,1,2,,,13391,,,,
1146,風,182,1,13,,,13423,,,,
1147,飄,182,1,2,,,13479,,,,
1148,飛,183,1,2,,,13495,,,,
1149,飯,184,1,8,,,13527,,,,
1150,饌,184,1,2,,,13636,,,,
1151,饒,184,1,3,,,13641,,,,
1152,養,184,1,8,,,13551,,,,
1153,首,185,1,3,,,13661,,,,
1154,香,186,1,2,,,13667,,,,
1155,馬,187,1,2,,,13680,,,,
1156,馭,187,1,3,,,13681,,,,
1157,駿,187,1,2,,,13771,,,,
1158,驢,187,1,2,,,13864,,,,
1159,驅,187,2,2,1,,13839,,,,
1160,驚,187,1,3,,,13852,,,,
1161,13775,187,1,2,,,13775,,,,
1162,骨,188,1,2,,,13873,,,,
1163-1164,高,189,1,54,,,13940,,,,
1165,鬼,194,1,2,,,14061,,,,
1166,魚,195,1,13,,,14101,,,,
1167,14356,195,1,13,,,14356,,,,
1168,鰭,195,1,3,,,14279,,,,
1169,鯛,195,1,3,,,14213,,,,
1170,鳥,196,1,6,,,14361,,,,
1171,14537,196,1,7,,,14537,,,,
1172,鳴,196,1,3,,,14379,,,,
1173,14603,196,1,7,,,14603,,,,
1174,雁,172,1,2,,,12957,,,,
1175,鹽,197,1,5,,,14620,,,,
1176,鹿,198,1,16,,,14621,,,,
1177,麗,198,1,3,,,14645,,,,
1178,鼻,209,1,2,,,14809,,,,
1179,齋,210,1,8,,,14829,,,,
1180-1181,々,部外,1,98,,,00066,,,,
1182,來,009,2,21,18,,00282,,,,
1183,喪,030,2,5,5,,01430,,,,
1184,威,038,2,4,1,,02105,,,,
1185,屬,044,2,3,2,,02515,,,,
1186,御,060,2,8,3,,03153,,,,
1187,汚,085,2,2,1,,05979,,,,
1188,焔,086,2,1,1,,06882,,,,
1189,爾,089,2,8,1,,07043,,,,
1190,獸,094,2,2,1,,07248,,,,
1191,稻,115,2,5,3,,08256,,,,
1192,策,118,2,1,1,,08438,,,,
1193,耳,128,1,7,,,09290,,,,
1194,膂,130,2,2,1,,09522,,,,
1195,膩,130,2,2,1,,09548,,,,
1196,薦,140,1,2,,,10160,,,,
1197,被,145,2,1,1,,10683,,,,
1198,負,154,2,1,1,,11332,,,,
1199,迺,162,2,3,2,,11977,,,,
1200,隨,170,2,6,1,,12927,,,,
1201,陵,170,2,2,1,,12867,,,,
1202,葺,140,2,4,4,,09994,,,,
1203,號,141,3,16,12,3,10276,,,,
1501,篤,118,0,,,,08522,,,,
1502,茸,140,0,,,,09835,,,,
