統合ID,文字,カード番号,字体数,用例数,部首,枚数
03402,愍,0338,1 ,9 ,061,1 
03405,愛,0339,1 ,2 ,061,1 
03462,慧,0340,1 ,2 ,061,1 
03499,憐,0341,1 ,9 ,061,1 
03550,應,0342,1 ,53 ,061,2 
03610,成,0344,1 ,2 ,062,1 
03611,我,0345,1 ,106 ,062,3 
03612,戒,0348,1 ,77 ,062,2 
03628,截,0350,1 ,10 ,062,1 
03640,戸,0351,1 ,10 ,063,1 
03646,房,0352,1 ,6 ,063,1 
03647,所,0353,1 ,18 ,063,1 
03659,手,0354,1 ,5 ,064,1 
03666,打,0355,1 ,2 ,064,1 
03780,持,0356,1 ,39 ,064,1 
03818,捉,0357,1 ,4 ,064,1 
03835,捨,0358,1 ,5 ,064,1 
03851,掃,0359,1 ,2 ,064,1 
03880,推,0360,1 ,3 ,064,1 
03896,提,0361,1 ,35 ,064,1 
03993,摘,0362,1 ,3 ,064,1 
04009,摩,0363,1 ,17 ,064,1 
04243,故,0364,1 ,50 ,066,1 
04261,教,0365,1 ,41 ,066,1 
04280,散,0366,1 ,3 ,066,1 
04298,數,0367,1 ,10 ,066,1 
04373,斯,0368,1 ,3 ,069,1 
04381,斷,0369,1 ,4 ,069,1 
04389,於,0370,1 ,4 ,070,1 
04391,施,0371,1 ,9 ,070,1 
04446,日,0372,1 ,16 ,072,1 
04489,易,0373,1 ,6 ,072,1 
04506,昨,0374,1 ,2 ,072,1 
04512,是,0375,1 ,211 ,072,5 
04523,時,0380,1 ,45 ,072,1 
04654,更,0381,1 ,5 ,073,1 
04667,會,0382,1 ,5 ,073,1 
04673,月,0383,1 ,5 ,074,1 
04674,有,0384,1 ,39 ,074,1 
04679,服,0385,1 ,5 ,074,1 
04711,未,0386,1 ,9 ,075,1 
04713,本,0387,1 ,5 ,075,1 
04806,果,0388,1 ,6 ,075,1 
04813,枯,0389,1 ,2 ,075,1 
04845,某,0390,1 ,158 ,075,4 
04922,根,0394,1 ,13 ,075,1 
04993,梨,0395,1 ,10 ,075,1 
05014,棄,0396,1 ,2 ,075,1 
05152,業,0397,1 ,2 ,075,1 
05161,極,0398,1 ,3 ,075,1 
05279,樂,0399,1 ,2 ,075,1 
05323,樹,0400,1 ,2 ,075,1 
05558,次,0401,1 ,9 ,076,1 
05580,欲,0402,1 ,59 ,076,2 
05612,歎,0404,1 ,8 ,076,1 
05641,止,0405,1 ,2 ,077,1 
05644,此,0406,1 ,18 ,077,1 
05666,歳,0407,1 ,28 ,077,1 
05686,死,0408,1 ,8 ,078,1 
05737,殘,0409,1 ,2 ,078,1 
05796,殺,0410,1 ,7 ,079,1 
05834,母,0411,1 ,6 ,080,1 
05841,比,0412,1 ,177 ,081,4 
05845,毘,0416,1 ,4 ,081,1 
05850,毛,0417,1 ,2 ,082,1 
05952,水,0418,1 ,3 ,085,1 
05964,求,0419,1 ,3 ,085,1 
05983,汝,0420,1 ,94 ,085,2 
06031,沙,0422,1 ,18 ,085,1 
06045,河,0423,1 ,2 ,085,1 
06052,油,0424,1 ,2 ,085,1 
06058,況,0425,1 ,2 ,085,1 
06074,法,0426,1 ,66 ,085,2 
06086,波,0428,1 ,35 ,085,1 
06120,洗,0429,1 ,4 ,085,1 
06144,06144,0430,1 ,3 ,085,1 
06179,浴,0431,1 ,8 ,085,1 
06192,消,0432,1 ,2 ,085,1 
06272,淨,0433,1 ,14 ,085,1 
06290,清,0434,1 ,12 ,085,1 
06381,湯,0435,1 ,6 ,085,1 
06432,滅,0436,1 ,13 ,085,1 
06476,滿,0437,1 ,5 ,085,1 
06487,漏,0438,1 ,4 ,085,1 
06499,漢,0439,1 ,3 ,085,1 
06517,漸,0440,1 ,2 ,085,1 
06641,濟,0441,1 ,3 ,085,1 
06885,然,0442,1 ,13 ,086,1 
06895,煮,0443,1 ,8 ,086,1 
06957,熱,0444,1 ,8 ,086,1 
06978,燒,0445,1 ,8 ,086,1 
07032,爲,0446,1 ,23 ,087,1 
07035,父,0447,1 ,5 ,088,1 
07043,爾,0448,1 ,13 ,089,1 
07080,物,0449,1 ,2 ,093,1 
07112,犯,0450,1 ,15 ,094,1 
07125,狂,0451,1 ,2 ,094,1 
07230,獨,0452,1 ,2 ,094,1 
07262,王,0453,1 ,9 ,096,1 
07461,生,0454,1 ,8 ,100,1 
07464,産,0455,1 ,2 ,100,1 
07469,用,0456,1 ,9 ,101,1 
07480,甲,0457,1 ,158 ,102,4 
07483,男,0461,1 ,3 ,102,1 
07513,畜,0462,1 ,29 ,102,1 
07530,異,0463,1 ,3 ,102,1 
07535,當,0464,1 ,59 ,102,2 
07585,疽,0466,1 ,2 ,104,1 
07598,病,0467,1 ,16 ,104,1 
07685,癡,0468,1 ,3 ,104,1 
07690,癩,0469,1 ,2 ,104,1 
07696,癰,0470,1 ,2 ,104,1 
07709,白,0471,1 ,10 ,106,1 
07717,皆,0472,1 ,5 ,106,1 
07758,盈,0473,1 ,6 ,108,1 
07779,盡,0474,1 ,20 ,108,1 
07801,相,0475,1 ,4 ,109,1 
07844,衆,0476,1 ,18 ,109,1 
