カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0114,望,0 ,,,,,04693,074,1 
0115,木,0 ,,,,,04707,075,1 
0116,04733,0 ,,,,,04733,075,1 
0117,村,0 ,,,,,04739,075,1 
0118,04775,0 ,,,,,04775,075,1 
0119,柱,0 ,,,,,04871,075,1 
0120,株,0 ,,,,,04908,075,1 
0121,械,0 ,,,,,05001,075,1 
0122,植,0 ,,,,,05080,075,1 
0123,楚,0 ,,,,,05134,075,1 
0124,楯,0 ,,,,,05154,075,1 
0125,榜,0 ,,,,,05191,075,1 
0126,榻,0 ,,,,,05220,075,1 
0127,槃,0 ,,,,,05228,075,1 
0128,横,0 ,,,,,05381,075,1 
0129,欄,0 ,,,,,05519,075,1 
0130,歩,0 ,,,,,05645,077,1 
0131,歿,0 ,,,,,05692,078,1 
0132,殖,0 ,,,,,05734,078,1 
0133,殘,0 ,,,,,05737,078,1 
0134,氣,0 ,,,,,05947,084,1 
0135,永,0 ,,,,,05957,085,1 
0136,沮,0 ,,,,,06041,085,1 
0137,油,0 ,,,,,06052,085,1 
0138,沼,0 ,,,,,06053,085,1 
0139,泉,0 ,,,,,06063,085,1 
0140,泣,0 ,,,,,06087,085,1 
0141,注,0 ,,,,,06091,085,1 
0142,津,0 ,,,,,06128,085,1 
0143,涸,0 ,,,,,06227,085,1 
0144,湯,0 ,,,,,06381,085,1 
0145,溝,0 ,,,,,06404,085,1 
0146,漂,0 ,,,,,06480,085,1 
0147,漸,0 ,,,,,06517,085,1 
0148,潔,0 ,,,,,06532,085,1 
0149,潤,0 ,,,,,06553,085,1 
0150,火,0 ,,,,,06776,086,1 
0151,炙,0 ,,,,,06805,086,1 
0152,焔,0 ,,,,,06882,086,1 
0153,煙,0 ,,,,,06901,086,1 
0154,營,0 ,,,,,06984,086,1 
0155,牛,0 ,,,,,07072,093,1 
0156,犬,0 ,,,,,07110,094,1 
0157,獨,0 ,,,,,07230,094,1 
0158,獸,0 ,,,,,07248,094,1 
0159,玉,0 ,,,,,07261,096,1 
0160,瓦,0 ,,,,,07415,098,1 
0161,疏,0 ,,,,,07557,103,1 
0162,疫,0 ,,,,,07578,104,1 
0163,疲,0 ,,,,,07580,104,1 
0164,登,0 ,,,,,07706,105,1 
0165,皴,0 ,,,,,07744,107,1 
0166,盈,0 ,,,,,07758,108,1 
0167,盲,0 ,,,,,07796,109,1 
0168,直,0 ,,,,,07799,109,1 
0169,瞑,0 ,,,,,07882,109,1 
0170,瞽,0 ,,,,,07909,109,1 
0171,瞿,0 ,,,,,07910,109,1 
0172,祐,0 ,,,,,08112,113,1 
0173,祚,0 ,,,,,08119,113,1 
0174,禁,0 ,,,,,08143,113,1 
0175,禍,0 ,,,,,08146,113,1 
0176,禪,0 ,,,,,08162,113,1 
0177,私,0 ,,,,,08180,115,1 
0178,稠,0 ,,,,,08239,115,1 
0179,稽,0 ,,,,,08258,115,1 
0180,積,0 ,,,,,08269,115,1 
0181,穢,0 ,,,,,08279,115,1 
0182,競,0 ,,,,,08380,117,1 
0183,笞,0 ,,,,,08402,118,1 
0184,米,0 ,,,,,08635,119,1 
0185,粉,0 ,,,,,08648,119,1 
0186,粳,0 ,,,,,08678,119,1 
0187,紺,0 ,,,,,08788,120,1 
0188,綺,0 ,,,,,08894,120,1 
0189,縱,0 ,,,,,08982,120,1 
0190,繁,0 ,,,,,08997,120,1 
0191,續,0 ,,,,,09061,120,1 
0192,罷,0 ,,,,,09133,122,1 
0193,羂,0 ,,,,,09142,122,1 
0194,羊,0 ,,,,,09150,123,1 
0195,聰,0 ,,,,,09326,128,1 
0196,肝,0 ,,,,,09362,130,1 
0197,肺,0 ,,,,,09384,130,1 
0198,背,0 ,,,,,09394,130,1 
0199,胎,0 ,,,,,09395,130,1 
0200,胸,0 ,,,,,09425,130,1 
0201,脇,0 ,,,,,09436,130,1 
0202,脣,0 ,,,,,09459,130,1 
0203,腎,0 ,,,,,09485,130,1 
0204,腹,0 ,,,,,09516,130,1 
