統合ID,文字,S2423,字体数,用例数,部首
06058b,況,0970b,2,1,085
06872,無,0971a,2,121,086
06872b,無,0971b,2,1,086
08165,禮,0974a,2,2,113
08165b,禮,0974b,2,1,113
08396,笑,0975a,2,1,118
08396b,笑,0975b,2,1,118
09177,義,0976a,2,16,123
09177b,義,0976b,2,1,123
09328,聲,0977a,2,7,128
09328b,聲,0977b,2,1,128
10928,設,0978a,2,4,149
10928b,設,0978b,2,2,149
11826,輩,0979a,2,1,159
11826b,輩,0979b,2,1,159
