統合ID,文字,S2423,字体数,用例数,部首
00597,六,0405,1,2,012
00599,共,0406,1,10,012
00605,其,0407,1,20,012
00606,具,0408,1,12,012
00701,凡,0409,1,3,016
00718,凶,0410,1,2,017
00723,出,0411,1,24,017
00734,分,0412,1,10,018
00735,切,0413,1,48,018
00759,初,0414,1,4,018
00763,別,0415,1,2,018
00767,利,0416,1,14,018
00769,到,0417,1,4,018
00781,刹,0418,1,2,018
00789,則,0419,1,7,018
00794,前,0420,1,6,018
00803,剛,0421,1,2,018
00856,力,0422,1,20,019
00857,功,0423,1,13,019
00863,助,0424,1,3,019
00865,劫,0425,1,9,019
00887,動,0426,1,3,019
00890,務,0427,1,2,019
00893,勝,0428,1,14,019
00898,勢,0429,1,6,019
00913,勸,0430,1,4,019
00919,勿,0431,1,3,020
00938,化,0432,1,11,021
00985,十,0433,1,8,024
00987,千,0434,1,4,024
00991,升,0435,1,2,024
00994,半,0436,1,2,024
01022,占,0437,1,3,025
01049,卽,0438,1,14,026
01058,厄,0439,1,4,027
01101,去,0440,1,5,028
01108,又,0441,1,2,029
01111,及,0442,1,39,029
01127,取,0443,1,11,029
01128,受,0444,1,30,029
01141,口,0445,1,2,030
01154,可,0446,1,11,030
01168,各,0447,1,12,030
01170,合,0448,1,4,030
01172,吉,0449,1,2,030
01174,同,0450,1,9,030
01175,名,0451,1,21,030
01179,向,0452,1,2,030
01217,吾,0453,1,3,030
01219,告,0454,1,12,030
01235,周,0455,1,2,030
01236,呪,0456,1,2,030
01252,命,0457,1,11,030
01288,咸,0458,1,6,030
01295,哀,0459,1,2,030
01305,哉,0460,1,6,030
01323,哭,0461,1,2,030
01349,唯,0462,1,6,030
01369,問,0463,1,3,030
01387,啼,0464,1,2,030
01395,善,0465,1,86,030
01421,喩,0467,1,2,030
01503,噉,0468,1,4,030
01574,嚮,0469,1,2,030
01581,嚴,0470,1,6,030
01607,四,0471,1,14,031
01611,因,0472,1,2,031
01623,困,0473,1,3,031
01639,國,0474,1,9,031
01641,圍,0475,1,3,031
01654,土,0476,1,2,032
01659,在,0477,1,25,032
01666,地,0478,1,23,032
01682,坐,0479,1,8,032
01740,城,0480,1,6,032
01755,執,0481,1,10,032
01796,報,0482,1,4,032
01816,塔,0483,1,6,032
01839,境,0484,1,2,032
01863,墮,0485,1,17,032
01873,壁,0486,1,2,032
01895,壞,0487,1,3,032
01903,士,0488,1,2,033
01934,外,0489,1,4,036
01938,多,0490,1,32,036
01939,夜,0491,1,3,036
01943,夢,0492,1,3,036
01946,大,0493,1,49,037
01947,天,0494,1,12,037
01948,太,0495,1,2,037
01957,失,0496,1,4,037
01973,奈,0497,1,4,037
02022,女,0498,1,2,038
02024,奴,0499,1,3,038
02029,好,0500,1,5,038
02031,如,0501,1,130,038
02033,妄,0504,1,3,038
02045,妙,0505,1,6,038
02069,始,0506,1,2,038
02089,姤,0507,1,3,038
02105,威,0508,1,3,038
02142,婆,0509,1,3,038
02151,婢,0510,1,3,038
02201,嫉,0511,1,2,038
02203,嫌,0512,1,2,038
02262,子,0513,1,88,039
02277,孤,0515,1,7,039
02309,安,0516,1,3,040
02325,定,0517,1,7,040
02327,宜,0518,1,2,040
02331,客,0519,1,3,040
02349,家,0520,1,12,040
02357,寂,0521,1,3,040
02361,密,0522,1,4,040
02366,富,0523,1,2,040
02390,實,0524,1,15,040
02392,寧,0525,1,2,040
02323,官,0526,1,6,040
02407,寶,0527,1,14,040
02415,寺,0528,1,12,041
08077,礙,0529a,2,2,112
08077b,礙,0529b,2,1,112
02422,射,0530,1,2,041
02425,將,0531,1,3,041
02426,專,0532,1,4,041
