カード番号,文字,用例数1,用例数2,字体数,大字典番号,部首番号,,
0413,切,48,,1,00735,018,,
0414,初,4,,1,00759,018,,
0415,別,2,,1,00763,018,,
0416,利,14,,1,00767,018,,
0417,到,4,,1,00769,018,,
0418,刹,2,,1,00781,018,,
0419,則,7,,1,00789,018,,
0420,前,6,,1,00794,018,,
0421,剛,2,,1,00803,018,,
0422,力,20,,1,00856,019,,
0423,功,13,,1,00857,019,,
0424,助,3,,1,00863,019,,
0425,劫,9,,1,00865,019,,
0426,動,3,,1,00887,019,,
0427,務,2,,1,00890,019,,
0428,勝,14,,1,00893,019,,
0429,勢,6,,1,00898,019,,
0430,勸,4,,1,00913,019,,
0431,勿,3,,1,00919,020,,
0432,化,11,,1,00938,021,,
0433,十,8,,1,00985,024,,
0434,千,4,,1,00987,024,,
0435,升,2,,1,00991,024,,
0436,半,2,,1,00994,024,,
0437,占,3,,1,01022,025,,
0438,即,14,,1,01049,026,,
0439,厄,4,,1,01058,027,,
0440,去,5,,1,01101,028,,
0441,又,2,,1,01108,029,,
0442,及,39,,1,01111,029,,
0443,取,11,,1,01127,029,,
0444,受,30,,1,01128,029,,
0445,口,2,,1,01141,030,,
0446,可,11,,1,01154,030,,
0447,各,12,,1,01168,030,,
0448,合,4,,1,01170,030,,
0449,吉,2,,1,01172,030,,
0450,同,9,,1,01174,030,,
0451,名,21,,1,01175,030,,
0452,向,2,,1,01179,030,,
0453,吾,3,,1,01217,030,,
0454,告,12,,1,01219,030,,
0455,周,2,,1,01235,030,,
0456,呪,2,,1,01236,030,,
0457,命,11,,1,01252,030,,
0458,咸,6,,1,01288,030,,
0459,哀,2,,1,01295,030,,
0460,哉,6,,1,01305,030,,
0461,哭,2,,1,01323,030,,
0462,唯,6,,1,01349,030,,
0463,問,3,,1,01369,030,,
0464,啼,2,,1,01387,030,,
0465-0466,善,86,,1,01395,030,,
0467,喩,2,,1,01421,030,,
0468,01503,4,,1,01503,030,,
0469,嚮,2,,1,01574,030,,
0470,嚴,6,,1,01581,030,,
0471,四,14,,1,01607,031,,
0472,因,2,,1,01611,031,,
0473,困,3,,1,01623,031,,
0474,國,9,,1,01639,031,,
0475,圍,3,,1,01641,031,,
0476,土,2,,1,01654,032,,
0477,在,25,,1,01659,032,,
0478,地,23,,1,01666,032,,
0479,坐,8,,1,01682,032,,
0480,城,6,,1,01740,032,,
0481,執,10,,1,01755,032,,
0482,報,4,,1,01796,032,,
0483,塔,6,,1,01816,032,,
0484,境,2,,1,01839,032,,
0485,墮,17,,1,01863,032,,
0486,壁,2,,1,01873,032,,
0487,壞,3,,1,01895,032,,
0488,士,2,,1,01903,033,,
