カード番号,文字,用例数1,用例数2,字体数,大字典番号,部首番号,,
0839,蟻,2,,1,10558,142,,
0840,行,45,,1,10614,144,,
0841,衣,6,,1,10637,145,,
0842,被,5,,1,10683,145,,
0843,要,2,,1,10822,146,,
0844,覆,2,,1,10826,146,,
0845-0846,見,74,,1,10831,147,,
0847,覓,2,,1,10834,147,,
0848,親,2,,1,10848,147,,
0849,覺,6,2,2,10856,147,,
0850,觀,17,2,2,10859,147,,
0851,解,22,,1,10875,148,,
0852,言,23,,1,10890,149,,
0853,訶,2,,1,10936,149,,
0854,詳,2,,1,10984,149,,
0855,誑,2,,1,11006,149,,
0856,語,6,,1,11017,149,,
0857,誦,2,,1,11023,149,,
0858-0859,説,56,,1,11025,149,,
0860,誹,2,,1,11035,149,,
0861,調,8,,1,11038,149,,
0862,諂,3,,1,11041,149,,
0863,請,2,,1,11049,149,,
0864,論,4,,1,11058,149,,
0865,諦,2,,1,11072,149,,
0866-0867,諸,69,,1,11085,149,,
0868,謗,3,,1,11116,149,,
0869,證,3,,1,11155,149,,
0870,譏,3,,1,11162,149,,
0871,識,6,,1,11171,149,,
0872,譬,7,,1,11189,149,,
0873,議,6,,1,11195,149,,
0874,護,2,,1,11200,149,,
0875,讚,14,,1,11229,149,,
0876,豈,2,,1,11253,151,,
0877,財,11,,1,11334,154,,
0878,貧,16,,1,11338,154,,
0879,販,2,,1,11340,154,,
0880,貴,2,,1,11355,154,,
0881,買,3,,1,11356,154,,
0882,貸,2,,1,11357,154,,
0883,賣,6,,1,11398,154,,
0884,賤,5,,1,11402,154,,
0885,起,13,,1,11461,156,,
0886,趣,4,,1,11485,156,,
0887,足,10,,1,11495,157,,
0888,路,4,,1,11548,157,,
0889,身,29,,1,11715,158,,
0890,輕,7,,1,11802,159,,
0891,輪,2,,1,11827,159,,
0892,轉,7,,1,11856,159,,
0893,11907,2,,1,11907,160,,
0894,辱,4,,1,11918,161,,
0895,迦,6,,1,11960,162,,
0896,迷,2,,1,11974,162,,
0897,退,2,,1,11982,162,,
0898,逐,2,,1,11993,162,,
0899,速,4,,1,12003,162,,
0900,造,15,,1,12004,162,,
0901,進,5,,1,12022,162,,
0902,03157,7,,1,03157,060,,
0903,過,11,,1,12046,162,,
0904,道,27,,1,12051,162,,
0905,達,5,,1,12052,162,,
0906,遞,3,,1,12068,162,,
0907,遠,6,,1,12070,162,,
0908,遶,2,,1,12092,162,,
0909,還,2,,1,12108,162,,
0910,邊,5,,1,12115,162,,
0911,部,3,,1,12176,163,,
0912,都,3,,1,12188,163,,
0913,12204,6,,1,12204,163,,
0914,醫,3,,1,12341,164,,
0915,重,14,,1,12373,166,,
0916,量,23,,1,12376,166,,
0917,金,6,,1,12380,167,,
0918,針,2,,1,12386,167,,
0919,鈴,2,,1,12418,167,,
0920,銀,2,,1,12451,167,,
0921,銷,2,,1,12473,167,,
0922,錯,2,,1,12528,167,,
0923,鏡,2,,1,12613,167,,
0924,長,12,,1,12698,168,,
0925,門,10,,1,12709,169,,
0926,間,10,,1,12724,169,,
0927,闍,2,,1,12774,169,,
0928,阿,6,,1,12830,170,,
0929,陀,2,,1,12831,170,,
0930,除,3,,1,12855,170,,
0931,隨,21,,1,12927,170,,
0932,難,4,,1,13002,172,,
0933,雙,2,,1,12994,172,,
0934,離,6,,1,13001,172,,
0935,集,4,,1,12963,172,,
0936,雖,2,,1,12991,172,,
0937,電,2,,1,13026,173,,
0938,非,49,,1,13104,175,,
0939,頂,3,,1,13296,181,,
0940,須,5,,1,13304,181,,
0941,頭,3,,1,13346,181,,
0942,願,2,,1,13391,181,,
0943,顛,5,,1,13395,181,,
0944,類,3,,1,13398,181,,
0945,食,29,,1,13503,184,,
0946,飢,3,,1,13508,184,,
0947,飮,9,,1,13526,184,,
0948,養,10,,1,13551,184,,
0949,餓,5,,1,13559,184,,
0950,餘,7,,1,13565,184,,
0951,驅,5,,1,13839,187,,
0952,體,3,,1,13934,188,,
0953,高,4,,1,13940,189,,
0954,鬼,5,,1,14061,194,,
0955,魔,2,,1,14088,194,,
0956,鼻,2,,1,14809,209,,
0957,龍,2,,1,14876,212,,
0958-0959,世,34,29,2,00025,001,,
0960,亂,2,1,2,00121,005,,
0961,儀,4,1,2,00516,009,,
0962,學,2,2,2,02293,039,,
0963,尼,8,1,2,02473,044,,
0964-0965,復,63,1,2,03159,060,,
0966,懺,4,1,2,03587,061,,
0967,救,6,1,2,04263,066,,
0968,教,7,7,2,04261,066,,
0969,斷,3,1,2,04381,069,,
0970,況,7,1,2,06058,085,,
0971-0973,無,121,1,2,06872,086,,
0974,禮,2,1,2,08165,113,,
0975,笑,1,1,2,08396,118,,
0976,義,16,1,2,09177,123,,
0977,聲,7,1,2,09328,128,,
0978,設,4,2,2,10928,149,,
0979,輩,1,1,2,11826,159,,
