カード番号,文字,字体数,用例数1,用例数2,用例数3,部首番号,大字典番号
0303,土,1,7,,,032,01654
0304,在,1,8,,,032,01659
0305,地,1,5,,,032,01666
0306,坐,1,7,,,032,01682
0307,垂,1,2,,,032,01710
0308,城,1,2,,,032,01740
0309,場,1,3,,,032,01798
0310,塔,1,8,,,032,01816
0311,塗,1,3,,,032,01818
0312,壽,1,2,,,033,01913
0313,多,1,15,,,036,01938
0314,夜,1,7,,,036,01939
0315,大,1,33,,,037,01946
0316,天,1,22,,,037,01947
0317,夫,1,2,,,037,01949
0318,奉,1,2,,,037,01974
0319,女,1,5,,,038,02022
0320-0321,如,1,87,,,038,02031
0322,妙,1,3,,,038,02045
0323,妻,1,2,,,038,02061
0324,娑,1,7,,,038,02110
0325,婆,1,17,,,038,02142
0326,子,1,18,,,039,02262
0327,孔,1,2,,,039,02264
0328,學,1,3,,,039,02293
0329,守,1,2,,,040,02308
0330,安,1,3,,,040,02309
0331,定,1,2,,,040,02325
0332,宣,1,4,,,040,02333
0333,寶,1,34,,,040,02407
0334,實,1,2,,,040,02390
0335,尊,1,17,,,041,02429
0336,小,1,2,,,042,02439
0337,少,1,2,,,042,02440
0338,尼,1,14,,,044,02473
0339,山,1,9,,,046,02528
0340,岸,1,3,,,046,02564
0341,已,1,23,,,049,02783
0342,布,1,5,,,050,02800
0343,師,1,8,,,050,02835
0344,帳,1,2,,,050,02843
0345,常,1,2,,,050,02847
0346,幡,1,5,,,050,02881
0347,干,1,2,,,051,02897
0348,并,1,3,,,051,02902
0349,度,1,9,,,053,02944
0350,座,1,7,,,053,02946
0351,廣,1,7,,,053,02993
0352,弟,1,2,,,057,03052
0353,彌,1,2,,,057,03084
0354,彈,1,2,,,057,03079
0355,彼,1,4,,,060,03124
0356,往,1,3,,,060,03128
0357,後,1,16,,,060,03138
0358,得,1,45,,,060,03145
0359,従,1,4,,,060,03151
0360,復,1,25,,,060,03159
0361,徳,1,23,,,060,03172
0362,心,1,12,,,061,03179
0363,必,1,2,,,061,03180
0364,忍,1,2,,,061,03184
0365,念,1,6,,,061,03214
0366,思,1,3,,,061,03239
0367,恆,1,4,,,061,03267
0368,恭,1,3,,,061,03297
0369,悉,1,3,,,061,03312
0370,悋,1,2,,,061,03315
0371,悲,1,3,,,061,03335
0372,惱,1,6,,,061,03372
0373,慧,1,9,,,061,03462
0374,慮,1,2,,,061,03466
0375,慳,1,2,,,061,03471
0377,應,1,9,,,061,03550
0378,成,1,4,,,062,03610
0379,我,1,28,,,062,03611
0380,手,1,2,,,064,03659
0381,持,1,16,,,064,03780
0382,指,1,5,,,064,03783
0383,捨,1,3,,,064,03835
0384,掌,1,4,,,064,03858
0385,提,1,8,,,064,03896
0386,摩,1,16,,,064,04009
0387,支,1,4,,,065,04216
0388,故,1,16,,,066,04243
0389,救,1,2,,,066,04263
0390,散,1,4,,,066,04280
0391,敬,1,3,,,066,04286
0392,數,1,4,,,066,04298
0393,放,1,3,,,066,04233
0394,斯,1,4,,,069,04373
0395,方,1,10,,,070,04385
0396-0397,於,1,58,,,070,04389
0398,施,1,6,,,070,04391
0399,日,1,12,,,072,04446
0400,明,1,14,,,072,04485
0401,昧,1,7,,,072,04505
0402-0403,是,1,90,,,072,04512
0404,時,1,29,,,072,04523
0405,智,1,9,,,072,04569
0406,暗,1,2,,,072,04591
0407,書,1,6,,,073,04657
0408,曼,1,3,,,073,04660
0409,曾,1,3,,,073,04661
0410,最,1,11,,,073,04664
0411,月,1,11,,,074,04673
0412,有,1,33,,,074,04674
