統合ID,文字,P2195,字体数,用例数,部首
12913,際,0191,0,1,170
12914,障,0192,0,1,170
12963,集,0193,0,1,172
13108,面,0194,0,1,176
13281,音,0195,0,1,180
13359,頻,0196,0,1,181
13416,顯,0197,0,1,181
13423,風,0198,0,1,182
13526,飮,0199,0,1,184
13559,餓,0200,0,1,184
13641,饒,0201,0,1,184
13845,驕,0202,0,1,187
14061,鬼,0203,0,1,194
14366,鳩,0204,0,1,196
14775,鼓,0205,0,1,207
00001,一,0206,1,73,001
00004,七,0208,1,8,001
00007,三,0209,1,28,001
00008,上,0210,1,16,001
00009,下,0211,1,7,001
00013,不,0212,1,27,001
00025,世,0213,1,40,001
00026,丘,0214,1,2,001
00051,中,0215,1,42,002
00070,主,0216,1,2,003
00078,乃,0217,1,6,004
00085,久,0218,1,2,004
00088,之,0219,1,41,004
00109,也,0220,1,2,005
00102,乘,0221,1,2,004
00118,乾,0222,1,3,005
00128,事,0223,1,8,006
00129,二,0224,1,8,007
00132,于,0225,1,3,007
00133,云,0226,1,2,007
00135,五,0227,1,2,007
00154,亦,0228,1,31,008
00168,人,0229,1,35,009
00175,今,0230,1,15,009
00183,他,0231,1,6,009
00185,付,0232,1,4,009
00193,令,0233,1,13,009
00194,以,0234,1,36,009
00236,伽,0235,1,3,009
00245,住,0236,1,6,009
00250,何,0237,1,6,009
00255,佛,0238,1,94,009
00256,作,0240,1,16,009
00279,使,0241,1,4,009
00282,來,0242,1,27,009
00299,供,0243,1,29,009
00321,便,0244,1,2,009
00345,信,0245,1,2,009
00350,倶,0246,1,3,009
00406,偈,0247,1,6,009
00503,僧,0248,1,7,009
00520,億,0249,1,15,009
00542,優,0250,1,2,009
00567,光,0251,1,6,010
00582,入,0252,1,2,011
00591,兩,0253,1,2,011
00594,八,0254,1,7,012
00597,六,0255,1,4,012
00599,共,0256,1,6,012
00605,其,0257,1,20,012
00606,具,0258,1,4,012
00608,典,0259,1,3,012
00723,出,0260,1,5,017
00734,分,0261,1,6,018
00735,切,0262,1,50,018
00767,利,0263,1,11,018
00769,到,0264,1,2,018
00789,則,0265,1,3,018
00794,前,0266,1,4,018
00856,力,0267,1,16,019
00857,功,0268,1,11,019
00865,劫,0269,1,6,019
00879,勅,0270,1,4,019
00887,動,0271,1,3,019
00938,化,0272,1,3,021
00985,十,0273,1,16,024
00987,千,0274,1,34,024
01010,南,0275,1,2,024
01040,卷,0276,1,2,026
01049,卽,0277,1,12,026
01101,去,0278,1,3,028
01108,又,0279,1,14,029
