カード番号,文字,部首番号,字体数,用例数１,用例数２,用例数３,大字典番号
0450,願,181,1,16,,,13391
0451,風,182,1,13,,,13423
0452,飾,184,2,16,1,,13542
0453,香,186,1,44,,,13667
0454,體,188,1,27,,,13934
0455,麗,198,1,2,,,14645
0456,齊,210,1,2,,,14828
0457,充,010,2,7,2,,00562
0458,壞,032,2,4,1,,01895
0459,坦,032,2,2,1,,01690
0460,差,048,2,3,1,,02780
0461,廻,054,2,3,2,,03008
0462,悉,061,2,30,1,,03312
0463,敷,066,2,3,1,,04296
0464,數,066,2,57,7,,04298
0466,旃,070,2,3,2,,04398
0467,映,072,3,1,1,1,04500
0468,無,086,2,48,1,,06872
0469,競,117,2,2,1,,08380
0470,脩,130,2,6,2,,09462
0471,莊,140,2,60,4,,09869
0473,覆,146,2,10,1,,10826
0474,觀,147,1,10,,,10859
0475,遮,162,2,5,1,,12083
0476,邊,162,2,11,1,,12115
0477,睹,109,0,,,,07870
