カード番号,文字,部首,字体数,用例数1,用例数2,大字典,,,,,
0244,喜,030,1,10,,01412,,,,,
0245,善,030,1,7,,01395,,,,,
0246,名,030,1,27,,01175,,,,,
0247,黙,203,1,4,,14720,,,,,
0248,吿,030,1,7,,01219,,,,,
0249,同,030,1,7,,01174,,,,,
0250,嚴,030,1,6,,01581,,,,,
0251,四,031,1,12,,01607,,,,,
0252,圍,031,1,6,,01641,,,,,
0253,因,031,1,12,,01611,,,,,
0254,國,031,1,15,,01639,,,,,
0255,城,032,1,13,,01740,,,,,
0256,墮,032,1,2,,01863,,,,,
0257,垂,032,1,7,,01710,,,,,
0258,在,032,1,15,,01659,,,,,
0259,場,032,1,7,,01798,,,,,
0260,坐,032,1,13,,01682,,,,,
0261,地,032,1,4,,01666,,,,,
0262,塵,032,2,3,,01831,,,,,
0262,塵,032,2,2,,01831,,,,,
0263,土,032,1,13,,01654,,,,,
0264,增,032,1,3,,01853,,,,,
0265,多,036,1,23,,01938,,,,,
0266,天,037,1,71,,01947,,,,,
0268,失,037,1,2,,01957,,,,,
0269,奉,037,1,8,,01974,,,,,
0270-0271,大,037,1,61,,01946,,,,,
0272,如,038,1,45,,02031,,,,,
0273,妙,038,1,8,,02045,,,,,
0274,婆,038,1,7,,02142,,,,,
0275,好,038,1,2,,02029,,,,,
0276,子,039,1,25,,02262,,,,,
0277,實,040,1,6,,02390,,,,,
0278,寶,040,1,7,,02407,,,,,
0279,宣,040,1,5,,02333,,,,,
0280,宜,040,1,2,,02327,,,,,
0281,寂,040,1,3,,02357,,,,,
0282,宿,040,1,3,,02355,,,,,
0283,定,040,1,7,,02325,,,,,
0284,安,040,1,12,,02309,,,,,
0285,家,040,1,5,,02349,,,,,
0286,宮,040,1,31,,02342,,,,,
0287,室,040,1,3,,02332,,,,,
0288,尋,041,1,7,,02430,,,,,
0289,將,041,1,3,,02425,,,,,
0290,導,041,1,14,,02436,,,,,
0291,尊,041,1,38,,02429,,,,,
0292,小,042,1,8,,02439,,,,,
0293,少,042,1,3,,02440,,,,,
0294,展,044,1,2,,02496,,,,,
0295,屬,044,1,2,,02515,,,,,
0296,山,046,1,4,,02528,,,,,
0297,匝,022,1,5,,00951,,,,,
0298,常,050,1,14,,02847,,,,,
0299,師,050,1,24,,02835,,,,,
0300,希,050,1,7,,02806,,,,,
0301,并,051,1,6,,02902,,,,,
0302,座,053,1,10,,02946,,,,,
0303,廣,053,1,4,,02993,,,,,
0304,度,053,1,32,,02944,,,,,
0305,彌,057,1,20,,03084,,,,,
0306,弟,057,1,3,,03052,,,,,
0307,引,057,1,2,,03044,,,,,
0308,復,060,1,13,,03159,,,,,
0309,彼,060,1,22,,03124,,,,,
0310,後,060,1,6,,03138,,,,,
0311,微,060,1,3,,03165,,,,,
0312,德,060,1,10,,03172,,,,,
0313,從,060,1,10,,03151,,,,,
0314,得,060,1,47,,03145,,,,,
0315,往,060,1,2,,03128,,,,,
0316,心,061,1,26,,03179,,,,,
0317,志,061,1,2,,03194,,,,,
0318,惱,061,1,10,,03372,,,,,
0319,愍,061,1,15,,03402,,,,,
0320,慧,061,1,18,,03462,,,,,
0321,懷,061,1,2,,03585,,,,,
0322,懼,061,1,2,,03589,,,,,
0323,慶,061,1,3,,03474,,,,,
0324,悲,061,1,5,,03335,,,,,
0325,恆,061,1,8,,03267,,,,,
0326,愛,061,1,4,,03405,,,,,
0327,念,061,1,8,,03214,,,,,
0328,憂,061,1,2,,03486,,,,,
0329,悉,061,1,4,,03312,,,,,
0330,惡,061,1,10,,03367,,,,,
0331,慈,061,1,3,,03439,,,,,
0332,想,061,1,6,,03373,,,,,
0333,快,061,1,2,,03208,,,,,
0334,怖,061,1,5,,03233,,,,,
0335,恭,061,1,5,,03297,,,,,
0336,息,061,1,10,,03298,,,,,
0337,應,061,1,4,,03550,,,,,
0338,惓,061,1,2,,03356,,,,,
0339,懈,061,1,2,,03549,,,,,
0340,威,038,1,5,,02105,,,,,
0341,成,062,1,14,,03610,,,,,
0342,我,062,1,45,,03611,,,,,
0343,咸,030,1,5,,01288,,,,,
0344-0345,所,063,1,60,,03647,,,,,
0346,捨,064,1,3,,03835,,,,,
0347,持,064,1,3,,03780,,,,,
0348,推,064,1,5,,03880,,,,,
0349,摩,064,1,5,,04009,,,,,
0350,提,064,1,24,,03896,,,,,
0351,擊,064,1,4,,04087,,,,,
0352,故,066,1,18,,04243,,,,,
0353,敬,066,1,6,,04286,,,,,
0354,敷,066,1,2,,04296,,,,,
0355,教,066,1,5,,04261,,,,,
0356,數,066,1,10,,04298,,,,,
0357,救,066,1,4,,04263,,,,,
0358,散,066,1,11,,04280,,,,,
0359,新,069,1,2,,04376,,,,,
0360,斯,069,1,3,,04373,,,,,
0361,方,070,1,38,,04385,,,,,
0362-0363,於,070,1,56,,04389,,,,,
0364,無,086,1,49,,06872,,,,,
0365,旣,071,1,5,,04442,,,,,
0366,日,072,1,2,,04446,,,,,
0367,瞑,109,1,5,,07882,,,,,
0368,旬,072,1,6,,04453,,,,,
0369,昔,072,1,10,,04490,,,,,
0370-0371,是,072,1,82,,04512,,,,,
0372,智,072,1,31,,04569,,,,,
0373,明,072,1,21,,04485,,,,,
0374,普,072,1,6,,04557,,,,,
0375-0376,時,072,1,58,,04523,,,,,
0377,曠,072,1,2,,04640,,,,,
0378,曜,072,1,8,,04636,,,,,
0379,曰,073,1,10,,04650,,,,,
0380,更,073,1,4,,04654,,,,,
0381,曾,073,1,12,,04661,,,,,
0382,最,073,1,2,,04664,,,,,
0383,有,074,1,49,,04674,,,,,
0384,極,075,1,3,,05161,,,,,
0385,根,075,1,2,,04922,,,,,
0386,梵,075,1,44,,05010,,,,,
0387,未,075,1,23,,04711,,,,,
0388,本,075,1,2,,04713,,,,,
0389,業,075,1,2,,05152,,,,,
0390,樹,075,1,10,,05323,,,,,
0391,東,075,1,6,,04765,,,,,
0392,樂,075,1,9,,05279,,,,,
0393,槃,075,1,11,,05228,,,,,
0394,歎,076,1,4,,05612,,,,,
0395,歡,076,1,8,,05639,,,,,
0396,欲,076,1,15,,05580,,,,,
0397,止,077,1,6,,05641,,,,,
0398,正,077,1,2,,05643,,,,,
0399,此,077,1,37,,05644,,,,,
0400,歸,077,1,3,,05676,,,,,
0401,死,078,1,6,,05686,,,,,
0402,殿,079,1,30,,05809,,,,,
0403,比,081,1,14,,05841,,,,,
0404,民,083,1,2,,05935,,,,,
0405-0406,法,085,1,71,,06074,,,,,
0407,滿,085,1,6,,06476,,,,,
0408,求,085,1,8,,05964,,,,,
0409,河,085,1,7,,06045,,,,,
0410,波,085,1,2,,06086,,,,,
0411,漏,085,1,5,,06487,,,,,
0412,汝,085,1,20,,05983,,,,,
0413,沙,085,1,23,,06031,,,,,
0414,漢,085,1,3,,06499,,,,,
0415,漸,085,1,2,,06517,,,,,
0416,淨,085,1,4,,06272,,,,,
0417,深,085,1,8,,06285,,,,,
0418,演,085,1,4,,06490,,,,,
0419,永,085,1,2,,05957,,,,,
0420,滅,085,1,43,,06432,,,,,
0421,減,085,1,5,,06313,,,,,
0422,煩,086,1,3,,06921,,,,,
0423,然,086,1,7,,06885,,,,,
0424,點,203,1,3,,14725,,,,,
0425,照,086,1,6,,06918,,,,,
0426,爲,087,1,49,,07032,,,,,
0427,父,088,1,2,,07035,,,,,
0428,爾,089,1,29,,07043,,,,,
0429,獻,094,1,4,,07250,,,,,
0430,猶,094,1,2,,07203,,,,,
0431-0432,王,096,1,51,,07262,,,,,
0433,現,096,1,10,,07304,,,,,
0434,珍,096,1,5,,07287,,,,,
0435,甘,099,1,3,,07456,,,,,
0436,甚,099,1,12,,07457,,,,,
0437-0438,生,100,1,60,,07461,,,,,
0439,當,102,1,17,,07535,,,,,
0440,由,102,1,11,,07479,,,,,
0441,異,102,1,2,,07530,,,,,
0442,界,102,1,5,,07501,,,,,
0443,畏,102,1,4,,07503,,,,,
0444,疲,104,1,5,,07580,,,,,
0445,癈,104,1,2,,07674,,,,,
0446,發,105,1,2,,07707,,,,,
0447,皆,106,1,32,,07717,,,,,
0448,白,106,1,4,,07709,,,,,
0449,百,106,1,36,,07710,,,,,
0450,益,108,1,8,,07759,,,,,
0451,盛,108,1,5,,07770,,,,,
0452,盡,108,1,5,,07779,,,,,
0453,眼,109,1,3,,07843,,,,,
0454,眞,109,1,4,,07827,,,,,
0455,相,109,1,23,,07801,,,,,
0456-0457,眾,109,1,78,,07844,,,,,
0458,M23523,109,1,4,,M23523,,,,,
0459,眷,109,1,2,,07839,,,,,
0460,知,111,1,26,,07941,,,,,
0461,礙,112,1,2,,08077,,,,,
0462,破,112,1,2,,07986,,,,,
0463,禮,113,1,7,,08165,,,,,
0464,示,113,1,5,,08097,,,,,
0465,禪,113,1,7,,08162,,,,,
0466,福,113,1,4,,08148,,,,,
0467,神,113,1,4,,08124,,,,,
0468,稱,115,1,2,,08248,,,,,
0469,種,115,1,10,,08244,,,,,
0470,空,116,1,4,,08296,,,,,
0471,童,117,1,2,,08371,,,,,
0472,第,118,1,7,,08412,,,,,
0473-0474,等,118,1,61,,08426,,,,,
0475,算,118,1,2,,08469,,,,,
0476,精,119,1,2,,08685,,,,,
0477,納,120,1,7,,08747,,,,,
0478,緣,120,1,25,,08924,,,,,
0479,緊,120,1,4,,08906,,,,,
0480,絶,120,1,3,,08809,,,,,
0481,繞,120,1,11,,09020,,,,,
0482,經,120,1,16,,08856,,,,,
0483,羅,122,1,32,,09144,,,,,
0484,義,123,1,2,,09177,,,,,
0485,老,125,1,3,,09250,,,,,
0486,者,125,1,21,,09255,,,,,
0487,而,126,1,50,,09264,,,,,
